Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
AARTIIND-I580PE,2021-01-01,10.0,10.15,10.0,10.15,1700.0,850.0
AARTIIND-I600PE,2021-01-01,15.0,17.025,13.25,13.25,8500.0,6800.0
AARTIIND-I630CE,2021-01-01,36.15,36.15,29.5,30.05,11900.0,6800.0
AARTIIND-I640CE,2021-01-01,30.775,31.0,23.375,23.375,6800.0,3400.0
AARTIIND-I640PE,2021-01-01,33.5,33.5,33.5,33.5,850.0,0.0
AARTIIND-I650CE,2021-01-01,17.5,29.05,17.5,22.4,140250.0,41650.0
AARTIIND-I650PE,2021-01-01,40.1,40.1,39.85,39.85,1700.0,850.0
AARTIIND-I660CE,2021-01-01,19.15,24.7,17.9,19.95,13600.0,10200.0
AARTIIND-I670CE,2021-01-01,13.475,16.0,13.475,16.0,4250.0,2550.0
AARTIIND-I680CE,2021-01-01,17.425,18.0,11.45,11.5,11050.0,7650.0
AARTIIND-I700CE,2021-01-01,8.0,8.125,7.525,7.525,4250.0,2550.0
AARTIIND-I600PE,2021-01-04,12.025,13.025,9.05,9.05,15300.0,16150.0
AARTIIND-I610PE,2021-01-04,12.2,14.25,12.2,14.25,1700.0,850.0
AARTIIND-I630CE,2021-01-04,31.95,36.0,31.95,33.6,5950.0,7650.0
AARTIIND-I640CE,2021-01-04,30.0,31.75,26.65,27.4,13600.0,6800.0
AARTIIND-I650CE,2021-01-04,23.25,27.25,21.825,24.5,165750.0,47600.0
AARTIIND-I650PE,2021-01-04,32.0,32.0,27.65,27.65,1700.0,1700.0
AARTIIND-I660CE,2021-01-04,18.3,22.8,18.3,20.425,29750.0,12750.0
AARTIIND-I670CE,2021-01-04,18.9,19.0,15.85,15.85,10200.0,11050.0
AARTIIND-I680CE,2021-01-04,15.5,15.5,12.35,13.5,5950.0,10200.0
AARTIIND-I700CE,2021-01-04,9.85,9.85,8.775,9.5,5100.0,5100.0
AARTIIND-I580PE,2021-01-05,8.5,8.5,4.25,4.25,2550.0,1700.0
AARTIIND-I600CE,2021-01-05,75.775,75.775,73.2,73.2,1700.0,850.0
AARTIIND-I600PE,2021-01-05,9.15,13.5,5.5,6.725,21250.0,17850.0
AARTIIND-I610CE,2021-01-05,57.95,69.0,57.95,69.0,1700.0,850.0
AARTIIND-I610PE,2021-01-05,9.0,9.0,6.1,8.675,8500.0,2550.0
AARTIIND-I620CE,2021-01-05,49.7,60.5,49.7,60.5,1700.0,850.0
AARTIIND-I630CE,2021-01-05,29.55,48.1,28.325,45.525,5950.0,9350.0
AARTIIND-I630PE,2021-01-05,13.0,13.0,13.0,13.0,1700.0,850.0
AARTIIND-I640CE,2021-01-05,25.475,53.775,22.7,43.875,7650.0,6800.0
AARTIIND-I640PE,2021-01-05,14.7,18.4,11.725,18.4,5100.0,4250.0
AARTIIND-I650CE,2021-01-05,22.025,49.75,19.275,40.5,263500.0,37400.0
AARTIIND-I650PE,2021-01-05,35.95,35.95,16.075,18.025,10200.0,2550.0
AARTIIND-I660CE,2021-01-05,23.725,39.95,15.9,35.5,47600.0,11900.0
AARTIIND-I660PE,2021-01-05,26.25,26.25,26.25,26.25,850.0,0.0
AARTIIND-I670CE,2021-01-05,15.0,37.95,15.0,30.5,128350.0,20400.0
AARTIIND-I670PE,2021-01-05,29.85,29.85,29.85,29.85,850.0,0.0
AARTIIND-I680CE,2021-01-05,13.65,33.0,13.65,25.8,97750.0,37400.0
AARTIIND-I680PE,2021-01-05,33.6,33.6,33.6,33.6,850.0,0.0
AARTIIND-I690CE,2021-01-05,18.925,20.825,17.025,20.825,5100.0,4250.0
AARTIIND-I700CE,2021-01-05,8.3,23.825,6.0,17.725,382500.0,63750.0
AARTIIND-I710CE,2021-01-05,13.0,13.0,13.0,13.0,850.0,0.0
AARTIIND-I720CE,2021-01-05,15.0,15.0,10.25,10.25,3400.0,850.0
AARTIIND-I730CE,2021-01-05,11.5,11.5,11.5,11.5,1700.0,850.0
AARTIIND-I740CE,2021-01-05,3.6,8.6,3.6,7.5,6800.0,4250.0
AARTIIND-I750CE,2021-01-05,8.45,9.0,5.5,5.55,28900.0,18700.0
AARTIIND-I770CE,2021-01-05,17.0,17.0,17.0,17.0,3400.0,0.0
AARTIIND-I600CE,2021-01-06,75.45,75.45,63.5,63.5,1700.0,2550.0
AARTIIND-I600PE,2021-01-06,7.5,12.475,7.5,7.65,27200.0,31450.0
AARTIIND-I610PE,2021-01-06,12.25,13.725,11.5,12.25,45900.0,44200.0
AARTIIND-I620PE,2021-01-06,11.5,11.5,11.5,11.5,850.0,0.0
AARTIIND-I630CE,2021-01-06,46.475,60.7,36.025,36.025,5100.0,9350.0
AARTIIND-I630PE,2021-01-06,15.0,20.0,15.0,19.075,6800.0,5100.0
AARTIIND-I640CE,2021-01-06,41.35,49.525,33.0,33.0,6800.0,7650.0
AARTIIND-I640PE,2021-01-06,18.4,20.7,14.975,18.325,5950.0,6800.0
AARTIIND-I650CE,2021-01-06,29.05,36.25,24.5,28.225,88400.0,62900.0
AARTIIND-I650PE,2021-01-06,25.0,28.575,22.8,28.575,9350.0,5100.0
AARTIIND-I660CE,2021-01-06,25.05,29.35,23.175,23.75,18700.0,17000.0
AARTIIND-I660PE,2021-01-06,35.875,36.15,35.875,36.15,1700.0,850.0
AARTIIND-I670CE,2021-01-06,30.5,30.5,16.75,19.5,39950.0,28900.0
AARTIIND-I670PE,2021-01-06,34.95,34.95,34.95,34.95,850.0,850.0
AARTIIND-I680CE,2021-01-06,25.15,25.15,14.125,16.75,43350.0,36550.0
AARTIIND-I680PE,2021-01-06,39.225,39.225,39.225,39.225,1700.0,850.0
AARTIIND-I690CE,2021-01-06,21.575,21.575,13.0,13.0,11900.0,6800.0
AARTIIND-I700CE,2021-01-06,16.525,16.525,9.55,10.475,97750.0,99450.0
AARTIIND-I700PE,2021-01-06,52.5,52.5,52.5,52.5,850.0,0.0
AARTIIND-I710CE,2021-01-06,14.0,14.0,14.0,14.0,850.0,850.0
AARTIIND-I720CE,2021-01-06,8.5,8.5,8.5,8.5,850.0,0.0
AARTIIND-I730CE,2021-01-06,2.65,2.65,2.65,2.65,850.0,850.0
AARTIIND-I740CE,2021-01-06,7.6,7.6,7.6,7.6,850.0,4250.0
AARTIIND-I750CE,2021-01-06,5.7,5.875,3.75,4.0,17000.0,22950.0
AARTIIND-I770CE,2021-01-06,5.5,5.5,2.5,2.5,10200.0,3400.0
AARTIIND-I600PE,2021-01-07,8.0,11.0,7.75,11.0,9350.0,30600.0
AARTIIND-I610PE,2021-01-07,10.3,14.0,10.3,12.0,9350.0,50150.0
AARTIIND-I620PE,2021-01-07,11.5,15.95,11.5,15.9,2550.0,1700.0
AARTIIND-I630CE,2021-01-07,40.525,40.525,40.525,40.525,850.0,8500.0
AARTIIND-I630PE,2021-01-07,13.625,21.575,13.35,19.725,10200.0,11900.0
AARTIIND-I640CE,2021-01-07,36.0,36.0,28.45,31.7,5950.0,9350.0
AARTIIND-I640PE,2021-01-07,19.825,23.625,19.825,22.125,2550.0,6800.0
AARTIIND-I650CE,2021-01-07,30.0,31.5,23.85,24.95,54400.0,70550.0
AARTIIND-I650PE,2021-01-07,23.775,31.65,23.775,30.125,6800.0,5950.0
AARTIIND-I660CE,2021-01-07,26.65,27.0,19.1,19.825,15300.0,22100.0
AARTIIND-I660PE,2021-01-07,34.85,34.85,34.85,34.85,850.0,850.0
AARTIIND-I670CE,2021-01-07,22.0,22.75,16.475,16.475,14450.0,32300.0
AARTIIND-I680CE,2021-01-07,16.825,16.825,13.225,13.925,20400.0,33150.0
AARTIIND-I690CE,2021-01-07,13.35,13.35,13.35,13.35,850.0,5950.0
AARTIIND-I700CE,2021-01-07,12.0,12.75,8.55,9.025,47600.0,90950.0
AARTIIND-I750CE,2021-01-07,3.85,4.0,3.25,3.525,7650.0,22100.0
AARTIIND-I600CE,2021-01-08,51.1,51.1,51.1,51.1,850.0,3400.0
AARTIIND-I600PE,2021-01-08,9.15,10.0,6.525,10.0,5950.0,29750.0
AARTIIND-I610PE,2021-01-08,10.25,10.725,9.0,9.5,10200.0,52700.0
AARTIIND-I630CE,2021-01-08,32.5,32.5,32.5,32.5,850.0,8500.0
