Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ABAN.EQ-NSE,2019-01-01,75.25,75.25,73.7,74.3,411595.0
ABAN.EQ-NSE,2019-01-02,74.1,75.3,73.1,74.0,412829.0
ABAN.EQ-NSE,2019-01-03,75.0,75.0,73.1,73.3,378289.0
ABAN.EQ-NSE,2019-01-04,73.7,73.95,72.5,73.0,326780.0
ABAN.EQ-NSE,2019-01-07,73.9,74.4,73.2,73.3,312488.0
ABAN.EQ-NSE,2019-01-08,73.95,73.95,73.0,73.3,301188.0
ABAN.EQ-NSE,2019-01-09,73.9,75.0,73.55,74.0,455384.0
ABAN.EQ-NSE,2019-01-10,74.9,75.4,73.65,74.1,354009.0
ABAN.EQ-NSE,2019-01-11,74.55,77.3,73.85,75.5,1343979.0
ABAN.EQ-NSE,2019-01-14,74.95,75.9,73.9,74.15,332035.0
ABAN.EQ-NSE,2019-01-15,74.7,74.9,73.9,74.1,279590.0
ABAN.EQ-NSE,2019-01-16,74.2,76.05,74.1,74.4,487448.0
ABAN.EQ-NSE,2019-01-17,74.65,75.75,73.55,73.7,422216.0
ABAN.EQ-NSE,2019-01-18,74.3,74.3,72.65,72.8,316665.0
ABAN.EQ-NSE,2019-01-21,72.95,73.5,72.35,72.95,232537.0
ABAN.EQ-NSE,2019-01-22,72.95,73.0,71.0,71.25,238801.0
ABAN.EQ-NSE,2019-01-23,71.6,71.75,70.25,70.6,228279.0
ABAN.EQ-NSE,2019-01-24,70.6,73.1,69.75,71.4,484194.0
ABAN.EQ-NSE,2019-01-25,72.65,72.85,69.0,69.45,390288.0
ABAN.EQ-NSE,2019-01-28,69.45,69.5,65.25,66.7,315091.0
ABAN.EQ-NSE,2019-01-29,66.45,66.5,64.6,65.8,326311.0
ABAN.EQ-NSE,2019-01-30,65.8,66.7,64.8,66.45,352430.0
ABAN.EQ-NSE,2019-01-31,66.25,67.7,65.05,66.8,360245.0
ABAN.EQ-NSE,2019-02-01,67.35,68.25,65.1,66.3,315514.0
ABAN.EQ-NSE,2019-02-04,66.8,66.8,60.1,63.55,537222.0
ABAN.EQ-NSE,2019-02-05,62.85,62.85,56.25,57.0,718818.0
ABAN.EQ-NSE,2019-02-06,57.0,57.4,50.05,52.4,859532.0
ABAN.EQ-NSE,2019-02-07,52.05,54.0,50.4,52.85,608451.0
ABAN.EQ-NSE,2019-02-08,52.2,52.45,50.0,51.5,402772.0
ABAN.EQ-NSE,2019-02-11,51.85,51.85,48.5,49.2,451863.0
ABAN.EQ-NSE,2019-02-12,48.4,49.1,48.0,48.6,374614.0
ABAN.EQ-NSE,2019-02-13,48.1,51.7,48.1,50.3,663719.0
ABAN.EQ-NSE,2019-02-14,49.5,50.4,48.35,50.3,402303.0
ABAN.EQ-NSE,2019-02-15,50.1,51.65,49.3,49.7,388045.0
ABAN.EQ-NSE,2019-02-18,51.5,52.4,50.1,51.5,676161.0
ABAN.EQ-NSE,2019-02-19,51.85,52.4,49.65,50.95,480082.0
ABAN.EQ-NSE,2019-02-20,54.0,54.8,52.25,52.8,718460.0
ABAN.EQ-NSE,2019-02-21,52.3,53.7,52.0,53.2,304857.0
ABAN.EQ-NSE,2019-02-22,53.3,54.2,52.5,53.5,314470.0
ABAN.EQ-NSE,2019-02-25,53.55,55.3,53.5,54.2,488232.0
ABAN.EQ-NSE,2019-02-26,52.5,53.35,51.95,52.7,404617.0
ABAN.EQ-NSE,2019-02-27,54.3,54.3,51.4,52.1,425640.0
ABAN.EQ-NSE,2019-02-28,52.55,53.2,51.6,52.65,299714.0
ABAN.EQ-NSE,2019-03-01,52.6,59.0,52.45,57.55,1393413.0
ABAN.EQ-NSE,2019-03-05,58.2,60.9,57.5,59.9,1136199.0
ABAN.EQ-NSE,2019-03-06,61.1,72.1,60.3,72.1,3383703.0
ABAN.EQ-NSE,2019-03-07,75.3,77.9,72.55,74.2,3975490.0
ABAN.EQ-NSE,2019-03-08,73.8,76.6,70.7,74.75,1673892.0
ABAN.EQ-NSE,2019-03-11,74.0,76.35,73.55,74.4,594176.0
ABAN.EQ-NSE,2019-03-12,75.0,78.0,74.45,76.0,1232757.0
ABAN.EQ-NSE,2019-03-13,76.2,76.45,72.2,73.1,686632.0
ABAN.EQ-NSE,2019-03-14,72.05,72.45,69.6,69.6,63919.0
ABAN.EQ-NSE,2019-03-15,66.15,66.15,66.15,66.15,38331.0
ABAN.EQ-NSE,2019-03-18,62.85,62.85,62.85,62.85,28464.0
ABAN.EQ-NSE,2019-03-19,59.75,59.75,59.75,59.75,46245.0
ABAN.EQ-NSE,2019-03-20,56.85,62.7,56.8,62.7,181599.0
ABAN.EQ-NSE,2019-03-22,62.9,62.9,60.0,60.15,116427.0
ABAN.EQ-NSE,2019-03-25,59.55,60.3,57.6,58.05,66718.0
ABAN.EQ-NSE,2019-03-26,58.05,60.45,57.8,58.3,68016.0
ABAN.EQ-NSE,2019-03-27,59.4,60.6,56.65,58.45,96298.0
ABAN.EQ-NSE,2019-03-28,58.1,59.45,57.25,57.75,71649.0
ABAN.EQ-NSE,2019-03-29,58.0,59.5,57.0,57.0,84474.0
ABAN.EQ-NSE,2019-04-01,58.0,59.5,58.0,59.0,74011.0
ABAN.EQ-NSE,2019-04-02,59.9,60.0,58.0,59.0,51131.0
ABAN.EQ-NSE,2019-04-03,58.15,59.6,58.0,58.6,61126.0
