Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ABBOTINDIA-I17000PE,2021-10-01,41.7,75.0,41.7,54.0,800.0,275.0
ABBOTINDIA-I17500PE,2021-10-01,87.85,146.6,50.05,50.05,700.0,250.0
ABBOTINDIA-I17750PE,2021-10-01,122.75,122.75,122.75,122.75,50.0,0.0
ABBOTINDIA-I18000PE,2021-10-01,167.75,229.0,110.0,229.0,400.0,175.0
ABBOTINDIA-I18500PE,2021-10-01,294.1,294.1,294.1,294.1,50.0,0.0
ABBOTINDIA-I18750PE,2021-10-01,378.25,378.25,378.25,378.25,50.0,0.0
ABBOTINDIA-I19000PE,2021-10-01,410.0,410.0,100.0,150.0,1400.0,400.0
ABBOTINDIA-I20000PE,2021-10-01,990.0,990.0,270.0,270.0,1600.0,300.0
ABBOTINDIA-I20500CE,2021-10-01,800.0,1670.0,800.0,1670.0,400.0,75.0
ABBOTINDIA-I21000CE,2021-10-01,600.0,2440.0,600.0,2440.0,11650.0,950.0
ABBOTINDIA-I21000PE,2021-10-01,1100.0,1100.0,533.0,600.0,950.0,200.0
ABBOTINDIA-I21500CE,2021-10-01,904.25,904.25,904.25,904.25,50.0,0.0
ABBOTINDIA-I22000CE,2021-10-01,500.0,1900.0,400.0,1899.0,44850.0,2925.0
ABBOTINDIA-I22000PE,2021-10-01,1021.0,1021.0,870.0,870.0,550.0,125.0
ABBOTINDIA-I22500CE,2021-10-01,453.55,1150.0,453.55,1124.0,1750.0,325.0
ABBOTINDIA-I22750CE,2021-10-01,374.1,374.1,374.1,374.1,50.0,0.0
ABBOTINDIA-I23000CE,2021-10-01,306.1,1499.95,306.1,1480.0,27850.0,3325.0
ABBOTINDIA-I23500CE,2021-10-01,200.15,200.15,200.15,200.15,50.0,0.0
ABBOTINDIA-I24000CE,2021-10-01,110.0,1199.95,110.0,1065.0,13450.0,1825.0
ABBOTINDIA-I24250CE,2021-10-01,99.85,136.75,99.85,136.75,150.0,25.0
ABBOTINDIA-I24500CE,2021-10-01,78.0,967.0,78.0,967.0,4200.0,1000.0
ABBOTINDIA-I17000PE,2021-10-04,53.2,53.2,51.3,51.3,150.0,325.0
ABBOTINDIA-I18000PE,2021-10-04,30.85,30.85,30.85,30.85,50.0,175.0
ABBOTINDIA-I18500PE,2021-10-04,64.95,64.95,64.95,64.95,50.0,25.0
ABBOTINDIA-I18750PE,2021-10-04,91.35,91.35,91.35,91.35,50.0,25.0
ABBOTINDIA-I19000PE,2021-10-04,175.0,175.0,100.0,110.5,2150.0,575.0
ABBOTINDIA-I20000CE,2021-10-04,3355.0,3355.0,3355.0,3355.0,50.0,0.0
ABBOTINDIA-I20000PE,2021-10-04,325.0,444.25,200.0,201.0,5500.0,1425.0
ABBOTINDIA-I20500PE,2021-10-04,250.05,317.25,250.05,317.25,200.0,50.0
ABBOTINDIA-I21000CE,2021-10-04,2332.7,2725.0,2332.7,2681.0,1600.0,900.0
ABBOTINDIA-I21000PE,2021-10-04,800.0,800.0,390.0,390.0,4750.0,950.0
ABBOTINDIA-I21250CE,2021-10-04,2427.6,2427.6,2427.0,2427.0,100.0,25.0
ABBOTINDIA-I21500CE,2021-10-04,2198.1,2198.1,2198.1,2198.1,50.0,25.0
ABBOTINDIA-I21750CE,2021-10-04,1977.65,1977.65,1977.65,1977.65,50.0,0.0
ABBOTINDIA-I22000CE,2021-10-04,1899.0,2150.0,1568.55,1877.35,11100.0,2250.0
ABBOTINDIA-I22000PE,2021-10-04,890.0,1050.05,650.0,671.15,8900.0,1150.0
ABBOTINDIA-I22250CE,2021-10-04,1570.1,1570.1,1570.1,1570.1,50.0,0.0
ABBOTINDIA-I22500CE,2021-10-04,1415.6,1840.0,1368.05,1624.05,3900.0,500.0
ABBOTINDIA-I22750CE,2021-10-04,1212.8,1573.9,1212.8,1572.25,800.0,150.0
ABBOTINDIA-I23000CE,2021-10-04,1480.05,1589.95,1050.0,1439.75,62850.0,3225.0
ABBOTINDIA-I23000PE,2021-10-04,1948.45,1948.45,1074.95,1091.6,2250.0,350.0
ABBOTINDIA-I24000CE,2021-10-04,1105.0,1170.0,800.0,1025.0,68050.0,4850.0
ABBOTINDIA-I24500CE,2021-10-04,967.0,997.95,680.0,860.0,16750.0,1200.0
ABBOTINDIA-I25000CE,2021-10-04,238.65,779.0,238.65,691.5,12950.0,1775.0
ABBOTINDIA-I25000PE,2021-10-04,1793.85,3888.0,1793.85,3888.0,100.0,25.0
ABBOTINDIA-I26000CE,2021-10-04,98.55,540.0,98.55,401.0,5750.0,1150.0
ABBOTINDIA-I17000PE,2021-10-05,3.2,5.0,3.2,5.0,150.0,350.0
ABBOTINDIA-I17500PE,2021-10-05,3.6,3.6,3.6,3.6,50.0,250.0
ABBOTINDIA-I19000PE,2021-10-05,112.0,128.0,110.0,120.0,600.0,625.0
ABBOTINDIA-I20000PE,2021-10-05,201.0,201.0,145.0,159.0,2450.0,1775.0
ABBOTINDIA-I20500CE,2021-10-05,3981.45,3981.45,3981.45,3981.45,50.0,50.0
