Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ABCAPITAL-I100CE,2021-12-31,27.95,27.95,27.95,27.95,8800.0,0.0
ABCAPITAL-I100PE,2021-12-31,1.0,1.0,0.3,0.35,61600.0,17600.0
ABCAPITAL-I110PE,2021-12-31,1.95,1.95,1.0,1.15,132000.0,35200.0
ABCAPITAL-I115PE,2021-12-31,2.0,2.2,1.8,2.1,158400.0,26400.0
ABCAPITAL-I120CE,2021-12-31,9.0,9.5,8.1,8.6,132000.0,39600.0
ABCAPITAL-I120PE,2021-12-31,4.0,4.85,3.6,3.95,308000.0,74800.0
ABCAPITAL-I125CE,2021-12-31,6.05,7.4,5.45,5.8,1144000.0,290400.0
ABCAPITAL-I125PE,2021-12-31,6.55,6.55,6.2,6.55,52800.0,17600.0
ABCAPITAL-I130CE,2021-12-31,4.0,5.8,3.5,4.0,1962400.0,413600.0
ABCAPITAL-I135CE,2021-12-31,3.15,3.3,2.15,2.6,668800.0,158400.0
ABCAPITAL-I140CE,2021-12-31,2.15,2.4,1.5,1.6,457600.0,136400.0
ABCAPITAL-I145CE,2021-12-31,1.0,1.35,0.95,1.0,264000.0,74800.0
ABCAPITAL-I100CE,2022-01-03,30.0,30.0,30.0,30.0,8800.0,4400.0
ABCAPITAL-I100PE,2022-01-03,0.25,0.4,0.15,0.15,114400.0,48400.0
ABCAPITAL-I105PE,2022-01-03,0.75,0.75,0.25,0.25,228800.0,22000.0
ABCAPITAL-I110PE,2022-01-03,1.1,1.25,0.55,0.6,792000.0,290400.0
ABCAPITAL-I115PE,2022-01-03,2.0,2.05,1.05,1.15,466400.0,145200.0
ABCAPITAL-I120CE,2022-01-03,8.5,12.3,8.5,12.0,299200.0,66000.0
ABCAPITAL-I120PE,2022-01-03,3.9,3.9,1.85,2.2,1548800.0,299200.0
ABCAPITAL-I122.5CE,2022-01-03,9.9,9.9,9.9,9.9,17600.0,0.0
ABCAPITAL-I125CE,2022-01-03,5.5,9.7,5.5,8.85,3872000.0,334400.0
ABCAPITAL-I125PE,2022-01-03,5.7,5.7,3.3,3.65,1223200.0,268400.0
ABCAPITAL-I127.5CE,2022-01-03,6.1,7.95,6.1,7.5,176000.0,66000.0
ABCAPITAL-I130CE,2022-01-03,3.55,6.85,3.55,6.25,14370400.0,954800.0
ABCAPITAL-I130PE,2022-01-03,7.0,7.0,5.7,6.05,176000.0,26400.0
ABCAPITAL-I132.5CE,2022-01-03,3.6,5.0,3.6,5.0,44000.0,13200.0
ABCAPITAL-I135CE,2022-01-03,2.75,4.75,2.6,4.2,2560800.0,400400.0
ABCAPITAL-I140CE,2022-01-03,1.6,3.2,1.6,2.8,4769600.0,545600.0
ABCAPITAL-I145CE,2022-01-03,1.15,2.15,1.1,1.85,1003200.0,268400.0
ABCAPITAL-I150CE,2022-01-03,0.7,1.5,0.7,1.45,1733600.0,409200.0
ABCAPITAL-I100PE,2022-01-04,0.15,0.15,0.15,0.15,8800.0,52800.0
ABCAPITAL-I110CE,2022-01-04,21.8,21.8,16.85,16.85,17600.0,0.0
ABCAPITAL-I110PE,2022-01-04,0.55,0.85,0.5,0.5,202400.0,321200.0
ABCAPITAL-I115PE,2022-01-04,1.35,1.35,0.8,0.8,228800.0,162800.0
ABCAPITAL-I120CE,2022-01-04,10.55,14.4,10.55,13.0,88000.0,57200.0
ABCAPITAL-I120PE,2022-01-04,1.95,2.5,1.3,1.55,756800.0,369600.0
ABCAPITAL-I125CE,2022-01-04,7.95,10.7,7.45,9.65,712800.0,330000.0
ABCAPITAL-I125PE,2022-01-04,3.65,4.2,2.75,3.1,765600.0,224400.0
ABCAPITAL-I127.5CE,2022-01-04,6.8,8.9,6.8,8.9,70400.0,48400.0
ABCAPITAL-I130CE,2022-01-04,6.5,7.7,5.0,6.6,5438400.0,844800.0
ABCAPITAL-I130PE,2022-01-04,5.75,7.0,4.55,4.95,853600.0,206800.0
ABCAPITAL-I132.5CE,2022-01-04,5.7,6.6,5.05,5.6,281600.0,52800.0
ABCAPITAL-I135CE,2022-01-04,4.55,5.4,3.4,4.4,3361600.0,532400.0
ABCAPITAL-I135PE,2022-01-04,7.75,8.0,6.7,7.6,237600.0,105600.0
ABCAPITAL-I137.5CE,2022-01-04,4.25,4.25,3.75,3.75,26400.0,8800.0
ABCAPITAL-I140CE,2022-01-04,3.0,3.65,1.55,2.85,4004000.0,743600.0
ABCAPITAL-I145CE,2022-01-04,1.85,2.55,1.35,1.8,880000.0,325600.0
ABCAPITAL-I150CE,2022-01-04,1.45,1.75,1.1,1.25,2420000.0,554400.0
ABCAPITAL-I155CE,2022-01-04,0.9,1.25,0.9,1.1,105600.0,39600.0
ABCAPITAL-I100PE,2022-01-05,0.2,0.2,0.1,0.1,35200.0,61600.0
ABCAPITAL-I105PE,2022-01-05,0.1,0.2,0.1,0.2,17600.0,22000.0
ABCAPITAL-I110CE,2022-01-05,21.15,21.15,21.15,21.15,8800.0,4400.0
ABCAPITAL-I110PE,2022-01-05,0.6,0.7,0.35,0.45,140800.0,316800.0
ABCAPITAL-I115PE,2022-01-05,0.95,1.2,0.7,0.8,149600.0,149600.0
ABCAPITAL-I117.5PE,2022-01-05,1.2,1.2,1.2,1.2,8800.0,0.0
ABCAPITAL-I120CE,2022-01-05,12.5,12.5,11.0,11.4,123200.0,66000.0
ABCAPITAL-I120PE,2022-01-05,1.5,3.65,1.5,1.7,686400.0,382800.0
ABCAPITAL-I125CE,2022-01-05,8.25,8.8,7.45,8.25,264000.0,330000.0
ABCAPITAL-I125PE,2022-01-05,3.1,3.95,3.0,3.2,281600.0,242000.0
ABCAPITAL-I127.5CE,2022-01-05,7.05,9.25,6.7,6.75,44000.0,52800.0
ABCAPITAL-I130CE,2022-01-05,6.55,6.6,5.0,5.3,4039200.0,959200.0
ABCAPITAL-I130PE,2022-01-05,5.1,6.6,5.1,5.55,704000.0,233200.0
ABCAPITAL-I132.5CE,2022-01-05,5.5,5.5,4.0,4.4,387200.0,132000.0
ABCAPITAL-I135CE,2022-01-05,4.25,4.45,3.2,3.45,1724800.0,550000.0
ABCAPITAL-I135PE,2022-01-05,9.5,9.75,8.2,8.2,44000.0,110000.0
