Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ABGSHIP.EQ-NSE,2019-01-01,2.0,2.1,2.0,2.1,22575.0
ABGSHIP.EQ-NSE,2019-01-02,2.0,2.1,1.95,2.05,91114.0
ABGSHIP.EQ-NSE,2019-01-03,1.95,2.05,1.95,2.05,40347.0
ABGSHIP.EQ-NSE,2019-01-04,2.0,2.0,1.9,2.0,78572.0
ABGSHIP.EQ-NSE,2019-01-07,1.95,1.95,1.85,1.95,44780.0
ABGSHIP.EQ-NSE,2019-01-08,1.9,2.0,1.9,1.95,24203.0
ABGSHIP.EQ-NSE,2019-01-09,2.0,2.0,1.9,1.95,35561.0
ABGSHIP.EQ-NSE,2019-01-10,2.0,2.0,1.9,1.9,87203.0
ABGSHIP.EQ-NSE,2019-01-11,1.85,1.95,1.85,1.95,10914.0
ABGSHIP.EQ-NSE,2019-01-14,2.0,2.0,1.9,1.95,18455.0
ABGSHIP.EQ-NSE,2019-01-15,1.85,1.9,1.85,1.85,10701.0
ABGSHIP.EQ-NSE,2019-01-16,1.85,1.9,1.85,1.9,8072.0
ABGSHIP.EQ-NSE,2019-01-17,1.85,1.95,1.85,1.9,12259.0
ABGSHIP.EQ-NSE,2019-01-18,1.9,1.95,1.85,1.95,47053.0
ABGSHIP.EQ-NSE,2019-01-21,1.95,1.95,1.9,1.95,9058.0
ABGSHIP.EQ-NSE,2019-01-22,1.9,2.0,1.9,1.95,33115.0
ABGSHIP.EQ-NSE,2019-01-23,1.95,1.95,1.9,1.9,33457.0
ABGSHIP.EQ-NSE,2019-01-24,1.9,1.9,1.85,1.9,19527.0
ABGSHIP.EQ-NSE,2019-01-25,1.85,1.9,1.85,1.85,45068.0
ABGSHIP.EQ-NSE,2019-01-28,1.8,1.9,1.8,1.8,22900.0
ABGSHIP.EQ-NSE,2019-01-29,1.75,1.85,1.75,1.85,63198.0
ABGSHIP.EQ-NSE,2019-01-30,1.8,1.85,1.8,1.85,3223.0
ABGSHIP.EQ-NSE,2019-01-31,1.8,1.85,1.8,1.8,31061.0
ABGSHIP.EQ-NSE,2019-02-01,1.85,1.85,1.75,1.85,35496.0
ABGSHIP.EQ-NSE,2019-02-04,1.8,1.85,1.8,1.8,4000.0
ABGSHIP.EQ-NSE,2019-02-05,1.75,1.75,1.75,1.75,2966.0
ABGSHIP.EQ-NSE,2019-02-06,1.7,1.7,1.7,1.7,14346.0
ABGSHIP.EQ-NSE,2019-02-07,1.65,1.65,1.65,1.65,5417.0
ABGSHIP.EQ-NSE,2019-02-08,1.6,1.6,1.6,1.6,31001.0
ABGSHIP.EQ-NSE,2019-02-11,1.55,1.65,1.55,1.6,13614.0
ABGSHIP.EQ-NSE,2019-02-12,1.6,1.65,1.55,1.55,5427.0
ABGSHIP.EQ-NSE,2019-02-13,1.5,1.6,1.5,1.5,22141.0
ABGSHIP.EQ-NSE,2019-02-14,1.45,1.5,1.45,1.5,20565.0
ABGSHIP.EQ-NSE,2019-02-15,1.55,1.55,1.45,1.45,13701.0
ABGSHIP.EQ-NSE,2019-02-18,1.45,1.5,1.4,1.4,25266.0
ABGSHIP.EQ-NSE,2019-02-19,1.4,1.4,1.35,1.35,77633.0
ABGSHIP.EQ-NSE,2019-02-20,1.3,1.4,1.3,1.4,63823.0
ABGSHIP.EQ-NSE,2019-02-21,1.3,1.4,1.3,1.4,24302.0
ABGSHIP.EQ-NSE,2019-02-22,1.45,1.45,1.45,1.45,7668.0
ABGSHIP.EQ-NSE,2019-02-25,1.5,1.5,1.45,1.5,14569.0
ABGSHIP.EQ-NSE,2019-02-26,1.55,1.55,1.55,1.55,2529.0
ABGSHIP.EQ-NSE,2019-02-27,1.6,1.6,1.6,1.6,9102.0
ABGSHIP.EQ-NSE,2019-02-28,1.65,1.65,1.55,1.55,61978.0
ABGSHIP.EQ-NSE,2019-03-01,1.5,1.6,1.5,1.55,24544.0
ABGSHIP.EQ-NSE,2019-03-05,1.6,1.6,1.6,1.6,5676.0
ABGSHIP.EQ-NSE,2019-03-06,1.65,1.65,1.65,1.65,10363.0
ABGSHIP.EQ-NSE,2019-03-07,1.7,1.7,1.7,1.7,20225.0
ABGSHIP.EQ-NSE,2019-03-08,1.75,1.75,1.75,1.75,38757.0
ABGSHIP.EQ-NSE,2019-03-11,1.8,1.8,1.8,1.8,5343.0
ABGSHIP.EQ-NSE,2019-03-12,1.85,1.85,1.8,1.85,25218.0
ABGSHIP.EQ-NSE,2019-03-13,1.9,1.9,1.9,1.9,15280.0
ABGSHIP.EQ-NSE,2019-03-14,1.95,1.95,1.95,1.95,15660.0
ABGSHIP.EQ-NSE,2019-03-15,2.0,2.0,2.0,2.0,5916.0
ABGSHIP.EQ-NSE,2019-03-18,2.1,2.1,2.1,2.1,120203.0
ABGSHIP.EQ-NSE,2019-03-19,2.2,2.2,2.0,2.1,55598.0
ABGSHIP.EQ-NSE,2019-03-20,2.15,2.15,1.95,1.95,9821.0
ABGSHIP.EQ-NSE,2019-03-22,1.9,1.9,1.9,1.9,6900.0
ABGSHIP.EQ-NSE,2019-03-25,1.85,1.85,1.85,1.85,5790.0
ABGSHIP.EQ-NSE,2019-03-26,1.8,1.8,1.8,1.8,10818.0
ABGSHIP.EQ-NSE,2019-03-27,1.75,1.8,1.75,1.75,50895.0
ABGSHIP.EQ-NSE,2019-03-28,1.7,1.8,1.7,1.75,32344.0
ABGSHIP.EQ-NSE,2019-03-29,1.7,1.8,1.7,1.8,52068.0
ABGSHIP.EQ-NSE,2019-04-01,1.85,1.85,1.75,1.75,9400.0
ABGSHIP.EQ-NSE,2019-04-02,1.7,1.7,1.7,1.7,9363.0
ABGSHIP.EQ-NSE,2019-04-03,1.75,1.75,1.65,1.65,6161.0
ABGSHIP.EQ-NSE,2019-04-04,1.6,1.7,1.6,1.65,52835.0
ABGSHIP.EQ-NSE,2019-04-05,1.7,1.7,1.6,1.65,19928.0
ABGSHIP.EQ-NSE,2019-04-08,1.6,1.7,1.6,1.6,9533.0
