Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ADANIENT.EQ-NSE,2019-01-01,160.95,162.35,155.45,157.1,4715479.0
ADANIENT.EQ-NSE,2019-01-02,157.0,157.85,152.5,154.5,2728047.0
ADANIENT.EQ-NSE,2019-01-03,155.0,156.1,150.3,152.0,2750625.0
ADANIENT.EQ-NSE,2019-01-04,152.5,154.0,150.0,151.0,2773627.0
ADANIENT.EQ-NSE,2019-01-07,152.9,154.45,150.25,150.65,2705336.0
ADANIENT.EQ-NSE,2019-01-08,150.5,154.3,149.65,153.1,2784366.0
ADANIENT.EQ-NSE,2019-01-09,154.15,154.45,147.6,149.0,4050514.0
ADANIENT.EQ-NSE,2019-01-10,150.9,151.8,148.5,151.5,3518480.0
ADANIENT.EQ-NSE,2019-01-11,151.3,152.6,149.1,150.35,2248227.0
ADANIENT.EQ-NSE,2019-01-14,151.0,151.15,147.0,148.2,2620344.0
ADANIENT.EQ-NSE,2019-01-15,148.5,149.95,147.25,148.3,1797842.0
ADANIENT.EQ-NSE,2019-01-16,148.3,150.7,148.0,148.5,1570337.0
ADANIENT.EQ-NSE,2019-01-17,148.5,151.25,146.35,148.5,2599786.0
ADANIENT.EQ-NSE,2019-01-18,149.5,149.8,144.55,146.55,2292524.0
ADANIENT.EQ-NSE,2019-01-21,146.45,148.0,144.25,144.3,1758951.0
ADANIENT.EQ-NSE,2019-01-22,145.2,146.65,141.7,145.6,2255573.0
ADANIENT.EQ-NSE,2019-01-23,144.6,146.5,142.05,142.2,2250514.0
ADANIENT.EQ-NSE,2019-01-24,143.0,144.05,141.1,142.95,1671892.0
ADANIENT.EQ-NSE,2019-01-25,143.05,145.45,136.15,136.85,3292861.0
ADANIENT.EQ-NSE,2019-01-28,137.95,141.0,118.95,138.0,9388437.0
ADANIENT.EQ-NSE,2019-01-29,136.1,143.8,133.6,139.65,4287765.0
ADANIENT.EQ-NSE,2019-01-30,140.7,141.5,136.5,138.9,3093506.0
ADANIENT.EQ-NSE,2019-01-31,139.0,141.75,135.0,136.0,3495542.0
ADANIENT.EQ-NSE,2019-02-01,136.55,144.8,134.55,142.65,7085581.0
ADANIENT.EQ-NSE,2019-02-04,142.2,142.2,121.3,121.95,9828112.0
ADANIENT.EQ-NSE,2019-02-05,122.65,127.4,119.6,122.05,8468370.0
ADANIENT.EQ-NSE,2019-02-06,122.65,124.2,114.8,121.95,9893079.0
ADANIENT.EQ-NSE,2019-02-07,121.95,126.8,119.05,123.3,9819961.0
ADANIENT.EQ-NSE,2019-02-08,122.6,125.45,115.7,122.0,7945924.0
ADANIENT.EQ-NSE,2019-02-11,123.0,123.25,115.8,117.2,6914081.0
ADANIENT.EQ-NSE,2019-02-12,116.5,120.0,115.35,116.0,3583497.0
ADANIENT.EQ-NSE,2019-02-13,117.5,125.6,115.5,115.8,9589396.0
ADANIENT.EQ-NSE,2019-02-14,117.95,119.5,116.0,117.75,4950566.0
ADANIENT.EQ-NSE,2019-02-15,118.2,121.15,116.5,118.2,4504182.0
ADANIENT.EQ-NSE,2019-02-18,118.65,119.9,116.1,117.15,2557521.0
ADANIENT.EQ-NSE,2019-02-19,118.0,119.8,116.8,117.1,2629032.0
ADANIENT.EQ-NSE,2019-02-20,118.0,121.1,116.2,118.8,3735713.0
ADANIENT.EQ-NSE,2019-02-21,119.75,121.0,117.9,119.05,2689566.0
ADANIENT.EQ-NSE,2019-02-22,120.0,130.7,119.8,124.65,14662363.0
