Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ADANIENT-I120PE,2019-01-01,0.4,0.6,0.4,0.6,16000.0,16000.0
ADANIENT-I125PE,2019-01-01,0.4,0.95,0.4,0.7,20000.0,28000.0
ADANIENT-I130PE,2019-01-01,0.65,1.3,0.65,0.95,32000.0,60000.0
ADANIENT-I135PE,2019-01-01,1.5,1.5,1.15,1.15,52000.0,24000.0
ADANIENT-I140PE,2019-01-01,2.4,2.8,2.4,2.4,16000.0,20000.0
ADANIENT-I145PE,2019-01-01,2.7,2.7,2.7,2.7,8000.0,32000.0
ADANIENT-I150PE,2019-01-01,3.9,6.0,3.8,5.4,192000.0,100000.0
ADANIENT-I155CE,2019-01-01,9.8,10.3,9.8,10.3,8000.0,12000.0
ADANIENT-I155PE,2019-01-01,5.5,8.2,5.5,7.9,152000.0,52000.0
ADANIENT-I160CE,2019-01-01,7.5,7.75,7.05,7.75,64000.0,128000.0
ADANIENT-I160PE,2019-01-01,9.75,11.0,9.75,10.5,68000.0,140000.0
ADANIENT-I165CE,2019-01-01,7.6,8.0,5.1,5.55,192000.0,176000.0
ADANIENT-I165PE,2019-01-01,11.7,11.7,11.7,11.7,4000.0,8000.0
ADANIENT-I170CE,2019-01-01,5.95,5.95,3.5,4.0,468000.0,408000.0
ADANIENT-I170PE,2019-01-01,13.05,16.75,13.05,16.75,28000.0,64000.0
ADANIENT-I175CE,2019-01-01,3.9,3.9,2.75,2.95,100000.0,112000.0
ADANIENT-I180CE,2019-01-01,2.8,3.2,1.85,2.05,312000.0,592000.0
ADANIENT-I190CE,2019-01-01,1.55,1.6,0.85,1.05,72000.0,308000.0
ADANIENT-I195CE,2019-01-01,0.85,0.85,0.75,0.75,8000.0,48000.0
ADANIENT-I200CE,2019-01-01,0.65,0.7,0.6,0.6,28000.0,60000.0
ADANIENT-I205CE,2019-01-01,0.4,0.4,0.3,0.3,8000.0,32000.0
ADANIENT-I115PE,2019-01-02,0.4,0.4,0.35,0.35,8000.0,4000.0
ADANIENT-I120PE,2019-01-02,0.4,0.4,0.4,0.4,4000.0,20000.0
ADANIENT-I125PE,2019-01-02,0.55,0.55,0.55,0.55,4000.0,28000.0
ADANIENT-I130PE,2019-01-02,1.25,1.25,1.25,1.25,4000.0,60000.0
ADANIENT-I140PE,2019-01-02,2.8,3.35,2.65,3.2,68000.0,56000.0
ADANIENT-I145PE,2019-01-02,4.0,5.25,4.0,4.05,24000.0,56000.0
ADANIENT-I150CE,2019-01-02,12.0,12.0,12.0,12.0,8000.0,16000.0
ADANIENT-I150PE,2019-01-02,5.6,7.0,5.25,6.3,220000.0,120000.0
ADANIENT-I155CE,2019-01-02,10.45,10.45,7.5,7.5,8000.0,4000.0
ADANIENT-I155PE,2019-01-02,7.8,9.5,7.4,9.0,84000.0,48000.0
ADANIENT-I160CE,2019-01-02,7.5,7.85,5.8,6.9,140000.0,148000.0
ADANIENT-I160PE,2019-01-02,10.0,11.35,9.95,11.05,36000.0,132000.0
ADANIENT-I165CE,2019-01-02,5.8,5.8,4.4,4.7,84000.0,164000.0
