Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ADANIPORTS.EQ-NSE,2019-01-01,386.75,390.9,384.05,390.6,1230569.0
ADANIPORTS.EQ-NSE,2019-01-02,386.6,388.95,378.0,381.0,1502519.0
ADANIPORTS.EQ-NSE,2019-01-03,382.4,385.3,376.6,376.95,1899788.0
ADANIPORTS.EQ-NSE,2019-01-04,379.8,383.95,375.85,383.5,1668096.0
ADANIPORTS.EQ-NSE,2019-01-07,385.05,386.95,379.35,380.9,1256488.0
ADANIPORTS.EQ-NSE,2019-01-08,381.75,382.6,375.75,379.5,2153318.0
ADANIPORTS.EQ-NSE,2019-01-09,381.25,381.6,373.3,376.35,1163937.0
ADANIPORTS.EQ-NSE,2019-01-10,378.0,381.8,376.95,380.0,1285574.0
ADANIPORTS.EQ-NSE,2019-01-11,380.35,381.0,375.1,375.6,1827794.0
ADANIPORTS.EQ-NSE,2019-01-14,375.55,376.7,372.4,373.7,926023.0
ADANIPORTS.EQ-NSE,2019-01-15,375.15,386.0,375.15,385.35,1963751.0
ADANIPORTS.EQ-NSE,2019-01-16,385.9,390.7,379.2,389.65,2843395.0
ADANIPORTS.EQ-NSE,2019-01-17,390.95,395.45,386.5,393.6,4114160.0
ADANIPORTS.EQ-NSE,2019-01-18,396.5,399.95,392.25,398.7,3595896.0
ADANIPORTS.EQ-NSE,2019-01-21,397.0,402.7,392.1,395.35,2559624.0
ADANIPORTS.EQ-NSE,2019-01-22,394.0,394.7,387.1,390.5,3326143.0
ADANIPORTS.EQ-NSE,2019-01-23,390.8,392.0,383.6,384.5,3649384.0
ADANIPORTS.EQ-NSE,2019-01-24,386.0,386.5,377.6,381.5,3631285.0
ADANIPORTS.EQ-NSE,2019-01-25,382.75,383.75,372.25,374.45,4758216.0
ADANIPORTS.EQ-NSE,2019-01-28,374.95,375.35,292.1,326.6,15171890.0
ADANIPORTS.EQ-NSE,2019-01-29,330.0,354.6,327.6,346.9,9804590.0
ADANIPORTS.EQ-NSE,2019-01-30,349.0,349.0,335.6,338.0,7658301.0
ADANIPORTS.EQ-NSE,2019-01-31,339.9,341.7,330.2,338.0,6396517.0
ADANIPORTS.EQ-NSE,2019-02-01,339.55,346.8,333.35,339.05,3116426.0
ADANIPORTS.EQ-NSE,2019-02-04,337.5,338.8,329.05,335.0,4515184.0
ADANIPORTS.EQ-NSE,2019-02-05,333.35,340.95,330.75,339.55,3258814.0
ADANIPORTS.EQ-NSE,2019-02-06,339.0,341.8,318.85,329.15,6678178.0
ADANIPORTS.EQ-NSE,2019-02-07,331.25,336.35,322.6,332.15,4855238.0
ADANIPORTS.EQ-NSE,2019-02-08,332.6,336.5,328.0,330.5,2910470.0
ADANIPORTS.EQ-NSE,2019-02-11,332.5,333.95,318.4,328.85,3779553.0
ADANIPORTS.EQ-NSE,2019-02-12,329.45,329.95,323.25,325.65,4493370.0
ADANIPORTS.EQ-NSE,2019-02-13,329.55,349.45,329.35,342.6,17850354.0
ADANIPORTS.EQ-NSE,2019-02-14,342.0,352.2,340.05,347.5,6603977.0
ADANIPORTS.EQ-NSE,2019-02-15,349.0,352.9,347.3,349.4,7725555.0
ADANIPORTS.EQ-NSE,2019-02-18,350.0,352.9,345.55,346.55,6871625.0
ADANIPORTS.EQ-NSE,2019-02-19,347.1,348.5,337.55,338.65,3297170.0
ADANIPORTS.EQ-NSE,2019-02-20,342.05,356.35,340.95,355.0,4880218.0
ADANIPORTS.EQ-NSE,2019-02-21,352.25,359.25,350.8,355.05,4084398.0
ADANIPORTS.EQ-NSE,2019-02-22,353.95,358.6,352.7,354.05,1716607.0
ADANIPORTS.EQ-NSE,2019-02-25,324.25,339.55,320.6,325.25,21732777.0
ADANIPORTS.EQ-NSE,2019-02-26,323.7,326.5,315.75,323.3,14162128.0
ADANIPORTS.EQ-NSE,2019-02-27,326.85,332.3,322.6,325.0,5728200.0
ADANIPORTS.EQ-NSE,2019-02-28,327.85,329.7,325.15,326.35,5044268.0
ADANIPORTS.EQ-NSE,2019-03-01,328.0,334.8,327.0,332.35,4743739.0
ADANIPORTS.EQ-NSE,2019-03-05,333.25,340.5,330.5,339.55,5091148.0
ADANIPORTS.EQ-NSE,2019-03-06,342.75,349.2,334.05,336.35,7945183.0
ADANIPORTS.EQ-NSE,2019-03-07,338.3,342.5,335.0,340.7,3042056.0
ADANIPORTS.EQ-NSE,2019-03-08,340.95,342.95,338.1,341.5,2256789.0
ADANIPORTS.EQ-NSE,2019-03-11,343.25,352.9,342.15,351.6,2908313.0
ADANIPORTS.EQ-NSE,2019-03-12,351.6,365.15,351.6,361.3,5371216.0
ADANIPORTS.EQ-NSE,2019-03-13,361.45,369.4,357.8,365.75,3881946.0
ADANIPORTS.EQ-NSE,2019-03-14,367.85,369.2,360.2,366.8,1770016.0
ADANIPORTS.EQ-NSE,2019-03-15,366.1,368.95,361.5,365.05,3054170.0
ADANIPORTS.EQ-NSE,2019-03-18,366.4,375.8,366.1,368.95,3030471.0
ADANIPORTS.EQ-NSE,2019-03-19,370.25,372.0,362.5,366.0,1928401.0
ADANIPORTS.EQ-NSE,2019-03-20,367.0,367.55,359.5,359.8,2920548.0
ADANIPORTS.EQ-NSE,2019-03-22,359.95,362.0,355.3,359.85,3218944.0
ADANIPORTS.EQ-NSE,2019-03-25,357.95,363.0,353.15,361.2,3151981.0
ADANIPORTS.EQ-NSE,2019-03-26,361.5,369.85,361.5,369.0,2650788.0
ADANIPORTS.EQ-NSE,2019-03-27,368.85,371.7,364.2,366.2,2962941.0
ADANIPORTS.EQ-NSE,2019-03-28,368.15,382.65,366.3,381.0,5903838.0
ADANIPORTS.EQ-NSE,2019-03-29,383.5,385.9,375.5,379.8,4109572.0
ADANIPORTS.EQ-NSE,2019-04-01,381.75,386.5,378.8,381.55,2469294.0
ADANIPORTS.EQ-NSE,2019-04-02,383.2,386.0,377.5,380.8,1820751.0
ADANIPORTS.EQ-NSE,2019-04-03,381.0,386.3,380.0,381.0,2698607.0
ADANIPORTS.EQ-NSE,2019-04-04,381.0,382.05,374.7,378.9,1907738.0
ADANIPORTS.EQ-NSE,2019-04-05,379.95,388.9,377.4,387.45,2441779.0
ADANIPORTS.EQ-NSE,2019-04-08,387.15,388.0,375.15,378.5,2621904.0
ADANIPORTS.EQ-NSE,2019-04-09,379.75,381.6,373.0,380.85,1539801.0
ADANIPORTS.EQ-NSE,2019-04-10,379.6,385.4,375.2,385.0,2065188.0
ADANIPORTS.EQ-NSE,2019-04-11,382.4,383.0,377.5,379.2,1618983.0
ADANIPORTS.EQ-NSE,2019-04-12,379.45,387.0,377.3,385.0,2145139.0
ADANIPORTS.EQ-NSE,2019-04-15,385.0,389.0,382.75,387.5,2066285.0
ADANIPORTS.EQ-NSE,2019-04-16,387.35,396.55,386.1,395.5,3723955.0
ADANIPORTS.EQ-NSE,2019-04-18,395.5,395.5,388.9,389.45,3212786.0
ADANIPORTS.EQ-NSE,2019-04-22,388.4,391.8,384.25,390.05,2275204.0
ADANIPORTS.EQ-NSE,2019-04-23,389.55,391.7,385.55,391.0,2420271.0
ADANIPORTS.EQ-NSE,2019-04-24,387.6,394.0,386.1,392.0,1672987.0
ADANIPORTS.EQ-NSE,2019-04-25,390.1,392.9,387.65,389.0,5154206.0
ADANIPORTS.EQ-NSE,2019-04-26,388.9,393.7,385.65,391.0,1679610.0
ADANIPORTS.EQ-NSE,2019-04-30,391.8,393.95,384.8,391.7,2497491.0
ADANIPORTS.EQ-NSE,2019-05-02,392.8,397.0,390.15,395.3,2131872.0
ADANIPORTS.EQ-NSE,2019-05-03,392.35,398.4,385.05,387.3,1860933.0
ADANIPORTS.EQ-NSE,2019-05-06,385.95,386.05,378.45,380.0,1642858.0
ADANIPORTS.EQ-NSE,2019-05-07,381.65,383.95,370.1,370.4,1626902.0
ADANIPORTS.EQ-NSE,2019-05-08,369.85,374.9,367.7,369.5,1679490.0
ADANIPORTS.EQ-NSE,2019-05-09,369.8,370.7,361.1,363.55,1311847.0
ADANIPORTS.EQ-NSE,2019-05-10,363.9,378.7,363.9,370.45,3026896.0
ADANIPORTS.EQ-NSE,2019-05-13,370.25,372.3,362.95,365.0,1517902.0
ADANIPORTS.EQ-NSE,2019-05-14,363.5,373.8,362.0,371.65,3048445.0
ADANIPORTS.EQ-NSE,2019-05-15,371.85,375.0,359.1,359.5,2496020.0
ADANIPORTS.EQ-NSE,2019-05-16,361.95,374.0,361.0,372.25,3154625.0
ADANIPORTS.EQ-NSE,2019-05-17,368.5,372.8,362.0,367.0,3054523.0
ADANIPORTS.EQ-NSE,2019-05-20,388.4,408.2,376.05,407.45,10954711.0
ADANIPORTS.EQ-NSE,2019-05-21,409.3,411.4,385.3,386.55,9095062.0
ADANIPORTS.EQ-NSE,2019-05-22,388.45,393.45,378.4,385.65,4533124.0
ADANIPORTS.EQ-NSE,2019-05-23,398.95,430.6,392.15,408.5,22992130.0
ADANIPORTS.EQ-NSE,2019-05-24,409.3,414.85,399.5,409.3,9256091.0
ADANIPORTS.EQ-NSE,2019-05-27,409.05,417.3,405.6,412.8,5079512.0
ADANIPORTS.EQ-NSE,2019-05-28,419.95,426.8,408.7,412.45,18251557.0
ADANIPORTS.EQ-NSE,2019-05-29,412.05,412.95,404.3,406.0,2503544.0
