Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ADANIPOWER.EQ-NSE,2019-01-01,51.0,51.15,50.45,50.9,6297772.0
ADANIPOWER.EQ-NSE,2019-01-02,50.85,51.05,50.2,50.55,6164445.0
ADANIPOWER.EQ-NSE,2019-01-03,50.65,50.85,48.8,50.05,7108324.0
ADANIPOWER.EQ-NSE,2019-01-04,50.4,50.65,49.7,50.2,9614011.0
ADANIPOWER.EQ-NSE,2019-01-07,50.75,50.8,49.55,50.0,8711020.0
ADANIPOWER.EQ-NSE,2019-01-08,50.25,52.6,49.75,51.4,14690240.0
ADANIPOWER.EQ-NSE,2019-01-09,51.75,51.9,50.4,50.7,7309270.0
ADANIPOWER.EQ-NSE,2019-01-10,50.8,51.0,50.2,50.45,3484966.0
ADANIPOWER.EQ-NSE,2019-01-11,50.65,50.7,49.85,49.85,2921570.0
ADANIPOWER.EQ-NSE,2019-01-14,50.25,50.35,49.4,49.5,5315840.0
ADANIPOWER.EQ-NSE,2019-01-15,49.85,51.3,49.8,49.95,9366424.0
ADANIPOWER.EQ-NSE,2019-01-16,50.2,50.45,49.2,49.75,5434681.0
ADANIPOWER.EQ-NSE,2019-01-17,50.0,51.35,49.3,51.3,10367249.0
ADANIPOWER.EQ-NSE,2019-01-18,51.75,52.1,50.05,50.2,11042313.0
ADANIPOWER.EQ-NSE,2019-01-21,50.2,51.4,49.25,49.55,13123460.0
ADANIPOWER.EQ-NSE,2019-01-22,49.55,52.2,49.55,51.55,14344793.0
ADANIPOWER.EQ-NSE,2019-01-23,51.8,52.5,51.35,51.45,10067952.0
ADANIPOWER.EQ-NSE,2019-01-24,51.8,52.7,51.4,51.6,9667401.0
ADANIPOWER.EQ-NSE,2019-01-25,51.9,52.15,48.25,49.0,14742797.0
ADANIPOWER.EQ-NSE,2019-01-28,48.9,50.5,39.0,40.4,50272726.0
ADANIPOWER.EQ-NSE,2019-01-29,40.0,44.0,39.8,42.75,32895908.0
ADANIPOWER.EQ-NSE,2019-01-30,43.1,45.25,42.8,44.8,16276069.0
ADANIPOWER.EQ-NSE,2019-01-31,45.0,46.5,43.05,46.3,17607301.0
ADANIPOWER.EQ-NSE,2019-02-01,46.5,46.85,41.85,44.2,10964753.0
ADANIPOWER.EQ-NSE,2019-02-04,44.2,44.3,38.65,39.55,21803309.0
ADANIPOWER.EQ-NSE,2019-02-05,39.35,40.7,36.4,37.55,15870663.0
ADANIPOWER.EQ-NSE,2019-02-06,38.0,38.65,34.6,37.95,29198726.0
ADANIPOWER.EQ-NSE,2019-02-07,37.6,37.6,35.35,36.35,16384459.0
ADANIPOWER.EQ-NSE,2019-02-08,35.95,37.05,35.2,35.5,9982265.0
ADANIPOWER.EQ-NSE,2019-02-11,35.8,36.15,33.35,34.9,11777458.0
ADANIPOWER.EQ-NSE,2019-02-12,34.7,35.4,33.6,33.7,6538384.0
ADANIPOWER.EQ-NSE,2019-02-13,34.25,37.5,33.25,36.85,24419844.0
ADANIPOWER.EQ-NSE,2019-02-14,36.6,37.55,35.05,37.05,9914261.0
ADANIPOWER.EQ-NSE,2019-02-15,37.0,40.3,36.3,39.25,15972572.0
ADANIPOWER.EQ-NSE,2019-02-18,39.3,39.7,37.05,37.4,8340050.0
