Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ADANIPOWER-I40PE,2019-01-02,0.55,0.55,0.55,0.55,20000.0,80000.0
ADANIPOWER-I45PE,2019-01-02,1.35,1.35,1.35,1.35,20000.0,60000.0
ADANIPOWER-I55CE,2019-01-02,2.0,2.0,1.1,1.2,240000.0,280000.0
ADANIPOWER-I45PE,2019-01-03,1.35,1.35,1.35,1.35,20000.0,60000.0
ADANIPOWER-I45PE,2019-01-08,1.35,1.35,1.35,1.35,20000.0,40000.0
ADANIPOWER-I55CE,2019-01-10,1.25,1.25,1.25,1.25,20000.0,280000.0
ADANIPOWER-I55CE,2019-01-14,1.0,1.1,1.0,1.1,40000.0,260000.0
ADANIPOWER-I40PE,2019-01-16,0.55,0.55,0.55,0.55,20000.0,60000.0
ADANIPOWER-I50CE,2019-01-17,1.2,2.2,1.2,2.2,40000.0,100000.0
ADANIPOWER-I55CE,2019-01-17,0.95,0.95,0.95,0.95,40000.0,240000.0
ADANIPOWER-I55CE,2019-01-18,0.3,0.3,0.3,0.3,20000.0,280000.0
ADANIPOWER-I55CE,2019-01-21,0.3,0.3,0.3,0.3,40000.0,240000.0
ADANIPOWER-I46PE,2019-01-24,0.3,0.3,0.3,0.3,20000.0,0.0
ADANIPOWER-I47PE,2019-01-24,0.4,0.4,0.4,0.4,20000.0,0.0
ADANIPOWER-I50PE,2019-01-24,2.25,2.25,0.9,0.9,540000.0,520000.0
ADANIPOWER-I55CE,2019-01-24,0.85,0.85,0.6,0.65,100000.0,300000.0
ADANIPOWER-I57CE,2019-01-24,0.35,0.35,0.35,0.35,20000.0,0.0
ADANIPOWER-I57.5CE,2019-01-24,0.3,0.3,0.3,0.3,20000.0,0.0
ADANIPOWER-I60CE,2019-01-24,0.8,0.8,0.15,0.15,160000.0,60000.0
ADANIPOWER-I50CE,2019-01-25,1.05,2.0,1.0,1.75,220000.0,100000.0
ADANIPOWER-I50PE,2019-01-25,0.35,2.6,0.35,2.0,1060000.0,140000.0
ADANIPOWER-I55CE,2019-01-25,0.6,0.6,0.2,0.2,160000.0,400000.0
ADANIPOWER-I60CE,2019-01-25,0.15,0.15,0.05,0.05,60000.0,160000.0
ADANIPOWER-I35PE,2019-01-28,1.0,1.0,1.0,1.0,20000.0,20000.0
ADANIPOWER-I40PE,2019-01-28,1.0,2.05,0.7,2.05,160000.0,100000.0
ADANIPOWER-I42PE,2019-01-28,1.6,1.6,1.6,1.6,20000.0,0.0
ADANIPOWER-I43CE,2019-01-28,1.75,1.75,1.75,1.75,20000.0,0.0
ADANIPOWER-I43PE,2019-01-28,2.9,2.9,2.9,2.9,20000.0,0.0
ADANIPOWER-I45CE,2019-01-28,0.6,0.6,0.6,0.6,40000.0,20000.0
ADANIPOWER-I50CE,2019-01-28,0.8,0.8,0.15,0.25,900000.0,660000.0
ADANIPOWER-I50PE,2019-01-28,6.3,11.3,5.9,11.3,160000.0,180000.0
ADANIPOWER-I55CE,2019-01-28,0.4,0.4,0.1,0.1,360000.0,400000.0
ADANIPOWER-I40PE,2019-01-29,1.0,1.0,0.5,0.5,40000.0,80000.0
ADANIPOWER-I50CE,2019-01-29,0.3,0.35,0.1,0.15,340000.0,520000.0
ADANIPOWER-I55CE,2019-01-29,0.05,0.05,0.05,0.05,40000.0,420000.0
ADANIPOWER-I40PE,2019-01-30,0.25,0.25,0.25,0.25,20000.0,60000.0
ADANIPOWER-I45CE,2019-01-30,1.0,1.0,1.0,1.0,20000.0,20000.0
ADANIPOWER-I50CE,2019-01-30,0.05,0.05,0.05,0.05,40000.0,420000.0
ADANIPOWER-I55CE,2019-01-30,0.05,0.05,0.05,0.05,20000.0,380000.0
ADANIPOWER-I40PE,2019-01-31,0.05,0.05,0.05,0.05,40000.0,40000.0
ADANIPOWER-I42PE,2019-01-31,0.05,0.05,0.05,0.05,20000.0,20000.0
ADANIPOWER-I43PE,2019-01-31,0.05,0.05,0.05,0.05,20000.0,20000.0
ADANIPOWER-I44PE,2019-01-31,0.05,0.05,0.05,0.05,20000.0,0.0
ADANIPOWER-I45PE,2019-01-31,0.3,0.3,0.05,0.05,40000.0,20000.0
ADANIPOWER-I46CE,2019-01-31,0.5,0.5,0.05,0.1,180000.0,100000.0
ADANIPOWER-I50CE,2019-01-31,0.05,0.05,0.05,0.05,20000.0,400000.0
ADANIPOWER-I50PE,2019-01-31,5.75,6.25,5.0,5.0,100000.0,80000.0
ADANIPOWER-I27.5PE,2019-02-01,0.1,0.1,0.1,0.1,20000.0,0.0
ADANIPOWER-I30PE,2019-02-01,0.1,0.25,0.1,0.25,40000.0,20000.0
ADANIPOWER-I32.5PE,2019-02-01,0.1,0.1,0.1,0.1,20000.0,0.0
ADANIPOWER-I35PE,2019-02-01,0.4,0.75,0.4,0.75,40000.0,40000.0
ADANIPOWER-I40PE,2019-02-01,1.2,2.75,1.2,2.75,160000.0,80000.0
ADANIPOWER-I45CE,2019-02-01,3.95,4.05,3.95,4.05,40000.0,20000.0
ADANIPOWER-I47.5CE,2019-02-01,2.25,2.95,2.1,2.95,160000.0,100000.0
ADANIPOWER-I50CE,2019-02-01,2.7,2.7,1.5,2.0,520000.0,240000.0
ADANIPOWER-I52.5CE,2019-02-01,1.65,1.7,0.8,0.8,100000.0,60000.0
ADANIPOWER-I55CE,2019-02-01,1.2,1.2,0.8,1.0,60000.0,40000.0
ADANIPOWER-I57.5CE,2019-02-01,0.8,0.8,0.45,0.7,100000.0,60000.0
ADANIPOWER-I60CE,2019-02-01,0.5,0.6,0.4,0.45,180000.0,140000.0
ADANIPOWER-I62.5CE,2019-02-01,0.2,0.2,0.2,0.2,20000.0,0.0
ADANIPOWER-I65CE,2019-02-01,0.85,0.85,0.1,0.25,60000.0,40000.0
ADANIPOWER-I67.5CE,2019-02-01,0.1,0.1,0.1,0.1,20000.0,0.0
ADANIPOWER-I70CE,2019-02-01,0.1,0.1,0.1,0.1,20000.0,0.0
ADANIPOWER-I27.5PE,2019-02-04,0.25,0.3,0.25,0.3,60000.0,40000.0
ADANIPOWER-I30PE,2019-02-04,1.4,1.4,0.6,0.6,40000.0,60000.0
ADANIPOWER-I35PE,2019-02-04,2.7,2.7,1.6,1.75,280000.0,180000.0
ADANIPOWER-I40CE,2019-02-04,4.0,4.1,4.0,4.1,40000.0,20000.0
ADANIPOWER-I40PE,2019-02-04,2.7,5.0,2.7,4.9,260000.0,100000.0
ADANIPOWER-I45CE,2019-02-04,2.7,2.7,2.0,2.05,380000.0,280000.0
ADANIPOWER-I47.5CE,2019-02-04,2.15,2.25,1.4,1.45,500000.0,380000.0
ADANIPOWER-I50CE,2019-02-04,1.55,1.6,0.9,1.0,860000.0,360000.0
ADANIPOWER-I52.5CE,2019-02-04,0.8,0.8,0.6,0.75,100000.0,60000.0
ADANIPOWER-I55CE,2019-02-04,0.6,0.6,0.4,0.6,180000.0,180000.0
ADANIPOWER-I57.5CE,2019-02-04,0.5,0.5,0.3,0.3,60000.0,80000.0
ADANIPOWER-I60CE,2019-02-04,0.4,0.4,0.2,0.2,340000.0,260000.0
ADANIPOWER-I62.5CE,2019-02-04,0.1,0.1,0.1,0.1,20000.0,20000.0
ADANIPOWER-I65CE,2019-02-04,0.1,0.1,0.1,0.1,20000.0,20000.0
ADANIPOWER-I27.5PE,2019-02-05,0.4,0.5,0.35,0.5,60000.0,80000.0
ADANIPOWER-I30PE,2019-02-05,0.7,1.35,0.7,1.05,280000.0,180000.0
ADANIPOWER-I35PE,2019-02-05,2.2,2.7,1.95,2.5,200000.0,220000.0
ADANIPOWER-I40CE,2019-02-05,3.0,3.0,2.3,2.5,160000.0,120000.0
ADANIPOWER-I40PE,2019-02-05,4.7,4.7,4.7,4.7,20000.0,80000.0
ADANIPOWER-I42.5CE,2019-02-05,1.65,1.8,1.55,1.55,60000.0,40000.0
ADANIPOWER-I45CE,2019-02-05,2.2,2.2,1.1,1.35,360000.0,420000.0
ADANIPOWER-I47.5CE,2019-02-05,1.6,1.65,0.9,0.9,140000.0,360000.0
ADANIPOWER-I50CE,2019-02-05,0.8,0.9,0.6,0.6,300000.0,380000.0
ADANIPOWER-I52.5CE,2019-02-05,0.4,0.4,0.4,0.4,40000.0,60000.0
ADANIPOWER-I55CE,2019-02-05,0.3,0.3,0.2,0.25,80000.0,200000.0
ADANIPOWER-I57.5CE,2019-02-05,0.2,0.2,0.15,0.15,40000.0,80000.0
ADANIPOWER-I60CE,2019-02-05,0.2,0.2,0.1,0.1,220000.0,180000.0
ADANIPOWER-I25PE,2019-02-06,0.4,0.45,0.25,0.25,300000.0,100000.0
ADANIPOWER-I27.5PE,2019-02-06,0.65,1.0,0.4,0.45,200000.0,100000.0
ADANIPOWER-I30PE,2019-02-06,1.35,1.6,0.65,0.75,2460000.0,500000.0
ADANIPOWER-I32.5PE,2019-02-06,2.25,2.25,2.25,2.25,20000.0,20000.0
ADANIPOWER-I35CE,2019-02-06,3.2,5.25,3.2,5.25,200000.0,100000.0
ADANIPOWER-I35PE,2019-02-06,3.4,3.4,1.75,1.75,880000.0,440000.0
