Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ALBK.EQ-NSE,2019-01-01,46.65,46.85,45.9,46.8,3588502.0
ALBK.EQ-NSE,2019-01-02,46.6,47.0,44.85,45.0,4602812.0
ALBK.EQ-NSE,2019-01-03,45.0,45.6,44.4,44.75,3138722.0
ALBK.EQ-NSE,2019-01-04,45.2,46.9,44.5,46.55,4784422.0
ALBK.EQ-NSE,2019-01-07,47.15,47.2,45.9,46.0,2540904.0
ALBK.EQ-NSE,2019-01-08,46.4,47.75,45.95,47.65,4462458.0
ALBK.EQ-NSE,2019-01-09,47.8,47.9,45.55,46.1,6017344.0
ALBK.EQ-NSE,2019-01-10,46.25,46.45,45.45,45.75,2147588.0
ALBK.EQ-NSE,2019-01-11,45.95,46.1,44.2,44.45,4738202.0
ALBK.EQ-NSE,2019-01-14,44.5,44.8,43.8,44.25,3104937.0
ALBK.EQ-NSE,2019-01-15,44.75,44.95,43.7,43.9,3127360.0
ALBK.EQ-NSE,2019-01-16,43.9,45.15,43.7,44.45,3568133.0
ALBK.EQ-NSE,2019-01-17,44.65,44.9,44.0,44.35,2800965.0
ALBK.EQ-NSE,2019-01-18,44.45,44.55,43.55,43.65,2402838.0
ALBK.EQ-NSE,2019-01-21,43.75,43.85,42.1,42.3,2776571.0
ALBK.EQ-NSE,2019-01-22,42.3,42.7,41.95,42.45,3791495.0
ALBK.EQ-NSE,2019-01-23,42.55,42.95,41.8,41.9,2154593.0
ALBK.EQ-NSE,2019-01-24,41.7,43.3,41.6,43.05,3511638.0
ALBK.EQ-NSE,2019-01-25,43.2,44.3,42.95,43.5,2879210.0
ALBK.EQ-NSE,2019-01-28,43.5,43.75,42.05,42.15,2926265.0
ALBK.EQ-NSE,2019-01-29,42.0,44.5,41.9,44.35,4171191.0
ALBK.EQ-NSE,2019-01-30,43.8,45.25,43.7,44.95,4055119.0
ALBK.EQ-NSE,2019-01-31,44.9,46.15,44.8,45.15,9509836.0
ALBK.EQ-NSE,2019-02-01,45.65,46.1,43.5,43.85,4844585.0
ALBK.EQ-NSE,2019-02-04,43.8,44.25,42.9,43.7,2477650.0
ALBK.EQ-NSE,2019-02-05,43.5,43.7,41.8,42.4,3087497.0
ALBK.EQ-NSE,2019-02-06,42.55,43.1,40.2,43.0,6709046.0
ALBK.EQ-NSE,2019-02-07,42.15,43.75,41.65,42.6,9589156.0
ALBK.EQ-NSE,2019-02-08,42.4,42.4,40.5,41.0,4460865.0
ALBK.EQ-NSE,2019-02-11,41.1,41.95,39.15,40.3,4827403.0
ALBK.EQ-NSE,2019-02-12,39.85,40.0,38.95,39.25,2790618.0
ALBK.EQ-NSE,2019-02-13,38.8,42.5,38.65,42.35,5394454.0
ALBK.EQ-NSE,2019-02-14,41.25,44.95,40.5,44.6,5077503.0
ALBK.EQ-NSE,2019-02-15,43.2,43.3,41.2,41.85,4565143.0
ALBK.EQ-NSE,2019-02-18,41.85,41.95,40.85,41.4,1932529.0
ALBK.EQ-NSE,2019-02-19,41.2,42.5,40.8,41.4,2317277.0
ALBK.EQ-NSE,2019-02-20,41.85,45.0,41.3,44.95,5995313.0
ALBK.EQ-NSE,2019-02-21,48.6,48.6,45.15,46.55,24276309.0
ALBK.EQ-NSE,2019-02-22,45.85,46.5,44.85,45.85,9244641.0
ALBK.EQ-NSE,2019-02-25,45.5,45.85,44.7,45.1,4676588.0
ALBK.EQ-NSE,2019-02-26,44.05,45.0,43.2,43.95,6914634.0
ALBK.EQ-NSE,2019-02-27,45.25,47.9,45.15,46.8,27514324.0
ALBK.EQ-NSE,2019-02-28,47.0,48.95,46.4,48.95,18626896.0
ALBK.EQ-NSE,2019-03-01,48.1,50.95,47.55,49.95,13654970.0
ALBK.EQ-NSE,2019-03-05,49.9,52.6,49.4,52.2,11270340.0
ALBK.EQ-NSE,2019-03-06,52.35,53.2,50.8,51.35,8045323.0
ALBK.EQ-NSE,2019-03-07,51.15,56.0,50.75,55.85,16995785.0
ALBK.EQ-NSE,2019-03-08,53.95,58.4,53.75,57.35,29078944.0
ALBK.EQ-NSE,2019-03-11,57.2,59.0,56.7,57.55,12323670.0
ALBK.EQ-NSE,2019-03-12,57.6,58.45,54.25,55.0,9970155.0
ALBK.EQ-NSE,2019-03-13,55.35,55.55,53.95,54.6,8054179.0
ALBK.EQ-NSE,2019-03-14,54.55,56.05,54.05,55.3,8278568.0
ALBK.EQ-NSE,2019-03-15,55.2,56.85,54.9,55.05,8029607.0
ALBK.EQ-NSE,2019-03-18,55.8,56.25,54.8,56.1,6340920.0
ALBK.EQ-NSE,2019-03-19,56.7,57.45,55.6,55.95,10026890.0
ALBK.EQ-NSE,2019-03-20,55.95,56.25,54.45,54.95,8419166.0
ALBK.EQ-NSE,2019-03-22,55.75,55.75,53.95,54.2,5965270.0
ALBK.EQ-NSE,2019-03-25,53.65,53.65,52.2,52.5,5495838.0
ALBK.EQ-NSE,2019-03-26,52.55,53.6,50.6,51.15,15039290.0
ALBK.EQ-NSE,2019-03-27,51.7,52.6,51.0,52.45,8684941.0
ALBK.EQ-NSE,2019-03-28,52.45,55.4,52.4,54.85,14030895.0
ALBK.EQ-NSE,2019-03-29,55.0,55.8,54.3,54.55,6814440.0
ALBK.EQ-NSE,2019-04-01,55.45,56.45,53.8,54.3,7788186.0
ALBK.EQ-NSE,2019-04-02,54.8,56.0,53.65,55.35,7310991.0
ALBK.EQ-NSE,2019-04-03,55.25,56.15,53.1,53.4,6357204.0
ALBK.EQ-NSE,2019-04-04,53.0,54.95,52.75,53.5,6970289.0
ALBK.EQ-NSE,2019-04-05,53.8,54.2,52.7,53.5,5521345.0
ALBK.EQ-NSE,2019-04-08,53.5,55.3,52.05,52.35,9773497.0
ALBK.EQ-NSE,2019-04-09,52.5,53.6,51.35,53.3,6705643.0
ALBK.EQ-NSE,2019-04-10,53.1,54.0,52.85,53.3,5017903.0
ALBK.EQ-NSE,2019-04-11,53.25,54.3,52.7,53.6,6260311.0
ALBK.EQ-NSE,2019-04-12,53.5,54.5,53.3,54.15,4550083.0
ALBK.EQ-NSE,2019-04-15,54.3,54.8,53.5,53.65,3249979.0
ALBK.EQ-NSE,2019-04-16,54.0,54.2,51.5,52.05,7814466.0
ALBK.EQ-NSE,2019-04-18,52.3,52.4,50.8,50.8,4809976.0
ALBK.EQ-NSE,2019-04-22,51.1,51.2,48.25,48.4,4988901.0
ALBK.EQ-NSE,2019-04-23,48.95,49.8,48.7,49.3,6274525.0
ALBK.EQ-NSE,2019-04-24,49.65,50.1,49.0,49.95,4556299.0
ALBK.EQ-NSE,2019-04-25,50.2,51.55,49.0,49.4,13172463.0
ALBK.EQ-NSE,2019-04-26,49.55,50.05,48.7,48.9,4822052.0
ALBK.EQ-NSE,2019-04-30,48.85,49.0,46.15,46.6,5631788.0
ALBK.EQ-NSE,2019-05-02,46.9,48.1,46.0,47.5,5228768.0
ALBK.EQ-NSE,2019-05-03,47.55,47.9,46.9,46.95,3774281.0
ALBK.EQ-NSE,2019-05-06,46.7,46.9,46.05,46.3,2686817.0
ALBK.EQ-NSE,2019-05-07,46.5,46.95,44.75,44.75,2796009.0
ALBK.EQ-NSE,2019-05-08,44.8,45.1,43.85,44.4,3953118.0
ALBK.EQ-NSE,2019-05-09,44.25,44.9,44.05,44.65,2933705.0
ALBK.EQ-NSE,2019-05-10,45.2,45.8,43.8,43.9,7080097.0
ALBK.EQ-NSE,2019-05-13,43.25,43.7,41.05,41.95,8696623.0
ALBK.EQ-NSE,2019-05-14,41.4,43.5,40.3,43.3,6170936.0
ALBK.EQ-NSE,2019-05-15,43.25,43.7,42.35,42.85,3888373.0
ALBK.EQ-NSE,2019-05-16,42.85,42.85,41.4,42.4,3407979.0
ALBK.EQ-NSE,2019-05-17,42.7,42.85,41.7,42.55,2601912.0
ALBK.EQ-NSE,2019-05-20,43.85,47.0,43.55,46.35,7030820.0
ALBK.EQ-NSE,2019-05-21,46.4,46.85,44.7,45.2,5111469.0
ALBK.EQ-NSE,2019-05-22,45.2,48.65,44.55,48.65,6823641.0
ALBK.EQ-NSE,2019-05-23,49.85,50.2,45.25,45.5,10083880.0
ALBK.EQ-NSE,2019-05-24,46.05,47.6,45.6,47.4,5800895.0
ALBK.EQ-NSE,2019-05-27,47.3,48.65,46.85,47.75,4728896.0
ALBK.EQ-NSE,2019-05-28,47.85,48.0,46.2,46.5,5091337.0
ALBK.EQ-NSE,2019-05-29,46.75,46.75,45.1,45.7,3250147.0
ALBK.EQ-NSE,2019-05-30,45.25,46.85,45.25,46.1,4379028.0
ALBK.EQ-NSE,2019-05-31,46.7,46.9,44.1,44.9,6007748.0
ALBK.EQ-NSE,2019-06-03,44.9,45.25,44.05,44.6,3304957.0
ALBK.EQ-NSE,2019-06-04,44.5,46.3,44.5,45.3,5728953.0
ALBK.EQ-NSE,2019-06-06,45.55,45.6,41.6,41.95,7422112.0
ALBK.EQ-NSE,2019-06-07,42.1,42.95,41.0,41.5,5013903.0
ALBK.EQ-NSE,2019-06-10,42.05,42.3,39.8,40.65,5377458.0
ALBK.EQ-NSE,2019-06-11,40.4,42.2,40.1,42.15,5047180.0
ALBK.EQ-NSE,2019-06-12,41.75,42.4,41.4,42.1,3444995.0
ALBK.EQ-NSE,2019-06-13,41.8,41.95,40.1,41.8,4663489.0
ALBK.EQ-NSE,2019-06-14,41.6,42.25,41.3,41.7,2774548.0
ALBK.EQ-NSE,2019-06-17,41.65,41.65,40.5,40.7,3319137.0
ALBK.EQ-NSE,2019-06-18,41.0,41.1,39.8,40.05,3843806.0
ALBK.EQ-NSE,2019-06-19,40.25,40.6,38.9,39.95,4557128.0
ALBK.EQ-NSE,2019-06-20,39.75,40.9,39.15,40.7,3120111.0
ALBK.EQ-NSE,2019-06-21,40.7,41.8,40.25,41.2,3216507.0
ALBK.EQ-NSE,2019-06-24,41.2,41.3,40.55,40.6,2142973.0
ALBK.EQ-NSE,2019-06-25,40.65,42.85,40.6,42.35,4198313.0
ALBK.EQ-NSE,2019-06-26,42.2,50.9,42.0,47.55,18134745.0
ALBK.EQ-NSE,2019-06-27,47.9,51.0,46.7,49.5,15765577.0
ALBK.EQ-NSE,2019-06-28,49.7,50.5,48.8,49.75,7007397.0
ALBK.EQ-NSE,2019-07-01,49.95,50.2,48.5,49.0,1985197.0
ALBK.EQ-NSE,2019-07-02,49.1,49.2,43.65,46.3,5358985.0
ALBK.EQ-NSE,2019-07-03,46.1,49.6,45.1,48.95,5894318.0
ALBK.EQ-NSE,2019-07-04,49.8,51.5,49.8,50.65,7208498.0
ALBK.EQ-NSE,2019-07-05,50.95,51.7,47.5,48.1,6916788.0
ALBK.EQ-NSE,2019-07-08,48.45,48.45,45.8,47.0,3046569.0
ALBK.EQ-NSE,2019-07-09,46.45,49.5,45.8,49.4,3526350.0
ALBK.EQ-NSE,2019-07-10,49.0,49.35,46.8,47.3,3103412.0
ALBK.EQ-NSE,2019-07-11,47.85,48.3,47.2,47.5,2138756.0
ALBK.EQ-NSE,2019-07-12,47.6,47.7,46.8,46.9,1885020.0
ALBK.EQ-NSE,2019-07-15,42.25,44.4,40.35,43.5,15203294.0
ALBK.EQ-NSE,2019-07-16,43.4,44.9,43.2,44.15,2645529.0
ALBK.EQ-NSE,2019-07-17,44.4,44.5,43.3,43.3,2044748.0
ALBK.EQ-NSE,2019-07-18,43.0,43.0,41.5,41.85,3079797.0
ALBK.EQ-NSE,2019-07-19,42.2,42.2,40.5,40.8,1923266.0
ALBK.EQ-NSE,2019-07-22,41.0,41.8,40.3,40.8,1798716.0
ALBK.EQ-NSE,2019-07-23,41.1,41.4,40.1,40.45,1849049.0
ALBK.EQ-NSE,2019-07-24,40.6,40.85,39.65,39.8,2040032.0
ALBK.EQ-NSE,2019-07-25,39.9,40.9,39.2,40.15,2556567.0
ALBK.EQ-NSE,2019-07-26,40.2,41.05,39.7,40.05,1694569.0
ALBK.EQ-NSE,2019-07-29,40.0,40.3,39.55,39.75,987358.0
ALBK.EQ-NSE,2019-07-30,39.75,40.35,38.9,38.95,1210525.0
ALBK.EQ-NSE,2019-07-31,38.95,41.15,36.3,36.9,6075879.0
ALBK.EQ-NSE,2019-08-01,37.15,37.95,37.0,37.6,2216056.0
ALBK.EQ-NSE,2019-08-02,37.55,38.25,37.1,37.55,1567337.0
