Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ALOKTEXT.EQ-NSE,2019-01-01,4.0,4.05,4.0,4.05,1182696.0
ALOKTEXT.EQ-NSE,2019-01-02,4.2,4.25,4.0,4.15,6163550.0
ALOKTEXT.EQ-NSE,2019-01-03,4.1,4.1,3.9,3.95,2266348.0
ALOKTEXT.EQ-NSE,2019-01-04,3.9,4.0,3.9,3.95,1174602.0
ALOKTEXT.EQ-NSE,2019-01-07,3.95,4.05,3.8,3.85,3003440.0
ALOKTEXT.EQ-NSE,2019-01-08,3.8,4.0,3.8,3.95,1496503.0
ALOKTEXT.EQ-NSE,2019-01-09,4.0,4.0,3.85,3.9,1492299.0
ALOKTEXT.EQ-NSE,2019-01-10,3.85,3.9,3.75,3.8,1226664.0
ALOKTEXT.EQ-NSE,2019-01-11,3.75,3.8,3.7,3.8,1696137.0
ALOKTEXT.EQ-NSE,2019-01-14,3.75,3.75,3.7,3.7,756996.0
ALOKTEXT.EQ-NSE,2019-01-15,3.7,3.75,3.6,3.65,1621642.0
ALOKTEXT.EQ-NSE,2019-01-16,3.7,3.75,3.6,3.7,1473636.0
ALOKTEXT.EQ-NSE,2019-01-17,3.65,3.7,3.6,3.7,744263.0
ALOKTEXT.EQ-NSE,2019-01-18,3.6,3.7,3.6,3.7,1266395.0
ALOKTEXT.EQ-NSE,2019-01-21,3.7,3.8,3.65,3.8,1905189.0
ALOKTEXT.EQ-NSE,2019-01-22,3.95,3.95,3.75,3.95,2580380.0
ALOKTEXT.EQ-NSE,2019-01-23,3.9,3.9,3.8,3.9,1058854.0
ALOKTEXT.EQ-NSE,2019-01-24,3.9,3.95,3.7,3.75,2263429.0
ALOKTEXT.EQ-NSE,2019-01-25,3.75,3.8,3.7,3.75,2450164.0
ALOKTEXT.EQ-NSE,2019-01-28,3.7,3.8,3.6,3.65,2425708.0
ALOKTEXT.EQ-NSE,2019-01-29,3.6,3.75,3.55,3.7,2019638.0
ALOKTEXT.EQ-NSE,2019-01-30,3.8,3.85,3.75,3.85,2300425.0
ALOKTEXT.EQ-NSE,2019-01-31,4.0,4.0,3.85,3.85,2197016.0
ALOKTEXT.EQ-NSE,2019-02-01,3.95,4.0,3.75,3.8,2146642.0
ALOKTEXT.EQ-NSE,2019-02-04,3.8,3.85,3.65,3.65,3310496.0
ALOKTEXT.EQ-NSE,2019-02-05,3.5,3.6,3.5,3.5,4992396.0
ALOKTEXT.EQ-NSE,2019-02-06,3.5,3.55,3.4,3.4,2317960.0
ALOKTEXT.EQ-NSE,2019-02-07,3.4,3.7,3.15,3.7,4067511.0
ALOKTEXT.EQ-NSE,2019-02-08,3.8,3.85,3.6,3.65,1560989.0
ALOKTEXT.EQ-NSE,2019-02-11,3.6,3.65,3.55,3.55,1406327.0
ALOKTEXT.EQ-NSE,2019-02-12,3.6,3.6,3.3,3.4,1380255.0
ALOKTEXT.EQ-NSE,2019-02-13,3.3,3.5,3.25,3.4,2676772.0
ALOKTEXT.EQ-NSE,2019-02-14,3.4,3.5,3.3,3.35,1757854.0
ALOKTEXT.EQ-NSE,2019-02-15,3.3,3.4,3.2,3.25,1754506.0
ALOKTEXT.EQ-NSE,2019-02-18,3.2,3.45,3.1,3.35,2499250.0
ALOKTEXT.EQ-NSE,2019-02-19,3.4,3.6,3.3,3.5,2149377.0
ALOKTEXT.EQ-NSE,2019-02-20,3.55,3.55,3.4,3.5,1245530.0
ALOKTEXT.EQ-NSE,2019-02-21,3.4,3.6,3.4,3.55,1099168.0
ALOKTEXT.EQ-NSE,2019-02-22,3.55,3.55,3.45,3.5,1029053.0
ALOKTEXT.EQ-NSE,2019-02-25,3.5,3.5,3.35,3.4,1845185.0
ALOKTEXT.EQ-NSE,2019-02-26,3.3,3.4,3.25,3.3,1035786.0
ALOKTEXT.EQ-NSE,2019-02-27,3.3,3.5,3.2,3.3,2901963.0
ALOKTEXT.EQ-NSE,2019-02-28,3.35,3.45,3.25,3.4,1433936.0
ALOKTEXT.EQ-NSE,2019-03-01,3.45,3.65,3.4,3.65,1784866.0
ALOKTEXT.EQ-NSE,2019-03-05,3.6,3.8,3.55,3.7,2244886.0
ALOKTEXT.EQ-NSE,2019-03-06,3.65,3.8,3.65,3.75,2257297.0
ALOKTEXT.EQ-NSE,2019-03-07,3.7,3.75,3.65,3.7,833184.0
ALOKTEXT.EQ-NSE,2019-03-08,3.75,3.95,3.75,3.8,3222295.0
ALOKTEXT.EQ-NSE,2019-03-11,4.2,4.2,4.2,4.2,2562440.0
ALOKTEXT.EQ-NSE,2019-03-12,4.6,4.6,4.6,4.6,1799450.0
ALOKTEXT.EQ-NSE,2019-03-13,4.9,5.05,4.65,5.05,28320861.0
ALOKTEXT.EQ-NSE,2019-03-14,5.3,5.3,5.2,5.3,8528647.0
ALOKTEXT.EQ-NSE,2019-03-15,5.55,5.55,5.55,5.55,5288102.0
ALOKTEXT.EQ-NSE,2019-03-18,5.8,5.8,5.8,5.8,3568439.0
ALOKTEXT.EQ-NSE,2019-03-19,6.05,6.05,6.05,6.05,4291547.0
ALOKTEXT.EQ-NSE,2019-03-20,6.35,6.35,6.35,6.35,3868875.0
ALOKTEXT.EQ-NSE,2019-03-22,6.65,6.65,6.05,6.05,18485915.0
ALOKTEXT.EQ-NSE,2019-03-25,5.75,5.75,5.75,5.75,893257.0
ALOKTEXT.EQ-NSE,2019-03-26,5.5,5.5,5.5,5.5,302070.0
ALOKTEXT.EQ-NSE,2019-03-27,5.25,5.25,5.25,5.25,527156.0
ALOKTEXT.EQ-NSE,2019-03-28,5.0,5.0,5.0,5.0,350482.0
ALOKTEXT.EQ-NSE,2019-03-29,4.75,4.75,4.75,4.75,373937.0
ALOKTEXT.EQ-NSE,2019-04-01,4.55,4.95,4.55,4.95,13757434.0
ALOKTEXT.EQ-NSE,2019-04-02,5.15,5.15,4.95,5.15,6515963.0
ALOKTEXT.EQ-NSE,2019-04-03,5.0,5.25,4.9,5.15,7235198.0
ALOKTEXT.EQ-NSE,2019-04-04,5.15,5.25,4.9,5.0,3864198.0
ALOKTEXT.EQ-NSE,2019-04-05,5.0,5.0,4.75,4.85,1735766.0
ALOKTEXT.EQ-NSE,2019-04-08,4.8,4.9,4.6,4.6,2209889.0
ALOKTEXT.EQ-NSE,2019-04-09,4.6,4.6,4.4,4.4,2009992.0
ALOKTEXT.EQ-NSE,2019-04-10,4.25,4.6,4.2,4.6,2792162.0
ALOKTEXT.EQ-NSE,2019-04-11,4.6,4.65,4.4,4.5,1884702.0
ALOKTEXT.EQ-NSE,2019-04-12,4.55,4.55,4.4,4.5,1811386.0
ALOKTEXT.EQ-NSE,2019-04-15,4.55,4.65,4.45,4.55,1836159.0
ALOKTEXT.EQ-NSE,2019-04-16,4.55,4.6,4.3,4.3,2523396.0
ALOKTEXT.EQ-NSE,2019-04-18,4.55,4.55,4.3,4.55,4989386.0
ALOKTEXT.EQ-NSE,2019-04-22,4.6,4.6,4.4,4.6,4978389.0
ALOKTEXT.EQ-NSE,2019-04-23,4.5,4.55,4.4,4.5,2666908.0
ALOKTEXT.EQ-NSE,2019-04-24,4.55,4.55,4.3,4.4,3005935.0
ALOKTEXT.EQ-NSE,2019-04-25,4.45,4.45,4.2,4.25,1747876.0
ALOKTEXT.EQ-NSE,2019-04-26,4.2,4.25,4.0,4.0,4139589.0
ALOKTEXT.EQ-NSE,2019-04-30,3.85,3.95,3.8,3.8,2875830.0
ALOKTEXT.EQ-NSE,2019-05-02,3.65,3.75,3.65,3.65,3576089.0
ALOKTEXT.EQ-NSE,2019-05-03,3.65,3.65,3.5,3.5,3394662.0
ALOKTEXT.EQ-NSE,2019-05-06,3.35,3.35,3.35,3.35,1066793.0
ALOKTEXT.EQ-NSE,2019-05-07,3.2,3.5,3.2,3.5,1287847.0
ALOKTEXT.EQ-NSE,2019-05-08,3.65,3.65,3.65,3.65,824591.0
ALOKTEXT.EQ-NSE,2019-05-09,3.8,3.8,3.8,3.8,482553.0
ALOKTEXT.EQ-NSE,2019-05-10,3.95,3.95,3.95,3.95,305726.0
ALOKTEXT.EQ-NSE,2019-05-13,4.1,4.1,3.8,4.05,4973032.0
ALOKTEXT.EQ-NSE,2019-05-14,3.9,4.05,3.85,4.0,1608104.0
ALOKTEXT.EQ-NSE,2019-05-15,3.95,4.1,3.95,3.95,1131654.0
ALOKTEXT.EQ-NSE,2019-05-16,4.0,4.05,3.85,4.0,1003060.0
ALOKTEXT.EQ-NSE,2019-05-17,4.05,4.1,3.85,4.05,2157637.0
ALOKTEXT.EQ-NSE,2019-05-20,4.2,4.2,3.9,4.05,3342943.0
ALOKTEXT.EQ-NSE,2019-05-21,4.05,4.1,3.8,3.9,1991395.0
ALOKTEXT.EQ-NSE,2019-05-22,3.95,3.95,3.75,3.9,1873171.0
ALOKTEXT.EQ-NSE,2019-05-23,3.9,3.9,3.7,3.85,1534793.0
ALOKTEXT.EQ-NSE,2019-05-24,4.0,4.0,3.8,3.95,1827693.0
ALOKTEXT.EQ-NSE,2019-05-27,3.95,4.05,3.8,3.9,1704933.0
ALOKTEXT.EQ-NSE,2019-05-28,3.9,3.9,3.8,3.85,1191290.0
ALOKTEXT.EQ-NSE,2019-05-29,3.9,3.95,3.8,3.95,1735092.0
ALOKTEXT.EQ-NSE,2019-05-30,4.0,4.0,3.8,3.85,1076230.0
