Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
AMTEKAUTO.EQ-NSE,2019-01-07,3.25,3.25,3.1,3.1,53519.0
AMTEKAUTO.EQ-NSE,2019-01-14,3.1,3.1,2.95,2.95,60306.0
AMTEKAUTO.EQ-NSE,2019-01-21,2.95,3.05,2.85,3.05,82609.0
AMTEKAUTO.EQ-NSE,2019-01-28,2.9,3.2,2.9,3.0,54146.0
AMTEKAUTO.EQ-NSE,2019-02-04,3.05,3.05,2.85,2.85,125196.0
AMTEKAUTO.EQ-NSE,2019-02-11,2.75,2.75,2.75,2.75,57587.0
AMTEKAUTO.EQ-NSE,2019-02-18,2.75,2.85,2.65,2.65,145006.0
AMTEKAUTO.EQ-NSE,2019-02-25,2.8,2.8,2.6,2.8,152931.0
AMTEKAUTO.EQ-NSE,2019-03-05,2.9,2.9,2.85,2.9,41020.0
AMTEKAUTO.EQ-NSE,2019-03-11,2.8,3.0,2.8,3.0,15597.0
AMTEKAUTO.EQ-NSE,2019-03-18,3.0,3.0,2.8,2.8,61855.0
AMTEKAUTO.EQ-NSE,2019-03-25,2.75,2.9,2.75,2.75,92840.0
AMTEKAUTO.EQ-NSE,2019-04-01,2.65,2.85,2.65,2.75,138540.0
