Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ANDHRABANK.EQ-NSE,2019-01-01,29.6,29.9,29.1,29.85,869062.0
ANDHRABANK.EQ-NSE,2019-01-02,29.95,30.05,29.55,29.6,1083847.0
ANDHRABANK.EQ-NSE,2019-01-03,29.5,29.65,28.7,28.8,909992.0
ANDHRABANK.EQ-NSE,2019-01-04,29.05,30.0,28.8,29.85,974478.0
ANDHRABANK.EQ-NSE,2019-01-07,30.0,30.6,29.65,29.7,1033094.0
ANDHRABANK.EQ-NSE,2019-01-08,29.9,30.35,29.6,30.2,863772.0
ANDHRABANK.EQ-NSE,2019-01-09,30.5,30.55,29.4,29.85,939344.0
ANDHRABANK.EQ-NSE,2019-01-10,30.0,30.0,29.4,29.55,608621.0
ANDHRABANK.EQ-NSE,2019-01-11,29.65,29.85,29.3,29.4,368927.0
ANDHRABANK.EQ-NSE,2019-01-14,29.4,29.6,29.15,29.4,402524.0
ANDHRABANK.EQ-NSE,2019-01-15,29.45,29.55,28.75,28.8,690134.0
ANDHRABANK.EQ-NSE,2019-01-16,28.85,29.35,28.75,29.2,638998.0
ANDHRABANK.EQ-NSE,2019-01-17,29.3,29.35,28.55,28.7,664063.0
ANDHRABANK.EQ-NSE,2019-01-18,28.85,28.85,28.5,28.6,347583.0
ANDHRABANK.EQ-NSE,2019-01-21,28.8,28.8,27.8,27.9,460608.0
ANDHRABANK.EQ-NSE,2019-01-22,27.9,27.9,27.3,27.55,528535.0
ANDHRABANK.EQ-NSE,2019-01-23,27.7,27.85,26.9,27.1,677185.0
ANDHRABANK.EQ-NSE,2019-01-24,27.3,27.3,26.75,27.0,462382.0
ANDHRABANK.EQ-NSE,2019-01-25,27.0,27.25,26.3,26.45,824161.0
ANDHRABANK.EQ-NSE,2019-01-28,26.4,26.4,26.0,26.15,646332.0
ANDHRABANK.EQ-NSE,2019-01-29,26.2,26.6,25.8,26.1,1010955.0
ANDHRABANK.EQ-NSE,2019-01-30,26.1,26.2,25.75,25.8,682821.0
ANDHRABANK.EQ-NSE,2019-01-31,25.9,26.1,24.85,25.05,1492088.0
ANDHRABANK.EQ-NSE,2019-02-01,25.45,25.8,25.15,25.45,851736.0
ANDHRABANK.EQ-NSE,2019-02-04,25.7,25.7,24.85,24.95,616942.0
