Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
APLLTD-I1000CE,2021-02-26,3.05,3.05,3.05,3.05,550.0,0.0
APLLTD-I800PE,2021-03-01,19.0,19.0,3.5,5.0,18150.0,1650.0
APLLTD-I840PE,2021-03-01,9.0,10.45,9.0,10.45,2200.0,1650.0
APLLTD-I860PE,2021-03-01,10.0,14.95,10.0,12.1,7150.0,4950.0
APLLTD-I880PE,2021-03-01,20.0,20.0,20.0,20.0,1100.0,550.0
APLLTD-I900PE,2021-03-01,29.65,32.0,21.25,21.25,2200.0,1100.0
APLLTD-I1000CE,2021-03-01,17.0,17.0,11.5,12.55,8800.0,4400.0
APLLTD-I1020CE,2021-03-01,10.0,11.5,10.0,11.5,3300.0,2750.0
APLLTD-I800PE,2021-03-02,3.75,6.45,3.75,5.95,6050.0,4400.0
APLLTD-I840PE,2021-03-02,9.0,12.0,9.0,12.0,6050.0,3850.0
APLLTD-I860PE,2021-03-02,11.45,16.95,11.45,14.1,13200.0,7700.0
APLLTD-I880PE,2021-03-02,22.95,23.0,21.1,21.1,2750.0,1100.0
APLLTD-I900PE,2021-03-02,22.0,29.05,22.0,29.05,3850.0,3850.0
APLLTD-I1000CE,2021-03-02,21.45,30.0,18.5,29.95,141900.0,35750.0
APLLTD-I1020CE,2021-03-02,14.95,24.0,13.6,24.0,8250.0,6050.0
APLLTD-I1040CE,2021-03-02,9.0,14.0,9.0,14.0,3850.0,3300.0
APLLTD-I1060CE,2021-03-02,9.0,12.0,9.0,12.0,2200.0,550.0
APLLTD-I1080CE,2021-03-02,9.0,11.5,9.0,11.5,1650.0,0.0
APLLTD-I1100CE,2021-03-02,9.0,11.0,9.0,10.0,2200.0,0.0
APLLTD-I800PE,2021-03-03,5.25,5.6,5.0,5.55,4400.0,7150.0
APLLTD-I840PE,2021-03-03,10.0,11.0,10.0,11.0,1650.0,6050.0
APLLTD-I860PE,2021-03-03,15.95,22.0,12.05,15.1,2750.0,11550.0
APLLTD-I880PE,2021-03-03,18.95,23.0,18.95,23.0,2200.0,3850.0
APLLTD-I900CE,2021-03-03,80.0,80.0,80.0,80.0,550.0,0.0
APLLTD-I900PE,2021-03-03,24.9,31.05,23.75,28.95,6600.0,5500.0
APLLTD-I920PE,2021-03-03,34.5,37.6,34.5,37.6,1100.0,0.0
APLLTD-I980CE,2021-03-03,29.7,30.0,20.15,22.3,4950.0,2200.0
APLLTD-I1000CE,2021-03-03,30.05,30.05,21.05,23.0,125400.0,73700.0
APLLTD-I1020CE,2021-03-03,24.0,24.0,18.7,21.45,7700.0,6050.0
APLLTD-I1040CE,2021-03-03,19.0,19.0,16.95,16.95,2200.0,4400.0
APLLTD-I1100CE,2021-03-03,9.0,9.0,8.0,8.0,3300.0,3850.0
APLLTD-I800PE,2021-03-04,6.0,6.0,4.5,5.1,4400.0,10450.0
APLLTD-I840PE,2021-03-04,11.0,12.0,10.0,12.0,3300.0,8800.0
APLLTD-I860PE,2021-03-04,15.0,15.0,15.0,15.0,1100.0,12650.0
APLLTD-I900PE,2021-03-04,31.5,31.5,29.7,30.0,3300.0,5500.0
APLLTD-I980CE,2021-03-04,22.05,32.0,22.05,23.35,4400.0,2750.0
APLLTD-I1000CE,2021-03-04,20.35,26.0,16.65,19.0,80300.0,74250.0
APLLTD-I1020CE,2021-03-04,15.1,20.0,15.0,15.0,2200.0,7700.0
APLLTD-I1040CE,2021-03-04,12.7,17.95,12.7,17.95,1650.0,6050.0
APLLTD-I1100CE,2021-03-04,8.0,8.0,8.0,8.0,550.0,4400.0
APLLTD-I800PE,2021-03-05,5.5,6.0,5.5,6.0,3300.0,11550.0
APLLTD-I840PE,2021-03-05,12.0,13.0,12.0,13.0,2200.0,12650.0
APLLTD-I860PE,2021-03-05,16.05,16.1,16.05,16.1,1100.0,12100.0
APLLTD-I880PE,2021-03-05,22.55,23.5,22.15,23.0,3300.0,4950.0
APLLTD-I900PE,2021-03-05,31.0,33.0,31.0,33.0,1650.0,6600.0
APLLTD-I960CE,2021-03-05,21.7,27.7,21.7,27.7,1100.0,550.0
APLLTD-I980CE,2021-03-05,26.05,26.05,26.0,26.0,1100.0,2750.0
APLLTD-I1000CE,2021-03-05,20.0,22.2,13.0,13.0,32450.0,76450.0
APLLTD-I1040CE,2021-03-05,10.0,10.2,7.5,7.5,4950.0,7150.0
APLLTD-I1060CE,2021-03-05,12.0,12.0,4.1,4.1,1650.0,2200.0
APLLTD-I1080CE,2021-03-05,5.0,5.0,5.0,5.0,550.0,1650.0
APLLTD-I1100CE,2021-03-05,6.0,6.0,6.0,6.0,550.0,4400.0
APLLTD-I840PE,2021-03-08,11.0,11.0,11.0,11.0,550.0,13200.0
APLLTD-I860PE,2021-03-08,13.4,13.4,13.4,13.4,550.0,12650.0
APLLTD-I880PE,2021-03-08,22.65,22.65,22.35,22.35,1100.0,6050.0
APLLTD-I900CE,2021-03-08,52.85,52.85,52.85,52.85,1100.0,1100.0
APLLTD-I900PE,2021-03-08,30.0,31.35,30.0,31.35,1100.0,7700.0
