Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
APOLLOHOSP-I1160PE,2019-01-01,15.55,15.55,15.55,15.55,500.0,3500.0
APOLLOHOSP-I1180PE,2019-01-01,19.05,19.05,17.05,17.05,1000.0,2500.0
APOLLOHOSP-I1200PE,2019-01-01,29.0,29.0,24.5,26.8,26500.0,63000.0
APOLLOHOSP-I1220PE,2019-01-01,32.0,32.2,31.45,31.45,1500.0,5500.0
APOLLOHOSP-I1240PE,2019-01-01,41.85,42.25,39.0,39.0,2000.0,5000.0
APOLLOHOSP-I1260CE,2019-01-01,60.75,60.75,55.35,55.35,3000.0,6500.0
APOLLOHOSP-I1260PE,2019-01-01,51.0,51.0,44.1,44.1,3000.0,3000.0
APOLLOHOSP-I1280CE,2019-01-01,43.5,52.0,43.5,45.3,9500.0,10500.0
APOLLOHOSP-I1280PE,2019-01-01,57.0,57.0,57.0,57.0,500.0,1500.0
APOLLOHOSP-I1300CE,2019-01-01,38.5,42.0,35.05,39.1,16000.0,16500.0
APOLLOHOSP-I1320CE,2019-01-01,33.15,34.0,29.8,32.0,5000.0,13000.0
APOLLOHOSP-I1360CE,2019-01-01,21.0,21.0,18.0,18.0,1500.0,5500.0
APOLLOHOSP-I1380CE,2019-01-01,16.5,16.5,15.0,15.0,1000.0,20000.0
APOLLOHOSP-I1400CE,2019-01-01,11.0,11.8,11.0,11.8,1500.0,5000.0
APOLLOHOSP-I1160PE,2019-01-02,16.0,17.0,14.1,17.0,4500.0,7000.0
APOLLOHOSP-I1180PE,2019-01-02,17.25,24.05,17.05,24.05,5500.0,3000.0
APOLLOHOSP-I1200PE,2019-01-02,25.35,30.25,21.4,26.45,41500.0,63500.0
APOLLOHOSP-I1220PE,2019-01-02,30.0,36.95,27.5,33.85,6000.0,7000.0
APOLLOHOSP-I1240CE,2019-01-02,83.8,83.8,75.0,75.0,1000.0,7500.0
APOLLOHOSP-I1240PE,2019-01-02,37.85,37.85,37.85,37.85,500.0,5000.0
APOLLOHOSP-I1260CE,2019-01-02,54.0,70.65,54.0,63.05,4500.0,5500.0
APOLLOHOSP-I1260PE,2019-01-02,46.2,51.0,40.7,51.0,5000.0,4500.0
APOLLOHOSP-I1280CE,2019-01-02,43.55,61.0,42.25,44.0,63500.0,22000.0
APOLLOHOSP-I1280PE,2019-01-02,52.15,64.3,51.4,63.7,4500.0,3000.0
APOLLOHOSP-I1300CE,2019-01-02,36.25,50.9,33.85,34.65,54000.0,19000.0
APOLLOHOSP-I1320CE,2019-01-02,36.05,42.0,28.65,28.65,14000.0,13500.0
APOLLOHOSP-I1340CE,2019-01-02,30.65,34.8,23.05,23.05,6000.0,4500.0
APOLLOHOSP-I1360CE,2019-01-02,23.2,26.4,18.0,18.0,3000.0,6500.0
APOLLOHOSP-I1380CE,2019-01-02,16.0,20.7,14.1,14.1,4000.0,21500.0
APOLLOHOSP-I1400CE,2019-01-02,10.0,17.0,10.0,13.8,10000.0,10000.0
APOLLOHOSP-I1420CE,2019-01-02,8.85,8.85,8.85,8.85,500.0,1500.0
APOLLOHOSP-I1440CE,2019-01-02,6.05,8.0,6.05,8.0,1500.0,1000.0
APOLLOHOSP-I1460CE,2019-01-02,8.2,8.2,8.2,8.2,2000.0,0.0
APOLLOHOSP-I1160PE,2019-01-03,14.0,14.0,14.0,14.0,500.0,7500.0
APOLLOHOSP-I1200PE,2019-01-03,27.65,27.65,23.25,24.5,13000.0,59500.0
APOLLOHOSP-I1220PE,2019-01-03,30.7,31.0,28.95,28.95,4000.0,9000.0
APOLLOHOSP-I1240PE,2019-01-03,37.85,40.3,37.85,40.3,1000.0,5500.0
APOLLOHOSP-I1260CE,2019-01-03,60.05,60.3,54.0,54.0,2000.0,5500.0
APOLLOHOSP-I1260PE,2019-01-03,47.75,52.2,42.0,48.8,6000.0,3500.0
APOLLOHOSP-I1280CE,2019-01-03,43.25,50.95,42.25,42.5,41500.0,22500.0
APOLLOHOSP-I1280PE,2019-01-03,60.3,60.3,58.1,58.1,1500.0,2500.0
APOLLOHOSP-I1300CE,2019-01-03,35.6,41.5,34.65,35.0,20000.0,21000.0
APOLLOHOSP-I1320CE,2019-01-03,33.0,33.0,30.0,30.0,1500.0,13500.0
APOLLOHOSP-I1340CE,2019-01-03,20.2,20.2,20.2,20.2,500.0,4000.0
APOLLOHOSP-I1360CE,2019-01-03,18.0,18.0,18.0,18.0,500.0,6000.0
APOLLOHOSP-I1480CE,2019-01-03,3.35,4.0,3.35,4.0,1000.0,500.0
