Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
APOLLOTYRE-I200PE,2019-01-01,0.6,0.8,0.6,0.8,9000.0,30000.0
APOLLOTYRE-I210PE,2019-01-01,1.2,1.65,1.15,1.5,114000.0,84000.0
APOLLOTYRE-I215PE,2019-01-01,1.9,2.3,1.9,2.2,30000.0,24000.0
APOLLOTYRE-I220PE,2019-01-01,3.0,3.4,2.7,3.3,123000.0,171000.0
APOLLOTYRE-I225PE,2019-01-01,4.2,4.7,4.05,4.65,135000.0,108000.0
APOLLOTYRE-I230CE,2019-01-01,12.45,12.45,11.0,12.0,15000.0,45000.0
APOLLOTYRE-I230PE,2019-01-01,5.8,6.75,5.5,6.5,549000.0,282000.0
APOLLOTYRE-I235CE,2019-01-01,9.5,9.75,8.35,8.7,48000.0,84000.0
APOLLOTYRE-I235PE,2019-01-01,8.45,9.0,7.9,8.3,54000.0,42000.0
APOLLOTYRE-I240CE,2019-01-01,7.8,7.8,6.0,6.85,480000.0,252000.0
APOLLOTYRE-I240PE,2019-01-01,11.15,11.4,10.45,11.2,30000.0,42000.0
APOLLOTYRE-I245CE,2019-01-01,5.0,5.35,4.55,4.8,51000.0,84000.0
APOLLOTYRE-I250CE,2019-01-01,4.1,4.1,3.3,3.6,114000.0,189000.0
APOLLOTYRE-I250PE,2019-01-01,18.0,18.0,18.0,18.0,3000.0,6000.0
APOLLOTYRE-I255CE,2019-01-01,3.15,3.15,2.55,2.6,24000.0,51000.0
APOLLOTYRE-I260CE,2019-01-01,1.95,2.0,1.7,1.8,108000.0,165000.0
APOLLOTYRE-I270CE,2019-01-01,1.0,1.0,0.85,0.85,33000.0,42000.0
APOLLOTYRE-I200PE,2019-01-02,0.85,0.9,0.6,0.75,39000.0,45000.0
APOLLOTYRE-I210PE,2019-01-02,1.5,1.9,1.5,1.8,18000.0,87000.0
APOLLOTYRE-I215PE,2019-01-02,2.2,2.6,2.2,2.5,21000.0,36000.0
APOLLOTYRE-I220PE,2019-01-02,3.35,4.45,2.9,3.9,357000.0,198000.0
APOLLOTYRE-I225PE,2019-01-02,5.1,6.05,4.3,5.7,168000.0,111000.0
APOLLOTYRE-I230CE,2019-01-02,11.25,12.4,8.55,9.9,81000.0,51000.0
APOLLOTYRE-I230PE,2019-01-02,7.0,8.4,6.0,7.6,1020000.0,228000.0
APOLLOTYRE-I235CE,2019-01-02,8.05,9.5,6.5,7.0,102000.0,93000.0
APOLLOTYRE-I235PE,2019-01-02,9.4,11.0,8.7,10.0,57000.0,24000.0
APOLLOTYRE-I240CE,2019-01-02,6.1,7.2,4.8,5.0,624000.0,291000.0
APOLLOTYRE-I240PE,2019-01-02,13.3,13.95,11.05,13.0,51000.0,36000.0
APOLLOTYRE-I245CE,2019-01-02,4.05,5.2,3.45,3.65,117000.0,105000.0
APOLLOTYRE-I250CE,2019-01-02,3.25,3.4,2.35,2.9,117000.0,213000.0
APOLLOTYRE-I250PE,2019-01-02,22.45,22.45,22.45,22.45,3000.0,9000.0
APOLLOTYRE-I255CE,2019-01-02,2.5,2.5,2.5,2.5,6000.0,45000.0
APOLLOTYRE-I260CE,2019-01-02,1.55,1.75,1.2,1.3,99000.0,204000.0
APOLLOTYRE-I270CE,2019-01-02,0.65,0.7,0.65,0.7,6000.0,51000.0
APOLLOTYRE-I280CE,2019-01-02,0.4,0.4,0.4,0.4,6000.0,18000.0
APOLLOTYRE-I200PE,2019-01-03,1.0,1.0,0.5,0.5,6000.0,48000.0
APOLLOTYRE-I210PE,2019-01-03,1.75,2.05,1.75,2.05,54000.0,129000.0
APOLLOTYRE-I215PE,2019-01-03,2.7,3.2,2.7,3.15,60000.0,51000.0
APOLLOTYRE-I220CE,2019-01-03,13.8,13.8,13.8,13.8,6000.0,3000.0
APOLLOTYRE-I220PE,2019-01-03,3.65,4.8,3.6,4.6,285000.0,240000.0
APOLLOTYRE-I225CE,2019-01-03,11.45,11.45,11.45,11.45,6000.0,0.0
APOLLOTYRE-I225PE,2019-01-03,5.5,6.65,5.1,6.65,216000.0,111000.0
APOLLOTYRE-I230CE,2019-01-03,9.6,10.25,7.25,7.25,168000.0,78000.0
APOLLOTYRE-I230PE,2019-01-03,7.65,9.0,6.85,8.95,459000.0,198000.0
APOLLOTYRE-I235CE,2019-01-03,7.3,7.3,5.25,5.6,294000.0,108000.0
APOLLOTYRE-I235PE,2019-01-03,9.5,11.15,9.5,11.15,18000.0,24000.0
APOLLOTYRE-I240CE,2019-01-03,5.05,5.7,3.7,3.75,300000.0,321000.0
APOLLOTYRE-I240PE,2019-01-03,13.6,13.6,13.6,13.6,6000.0,33000.0
APOLLOTYRE-I245CE,2019-01-03,3.95,3.95,2.6,2.8,81000.0,93000.0
APOLLOTYRE-I250CE,2019-01-03,2.8,2.9,1.8,1.8,87000.0,222000.0
APOLLOTYRE-I255CE,2019-01-03,1.2,1.2,1.2,1.2,3000.0,48000.0
APOLLOTYRE-I260CE,2019-01-03,1.2,1.2,0.8,0.8,30000.0,219000.0
APOLLOTYRE-I270CE,2019-01-03,0.5,0.5,0.45,0.5,9000.0,57000.0
APOLLOTYRE-I270PE,2019-01-03,39.0,39.0,39.0,39.0,6000.0,6000.0
APOLLOTYRE-I280CE,2019-01-03,0.4,0.4,0.4,0.4,6000.0,18000.0
APOLLOTYRE-I200PE,2019-01-04,0.9,1.1,0.5,0.5,69000.0,57000.0
APOLLOTYRE-I210PE,2019-01-04,1.8,2.05,1.2,1.35,39000.0,141000.0
APOLLOTYRE-I215PE,2019-01-04,3.45,3.45,1.8,1.8,81000.0,78000.0
APOLLOTYRE-I220PE,2019-01-04,4.8,5.0,2.8,2.8,384000.0,303000.0
APOLLOTYRE-I225CE,2019-01-04,8.95,13.5,8.95,13.5,15000.0,9000.0
APOLLOTYRE-I225PE,2019-01-04,5.55,7.0,4.05,4.05,282000.0,117000.0
APOLLOTYRE-I230CE,2019-01-04,8.0,10.4,6.6,10.1,243000.0,99000.0
APOLLOTYRE-I230PE,2019-01-04,7.7,9.5,5.8,5.9,291000.0,201000.0
APOLLOTYRE-I235CE,2019-01-04,6.05,7.75,4.85,7.25,219000.0,135000.0
APOLLOTYRE-I235PE,2019-01-04,10.75,10.75,8.95,8.95,6000.0,21000.0
APOLLOTYRE-I240CE,2019-01-04,4.05,5.55,3.35,5.55,450000.0,363000.0
APOLLOTYRE-I240PE,2019-01-04,12.8,12.8,11.2,11.2,6000.0,36000.0
APOLLOTYRE-I245CE,2019-01-04,2.6,3.85,2.3,3.85,60000.0,102000.0
APOLLOTYRE-I250CE,2019-01-04,1.75,2.6,1.55,2.6,102000.0,225000.0
APOLLOTYRE-I255CE,2019-01-04,1.2,1.8,1.1,1.8,42000.0,48000.0
APOLLOTYRE-I260CE,2019-01-04,0.75,1.15,0.75,1.15,78000.0,252000.0
APOLLOTYRE-I200PE,2019-01-07,0.55,0.55,0.45,0.45,12000.0,63000.0
APOLLOTYRE-I210PE,2019-01-07,1.1,1.4,1.05,1.4,45000.0,177000.0
APOLLOTYRE-I215CE,2019-01-07,19.05,19.05,19.05,19.05,6000.0,0.0
APOLLOTYRE-I215PE,2019-01-07,1.7,1.7,1.7,1.7,6000.0,78000.0
APOLLOTYRE-I220PE,2019-01-07,2.6,3.45,2.6,3.4,339000.0,312000.0
APOLLOTYRE-I225PE,2019-01-07,3.8,5.0,3.8,4.85,120000.0,120000.0
APOLLOTYRE-I230CE,2019-01-07,10.35,10.45,7.45,7.55,54000.0,96000.0
APOLLOTYRE-I230PE,2019-01-07,5.6,7.45,5.45,7.1,240000.0,207000.0
APOLLOTYRE-I235CE,2019-01-07,7.55,7.6,5.2,5.4,15000.0,135000.0
APOLLOTYRE-I240CE,2019-01-07,5.8,5.95,3.8,3.9,660000.0,408000.0
APOLLOTYRE-I245CE,2019-01-07,4.2,4.35,2.85,2.85,135000.0,108000.0
APOLLOTYRE-I250CE,2019-01-07,2.8,2.8,1.6,1.85,147000.0,246000.0
APOLLOTYRE-I255CE,2019-01-07,1.7,1.7,1.3,1.3,33000.0,72000.0
APOLLOTYRE-I260CE,2019-01-07,1.3,1.3,0.7,0.7,69000.0,255000.0
APOLLOTYRE-I270CE,2019-01-07,0.4,0.4,0.4,0.4,3000.0,57000.0
APOLLOTYRE-I200PE,2019-01-08,0.55,0.55,0.5,0.5,9000.0,60000.0
APOLLOTYRE-I210CE,2019-01-08,21.55,21.55,21.55,21.55,3000.0,0.0
APOLLOTYRE-I210PE,2019-01-08,1.5,1.5,1.0,1.25,27000.0,189000.0
APOLLOTYRE-I215PE,2019-01-08,2.4,2.4,2.4,2.4,6000.0,78000.0
APOLLOTYRE-I220CE,2019-01-08,13.85,13.85,12.3,12.3,6000.0,6000.0
APOLLOTYRE-I220PE,2019-01-08,3.65,3.8,2.75,3.5,189000.0,294000.0
APOLLOTYRE-I225PE,2019-01-08,5.45,5.5,4.1,5.25,96000.0,129000.0
APOLLOTYRE-I230CE,2019-01-08,7.55,8.6,6.5,6.5,90000.0,117000.0
APOLLOTYRE-I230PE,2019-01-08,7.95,7.95,6.5,7.65,75000.0,207000.0
APOLLOTYRE-I235CE,2019-01-08,5.2,6.3,4.85,5.3,138000.0,141000.0
APOLLOTYRE-I235PE,2019-01-08,10.5,10.5,10.5,10.5,3000.0,21000.0
APOLLOTYRE-I240CE,2019-01-08,3.85,4.5,3.25,3.4,552000.0,468000.0
APOLLOTYRE-I240PE,2019-01-08,12.95,12.95,12.95,12.95,6000.0,36000.0
APOLLOTYRE-I245CE,2019-01-08,2.75,2.75,2.1,2.3,54000.0,90000.0
APOLLOTYRE-I250CE,2019-01-08,1.7,2.2,1.45,1.55,135000.0,207000.0
APOLLOTYRE-I250PE,2019-01-08,20.6,20.6,20.6,20.6,6000.0,9000.0
APOLLOTYRE-I255CE,2019-01-08,1.35,1.35,0.9,0.95,33000.0,72000.0
APOLLOTYRE-I255PE,2019-01-08,24.8,24.8,24.8,24.8,3000.0,0.0
APOLLOTYRE-I260CE,2019-01-08,0.7,0.9,0.6,0.65,48000.0,267000.0
APOLLOTYRE-I270CE,2019-01-08,0.55,0.55,0.4,0.4,9000.0,54000.0
APOLLOTYRE-I155PE,2019-01-09,1.2,1.2,1.2,1.2,3000.0,0.0
APOLLOTYRE-I180PE,2019-01-09,0.45,0.45,0.45,0.45,3000.0,0.0
APOLLOTYRE-I200PE,2019-01-09,0.6,0.75,0.6,0.75,21000.0,60000.0
APOLLOTYRE-I210CE,2019-01-09,16.0,16.0,16.0,16.0,3000.0,3000.0
APOLLOTYRE-I210PE,2019-01-09,1.15,2.15,1.15,2.0,129000.0,189000.0
APOLLOTYRE-I215PE,2019-01-09,2.0,3.4,2.0,3.25,78000.0,84000.0
APOLLOTYRE-I220CE,2019-01-09,11.9,12.1,10.0,10.65,21000.0,18000.0
APOLLOTYRE-I220PE,2019-01-09,3.5,5.45,3.4,5.05,543000.0,324000.0
APOLLOTYRE-I225CE,2019-01-09,8.4,8.4,6.3,6.4,51000.0,36000.0
APOLLOTYRE-I225PE,2019-01-09,4.7,7.85,4.7,7.5,828000.0,153000.0
APOLLOTYRE-I230CE,2019-01-09,7.05,7.1,4.5,4.55,384000.0,216000.0
APOLLOTYRE-I230PE,2019-01-09,8.15,10.95,8.0,10.4,144000.0,171000.0
APOLLOTYRE-I235CE,2019-01-09,5.5,5.5,3.05,3.15,360000.0,183000.0
APOLLOTYRE-I240CE,2019-01-09,3.7,3.7,2.05,2.1,594000.0,630000.0
APOLLOTYRE-I240PE,2019-01-09,14.3,17.95,14.3,17.95,9000.0,39000.0
APOLLOTYRE-I245CE,2019-01-09,2.0,2.15,1.35,1.45,111000.0,117000.0
APOLLOTYRE-I250CE,2019-01-09,1.55,1.55,0.9,0.9,231000.0,234000.0
APOLLOTYRE-I250PE,2019-01-09,22.7,26.9,22.7,26.9,18000.0,9000.0
APOLLOTYRE-I255CE,2019-01-09,0.95,0.95,0.6,0.6,42000.0,60000.0
APOLLOTYRE-I260CE,2019-01-09,0.6,0.6,0.4,0.4,90000.0,228000.0
APOLLOTYRE-I270CE,2019-01-09,0.4,0.4,0.2,0.2,12000.0,57000.0
APOLLOTYRE-I290CE,2019-01-09,0.05,0.05,0.05,0.05,3000.0,12000.0
APOLLOTYRE-I200PE,2019-01-10,0.8,0.8,0.5,0.5,18000.0,60000.0
APOLLOTYRE-I210PE,2019-01-10,2.0,2.0,1.2,1.3,87000.0,198000.0
APOLLOTYRE-I215PE,2019-01-10,3.3,3.6,1.95,1.95,75000.0,102000.0
APOLLOTYRE-I220CE,2019-01-10,9.35,11.15,9.35,11.05,18000.0,18000.0
APOLLOTYRE-I220PE,2019-01-10,5.3,5.95,3.2,3.6,432000.0,327000.0
APOLLOTYRE-I225CE,2019-01-10,6.85,8.7,6.75,7.5,75000.0,39000.0
APOLLOTYRE-I225PE,2019-01-10,7.5,7.5,4.85,5.6,123000.0,153000.0
APOLLOTYRE-I230CE,2019-01-10,4.35,5.95,4.35,5.25,387000.0,207000.0
APOLLOTYRE-I230PE,2019-01-10,9.9,9.9,7.3,8.2,81000.0,138000.0
APOLLOTYRE-I235CE,2019-01-10,3.15,4.0,3.0,3.45,132000.0,195000.0
APOLLOTYRE-I240CE,2019-01-10,2.05,2.7,2.0,2.15,255000.0,570000.0
APOLLOTYRE-I245CE,2019-01-10,1.3,1.55,1.3,1.55,57000.0,117000.0
APOLLOTYRE-I250CE,2019-01-10,0.95,1.1,0.85,0.9,144000.0,243000.0
APOLLOTYRE-I250PE,2019-01-10,23.1,23.5,23.1,23.5,9000.0,9000.0
APOLLOTYRE-I255CE,2019-01-10,0.6,0.6,0.6,0.6,9000.0,57000.0
APOLLOTYRE-I260CE,2019-01-10,0.5,0.5,0.35,0.35,27000.0,213000.0
APOLLOTYRE-I270CE,2019-01-10,0.2,0.2,0.2,0.2,15000.0,45000.0
APOLLOTYRE-I280CE,2019-01-10,0.1,0.1,0.1,0.1,3000.0,18000.0
APOLLOTYRE-I210PE,2019-01-11,1.25,1.5,1.05,1.45,57000.0,204000.0
APOLLOTYRE-I215PE,2019-01-11,2.25,2.6,2.0,2.4,54000.0,117000.0
APOLLOTYRE-I220CE,2019-01-11,9.95,10.0,9.65,10.0,12000.0,18000.0
APOLLOTYRE-I220PE,2019-01-11,3.5,4.2,3.35,3.95,519000.0,426000.0
APOLLOTYRE-I225CE,2019-01-11,6.8,7.4,6.5,7.4,33000.0,51000.0
APOLLOTYRE-I225PE,2019-01-11,5.75,6.35,5.45,5.95,123000.0,174000.0
APOLLOTYRE-I230CE,2019-01-11,5.1,5.1,4.35,4.65,150000.0,204000.0
APOLLOTYRE-I230PE,2019-01-11,8.5,9.0,8.25,8.5,21000.0,138000.0
APOLLOTYRE-I235CE,2019-01-11,3.4,3.45,2.85,3.05,123000.0,189000.0
APOLLOTYRE-I240CE,2019-01-11,2.3,2.3,1.8,1.95,162000.0,561000.0
