Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ARVIND.EQ-NSE,2019-01-01,98.0,99.1,97.05,98.35,1505127.0
ARVIND.EQ-NSE,2019-01-02,98.05,98.65,96.05,96.35,1417722.0
ARVIND.EQ-NSE,2019-01-03,96.6,97.4,94.75,95.1,2125969.0
ARVIND.EQ-NSE,2019-01-04,95.45,97.2,93.25,97.1,2350863.0
ARVIND.EQ-NSE,2019-01-07,97.1,97.7,95.55,96.55,902337.0
ARVIND.EQ-NSE,2019-01-08,96.25,97.55,95.5,96.1,1155312.0
ARVIND.EQ-NSE,2019-01-09,96.75,97.25,95.9,96.5,1385728.0
ARVIND.EQ-NSE,2019-01-10,96.35,98.85,96.1,98.1,1672129.0
ARVIND.EQ-NSE,2019-01-11,98.5,100.95,96.6,97.2,8423819.0
ARVIND.EQ-NSE,2019-01-14,97.8,97.8,93.0,95.3,3769382.0
ARVIND.EQ-NSE,2019-01-15,95.4,95.6,94.05,95.3,1964666.0
ARVIND.EQ-NSE,2019-01-16,95.0,96.7,95.0,96.3,2308132.0
ARVIND.EQ-NSE,2019-01-17,96.1,96.45,93.85,94.5,1306245.0
ARVIND.EQ-NSE,2019-01-18,94.9,95.2,92.8,93.05,911817.0
ARVIND.EQ-NSE,2019-01-21,93.35,94.0,91.8,92.1,863950.0
ARVIND.EQ-NSE,2019-01-22,93.15,93.95,90.45,90.9,1732658.0
ARVIND.EQ-NSE,2019-01-23,90.7,92.4,90.55,90.8,1108314.0
ARVIND.EQ-NSE,2019-01-24,91.3,91.3,89.15,89.35,1016392.0
ARVIND.EQ-NSE,2019-01-25,89.7,90.4,85.75,86.9,1786601.0
ARVIND.EQ-NSE,2019-01-28,86.15,89.0,84.8,88.1,2295020.0
ARVIND.EQ-NSE,2019-01-29,87.0,90.25,87.0,89.9,1424609.0
ARVIND.EQ-NSE,2019-01-30,89.7,91.6,89.1,91.3,1020793.0
ARVIND.EQ-NSE,2019-01-31,91.35,91.95,88.0,88.4,2459744.0
ARVIND.EQ-NSE,2019-02-01,88.5,89.4,87.05,88.15,1491243.0
ARVIND.EQ-NSE,2019-02-04,87.95,88.7,86.5,87.5,1265659.0
ARVIND.EQ-NSE,2019-02-05,87.0,87.75,84.35,85.45,1182486.0
ARVIND.EQ-NSE,2019-02-06,85.7,86.0,81.75,83.8,1446998.0
ARVIND.EQ-NSE,2019-02-07,83.7,85.9,78.1,81.3,5260929.0
ARVIND.EQ-NSE,2019-02-08,80.5,84.0,80.05,81.0,2224597.0
ARVIND.EQ-NSE,2019-02-11,81.35,82.3,78.75,79.65,2289523.0
ARVIND.EQ-NSE,2019-02-12,79.1,80.85,78.75,80.8,1375494.0
ARVIND.EQ-NSE,2019-02-13,80.45,81.1,77.85,78.7,1337074.0
ARVIND.EQ-NSE,2019-02-14,78.4,81.8,76.65,81.2,1437644.0
ARVIND.EQ-NSE,2019-02-15,81.1,81.2,76.9,77.5,1826795.0
ARVIND.EQ-NSE,2019-02-18,78.0,78.15,76.1,76.1,1042768.0
ARVIND.EQ-NSE,2019-02-19,76.4,77.1,75.3,76.25,1202696.0
ARVIND.EQ-NSE,2019-02-20,76.45,77.15,76.15,76.6,878068.0
ARVIND.EQ-NSE,2019-02-21,76.6,77.95,76.1,77.5,1055532.0
ARVIND.EQ-NSE,2019-02-22,77.1,77.35,74.05,75.0,5702998.0
ARVIND.EQ-NSE,2019-02-25,75.4,76.15,74.3,75.35,1714937.0
ARVIND.EQ-NSE,2019-02-26,75.0,75.3,72.8,74.35,2373425.0
ARVIND.EQ-NSE,2019-02-27,75.0,78.15,74.9,75.65,3295546.0
ARVIND.EQ-NSE,2019-02-28,76.5,76.65,75.1,75.8,2296270.0
ARVIND.EQ-NSE,2019-03-01,76.8,83.75,76.35,83.5,10222207.0
ARVIND.EQ-NSE,2019-03-05,83.9,85.9,82.6,85.3,4965725.0
ARVIND.EQ-NSE,2019-03-06,85.55,86.7,84.75,85.2,2598661.0
ARVIND.EQ-NSE,2019-03-07,86.9,90.75,85.45,88.85,9808058.0
ARVIND.EQ-NSE,2019-03-08,89.2,89.4,82.65,84.2,13413718.0
ARVIND.EQ-NSE,2019-03-11,84.6,87.95,84.4,87.6,6033935.0
ARVIND.EQ-NSE,2019-03-12,88.3,94.3,86.0,93.05,10034454.0
ARVIND.EQ-NSE,2019-03-13,93.4,93.75,90.4,92.35,7458693.0
ARVIND.EQ-NSE,2019-03-14,92.3,96.5,91.3,94.7,8949216.0
ARVIND.EQ-NSE,2019-03-15,95.05,96.6,94.5,95.6,6353223.0
ARVIND.EQ-NSE,2019-03-18,96.0,96.0,90.0,92.0,3773880.0
ARVIND.EQ-NSE,2019-03-19,93.15,93.2,90.9,92.4,3909404.0
ARVIND.EQ-NSE,2019-03-20,92.7,92.8,89.25,90.0,2536081.0
ARVIND.EQ-NSE,2019-03-22,90.25,90.7,86.5,86.85,2381948.0
ARVIND.EQ-NSE,2019-03-25,86.2,86.55,84.4,84.9,2033939.0
