Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ASHOKLEY-I80PE,2019-01-01,0.3,0.3,0.15,0.15,16000.0,60000.0
ASHOKLEY-I85PE,2019-01-01,0.5,0.65,0.35,0.4,176000.0,288000.0
ASHOKLEY-I90CE,2019-01-01,13.05,13.05,13.0,13.0,8000.0,12000.0
ASHOKLEY-I90PE,2019-01-01,1.0,1.35,0.8,0.9,1264000.0,1180000.0
ASHOKLEY-I92.5PE,2019-01-01,1.45,1.45,1.05,1.15,20000.0,124000.0
ASHOKLEY-I95CE,2019-01-01,8.75,9.75,8.75,9.75,16000.0,52000.0
ASHOKLEY-I95PE,2019-01-01,1.9,2.4,1.5,1.7,1340000.0,1492000.0
ASHOKLEY-I97.5PE,2019-01-01,2.85,3.3,2.15,2.25,304000.0,224000.0
ASHOKLEY-I100CE,2019-01-01,6.3,6.45,5.55,6.2,840000.0,480000.0
ASHOKLEY-I100PE,2019-01-01,3.55,4.35,3.05,3.2,2772000.0,1600000.0
ASHOKLEY-I102.5CE,2019-01-01,4.5,5.05,4.3,4.85,408000.0,208000.0
ASHOKLEY-I102.5PE,2019-01-01,5.0,5.45,4.15,4.4,260000.0,144000.0
ASHOKLEY-I105CE,2019-01-01,3.95,3.95,3.2,3.8,3452000.0,2764000.0
ASHOKLEY-I105PE,2019-01-01,6.65,7.0,5.45,5.7,704000.0,636000.0
ASHOKLEY-I107.5CE,2019-01-01,2.85,2.85,2.4,2.75,504000.0,272000.0
ASHOKLEY-I110CE,2019-01-01,2.1,2.1,1.7,2.0,3136000.0,3116000.0
ASHOKLEY-I110PE,2019-01-01,10.1,10.1,8.7,8.7,64000.0,368000.0
ASHOKLEY-I112.5CE,2019-01-01,1.3,1.45,1.25,1.45,52000.0,68000.0
ASHOKLEY-I115CE,2019-01-01,1.15,1.15,0.85,1.0,3572000.0,2016000.0
ASHOKLEY-I115PE,2019-01-01,13.35,13.5,13.0,13.0,12000.0,36000.0
ASHOKLEY-I117.5CE,2019-01-01,0.65,0.7,0.65,0.7,32000.0,156000.0
ASHOKLEY-I120CE,2019-01-01,0.6,0.6,0.4,0.5,2720000.0,2644000.0
ASHOKLEY-I120PE,2019-01-01,17.8,18.0,17.8,18.0,8000.0,124000.0
ASHOKLEY-I122.5CE,2019-01-01,0.35,0.35,0.35,0.35,4000.0,12000.0
ASHOKLEY-I125CE,2019-01-01,0.25,0.3,0.2,0.25,204000.0,468000.0
