Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
AUBANK-I460PE,2021-02-26,1.525,2.5,1.525,2.5,2000.0,1000.0
AUBANK-I470PE,2021-02-26,1.525,2.5,1.525,2.5,3000.0,2000.0
AUBANK-I480PE,2021-02-26,1.525,4.025,1.525,4.0,5000.0,3000.0
AUBANK-I680CE,2021-02-26,1.525,5.0,1.525,4.475,9000.0,5000.0
AUBANK-I500PE,2021-03-01,4.0,4.35,4.0,4.35,3000.0,2000.0
AUBANK-I530PE,2021-03-01,9.0,9.0,9.0,9.0,2000.0,0.0
AUBANK-I550PE,2021-03-01,17.5,17.5,17.5,17.5,1000.0,0.0
AUBANK-I580CE,2021-03-01,31.325,31.325,24.225,24.425,3000.0,2000.0
AUBANK-I590CE,2021-03-01,26.25,26.25,26.25,26.25,1000.0,0.0
AUBANK-I600CE,2021-03-01,19.0,19.0,19.0,19.0,2000.0,0.0
AUBANK-I680CE,2021-03-01,6.5,6.5,6.5,6.5,1000.0,6000.0
AUBANK-I500PE,2021-03-02,8.5,8.875,8.5,8.875,3000.0,2000.0
AUBANK-I540PE,2021-03-02,11.75,12.0,11.75,11.75,4000.0,0.0
AUBANK-I550PE,2021-03-02,16.5,18.575,15.5,15.5,8000.0,5000.0
AUBANK-I580CE,2021-03-02,28.775,30.825,28.775,30.825,2000.0,2000.0
AUBANK-I580PE,2021-03-02,30.575,30.575,30.575,30.575,1000.0,0.0
AUBANK-I590CE,2021-03-02,32.425,32.75,21.575,27.875,19000.0,6000.0
AUBANK-I600CE,2021-03-02,27.725,28.3,19.6,25.5,42000.0,6000.0
AUBANK-I620CE,2021-03-02,15.5,15.5,15.5,15.5,1000.0,0.0
AUBANK-I630CE,2021-03-02,15.0,15.0,15.0,15.0,1000.0,0.0
AUBANK-I650CE,2021-03-02,8.5,10.25,8.5,10.25,6000.0,1000.0
AUBANK-I680CE,2021-03-02,5.65,5.65,5.65,5.65,1000.0,6000.0
AUBANK-I500PE,2021-03-03,5.5,5.5,3.3,3.3,2000.0,1000.0
AUBANK-I540PE,2021-03-03,17.0,17.5,17.0,17.5,2000.0,3000.0
AUBANK-I550PE,2021-03-03,15.5,15.5,6.275,7.0,5000.0,3000.0
AUBANK-I580CE,2021-03-03,30.5,47.9,26.725,47.9,5000.0,5000.0
AUBANK-I590CE,2021-03-03,27.875,43.775,23.1,43.75,11000.0,7000.0
AUBANK-I600CE,2021-03-03,25.5,41.975,16.25,40.05,118000.0,24000.0
AUBANK-I600PE,2021-03-03,22.8,31.125,22.8,31.125,3000.0,0.0
AUBANK-I630CE,2021-03-03,13.95,24.0,13.925,23.5,8000.0,2000.0
AUBANK-I640CE,2021-03-03,19.375,19.375,19.375,19.375,1000.0,0.0
AUBANK-I650CE,2021-03-03,9.0,20.0,9.0,20.0,51000.0,6000.0
AUBANK-I680CE,2021-03-03,5.875,10.5,5.875,10.5,6000.0,6000.0
AUBANK-I460PE,2021-03-04,1.5,1.5,0.275,1.4,5000.0,1000.0
AUBANK-I480PE,2021-03-04,0.525,0.525,0.525,0.525,2000.0,4000.0
AUBANK-I540PE,2021-03-04,11.5,11.5,11.5,11.5,1000.0,2000.0
AUBANK-I550PE,2021-03-04,12.5,12.5,5.5,6.0,7000.0,6000.0
AUBANK-I560PE,2021-03-04,9.7,9.7,9.7,9.7,1000.0,0.0
AUBANK-I580CE,2021-03-04,62.5,62.5,62.5,62.5,1000.0,5000.0
AUBANK-I580PE,2021-03-04,16.45,16.45,11.05,11.05,9000.0,5000.0
AUBANK-I590CE,2021-03-04,45.0,68.575,45.0,60.0,5000.0,5000.0
AUBANK-I590PE,2021-03-04,12.9,13.0,12.9,13.0,2000.0,1000.0
AUBANK-I600CE,2021-03-04,27.125,63.0,26.65,53.25,183000.0,44000.0
AUBANK-I600PE,2021-03-04,25.975,25.975,14.5,16.55,45000.0,21000.0
AUBANK-I610CE,2021-03-04,50.025,53.625,50.025,53.0,4000.0,2000.0
AUBANK-I620CE,2021-03-04,26.55,44.0,26.55,44.0,15000.0,4000.0
AUBANK-I620PE,2021-03-04,29.175,30.0,23.1,28.35,10000.0,6000.0
AUBANK-I630CE,2021-03-04,16.875,43.775,16.875,37.0,195000.0,30000.0
AUBANK-I630PE,2021-03-04,28.575,30.5,26.675,26.675,5000.0,2000.0
AUBANK-I640CE,2021-03-04,19.375,37.5,19.375,31.3,62000.0,19000.0
AUBANK-I640PE,2021-03-04,33.325,35.0,33.325,35.0,5000.0,2000.0
AUBANK-I650CE,2021-03-04,17.5,34.5,17.1,28.25,956000.0,170000.0
AUBANK-I660CE,2021-03-04,25.35,31.625,20.825,20.825,13000.0,6000.0
AUBANK-I680CE,2021-03-04,6.025,21.5,6.025,16.275,25000.0,12000.0
AUBANK-I700CE,2021-03-04,15.0,17.5,11.5,12.5,52000.0,16000.0
AUBANK-I480PE,2021-03-05,0.875,1.45,0.875,1.0,4000.0,6000.0
AUBANK-I540PE,2021-03-05,11.0,11.0,11.0,11.0,1000.0,1000.0
AUBANK-I550PE,2021-03-05,7.5,9.25,5.15,5.625,9000.0,8000.0
AUBANK-I580CE,2021-03-05,66.8,66.8,66.8,66.8,1000.0,5000.0
AUBANK-I600CE,2021-03-05,58.275,58.275,44.4,52.275,26000.0,43000.0
AUBANK-I600PE,2021-03-05,16.45,24.75,13.25,15.875,41000.0,21000.0
AUBANK-I620CE,2021-03-05,39.025,45.95,35.0,35.0,3000.0,5000.0
AUBANK-I620PE,2021-03-05,26.575,28.125,26.575,28.125,2000.0,7000.0
AUBANK-I630CE,2021-03-05,35.425,40.0,30.0,35.0,45000.0,27000.0
AUBANK-I640CE,2021-03-05,34.25,34.75,17.8,21.625,50000.0,23000.0
AUBANK-I640PE,2021-03-05,32.375,41.425,32.375,41.425,6000.0,2000.0
AUBANK-I650CE,2021-03-05,26.925,30.775,15.575,25.5,416000.0,220000.0
AUBANK-I650PE,2021-03-05,46.0,48.5,46.0,48.5,2000.0,1000.0
AUBANK-I660CE,2021-03-05,21.65,26.85,15.05,20.5,14000.0,12000.0
AUBANK-I680CE,2021-03-05,14.6,17.975,10.1,14.0,18000.0,13000.0
AUBANK-I700CE,2021-03-05,10.525,14.0,7.425,10.225,50000.0,21000.0
AUBANK-I740CE,2021-03-05,6.0,6.0,6.0,6.0,1000.0,0.0
AUBANK-I480PE,2021-03-08,1.0,1.0,1.0,1.0,1000.0,6000.0
AUBANK-I550PE,2021-03-08,7.25,7.575,3.525,5.5,14000.0,13000.0
AUBANK-I580PE,2021-03-08,8.95,8.95,8.95,8.95,1000.0,4000.0
AUBANK-I590CE,2021-03-08,54.8,54.8,50.725,50.725,3000.0,6000.0
AUBANK-I600CE,2021-03-08,49.5,53.0,44.45,46.925,22000.0,36000.0
AUBANK-I600PE,2021-03-08,16.075,17.925,13.125,13.125,19000.0,24000.0
AUBANK-I610PE,2021-03-08,16.725,16.725,16.725,16.725,1000.0,0.0
AUBANK-I620CE,2021-03-08,39.25,39.25,39.25,39.25,1000.0,5000.0
AUBANK-I620PE,2021-03-08,21.75,26.5,20.675,23.55,7000.0,8000.0
AUBANK-I630CE,2021-03-08,33.475,35.5,25.75,28.9,47000.0,31000.0
AUBANK-I630PE,2021-03-08,30.975,30.975,24.05,28.675,16000.0,6000.0
AUBANK-I640CE,2021-03-08,28.95,31.325,21.5,24.875,60000.0,30000.0
AUBANK-I640PE,2021-03-08,29.625,35.325,29.375,32.525,6000.0,4000.0
AUBANK-I650CE,2021-03-08,24.85,26.8,17.8,20.5,238000.0,231000.0
AUBANK-I650PE,2021-03-08,45.0,45.0,34.5,41.075,8000.0,3000.0
AUBANK-I660CE,2021-03-08,20.975,21.875,14.5,17.0,15000.0,12000.0
AUBANK-I680CE,2021-03-08,14.575,14.65,10.0,11.75,9000.0,15000.0
AUBANK-I700CE,2021-03-08,10.025,10.575,6.6,7.925,29000.0,29000.0
AUBANK-I500PE,2021-03-09,0.9,0.9,0.9,0.9,1000.0,1000.0
AUBANK-I550PE,2021-03-09,2.525,6.175,2.5,6.175,13000.0,15000.0
AUBANK-I560PE,2021-03-09,6.0,6.0,6.0,6.0,1000.0,1000.0
AUBANK-I580CE,2021-03-09,52.275,52.275,52.275,52.275,1000.0,4000.0
AUBANK-I580PE,2021-03-09,9.1,9.1,9.1,9.1,1000.0,5000.0
AUBANK-I600CE,2021-03-09,59.125,67.05,38.975,38.975,16000.0,33000.0
AUBANK-I600PE,2021-03-09,12.775,20.625,7.35,18.0,30000.0,23000.0
AUBANK-I610PE,2021-03-09,12.075,12.075,10.5,10.5,2000.0,0.0
AUBANK-I620CE,2021-03-09,42.5,42.5,24.625,33.325,7000.0,8000.0
AUBANK-I620PE,2021-03-09,17.625,27.6,12.5,27.15,23000.0,13000.0
AUBANK-I630CE,2021-03-09,32.5,45.3,20.85,27.375,38000.0,24000.0
AUBANK-I630PE,2021-03-09,21.725,35.5,14.975,35.5,23000.0,4000.0
AUBANK-I640CE,2021-03-09,27.425,39.05,16.975,21.675,108000.0,20000.0
AUBANK-I640PE,2021-03-09,22.725,35.825,19.85,34.525,6000.0,2000.0
AUBANK-I650CE,2021-03-09,22.975,35.0,13.725,17.25,1608000.0,415000.0
AUBANK-I650PE,2021-03-09,25.425,48.625,24.85,48.625,6000.0,3000.0
AUBANK-I660CE,2021-03-09,21.125,30.55,12.25,15.475,152000.0,25000.0
AUBANK-I670CE,2021-03-09,22.4,22.4,10.1,11.7,467000.0,116000.0
AUBANK-I680CE,2021-03-09,13.925,21.525,7.55,9.425,140000.0,34000.0
AUBANK-I700CE,2021-03-09,8.525,15.0,5.1,5.65,1271000.0,222000.0
AUBANK-I740CE,2021-03-09,6.0,6.0,6.0,6.0,2000.0,1000.0
AUBANK-I550PE,2021-03-10,5.0,6.5,3.25,3.575,21000.0,18000.0
AUBANK-I560PE,2021-03-10,6.075,6.125,6.075,6.125,2000.0,2000.0
AUBANK-I570PE,2021-03-10,1.5,1.5,1.5,1.5,10000.0,0.0
AUBANK-I580CE,2021-03-10,56.775,56.775,56.775,56.775,1000.0,4000.0
AUBANK-I580PE,2021-03-10,9.975,9.975,9.0,9.0,2000.0,4000.0
AUBANK-I600CE,2021-03-10,45.425,45.425,27.325,42.75,7000.0,33000.0
AUBANK-I600PE,2021-03-10,16.95,23.15,13.525,14.225,35000.0,26000.0
AUBANK-I610CE,2021-03-10,32.15,32.15,32.15,32.15,1000.0,1000.0
AUBANK-I610PE,2021-03-10,23.8,23.8,23.8,23.8,1000.0,1000.0
AUBANK-I620CE,2021-03-10,28.65,31.175,22.65,30.0,40000.0,13000.0
AUBANK-I620PE,2021-03-10,24.0,32.15,18.725,24.675,13000.0,11000.0
AUBANK-I630CE,2021-03-10,28.3,29.975,16.525,25.825,34000.0,31000.0
AUBANK-I630PE,2021-03-10,31.125,36.625,31.125,33.9,3000.0,4000.0
AUBANK-I640CE,2021-03-10,25.225,25.225,13.425,20.725,74000.0,27000.0
AUBANK-I640PE,2021-03-10,36.4,43.575,35.1,35.1,7000.0,5000.0
AUBANK-I650CE,2021-03-10,19.075,21.05,11.0,17.125,325000.0,336000.0
AUBANK-I650PE,2021-03-10,40.1,49.775,40.1,41.5,7000.0,3000.0
AUBANK-I660CE,2021-03-10,17.375,17.5,9.1,15.275,61000.0,23000.0
AUBANK-I670CE,2021-03-10,13.975,13.975,7.275,11.025,37000.0,107000.0
AUBANK-I680CE,2021-03-10,9.275,10.45,6.175,9.475,27000.0,37000.0
AUBANK-I700CE,2021-03-10,6.575,7.475,4.025,6.0,133000.0,205000.0
AUBANK-I550PE,2021-03-12,2.025,3.65,2.025,2.75,14000.0,18000.0
AUBANK-I570PE,2021-03-12,4.0,7.5,4.0,7.5,20000.0,10000.0
AUBANK-I590CE,2021-03-12,40.0,40.0,40.0,40.0,1000.0,6000.0
AUBANK-I600CE,2021-03-12,44.35,45.225,44.0,45.225,3000.0,32000.0
AUBANK-I600PE,2021-03-12,10.6,16.3,10.6,14.25,10000.0,27000.0
AUBANK-I610CE,2021-03-12,33.85,33.85,33.85,33.85,1000.0,2000.0
AUBANK-I610PE,2021-03-12,14.5,16.675,14.5,16.65,3000.0,3000.0
AUBANK-I620CE,2021-03-12,30.0,32.475,28.775,32.25,6000.0,14000.0
AUBANK-I620PE,2021-03-12,16.95,20.35,16.95,20.35,6000.0,11000.0
AUBANK-I630CE,2021-03-12,25.8,28.5,17.5,20.6,22000.0,29000.0
AUBANK-I630PE,2021-03-12,34.825,34.825,22.25,22.25,2000.0,6000.0
AUBANK-I640CE,2021-03-12,23.15,24.375,15.525,16.7,79000.0,42000.0
AUBANK-I640PE,2021-03-12,30.7,33.45,26.925,29.55,10000.0,6000.0
AUBANK-I650CE,2021-03-12,17.025,19.825,11.875,12.775,309000.0,326000.0
AUBANK-I650PE,2021-03-12,38.35,38.35,32.025,32.025,4000.0,2000.0
AUBANK-I660CE,2021-03-12,14.75,15.025,10.175,11.125,30000.0,22000.0
