Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
AUROPHARMA.EQ-NSE,2019-01-01,733.7,737.5,729.6,731.1,1337050.0
AUROPHARMA.EQ-NSE,2019-01-02,729.0,732.4,719.0,722.1,1842752.0
AUROPHARMA.EQ-NSE,2019-01-03,721.75,723.4,710.55,712.8,1354699.0
AUROPHARMA.EQ-NSE,2019-01-04,714.95,728.0,708.25,724.5,1334357.0
AUROPHARMA.EQ-NSE,2019-01-07,726.35,731.0,719.6,724.3,1409824.0
AUROPHARMA.EQ-NSE,2019-01-08,732.5,751.85,730.0,748.0,4403807.0
AUROPHARMA.EQ-NSE,2019-01-09,749.0,759.0,742.4,756.85,2993347.0
AUROPHARMA.EQ-NSE,2019-01-10,755.5,779.0,753.15,775.5,4274326.0
AUROPHARMA.EQ-NSE,2019-01-11,775.2,775.45,763.5,769.95,2465987.0
AUROPHARMA.EQ-NSE,2019-01-14,770.0,778.9,765.6,771.85,1787441.0
AUROPHARMA.EQ-NSE,2019-01-15,773.9,788.95,771.1,786.55,1883641.0
AUROPHARMA.EQ-NSE,2019-01-16,784.75,791.6,779.0,788.55,1882820.0
AUROPHARMA.EQ-NSE,2019-01-17,788.75,791.3,769.25,775.0,1304579.0
AUROPHARMA.EQ-NSE,2019-01-18,781.0,781.0,763.0,775.55,2462246.0
AUROPHARMA.EQ-NSE,2019-01-21,769.25,784.8,767.2,775.8,1636018.0
AUROPHARMA.EQ-NSE,2019-01-22,780.05,790.2,777.1,787.95,1845641.0
AUROPHARMA.EQ-NSE,2019-01-23,791.5,793.4,780.35,784.15,1816710.0
AUROPHARMA.EQ-NSE,2019-01-24,785.0,795.7,779.3,791.15,1851364.0
AUROPHARMA.EQ-NSE,2019-01-25,790.25,794.7,780.05,787.45,1461964.0
AUROPHARMA.EQ-NSE,2019-01-28,782.9,783.0,745.45,755.5,2575295.0
AUROPHARMA.EQ-NSE,2019-01-29,752.75,771.9,744.05,763.05,1649553.0
AUROPHARMA.EQ-NSE,2019-01-30,764.95,781.0,764.25,778.95,1402327.0
AUROPHARMA.EQ-NSE,2019-01-31,781.5,790.0,777.1,785.2,1511049.0
AUROPHARMA.EQ-NSE,2019-02-01,783.1,802.0,780.0,797.8,1210225.0
AUROPHARMA.EQ-NSE,2019-02-04,796.05,804.95,759.1,760.0,2656634.0
AUROPHARMA.EQ-NSE,2019-02-05,760.95,768.7,736.9,742.0,2597529.0
AUROPHARMA.EQ-NSE,2019-02-06,743.35,764.75,738.0,762.05,2018129.0
AUROPHARMA.EQ-NSE,2019-02-07,765.4,782.0,760.0,774.0,2018143.0
AUROPHARMA.EQ-NSE,2019-02-08,786.4,788.0,750.5,760.3,5219156.0
AUROPHARMA.EQ-NSE,2019-02-11,763.05,770.0,749.2,764.65,1972024.0
AUROPHARMA.EQ-NSE,2019-02-12,768.0,772.0,760.1,767.0,1275899.0
AUROPHARMA.EQ-NSE,2019-02-13,764.2,769.75,729.3,747.85,5238226.0
AUROPHARMA.EQ-NSE,2019-02-14,746.9,757.0,744.55,748.95,1557286.0
AUROPHARMA.EQ-NSE,2019-02-15,748.95,749.5,718.0,722.3,2891738.0
AUROPHARMA.EQ-NSE,2019-02-18,724.2,726.8,714.05,716.45,1912349.0
AUROPHARMA.EQ-NSE,2019-02-19,717.65,721.35,706.0,706.8,1577694.0
AUROPHARMA.EQ-NSE,2019-02-20,709.05,724.8,708.75,722.8,2205135.0
AUROPHARMA.EQ-NSE,2019-02-21,723.85,732.9,720.2,730.95,1816910.0
AUROPHARMA.EQ-NSE,2019-02-22,731.8,736.5,726.8,730.85,1188187.0
AUROPHARMA.EQ-NSE,2019-02-25,734.0,734.0,705.0,708.45,5265699.0
AUROPHARMA.EQ-NSE,2019-02-26,699.85,724.4,695.0,718.8,3481686.0
AUROPHARMA.EQ-NSE,2019-02-27,720.35,730.6,715.0,717.2,1890588.0
AUROPHARMA.EQ-NSE,2019-02-28,722.0,726.9,710.0,710.7,2820946.0
AUROPHARMA.EQ-NSE,2019-03-01,715.0,727.7,713.7,722.5,1771215.0
AUROPHARMA.EQ-NSE,2019-03-05,724.55,740.75,720.0,734.4,2272062.0
AUROPHARMA.EQ-NSE,2019-03-06,742.9,745.35,730.85,731.0,1841962.0
AUROPHARMA.EQ-NSE,2019-03-07,735.85,740.8,720.1,722.0,1306483.0
AUROPHARMA.EQ-NSE,2019-03-08,719.6,737.65,716.55,735.45,2045073.0
AUROPHARMA.EQ-NSE,2019-03-11,739.15,752.75,737.0,752.4,1862220.0
AUROPHARMA.EQ-NSE,2019-03-12,757.6,785.9,742.85,775.5,4507256.0
AUROPHARMA.EQ-NSE,2019-03-13,775.5,782.9,755.1,766.1,2940520.0
AUROPHARMA.EQ-NSE,2019-03-14,767.4,786.0,764.0,778.85,2416127.0
AUROPHARMA.EQ-NSE,2019-03-15,781.95,785.0,768.4,771.6,1857764.0
AUROPHARMA.EQ-NSE,2019-03-18,775.1,780.7,764.4,776.9,1207761.0
AUROPHARMA.EQ-NSE,2019-03-19,778.25,792.0,771.0,776.95,2688080.0
AUROPHARMA.EQ-NSE,2019-03-20,779.9,786.5,775.0,777.75,1305163.0
AUROPHARMA.EQ-NSE,2019-03-22,779.6,786.9,762.15,769.9,1678751.0
AUROPHARMA.EQ-NSE,2019-03-25,765.15,779.0,758.25,777.45,1425822.0
AUROPHARMA.EQ-NSE,2019-03-26,778.15,783.75,770.5,783.0,1247062.0
AUROPHARMA.EQ-NSE,2019-03-27,783.9,788.7,769.4,771.15,1726970.0
AUROPHARMA.EQ-NSE,2019-03-28,778.05,778.05,765.75,771.8,2421979.0
AUROPHARMA.EQ-NSE,2019-03-29,774.5,802.55,774.25,786.5,3806401.0
AUROPHARMA.EQ-NSE,2019-04-01,790.05,807.8,788.0,792.0,2451446.0
AUROPHARMA.EQ-NSE,2019-04-02,794.35,801.9,781.25,787.0,1316861.0
AUROPHARMA.EQ-NSE,2019-04-03,787.0,795.6,770.3,774.0,1316498.0
AUROPHARMA.EQ-NSE,2019-04-04,775.55,789.5,772.8,788.5,1276384.0
AUROPHARMA.EQ-NSE,2019-04-05,785.0,793.4,784.2,786.4,946773.0
AUROPHARMA.EQ-NSE,2019-04-08,784.0,796.0,773.7,780.0,1598548.0
AUROPHARMA.EQ-NSE,2019-04-09,783.85,789.0,771.9,785.0,1692303.0
AUROPHARMA.EQ-NSE,2019-04-10,782.95,801.45,780.25,789.75,2338230.0
AUROPHARMA.EQ-NSE,2019-04-11,794.1,797.0,775.2,782.3,1743339.0
AUROPHARMA.EQ-NSE,2019-04-12,784.75,791.7,770.0,776.2,3480345.0
AUROPHARMA.EQ-NSE,2019-04-15,777.25,781.25,772.2,778.2,889805.0
AUROPHARMA.EQ-NSE,2019-04-16,781.5,786.5,774.0,783.55,1273109.0
AUROPHARMA.EQ-NSE,2019-04-18,784.95,794.0,779.0,789.15,1598905.0
AUROPHARMA.EQ-NSE,2019-04-22,785.6,788.55,773.8,779.2,994048.0
AUROPHARMA.EQ-NSE,2019-04-23,779.05,793.4,776.25,777.75,1184733.0
AUROPHARMA.EQ-NSE,2019-04-24,781.65,787.0,777.2,784.85,870189.0
AUROPHARMA.EQ-NSE,2019-04-25,786.15,815.0,785.1,800.0,4565868.0
AUROPHARMA.EQ-NSE,2019-04-26,799.05,835.6,799.05,835.5,5506873.0
AUROPHARMA.EQ-NSE,2019-04-30,832.85,838.0,810.85,816.75,4094062.0
AUROPHARMA.EQ-NSE,2019-05-02,815.25,830.0,789.2,791.3,2564681.0
AUROPHARMA.EQ-NSE,2019-05-03,797.95,799.3,777.35,778.5,1526059.0
AUROPHARMA.EQ-NSE,2019-05-06,773.95,786.8,773.0,777.05,1274561.0
AUROPHARMA.EQ-NSE,2019-05-07,781.05,789.65,764.45,770.7,1595677.0
AUROPHARMA.EQ-NSE,2019-05-08,769.7,776.0,754.55,763.0,1644293.0
AUROPHARMA.EQ-NSE,2019-05-09,761.95,767.0,751.25,756.5,1180031.0
AUROPHARMA.EQ-NSE,2019-05-10,756.65,762.65,743.25,744.2,1093452.0
AUROPHARMA.EQ-NSE,2019-05-13,744.85,747.15,701.0,717.0,1877130.0
AUROPHARMA.EQ-NSE,2019-05-14,718.55,719.8,702.4,713.5,2078915.0
AUROPHARMA.EQ-NSE,2019-05-15,715.1,736.85,705.35,709.6,2924494.0
AUROPHARMA.EQ-NSE,2019-05-16,711.95,728.7,691.3,724.85,2765694.0
AUROPHARMA.EQ-NSE,2019-05-17,718.85,718.85,662.0,670.0,11682667.0
AUROPHARMA.EQ-NSE,2019-05-20,682.0,683.85,657.3,664.0,5155095.0
AUROPHARMA.EQ-NSE,2019-05-21,665.15,680.0,658.85,665.65,4273263.0
AUROPHARMA.EQ-NSE,2019-05-22,669.6,674.8,663.0,664.3,1516672.0
AUROPHARMA.EQ-NSE,2019-05-23,669.9,691.4,656.5,670.5,3321673.0
AUROPHARMA.EQ-NSE,2019-05-24,675.05,684.55,671.75,679.8,1381712.0
AUROPHARMA.EQ-NSE,2019-05-27,682.0,684.85,672.05,679.9,1585158.0
AUROPHARMA.EQ-NSE,2019-05-28,682.3,690.95,672.5,674.5,2722910.0
