Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BAJAJFINSV-I600PE,2019-01-01,4.8,4.8,4.8,4.8,1250.0,51250.0
BAJAJFINSV-I610PE,2019-01-01,7.5,7.8,7.5,7.8,2500.0,18750.0
BAJAJFINSV-I620PE,2019-01-01,10.23,10.765,8.42,8.459999999999999,16250.0,26250.0
BAJAJFINSV-I630CE,2019-01-01,31.205,31.205,31.205,31.205,1250.0,13750.0
BAJAJFINSV-I630PE,2019-01-01,11.53,14.1,11.1,11.1,10000.0,33750.0
BAJAJFINSV-I640CE,2019-01-01,27.535000000000004,30.4,23.59,30.4,12500.0,30000.0
BAJAJFINSV-I640PE,2019-01-01,16.619999999999997,17.990000000000002,14.55,14.7,17500.0,23750.0
BAJAJFINSV-I650CE,2019-01-01,22.985,25.6,19.585,24.3,90000.0,93750.0
BAJAJFINSV-I650PE,2019-01-01,22.0,22.625,18.5,19.02,26250.0,31250.0
BAJAJFINSV-I660CE,2019-01-01,17.4,20.9,15.945,20.4,46250.0,68750.0
BAJAJFINSV-I660PE,2019-01-01,28.075,28.825,25.925,25.925,5000.0,2500.0
BAJAJFINSV-I670CE,2019-01-01,13.975,15.965,13.655,15.805,17500.0,47500.0
BAJAJFINSV-I680CE,2019-01-01,11.0,12.4,8.925,12.395,16250.0,41250.0
BAJAJFINSV-I690CE,2019-01-01,8.325,8.945,7.279999999999999,8.945,5000.0,33750.0
BAJAJFINSV-I700CE,2019-01-01,5.23,6.984999999999999,4.61,6.984999999999999,8750.0,53750.0
BAJAJFINSV-I710CE,2019-01-01,4.8,4.8,4.8,4.8,1250.0,12500.0
BAJAJFINSV-I720CE,2019-01-01,2.3,3.0,2.3,3.0,5000.0,18750.0
BAJAJFINSV-I730CE,2019-01-01,2.5,2.5,2.5,2.5,2500.0,5000.0
BAJAJFINSV-I580CE,2019-01-02,71.0,71.0,71.0,71.0,1250.0,12500.0
BAJAJFINSV-I590PE,2019-01-02,4.654999999999999,5.0,3.66,4.19,7500.0,8750.0
BAJAJFINSV-I600PE,2019-01-02,4.44,7.0,4.4,7.0,18750.0,51250.0
BAJAJFINSV-I610PE,2019-01-02,6.415000000000001,9.4,6.415000000000001,8.895,6250.0,15000.0
BAJAJFINSV-I620PE,2019-01-02,9.7,13.0,8.55,12.5,12500.0,35000.0
BAJAJFINSV-I625PE,2019-01-02,10.03,14.13,9.5,14.13,7500.0,5000.0
BAJAJFINSV-I630PE,2019-01-02,11.2,17.0,11.2,15.745,32500.0,33750.0
BAJAJFINSV-I640CE,2019-01-02,27.26,30.24,22.6,23.355,27500.0,25000.0
BAJAJFINSV-I640PE,2019-01-02,15.625,21.355,15.0,20.8,33750.0,17500.0
BAJAJFINSV-I650CE,2019-01-02,21.525,24.22,17.9,19.945,60000.0,100000.0
BAJAJFINSV-I650PE,2019-01-02,21.0,28.045,19.085,25.04,41250.0,31250.0
BAJAJFINSV-I660CE,2019-01-02,19.11,20.0,13.9,15.48,35000.0,73750.0
BAJAJFINSV-I660PE,2019-01-02,26.09,26.955,26.09,26.955,2500.0,2500.0
BAJAJFINSV-I670CE,2019-01-02,13.4,15.205000000000002,10.795,12.04,22500.0,61250.0
BAJAJFINSV-I680CE,2019-01-02,10.87,12.32,8.7,9.004999999999999,18750.0,43750.0
BAJAJFINSV-I690CE,2019-01-02,9.2,9.2,6.68,6.68,10000.0,41250.0
BAJAJFINSV-I700CE,2019-01-02,5.745,6.9,5.0,5.5,11250.0,56250.0
BAJAJFINSV-I700PE,2019-01-02,65.03,65.03,65.03,65.03,1250.0,2500.0
BAJAJFINSV-I720CE,2019-01-02,3.0,3.0,3.0,3.0,3750.0,22500.0
BAJAJFINSV-I730CE,2019-01-02,2.5,2.5,2.5,2.5,1250.0,6250.0
