Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
BAJAJHIND.EQ-NSE,2019-01-01,8.7,9.1,8.7,9.0,1835385.0
BAJAJHIND.EQ-NSE,2019-01-02,9.0,9.1,8.6,8.9,2705426.0
BAJAJHIND.EQ-NSE,2019-01-03,8.85,9.25,8.85,9.1,3903535.0
BAJAJHIND.EQ-NSE,2019-01-04,9.2,9.3,9.05,9.1,3304308.0
BAJAJHIND.EQ-NSE,2019-01-07,9.15,9.25,8.95,9.0,2076657.0
BAJAJHIND.EQ-NSE,2019-01-08,9.0,9.45,8.95,9.35,5482714.0
BAJAJHIND.EQ-NSE,2019-01-09,9.45,9.45,9.0,9.1,2275835.0
BAJAJHIND.EQ-NSE,2019-01-10,9.1,9.3,9.1,9.15,1778411.0
BAJAJHIND.EQ-NSE,2019-01-11,9.25,9.35,9.05,9.2,1943634.0
BAJAJHIND.EQ-NSE,2019-01-14,9.2,9.2,9.0,9.1,1392606.0
BAJAJHIND.EQ-NSE,2019-01-15,9.1,9.6,9.0,9.4,3099978.0
BAJAJHIND.EQ-NSE,2019-01-16,9.4,9.55,9.25,9.25,2701266.0
BAJAJHIND.EQ-NSE,2019-01-17,9.35,9.35,9.05,9.2,1746177.0
BAJAJHIND.EQ-NSE,2019-01-18,9.15,9.2,8.9,8.95,1716836.0
BAJAJHIND.EQ-NSE,2019-01-21,8.95,9.1,8.8,8.95,1323881.0
BAJAJHIND.EQ-NSE,2019-01-22,8.95,8.95,8.75,8.85,1159768.0
BAJAJHIND.EQ-NSE,2019-01-23,8.85,8.95,8.75,8.8,1013344.0
BAJAJHIND.EQ-NSE,2019-01-24,8.85,8.85,8.65,8.75,1087206.0
BAJAJHIND.EQ-NSE,2019-01-25,8.75,8.8,8.25,8.3,1633029.0
BAJAJHIND.EQ-NSE,2019-01-28,8.3,8.35,6.65,7.75,3092178.0
BAJAJHIND.EQ-NSE,2019-01-29,7.7,8.2,7.55,8.05,2082296.0
BAJAJHIND.EQ-NSE,2019-01-30,8.1,8.25,8.05,8.05,1013884.0
BAJAJHIND.EQ-NSE,2019-01-31,8.15,8.15,7.8,8.05,1061142.0
BAJAJHIND.EQ-NSE,2019-02-01,8.0,8.3,7.7,8.0,2363241.0
BAJAJHIND.EQ-NSE,2019-02-04,7.9,8.0,7.5,7.65,1419680.0
