Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BALKRISIND-I840PE,2019-01-01,5.55,7.25,5.55,7.25,1600.0,17600.0
BALKRISIND-I860PE,2019-01-01,10.25,10.25,9.85,10.2,6400.0,22400.0
BALKRISIND-I880PE,2019-01-01,16.15,16.15,14.8,14.8,2400.0,12000.0
BALKRISIND-I900PE,2019-01-01,22.5,22.8,20.9,21.35,4000.0,32800.0
BALKRISIND-I920CE,2019-01-01,43.7,46.15,43.5,45.2,7200.0,8800.0
BALKRISIND-I920PE,2019-01-01,31.75,31.75,28.85,28.85,8000.0,23200.0
BALKRISIND-I940CE,2019-01-01,34.9,37.0,33.5,33.5,45600.0,51200.0
BALKRISIND-I940PE,2019-01-01,39.35,40.85,39.35,40.85,1600.0,9600.0
BALKRISIND-I960CE,2019-01-01,26.5,28.5,25.0,25.05,23200.0,40000.0
BALKRISIND-I980CE,2019-01-01,20.3,21.85,18.4,19.0,18400.0,28000.0
BALKRISIND-I1000CE,2019-01-01,14.1,16.0,13.5,14.0,30400.0,50400.0
BALKRISIND-I1020CE,2019-01-01,9.85,9.9,9.85,9.85,2400.0,12800.0
BALKRISIND-I1040CE,2019-01-01,6.45,6.45,6.45,6.45,800.0,3200.0
BALKRISIND-I1060CE,2019-01-01,5.0,5.0,4.5,4.5,1600.0,3200.0
BALKRISIND-I780PE,2019-01-02,2.9,2.9,2.9,2.9,800.0,0.0
BALKRISIND-I840PE,2019-01-02,7.25,9.75,7.25,9.15,2400.0,18400.0
BALKRISIND-I860CE,2019-01-02,77.2,77.2,77.2,77.2,800.0,3200.0
BALKRISIND-I860PE,2019-01-02,10.15,14.4,10.15,13.55,8000.0,27200.0
BALKRISIND-I880PE,2019-01-02,17.3,19.5,17.3,19.25,5600.0,14400.0
BALKRISIND-I900CE,2019-01-02,45.35,45.35,45.35,45.35,800.0,5600.0
BALKRISIND-I900PE,2019-01-02,21.35,27.3,21.35,26.5,10400.0,32000.0
BALKRISIND-I920CE,2019-01-02,39.0,39.0,32.0,32.85,7200.0,9600.0
BALKRISIND-I920PE,2019-01-02,35.0,39.3,29.0,36.0,12000.0,22400.0
BALKRISIND-I940CE,2019-01-02,28.35,33.55,23.45,24.2,68000.0,51200.0
BALKRISIND-I940PE,2019-01-02,42.75,47.35,42.75,47.35,3200.0,11200.0
BALKRISIND-I960CE,2019-01-02,21.95,25.0,17.5,18.65,36800.0,41600.0
BALKRISIND-I980CE,2019-01-02,15.85,18.25,12.4,13.6,16000.0,23200.0
BALKRISIND-I1000CE,2019-01-02,10.85,14.0,8.75,8.8,16000.0,53600.0
BALKRISIND-I1000PE,2019-01-02,84.0,84.0,84.0,84.0,800.0,4000.0
BALKRISIND-I1020CE,2019-01-02,7.75,9.8,7.75,7.75,2400.0,12800.0
BALKRISIND-I1040CE,2019-01-02,4.5,4.5,4.5,4.5,800.0,4000.0
BALKRISIND-I820PE,2019-01-03,6.95,7.05,6.95,7.0,3200.0,12000.0
BALKRISIND-I840PE,2019-01-03,10.75,12.0,9.35,12.0,4800.0,19200.0
BALKRISIND-I860PE,2019-01-03,11.2,15.85,11.2,15.85,3200.0,28800.0
BALKRISIND-I900CE,2019-01-03,39.15,39.15,36.0,36.0,4000.0,8800.0
BALKRISIND-I900PE,2019-01-03,26.1,31.7,25.2,31.1,16800.0,36800.0
BALKRISIND-I920CE,2019-01-03,33.45,35.7,26.95,26.95,24800.0,16000.0
BALKRISIND-I920PE,2019-01-03,34.5,42.5,33.0,42.5,6400.0,17600.0
BALKRISIND-I940CE,2019-01-03,24.15,27.4,19.5,20.1,55200.0,56800.0
BALKRISIND-I940PE,2019-01-03,51.0,53.1,51.0,52.1,10400.0,14400.0
BALKRISIND-I960CE,2019-01-03,16.7,16.7,14.0,14.6,19200.0,41600.0
BALKRISIND-I960PE,2019-01-03,66.0,66.0,65.0,65.0,4000.0,3200.0
BALKRISIND-I980CE,2019-01-03,13.6,14.65,9.85,10.4,37600.0,36800.0
BALKRISIND-I1000CE,2019-01-03,9.95,10.3,6.1,6.1,11200.0,56000.0
BALKRISIND-I1020CE,2019-01-03,4.5,4.5,4.5,4.5,1600.0,12800.0
BALKRISIND-I1040CE,2019-01-03,5.0,5.0,5.0,5.0,800.0,4000.0
BALKRISIND-I1060CE,2019-01-03,3.0,3.0,3.0,3.0,800.0,4000.0
BALKRISIND-I800PE,2019-01-04,4.5,4.55,4.5,4.5,3200.0,9600.0
BALKRISIND-I820PE,2019-01-04,6.35,8.2,6.35,7.15,6400.0,16000.0
BALKRISIND-I840PE,2019-01-04,11.8,12.0,11.8,12.0,1600.0,20800.0
BALKRISIND-I860PE,2019-01-04,17.55,19.5,16.0,16.65,4800.0,28800.0
BALKRISIND-I880PE,2019-01-04,21.0,28.0,21.0,25.0,18400.0,16800.0
BALKRISIND-I900CE,2019-01-04,37.45,39.0,29.7,32.5,29600.0,12000.0
BALKRISIND-I900PE,2019-01-04,30.4,38.5,29.2,35.85,29600.0,40800.0
BALKRISIND-I920CE,2019-01-04,28.25,28.25,22.6,24.5,17600.0,17600.0
BALKRISIND-I920PE,2019-01-04,41.2,49.6,41.2,47.25,5600.0,16000.0
BALKRISIND-I940CE,2019-01-04,20.9,21.2,15.75,18.5,27200.0,56800.0
BALKRISIND-I940PE,2019-01-04,53.55,61.95,53.15,60.5,4800.0,12000.0
BALKRISIND-I960CE,2019-01-04,16.7,16.7,11.15,12.6,15200.0,44800.0
