Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BANDHANBNK-I320PE,2020-02-28,3.5,3.5,3.5,3.5,2400.0,1200.0
BANDHANBNK-I350PE,2020-02-28,8.05,8.45,8.05,8.45,6000.0,4800.0
BANDHANBNK-I360PE,2020-02-28,12.1,15.0,12.0,15.0,8400.0,3600.0
BANDHANBNK-I370CE,2020-02-28,29.3,29.3,29.3,29.3,1200.0,0.0
BANDHANBNK-I370PE,2020-02-28,14.65,16.75,14.35,16.0,4800.0,2400.0
BANDHANBNK-I380CE,2020-02-28,19.55,25.7,19.55,25.7,6000.0,3600.0
BANDHANBNK-I380PE,2020-02-28,23.0,24.0,19.95,24.0,4800.0,2400.0
BANDHANBNK-I390CE,2020-02-28,22.0,22.0,22.0,22.0,1200.0,0.0
BANDHANBNK-I400CE,2020-02-28,15.0,17.0,14.5,16.2,31200.0,20400.0
BANDHANBNK-I400PE,2020-02-28,34.95,34.95,34.95,34.95,1200.0,0.0
BANDHANBNK-I410CE,2020-02-28,10.6,11.65,10.6,11.65,2400.0,1200.0
BANDHANBNK-I450CE,2020-02-28,3.0,3.95,3.0,3.95,3600.0,2400.0
BANDHANBNK-I460CE,2020-02-28,1.5,1.5,1.5,1.5,1200.0,0.0
BANDHANBNK-I470CE,2020-02-28,1.25,1.25,1.25,1.25,1200.0,0.0
BANDHANBNK-I310PE,2020-03-02,1.25,1.25,1.25,1.25,1200.0,0.0
BANDHANBNK-I320PE,2020-03-02,2.0,2.5,0.5,2.5,9600.0,2400.0
BANDHANBNK-I340PE,2020-03-02,4.0,4.0,4.0,4.0,1200.0,0.0
BANDHANBNK-I360PE,2020-03-02,10.4,11.95,3.65,10.8,28800.0,15600.0
BANDHANBNK-I370CE,2020-03-02,35.0,44.25,35.0,44.25,2400.0,1200.0
BANDHANBNK-I370PE,2020-03-02,16.0,16.0,7.5,13.0,16800.0,9600.0
BANDHANBNK-I380CE,2020-03-02,35.9,35.9,31.35,31.35,4800.0,3600.0
BANDHANBNK-I380PE,2020-03-02,16.5,19.9,9.9,19.9,42000.0,18000.0
BANDHANBNK-I390CE,2020-03-02,20.0,28.75,20.0,20.0,8400.0,1200.0
