Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BANKINDIA-I72.5CE,2019-01-01,33.0,33.0,33.0,33.0,6000.0,6000.0
BANKINDIA-I77.5PE,2019-01-01,0.25,0.25,0.25,0.25,36000.0,48000.0
BANKINDIA-I80CE,2019-01-01,25.55,25.55,25.55,25.55,6000.0,126000.0
BANKINDIA-I80PE,2019-01-01,0.35,0.35,0.25,0.3,96000.0,342000.0
BANKINDIA-I85PE,2019-01-01,0.6,0.6,0.45,0.45,30000.0,192000.0
BANKINDIA-I87.5CE,2019-01-01,20.1,20.1,20.1,20.1,6000.0,18000.0
BANKINDIA-I87.5PE,2019-01-01,0.7,0.7,0.7,0.7,6000.0,54000.0
BANKINDIA-I90PE,2019-01-01,1.0,1.1,0.75,0.8,486000.0,720000.0
BANKINDIA-I92.5PE,2019-01-01,1.2,1.2,1.1,1.1,18000.0,150000.0
BANKINDIA-I95CE,2019-01-01,12.7,12.8,12.7,12.8,12000.0,72000.0
BANKINDIA-I95PE,2019-01-01,1.8,1.9,1.35,1.35,582000.0,684000.0
BANKINDIA-I97.5CE,2019-01-01,9.2,9.2,9.2,9.2,12000.0,72000.0
BANKINDIA-I97.5PE,2019-01-01,2.55,2.55,1.8,1.8,84000.0,210000.0
BANKINDIA-I100CE,2019-01-01,8.25,9.9,8.25,9.8,234000.0,342000.0
BANKINDIA-I100PE,2019-01-01,3.25,3.4,2.35,2.4,1872000.0,1122000.0
BANKINDIA-I102.5CE,2019-01-01,6.8,8.25,6.7,8.25,102000.0,126000.0
BANKINDIA-I102.5PE,2019-01-01,4.15,4.45,3.15,3.15,312000.0,162000.0
BANKINDIA-I105CE,2019-01-01,5.35,6.75,5.0,6.6,1512000.0,714000.0
BANKINDIA-I105PE,2019-01-01,5.4,5.65,4.0,4.0,732000.0,384000.0
BANKINDIA-I107.5CE,2019-01-01,4.4,5.5,3.9,5.4,318000.0,174000.0
BANKINDIA-I107.5PE,2019-01-01,6.4,6.4,5.3,5.3,48000.0,36000.0
BANKINDIA-I110CE,2019-01-01,3.35,4.4,3.15,4.35,2358000.0,1308000.0
BANKINDIA-I110PE,2019-01-01,8.15,8.15,6.85,6.85,24000.0,108000.0
BANKINDIA-I112.5CE,2019-01-01,2.55,3.6,2.55,3.6,192000.0,198000.0
BANKINDIA-I115CE,2019-01-01,1.9,2.65,1.85,2.65,948000.0,1248000.0
BANKINDIA-I115PE,2019-01-01,11.8,11.8,9.85,9.85,30000.0,18000.0
BANKINDIA-I117.5CE,2019-01-01,1.5,2.0,1.35,2.0,54000.0,120000.0
BANKINDIA-I120CE,2019-01-01,1.25,1.55,1.05,1.55,768000.0,894000.0
BANKINDIA-I122.5CE,2019-01-01,1.0,1.1,0.95,1.1,36000.0,18000.0
BANKINDIA-I80CE,2019-01-02,23.8,26.0,13.0,26.0,30000.0,144000.0
BANKINDIA-I80PE,2019-01-02,0.25,0.45,0.25,0.4,144000.0,348000.0
BANKINDIA-I82.5PE,2019-01-02,0.25,0.25,0.25,0.25,6000.0,12000.0
BANKINDIA-I85PE,2019-01-02,0.6,0.7,0.45,0.65,78000.0,198000.0
BANKINDIA-I87.5PE,2019-01-02,0.65,0.65,0.65,0.65,6000.0,60000.0
BANKINDIA-I90CE,2019-01-02,17.55,17.55,16.55,16.55,24000.0,228000.0
BANKINDIA-I90PE,2019-01-02,0.8,1.15,0.65,0.95,1062000.0,774000.0
BANKINDIA-I92.5PE,2019-01-02,0.9,1.5,0.9,1.4,138000.0,102000.0
BANKINDIA-I95PE,2019-01-02,1.35,1.95,1.25,1.65,996000.0,594000.0
BANKINDIA-I97.5CE,2019-01-02,11.0,11.0,10.1,10.1,12000.0,66000.0
BANKINDIA-I97.5PE,2019-01-02,1.55,2.6,1.55,2.35,156000.0,222000.0
BANKINDIA-I100CE,2019-01-02,10.0,10.4,8.1,8.1,120000.0,348000.0
BANKINDIA-I100PE,2019-01-02,2.65,3.45,2.1,3.0,3234000.0,1044000.0
BANKINDIA-I102.5CE,2019-01-02,7.75,8.25,6.1,6.7,108000.0,132000.0
BANKINDIA-I102.5PE,2019-01-02,3.15,4.45,2.9,3.75,576000.0,186000.0
BANKINDIA-I105CE,2019-01-02,6.1,7.0,4.85,5.3,1248000.0,750000.0
BANKINDIA-I105PE,2019-01-02,4.4,5.6,3.75,5.1,1926000.0,1020000.0
BANKINDIA-I107.5CE,2019-01-02,4.65,5.65,3.85,4.2,648000.0,204000.0
BANKINDIA-I107.5PE,2019-01-02,4.8,6.75,4.8,6.75,108000.0,66000.0
BANKINDIA-I110CE,2019-01-02,4.1,4.6,3.0,3.35,3402000.0,1518000.0
BANKINDIA-I110PE,2019-01-02,6.2,8.7,6.2,8.5,96000.0,150000.0
BANKINDIA-I112.5CE,2019-01-02,3.45,3.6,2.35,2.55,390000.0,192000.0
BANKINDIA-I115CE,2019-01-02,2.35,2.8,1.75,1.95,1182000.0,1224000.0
BANKINDIA-I115PE,2019-01-02,9.75,11.05,9.75,11.05,36000.0,24000.0
BANKINDIA-I117.5CE,2019-01-02,1.95,2.15,1.25,1.25,66000.0,102000.0
BANKINDIA-I120CE,2019-01-02,1.5,1.7,1.05,1.15,1098000.0,1008000.0
BANKINDIA-I122.5CE,2019-01-02,1.2,1.2,0.75,0.85,30000.0,54000.0
BANKINDIA-I125CE,2019-01-02,0.6,0.7,0.5,0.7,48000.0,36000.0
BANKINDIA-I67.5PE,2019-01-03,0.65,0.65,0.1,0.1,414000.0,144000.0
BANKINDIA-I70PE,2019-01-03,0.6,0.6,0.05,0.05,108000.0,48000.0
BANKINDIA-I80PE,2019-01-03,0.4,0.4,0.25,0.25,42000.0,360000.0
BANKINDIA-I82.5PE,2019-01-03,0.25,0.25,0.25,0.25,6000.0,18000.0
BANKINDIA-I85PE,2019-01-03,0.5,0.5,0.4,0.5,54000.0,228000.0
BANKINDIA-I90PE,2019-01-03,0.9,0.95,0.7,0.85,402000.0,912000.0
BANKINDIA-I92.5PE,2019-01-03,1.4,1.4,1.0,1.0,48000.0,90000.0
BANKINDIA-I95PE,2019-01-03,1.75,1.8,1.2,1.4,522000.0,588000.0
BANKINDIA-I97.5PE,2019-01-03,2.15,2.15,1.6,1.8,120000.0,252000.0
BANKINDIA-I100CE,2019-01-03,7.9,9.3,7.9,8.5,54000.0,354000.0
BANKINDIA-I100PE,2019-01-03,2.8,3.15,2.1,2.45,1590000.0,1038000.0
BANKINDIA-I102.5CE,2019-01-03,6.7,7.0,6.7,7.0,18000.0,114000.0
BANKINDIA-I102.5PE,2019-01-03,3.7,3.85,2.8,3.2,312000.0,186000.0
BANKINDIA-I105CE,2019-01-03,4.8,6.4,4.8,5.9,936000.0,666000.0
BANKINDIA-I105PE,2019-01-03,5.2,5.2,3.65,4.3,1530000.0,1188000.0
BANKINDIA-I107.5CE,2019-01-03,4.05,5.15,3.8,4.55,612000.0,306000.0
BANKINDIA-I107.5PE,2019-01-03,6.6,6.6,5.0,5.6,216000.0,108000.0
BANKINDIA-I110CE,2019-01-03,3.25,4.05,2.9,3.55,1842000.0,1536000.0
BANKINDIA-I110PE,2019-01-03,8.15,8.15,6.35,7.1,204000.0,168000.0
BANKINDIA-I112.5CE,2019-01-03,2.5,3.05,2.35,2.75,396000.0,210000.0
BANKINDIA-I115CE,2019-01-03,1.8,2.4,1.7,2.1,1008000.0,1248000.0
BANKINDIA-I115PE,2019-01-03,11.65,11.7,10.1,11.55,54000.0,54000.0
BANKINDIA-I117.5CE,2019-01-03,1.25,1.65,1.25,1.55,54000.0,96000.0
BANKINDIA-I120CE,2019-01-03,1.1,1.4,1.0,1.25,834000.0,1062000.0
BANKINDIA-I122.5CE,2019-01-03,0.8,0.95,0.8,0.9,18000.0,66000.0
BANKINDIA-I125CE,2019-01-03,0.6,0.85,0.55,0.6,90000.0,78000.0
BANKINDIA-I80PE,2019-01-04,0.2,0.2,0.2,0.2,12000.0,372000.0
BANKINDIA-I85PE,2019-01-04,0.3,0.3,0.3,0.3,24000.0,222000.0
BANKINDIA-I87.5PE,2019-01-04,0.45,0.45,0.45,0.45,6000.0,60000.0
BANKINDIA-I90CE,2019-01-04,17.6,19.75,17.6,19.7,96000.0,228000.0
BANKINDIA-I90PE,2019-01-04,0.7,0.8,0.45,0.45,510000.0,738000.0
BANKINDIA-I92.5PE,2019-01-04,0.6,0.65,0.6,0.65,12000.0,78000.0
BANKINDIA-I95CE,2019-01-04,14.15,15.0,14.15,15.0,12000.0,66000.0
BANKINDIA-I95PE,2019-01-04,1.3,1.35,0.8,0.85,594000.0,552000.0
BANKINDIA-I97.5CE,2019-01-04,10.15,11.2,10.15,11.2,12000.0,66000.0
BANKINDIA-I97.5PE,2019-01-04,1.8,1.8,1.05,1.2,156000.0,204000.0
BANKINDIA-I100CE,2019-01-04,8.2,11.0,8.2,10.6,144000.0,348000.0
BANKINDIA-I100PE,2019-01-04,2.3,2.6,1.45,1.55,1296000.0,1074000.0
BANKINDIA-I102.5CE,2019-01-04,7.15,9.25,7.05,9.25,66000.0,102000.0
BANKINDIA-I102.5PE,2019-01-04,3.1,3.35,2.0,2.05,486000.0,252000.0
BANKINDIA-I105CE,2019-01-04,6.0,7.5,5.25,7.5,846000.0,594000.0
BANKINDIA-I105PE,2019-01-04,4.0,4.4,2.65,2.75,1380000.0,1146000.0
BANKINDIA-I107.5CE,2019-01-04,4.55,6.0,4.05,5.9,738000.0,210000.0
BANKINDIA-I107.5PE,2019-01-04,5.55,5.7,3.55,3.55,354000.0,114000.0
BANKINDIA-I110CE,2019-01-04,3.75,4.7,3.2,4.7,3108000.0,1458000.0
BANKINDIA-I110PE,2019-01-04,7.15,7.2,4.6,4.6,336000.0,252000.0
BANKINDIA-I112.5CE,2019-01-04,2.75,3.6,2.45,3.6,342000.0,222000.0
BANKINDIA-I115CE,2019-01-04,2.1,2.75,1.85,2.7,1854000.0,1590000.0
BANKINDIA-I115PE,2019-01-04,8.65,8.65,8.65,8.65,6000.0,48000.0
BANKINDIA-I117.5CE,2019-01-04,1.45,2.0,1.35,2.0,48000.0,72000.0
BANKINDIA-I120CE,2019-01-04,1.3,1.55,1.0,1.5,1242000.0,1224000.0
BANKINDIA-I122.5CE,2019-01-04,0.9,1.05,0.9,1.05,18000.0,72000.0
BANKINDIA-I125CE,2019-01-04,0.65,0.85,0.5,0.85,108000.0,114000.0
BANKINDIA-I72.5PE,2019-01-07,0.45,0.45,0.4,0.4,156000.0,156000.0
BANKINDIA-I80PE,2019-01-07,0.15,0.15,0.15,0.15,18000.0,366000.0
BANKINDIA-I90CE,2019-01-07,18.95,19.8,18.2,18.2,18000.0,252000.0
BANKINDIA-I90PE,2019-01-07,0.45,0.5,0.4,0.45,270000.0,636000.0
BANKINDIA-I92.5PE,2019-01-07,0.7,0.7,0.7,0.7,6000.0,78000.0
