Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BEML-I700PE,2019-01-01,4.0,4.0,2.2,2.2,1400.0,6300.0
BEML-I720PE,2019-01-01,2.2,2.2,2.2,2.2,700.0,4200.0
BEML-I800PE,2019-01-01,13.1,13.1,10.5,10.5,4900.0,28700.0
BEML-I840PE,2019-01-01,19.4,24.65,17.4,17.4,14000.0,12600.0
BEML-I860CE,2019-01-01,66.0,66.0,66.0,66.0,700.0,2800.0
BEML-I860PE,2019-01-01,28.5,31.25,25.7,25.7,9800.0,11900.0
BEML-I880PE,2019-01-01,34.3,40.25,31.05,31.05,23800.0,14000.0
BEML-I900CE,2019-01-01,46.45,51.8,45.0,51.8,14000.0,24500.0
BEML-I900PE,2019-01-01,45.5,50.4,40.35,40.35,23800.0,21000.0
BEML-I920CE,2019-01-01,43.8,43.8,36.2,43.6,44800.0,35700.0
BEML-I920PE,2019-01-01,60.7,60.7,50.45,50.45,7000.0,8400.0
BEML-I940CE,2019-01-01,36.0,36.0,28.85,33.6,34300.0,30100.0
BEML-I960CE,2019-01-01,28.0,28.9,22.85,27.1,33600.0,18200.0
BEML-I980CE,2019-01-01,18.5,23.0,18.1,23.0,20300.0,27300.0
BEML-I1000CE,2019-01-01,14.0,17.0,13.75,17.0,23100.0,77000.0
BEML-I1020CE,2019-01-01,10.3,12.4,10.3,12.3,3500.0,11200.0
BEML-I1080CE,2019-01-01,6.0,6.0,5.0,5.0,2100.0,4200.0
BEML-I600PE,2019-01-02,0.3,0.3,0.3,0.3,700.0,700.0
BEML-I800PE,2019-01-02,9.0,9.0,8.0,8.5,6300.0,32900.0
BEML-I820PE,2019-01-02,16.5,16.5,10.7,11.5,4200.0,10500.0
BEML-I840PE,2019-01-02,17.05,17.05,14.0,16.2,6300.0,18900.0
BEML-I860CE,2019-01-02,85.8,85.8,79.2,79.2,1400.0,2100.0
BEML-I860PE,2019-01-02,25.05,25.05,19.5,21.5,19600.0,11900.0
BEML-I880CE,2019-01-02,77.0,77.0,69.95,76.6,2800.0,4200.0
BEML-I880PE,2019-01-02,30.05,30.05,25.1,28.3,16800.0,14700.0
BEML-I900CE,2019-01-02,54.0,66.0,54.0,65.0,25200.0,18200.0
BEML-I900PE,2019-01-02,36.0,40.55,32.95,36.3,42700.0,25900.0
BEML-I920CE,2019-01-02,38.45,56.0,38.0,53.5,233800.0,40600.0
BEML-I920PE,2019-01-02,48.3,48.95,43.0,45.0,45500.0,17500.0
