Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
BFUTILITIE.EQ-NSE,2019-01-01,216.7,224.35,211.65,220.6,1017317.0
BFUTILITIE.EQ-NSE,2019-01-02,220.2,230.8,219.0,223.5,1279627.0
BFUTILITIE.EQ-NSE,2019-01-03,224.0,228.35,220.25,222.6,476854.0
BFUTILITIE.EQ-NSE,2019-01-04,224.5,225.5,217.6,221.0,453370.0
BFUTILITIE.EQ-NSE,2019-01-07,223.4,237.0,222.0,232.6,2123192.0
BFUTILITIE.EQ-NSE,2019-01-08,234.35,238.7,232.0,235.15,843719.0
BFUTILITIE.EQ-NSE,2019-01-09,236.4,237.2,226.6,229.25,350344.0
BFUTILITIE.EQ-NSE,2019-01-10,230.25,231.65,224.05,226.0,308444.0
BFUTILITIE.EQ-NSE,2019-01-11,227.5,227.65,221.5,222.5,174791.0
BFUTILITIE.EQ-NSE,2019-01-14,223.0,224.2,217.1,219.9,159368.0
BFUTILITIE.EQ-NSE,2019-01-15,221.9,227.85,220.0,223.5,442129.0
BFUTILITIE.EQ-NSE,2019-01-16,224.35,226.25,220.3,222.3,226697.0
BFUTILITIE.EQ-NSE,2019-01-17,222.0,229.35,221.5,224.4,637376.0
BFUTILITIE.EQ-NSE,2019-01-18,225.5,227.2,211.15,212.0,593050.0
BFUTILITIE.EQ-NSE,2019-01-21,212.15,213.5,205.1,206.0,418083.0
BFUTILITIE.EQ-NSE,2019-01-22,205.45,214.0,202.25,204.25,406311.0
BFUTILITIE.EQ-NSE,2019-01-23,205.2,211.05,204.3,206.1,242327.0
BFUTILITIE.EQ-NSE,2019-01-24,205.25,209.35,203.2,204.1,263965.0
BFUTILITIE.EQ-NSE,2019-01-25,205.2,214.75,202.0,202.95,546163.0
BFUTILITIE.EQ-NSE,2019-01-28,204.4,205.35,194.0,196.0,223447.0
BFUTILITIE.EQ-NSE,2019-01-29,194.9,198.8,191.5,194.9,170146.0
BFUTILITIE.EQ-NSE,2019-01-30,197.1,202.0,195.1,197.0,381866.0
BFUTILITIE.EQ-NSE,2019-01-31,197.85,207.55,193.5,200.65,548243.0
BFUTILITIE.EQ-NSE,2019-02-01,200.65,202.9,193.6,196.45,240786.0
BFUTILITIE.EQ-NSE,2019-02-04,197.0,197.95,186.55,190.25,242660.0
BFUTILITIE.EQ-NSE,2019-02-05,191.0,192.35,185.1,185.45,179346.0
BFUTILITIE.EQ-NSE,2019-02-06,185.3,187.9,176.2,181.0,200943.0
BFUTILITIE.EQ-NSE,2019-02-07,181.4,185.75,181.1,182.0,156712.0
BFUTILITIE.EQ-NSE,2019-02-08,181.15,181.2,171.7,172.05,184272.0
BFUTILITIE.EQ-NSE,2019-02-11,172.55,173.85,150.05,153.8,493352.0
BFUTILITIE.EQ-NSE,2019-02-12,154.1,158.85,151.75,157.0,261958.0
BFUTILITIE.EQ-NSE,2019-02-13,159.1,163.6,152.3,154.1,246265.0
BFUTILITIE.EQ-NSE,2019-02-14,153.65,160.5,151.1,155.5,289442.0
BFUTILITIE.EQ-NSE,2019-02-15,155.7,156.75,151.25,151.25,185541.0
BFUTILITIE.EQ-NSE,2019-02-18,153.4,153.4,148.0,148.3,172825.0
BFUTILITIE.EQ-NSE,2019-02-19,148.5,154.2,148.0,150.6,229815.0
BFUTILITIE.EQ-NSE,2019-02-20,152.5,155.9,150.85,154.75,315241.0
BFUTILITIE.EQ-NSE,2019-02-21,154.65,182.5,152.7,177.8,3129430.0
BFUTILITIE.EQ-NSE,2019-02-22,176.0,182.5,172.8,174.95,1001947.0
BFUTILITIE.EQ-NSE,2019-02-25,175.7,188.5,174.65,180.1,1512943.0
BFUTILITIE.EQ-NSE,2019-02-26,172.15,181.7,171.1,177.9,690938.0
BFUTILITIE.EQ-NSE,2019-02-27,178.4,184.0,172.3,173.7,723248.0
BFUTILITIE.EQ-NSE,2019-02-28,176.0,182.0,173.55,179.9,536580.0
BFUTILITIE.EQ-NSE,2019-03-01,181.05,185.4,179.8,181.2,605894.0
BFUTILITIE.EQ-NSE,2019-03-05,181.85,191.9,180.75,188.95,1175888.0
BFUTILITIE.EQ-NSE,2019-03-06,190.4,196.05,188.35,190.95,761002.0
BFUTILITIE.EQ-NSE,2019-03-07,192.0,197.0,189.0,191.3,713052.0
BFUTILITIE.EQ-NSE,2019-03-08,191.5,197.4,189.3,192.65,728218.0
BFUTILITIE.EQ-NSE,2019-03-11,193.65,209.75,193.2,206.5,2329850.0
BFUTILITIE.EQ-NSE,2019-03-12,207.3,209.8,203.0,205.0,519915.0
BFUTILITIE.EQ-NSE,2019-03-13,202.5,206.8,197.3,201.05,637398.0
BFUTILITIE.EQ-NSE,2019-03-14,202.0,203.7,198.4,199.9,240459.0
BFUTILITIE.EQ-NSE,2019-03-15,201.3,205.75,192.25,194.95,642316.0
BFUTILITIE.EQ-NSE,2019-03-18,196.1,197.35,191.6,194.5,290310.0
BFUTILITIE.EQ-NSE,2019-03-19,195.0,202.2,193.1,199.5,674200.0
BFUTILITIE.EQ-NSE,2019-03-20,198.9,199.5,193.45,196.1,276280.0
BFUTILITIE.EQ-NSE,2019-03-22,195.9,196.5,190.5,191.0,212140.0
BFUTILITIE.EQ-NSE,2019-03-25,189.0,189.0,185.05,187.0,115691.0
BFUTILITIE.EQ-NSE,2019-03-26,188.0,195.0,186.6,192.65,403183.0
BFUTILITIE.EQ-NSE,2019-03-27,194.2,196.6,190.5,194.05,488568.0
BFUTILITIE.EQ-NSE,2019-03-28,194.7,198.05,193.35,194.1,231872.0
BFUTILITIE.EQ-NSE,2019-03-29,196.1,202.15,195.0,195.9,324902.0
BFUTILITIE.EQ-NSE,2019-04-01,197.9,203.95,196.05,199.45,657623.0
BFUTILITIE.EQ-NSE,2019-04-02,200.5,206.7,198.65,204.4,747247.0
BFUTILITIE.EQ-NSE,2019-04-03,204.5,208.2,195.25,199.65,812461.0
BFUTILITIE.EQ-NSE,2019-04-04,199.7,202.9,193.05,195.95,505641.0
BFUTILITIE.EQ-NSE,2019-04-05,196.4,199.8,194.75,198.0,336085.0
BFUTILITIE.EQ-NSE,2019-04-08,199.4,216.9,198.0,215.25,2055050.0
BFUTILITIE.EQ-NSE,2019-04-09,216.0,218.9,210.65,216.5,2671303.0
BFUTILITIE.EQ-NSE,2019-04-10,216.15,219.0,210.5,212.7,806868.0
BFUTILITIE.EQ-NSE,2019-04-11,213.1,216.35,211.65,213.15,468004.0
BFUTILITIE.EQ-NSE,2019-04-12,214.0,215.2,210.6,211.8,345779.0
BFUTILITIE.EQ-NSE,2019-04-15,213.6,217.4,211.1,213.3,400776.0
BFUTILITIE.EQ-NSE,2019-04-16,214.3,215.5,210.0,210.0,354372.0
BFUTILITIE.EQ-NSE,2019-04-18,211.85,212.25,200.0,200.0,419829.0
BFUTILITIE.EQ-NSE,2019-04-22,200.0,200.2,192.55,193.95,209264.0
BFUTILITIE.EQ-NSE,2019-04-23,194.65,196.15,190.35,193.8,243279.0
BFUTILITIE.EQ-NSE,2019-04-24,194.2,195.95,192.45,193.55,345835.0
BFUTILITIE.EQ-NSE,2019-04-25,194.4,198.0,191.1,192.0,438750.0
BFUTILITIE.EQ-NSE,2019-04-26,193.3,195.2,189.4,191.35,378404.0
BFUTILITIE.EQ-NSE,2019-04-30,191.7,191.7,182.7,184.4,193534.0
BFUTILITIE.EQ-NSE,2019-05-02,183.95,185.85,180.25,181.1,215310.0
BFUTILITIE.EQ-NSE,2019-05-03,182.5,183.3,176.7,177.0,227127.0
BFUTILITIE.EQ-NSE,2019-05-06,172.25,176.35,170.0,170.3,265704.0
BFUTILITIE.EQ-NSE,2019-05-07,172.0,174.6,168.2,169.0,421379.0
BFUTILITIE.EQ-NSE,2019-05-08,168.0,169.25,162.75,165.8,328361.0
BFUTILITIE.EQ-NSE,2019-05-09,164.8,165.55,161.0,162.55,241749.0
BFUTILITIE.EQ-NSE,2019-05-10,163.5,169.55,162.6,166.25,431709.0
BFUTILITIE.EQ-NSE,2019-05-13,167.15,170.75,160.55,162.85,325054.0
BFUTILITIE.EQ-NSE,2019-05-14,162.5,164.65,159.0,164.0,240590.0
BFUTILITIE.EQ-NSE,2019-05-15,164.4,166.25,162.65,163.0,222413.0
BFUTILITIE.EQ-NSE,2019-05-16,163.9,164.6,158.75,162.7,171176.0
BFUTILITIE.EQ-NSE,2019-05-17,162.9,166.7,161.2,162.4,231988.0
BFUTILITIE.EQ-NSE,2019-05-20,167.0,176.0,165.1,173.45,589937.0
BFUTILITIE.EQ-NSE,2019-05-21,174.9,181.0,173.15,177.6,629544.0
BFUTILITIE.EQ-NSE,2019-05-22,179.2,183.25,176.35,181.6,525008.0
BFUTILITIE.EQ-NSE,2019-05-23,187.3,212.8,184.15,205.4,2666461.0
BFUTILITIE.EQ-NSE,2019-05-24,209.0,212.65,197.9,210.8,1214982.0
BFUTILITIE.EQ-NSE,2019-05-27,209.05,220.75,207.05,217.0,1301765.0
BFUTILITIE.EQ-NSE,2019-05-28,218.65,218.95,210.05,214.5,491096.0
BFUTILITIE.EQ-NSE,2019-05-29,214.7,223.7,211.45,216.75,973274.0
BFUTILITIE.EQ-NSE,2019-05-30,216.8,218.8,212.5,212.85,521996.0
BFUTILITIE.EQ-NSE,2019-05-31,214.0,218.0,203.15,205.6,447412.0
BFUTILITIE.EQ-NSE,2019-06-03,206.4,206.5,198.1,201.65,297933.0
BFUTILITIE.EQ-NSE,2019-06-04,200.0,208.0,199.8,201.6,421133.0
BFUTILITIE.EQ-NSE,2019-06-06,201.9,203.95,195.3,196.5,190303.0
BFUTILITIE.EQ-NSE,2019-06-07,197.0,201.25,192.4,195.3,255613.0
BFUTILITIE.EQ-NSE,2019-06-10,197.4,198.5,191.0,191.45,187767.0
BFUTILITIE.EQ-NSE,2019-06-11,193.45,193.45,186.5,187.85,197438.0
BFUTILITIE.EQ-NSE,2019-06-12,187.0,190.55,185.1,187.0,238540.0
BFUTILITIE.EQ-NSE,2019-06-13,186.9,187.85,182.35,185.5,197732.0
BFUTILITIE.EQ-NSE,2019-06-14,185.75,190.0,184.6,186.0,207105.0
BFUTILITIE.EQ-NSE,2019-06-17,185.0,186.95,181.55,183.0,146242.0
BFUTILITIE.EQ-NSE,2019-06-18,183.1,185.55,176.3,180.0,232466.0
BFUTILITIE.EQ-NSE,2019-06-19,180.8,184.1,167.0,171.35,339582.0
BFUTILITIE.EQ-NSE,2019-06-20,169.5,173.0,165.5,172.4,202972.0
BFUTILITIE.EQ-NSE,2019-06-21,172.8,182.2,170.5,179.4,458519.0
BFUTILITIE.EQ-NSE,2019-06-24,179.95,181.85,175.8,177.45,200235.0
BFUTILITIE.EQ-NSE,2019-06-25,177.9,180.95,175.5,177.55,190363.0
BFUTILITIE.EQ-NSE,2019-06-26,178.5,184.75,177.55,181.8,293967.0
BFUTILITIE.EQ-NSE,2019-06-27,183.0,185.95,182.15,182.85,237000.0
BFUTILITIE.EQ-NSE,2019-06-28,182.85,183.0,177.0,177.45,155692.0
BFUTILITIE.EQ-NSE,2019-07-01,179.1,180.8,175.8,179.8,162340.0
BFUTILITIE.EQ-NSE,2019-07-02,181.4,181.5,176.5,178.3,108504.0
BFUTILITIE.EQ-NSE,2019-07-03,178.9,180.45,175.8,176.0,101138.0
BFUTILITIE.EQ-NSE,2019-07-04,176.9,180.3,176.1,178.8,130401.0
BFUTILITIE.EQ-NSE,2019-07-05,179.5,180.4,172.25,173.0,107333.0
BFUTILITIE.EQ-NSE,2019-07-08,176.0,209.45,176.0,209.45,3594868.0
BFUTILITIE.EQ-NSE,2019-07-09,212.0,220.95,199.4,202.6,3112526.0
BFUTILITIE.EQ-NSE,2019-07-10,200.9,207.9,199.6,204.5,874958.0
BFUTILITIE.EQ-NSE,2019-07-11,208.35,219.7,205.35,213.5,1610062.0
BFUTILITIE.EQ-NSE,2019-07-12,215.65,219.2,201.15,207.0,1180226.0
BFUTILITIE.EQ-NSE,2019-07-15,208.4,212.6,203.25,205.0,375514.0
BFUTILITIE.EQ-NSE,2019-07-16,205.55,209.3,204.0,204.5,439998.0
BFUTILITIE.EQ-NSE,2019-07-17,206.15,226.5,205.4,216.05,2987336.0
BFUTILITIE.EQ-NSE,2019-07-18,217.9,230.0,217.0,220.15,2094039.0
BFUTILITIE.EQ-NSE,2019-07-19,223.85,238.5,221.3,224.7,3974052.0
BFUTILITIE.EQ-NSE,2019-07-22,228.0,232.75,218.55,223.75,893242.0
BFUTILITIE.EQ-NSE,2019-07-23,226.2,230.6,223.05,226.0,700465.0
BFUTILITIE.EQ-NSE,2019-07-24,234.9,240.0,221.2,221.5,2100714.0
BFUTILITIE.EQ-NSE,2019-07-25,222.05,222.65,204.2,204.6,873799.0
BFUTILITIE.EQ-NSE,2019-07-26,202.8,208.4,195.2,201.55,1323455.0
BFUTILITIE.EQ-NSE,2019-07-29,203.8,207.7,197.55,198.85,856076.0
BFUTILITIE.EQ-NSE,2019-07-30,200.5,202.45,175.3,177.8,729238.0
BFUTILITIE.EQ-NSE,2019-07-31,176.25,182.35,175.1,177.25,902314.0
BFUTILITIE.EQ-NSE,2019-08-01,177.5,177.5,168.1,169.15,367413.0
BFUTILITIE.EQ-NSE,2019-08-02,166.95,167.0,160.45,162.55,451875.0
BFUTILITIE.EQ-NSE,2019-08-05,160.95,162.95,151.45,158.45,479791.0
BFUTILITIE.EQ-NSE,2019-08-06,156.5,162.9,156.0,160.05,422359.0
BFUTILITIE.EQ-NSE,2019-08-07,160.9,170.0,160.0,165.0,577745.0
BFUTILITIE.EQ-NSE,2019-08-08,166.05,166.45,160.45,163.45,280818.0
BFUTILITIE.EQ-NSE,2019-08-09,164.4,168.15,163.25,164.0,341409.0
BFUTILITIE.EQ-NSE,2019-08-13,164.6,166.65,160.0,160.25,242230.0
BFUTILITIE.EQ-NSE,2019-08-14,162.4,163.25,157.4,161.0,328208.0
