Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BHARATFORG-I460PE,2019-01-01,2.85,3.2,2.85,3.2,2400.0,24000.0
BHARATFORG-I470PE,2019-01-01,4.2,4.5,4.1,4.5,7200.0,31200.0
BHARATFORG-I480PE,2019-01-01,6.65,7.25,5.9,6.5,25200.0,52800.0
BHARATFORG-I490PE,2019-01-01,8.5,9.05,8.3,8.95,6000.0,20400.0
BHARATFORG-I500CE,2019-01-01,23.85,27.55,23.85,27.55,6000.0,31200.0
BHARATFORG-I500PE,2019-01-01,13.2,14.15,11.9,12.65,30000.0,116400.0
BHARATFORG-I510CE,2019-01-01,19.6,22.0,19.6,20.7,27600.0,37200.0
BHARATFORG-I510PE,2019-01-01,18.15,18.4,15.75,16.0,12000.0,26400.0
BHARATFORG-I520CE,2019-01-01,15.5,17.4,14.0,15.5,96000.0,87600.0
BHARATFORG-I520PE,2019-01-01,21.0,21.8,20.5,21.8,3600.0,10800.0
BHARATFORG-I530CE,2019-01-01,11.75,13.0,10.85,11.95,34800.0,44400.0
BHARATFORG-I540CE,2019-01-01,8.05,9.8,7.7,8.65,43200.0,58800.0
BHARATFORG-I550CE,2019-01-01,5.6,7.0,5.6,6.3,22800.0,58800.0
BHARATFORG-I560CE,2019-01-01,4.45,5.0,4.2,4.85,14400.0,42000.0
BHARATFORG-I570CE,2019-01-01,3.0,3.05,3.0,3.05,2400.0,7200.0
BHARATFORG-I600CE,2019-01-01,1.5,1.5,1.15,1.15,2400.0,26400.0
BHARATFORG-I620CE,2019-01-01,0.75,0.75,0.75,0.75,1200.0,1200.0
BHARATFORG-I430PE,2019-01-02,1.25,2.0,1.25,2.0,3600.0,6000.0
BHARATFORG-I440PE,2019-01-02,2.45,3.0,2.45,3.0,3600.0,9600.0
BHARATFORG-I450PE,2019-01-02,4.05,5.0,4.0,4.0,20400.0,19200.0
BHARATFORG-I460PE,2019-01-02,3.0,6.95,3.0,5.75,106800.0,75600.0
BHARATFORG-I470PE,2019-01-02,4.5,9.65,4.5,8.2,130800.0,52800.0
