Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
BHEL.EQ-NSE,2019-01-01,73.75,73.95,72.8,73.8,6401581.0
BHEL.EQ-NSE,2019-01-02,73.35,74.8,72.45,72.75,8608740.0
BHEL.EQ-NSE,2019-01-03,72.9,73.0,70.4,70.7,8065004.0
BHEL.EQ-NSE,2019-01-04,70.85,71.85,70.05,71.8,20412712.0
BHEL.EQ-NSE,2019-01-07,72.2,72.95,71.75,72.05,8103255.0
BHEL.EQ-NSE,2019-01-08,72.0,72.25,71.0,71.3,7438175.0
BHEL.EQ-NSE,2019-01-09,71.55,71.9,69.7,70.1,7105942.0
BHEL.EQ-NSE,2019-01-10,70.3,70.5,68.7,68.8,7793424.0
BHEL.EQ-NSE,2019-01-11,69.3,69.35,68.1,68.3,7349915.0
BHEL.EQ-NSE,2019-01-14,68.75,68.75,67.5,67.8,4710908.0
BHEL.EQ-NSE,2019-01-15,68.25,68.8,67.8,68.5,4991902.0
BHEL.EQ-NSE,2019-01-16,68.45,69.6,68.15,68.2,5472983.0
BHEL.EQ-NSE,2019-01-17,68.5,70.4,68.0,70.0,9566494.0
BHEL.EQ-NSE,2019-01-18,70.3,71.15,69.7,71.0,17139238.0
BHEL.EQ-NSE,2019-01-21,71.2,72.25,70.7,71.0,10327371.0
BHEL.EQ-NSE,2019-01-22,70.95,71.55,69.95,71.1,6239673.0
BHEL.EQ-NSE,2019-01-23,71.25,71.6,69.05,69.2,5358286.0
BHEL.EQ-NSE,2019-01-24,69.3,70.1,68.65,68.85,6276502.0
BHEL.EQ-NSE,2019-01-25,69.2,69.5,66.05,66.25,7121017.0
BHEL.EQ-NSE,2019-01-28,66.6,66.75,63.45,63.7,8726688.0
BHEL.EQ-NSE,2019-01-29,63.3,65.35,63.25,64.6,8729078.0
BHEL.EQ-NSE,2019-01-30,64.9,64.95,63.6,64.0,7491477.0
BHEL.EQ-NSE,2019-01-31,64.65,65.0,63.7,64.55,12303729.0
BHEL.EQ-NSE,2019-02-01,64.85,65.7,63.65,64.35,6011930.0
BHEL.EQ-NSE,2019-02-04,64.65,65.3,63.1,64.95,6791176.0
BHEL.EQ-NSE,2019-02-05,64.95,65.15,56.2,58.6,48795734.0
BHEL.EQ-NSE,2019-02-06,59.25,61.15,57.6,60.8,19372643.0
BHEL.EQ-NSE,2019-02-07,60.85,62.5,60.6,62.4,8047674.0
BHEL.EQ-NSE,2019-02-08,62.15,63.25,61.8,62.1,8282725.0
BHEL.EQ-NSE,2019-02-11,61.3,63.25,61.0,62.7,9473836.0
BHEL.EQ-NSE,2019-02-12,62.35,62.6,61.5,61.6,5519859.0
BHEL.EQ-NSE,2019-02-13,61.9,62.1,60.8,61.0,7368867.0
BHEL.EQ-NSE,2019-02-14,60.2,62.8,60.15,62.0,7937832.0
BHEL.EQ-NSE,2019-02-15,62.0,62.0,60.7,61.0,7007350.0
BHEL.EQ-NSE,2019-02-18,61.0,61.6,60.9,61.05,6741819.0
BHEL.EQ-NSE,2019-02-19,61.35,62.8,61.25,62.15,4220745.0
BHEL.EQ-NSE,2019-02-20,62.3,63.15,62.0,63.05,5087527.0
BHEL.EQ-NSE,2019-02-21,62.85,63.1,62.35,63.0,3128366.0
BHEL.EQ-NSE,2019-02-22,62.85,64.15,62.45,63.65,4755875.0
BHEL.EQ-NSE,2019-02-25,63.95,64.8,63.1,64.2,4005785.0
BHEL.EQ-NSE,2019-02-26,63.55,65.6,62.2,65.2,6519178.0
BHEL.EQ-NSE,2019-02-27,64.85,66.0,64.6,64.7,6758304.0
BHEL.EQ-NSE,2019-02-28,65.0,65.15,64.1,64.55,14156328.0
BHEL.EQ-NSE,2019-03-01,64.8,66.6,64.65,66.1,9305311.0
BHEL.EQ-NSE,2019-03-05,67.35,68.0,66.4,67.2,9047131.0
BHEL.EQ-NSE,2019-03-06,67.7,70.15,67.5,69.05,12995198.0
BHEL.EQ-NSE,2019-03-07,69.2,69.25,67.75,68.0,4187645.0
BHEL.EQ-NSE,2019-03-08,67.9,67.9,66.5,67.1,9317274.0
BHEL.EQ-NSE,2019-03-11,67.55,70.6,67.2,70.0,12665871.0
BHEL.EQ-NSE,2019-03-12,70.4,71.35,69.55,69.75,7514503.0
BHEL.EQ-NSE,2019-03-13,70.1,70.2,67.75,68.05,5256329.0
BHEL.EQ-NSE,2019-03-14,67.95,68.65,66.6,67.15,5753620.0
BHEL.EQ-NSE,2019-03-15,66.35,68.05,66.1,67.95,6844512.0
BHEL.EQ-NSE,2019-03-18,68.15,69.15,66.45,67.25,11408366.0
BHEL.EQ-NSE,2019-03-19,67.45,68.45,67.15,68.1,10358254.0
BHEL.EQ-NSE,2019-03-20,68.15,72.4,68.1,68.65,34642995.0
BHEL.EQ-NSE,2019-03-22,68.7,69.35,66.9,67.4,12836737.0
BHEL.EQ-NSE,2019-03-25,67.1,70.1,66.55,69.25,26107590.0
BHEL.EQ-NSE,2019-03-26,69.9,72.7,69.75,71.2,35421226.0
BHEL.EQ-NSE,2019-03-27,72.0,72.75,70.65,71.3,26048009.0
BHEL.EQ-NSE,2019-03-28,72.0,72.4,70.85,71.0,45175589.0
BHEL.EQ-NSE,2019-03-29,71.75,76.35,71.65,75.1,35901982.0
BHEL.EQ-NSE,2019-04-01,75.45,77.85,74.8,75.95,25119769.0
BHEL.EQ-NSE,2019-04-02,76.3,77.15,73.7,75.45,20251509.0
BHEL.EQ-NSE,2019-04-03,75.45,76.15,73.0,73.8,19595552.0
BHEL.EQ-NSE,2019-04-04,74.2,74.95,72.0,73.5,13667517.0
BHEL.EQ-NSE,2019-04-05,73.75,74.6,72.4,72.7,12639494.0
BHEL.EQ-NSE,2019-04-08,72.9,73.85,72.1,72.9,13208443.0
BHEL.EQ-NSE,2019-04-09,72.95,73.15,71.1,72.0,17261425.0
BHEL.EQ-NSE,2019-04-10,71.75,73.3,71.7,72.0,10819804.0
BHEL.EQ-NSE,2019-04-11,71.9,74.8,71.3,74.7,24181277.0
BHEL.EQ-NSE,2019-04-12,74.7,78.3,74.5,77.6,43744095.0
BHEL.EQ-NSE,2019-04-15,77.9,78.25,76.65,77.4,11010674.0
BHEL.EQ-NSE,2019-04-16,77.6,78.85,76.2,77.05,11078721.0
BHEL.EQ-NSE,2019-04-18,77.7,77.95,75.75,75.9,7116951.0
BHEL.EQ-NSE,2019-04-22,75.75,75.75,73.0,73.4,6478952.0
BHEL.EQ-NSE,2019-04-23,73.0,74.55,72.8,73.75,5994251.0
BHEL.EQ-NSE,2019-04-24,73.6,74.35,72.9,73.4,7688508.0
BHEL.EQ-NSE,2019-04-25,73.6,75.15,71.7,72.15,17250422.0
BHEL.EQ-NSE,2019-04-26,72.4,73.2,70.55,71.25,9620980.0
BHEL.EQ-NSE,2019-04-30,71.0,72.2,69.4,70.65,14277088.0
BHEL.EQ-NSE,2019-05-02,70.95,71.65,69.35,69.6,10310617.0
BHEL.EQ-NSE,2019-05-03,70.0,70.6,68.4,68.55,8362741.0
