Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BHEL-I60PE,2019-01-01,0.15,0.15,0.15,0.15,30000.0,292500.0
BHEL-I62.5PE,2019-01-01,0.3,0.3,0.25,0.25,30000.0,217500.0
BHEL-I65PE,2019-01-01,0.5,0.5,0.4,0.4,225000.0,795000.0
BHEL-I67.5PE,2019-01-01,0.9,0.9,0.7,0.7,210000.0,600000.0
BHEL-I70CE,2019-01-01,4.8,5.2,4.7,5.15,127500.0,652500.0
BHEL-I70PE,2019-01-01,1.4,1.6,1.25,1.25,607500.0,847500.0
BHEL-I71PE,2019-01-01,1.75,1.75,1.75,1.75,22500.0,15000.0
BHEL-I72CE,2019-01-01,3.5,3.85,3.45,3.85,37500.0,105000.0
BHEL-I72PE,2019-01-01,2.1,2.4,1.9,1.9,112500.0,75000.0
BHEL-I72.5CE,2019-01-01,3.3,3.55,3.15,3.55,360000.0,870000.0
BHEL-I72.5PE,2019-01-01,2.3,2.55,2.2,2.2,157500.0,367500.0
BHEL-I73CE,2019-01-01,3.1,3.35,3.05,3.2,112500.0,82500.0
BHEL-I73PE,2019-01-01,2.65,2.65,2.35,2.35,30000.0,15000.0
BHEL-I74CE,2019-01-01,2.6,2.85,2.5,2.5,82500.0,52500.0
BHEL-I75CE,2019-01-01,2.25,2.45,2.05,2.35,1657500.0,1732500.0
BHEL-I75PE,2019-01-01,3.75,3.8,3.45,3.5,45000.0,210000.0
BHEL-I76CE,2019-01-01,1.9,1.9,1.9,1.9,52500.0,52500.0
BHEL-I77.5CE,2019-01-01,1.4,1.5,1.3,1.45,480000.0,517500.0
BHEL-I77.5PE,2019-01-01,5.0,5.0,5.0,5.0,7500.0,7500.0
BHEL-I80CE,2019-01-01,0.8,0.9,0.75,0.9,1387500.0,2017500.0
BHEL-I80PE,2019-01-01,7.05,7.4,7.05,7.4,30000.0,277500.0
BHEL-I81CE,2019-01-01,0.65,0.65,0.65,0.65,7500.0,7500.0
BHEL-I82CE,2019-01-01,0.6,0.6,0.6,0.6,7500.0,75000.0
BHEL-I82.5CE,2019-01-01,0.5,0.5,0.5,0.5,22500.0,157500.0
BHEL-I85CE,2019-01-01,0.35,0.35,0.3,0.35,210000.0,495000.0
BHEL-I90CE,2019-01-01,0.15,0.2,0.15,0.2,15000.0,330000.0
BHEL-I95CE,2019-01-01,0.1,0.1,0.1,0.1,30000.0,75000.0
BHEL-I97.5CE,2019-01-01,0.95,0.95,0.1,0.1,157500.0,22500.0
BHEL-I100CE,2019-01-01,0.05,0.15,0.05,0.05,22500.0,277500.0
BHEL-I60PE,2019-01-02,0.1,0.15,0.1,0.15,157500.0,292500.0
BHEL-I62.5CE,2019-01-02,12.4,12.4,12.4,12.4,15000.0,37500.0
BHEL-I62.5PE,2019-01-02,0.25,0.25,0.15,0.25,135000.0,202500.0
BHEL-I63PE,2019-01-02,0.3,0.3,0.3,0.3,45000.0,120000.0
BHEL-I65CE,2019-01-02,10.15,10.15,10.15,10.15,7500.0,75000.0
