Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
BIOCON.EQ-NSE,2019-01-01,315.65,316.05,311.575,313.2,749300.0
BIOCON.EQ-NSE,2019-01-02,311.5,315.6,309.5,311.425,1230052.0
BIOCON.EQ-NSE,2019-01-03,311.35,313.275,305.5,306.0,884210.0
BIOCON.EQ-NSE,2019-01-04,306.9,309.925,303.625,308.55,1008356.0
BIOCON.EQ-NSE,2019-01-07,310.975,311.25,308.25,310.0,532983.0
BIOCON.EQ-NSE,2019-01-08,310.575,317.0,309.175,314.45,1469580.0
BIOCON.EQ-NSE,2019-01-09,316.35,318.0,314.2,315.225,1451662.0
BIOCON.EQ-NSE,2019-01-10,314.5,316.125,310.075,315.0,1473987.0
BIOCON.EQ-NSE,2019-01-11,315.2,321.825,314.05,321.05,1774325.0
BIOCON.EQ-NSE,2019-01-14,322.575,323.875,319.125,323.0,1850432.0
BIOCON.EQ-NSE,2019-01-15,324.825,325.725,321.525,324.45,1211546.0
BIOCON.EQ-NSE,2019-01-16,324.45,327.5,322.5,325.75,934914.0
BIOCON.EQ-NSE,2019-01-17,326.0,330.0,324.7,329.0,1097829.0
BIOCON.EQ-NSE,2019-01-18,330.4,336.25,325.0,325.575,3518433.0
BIOCON.EQ-NSE,2019-01-21,327.725,335.65,327.15,332.0,1824457.0
BIOCON.EQ-NSE,2019-01-22,332.35,335.95,330.05,335.5,1182266.0
BIOCON.EQ-NSE,2019-01-23,336.1,338.6,333.025,335.325,2425358.0
BIOCON.EQ-NSE,2019-01-24,336.375,336.5,332.625,334.2,1506040.0
BIOCON.EQ-NSE,2019-01-25,339.2,341.225,328.15,331.5,8353927.0
BIOCON.EQ-NSE,2019-01-28,333.1,333.25,320.525,325.75,1806588.0
BIOCON.EQ-NSE,2019-01-29,324.9,327.375,322.0,323.5,1738950.0
BIOCON.EQ-NSE,2019-01-30,325.0,327.325,321.775,324.25,1864429.0
BIOCON.EQ-NSE,2019-01-31,324.05,327.675,323.0,325.25,948009.0
BIOCON.EQ-NSE,2019-02-01,323.3,334.75,322.675,334.0,1502703.0
BIOCON.EQ-NSE,2019-02-04,334.025,334.025,325.1,325.5,928090.0
BIOCON.EQ-NSE,2019-02-05,327.525,329.65,323.0,324.625,611959.0
BIOCON.EQ-NSE,2019-02-06,325.8,326.275,314.05,317.1,1177385.0
BIOCON.EQ-NSE,2019-02-07,317.275,329.4,316.575,328.0,1612488.0
BIOCON.EQ-NSE,2019-02-08,327.5,331.85,323.1,328.0,1031720.0
BIOCON.EQ-NSE,2019-02-11,327.3,327.5,320.575,322.55,730077.0
BIOCON.EQ-NSE,2019-02-12,321.325,326.7,318.4,322.0,1305604.0
BIOCON.EQ-NSE,2019-02-13,323.325,323.325,318.525,319.225,582265.0
BIOCON.EQ-NSE,2019-02-14,319.4,322.2,317.05,320.075,946491.0
BIOCON.EQ-NSE,2019-02-15,320.0,321.0,305.425,308.05,1452000.0
BIOCON.EQ-NSE,2019-02-18,310.425,312.95,302.0,303.725,2039509.0
BIOCON.EQ-NSE,2019-02-19,304.225,310.35,302.6,306.675,1392433.0
BIOCON.EQ-NSE,2019-02-20,308.05,310.5,305.6,310.25,1044991.0
BIOCON.EQ-NSE,2019-02-21,310.075,312.45,308.7,310.25,788181.0
BIOCON.EQ-NSE,2019-02-22,309.95,313.9,309.3,310.95,702924.0
BIOCON.EQ-NSE,2019-02-25,311.25,311.675,307.775,308.325,495873.0
BIOCON.EQ-NSE,2019-02-26,306.9,310.875,303.65,309.75,927524.0
BIOCON.EQ-NSE,2019-02-27,310.5,314.7,306.25,308.45,1211995.0
