Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
BPCL.EQ-NSE,2019-01-01,180.925,184.65,180.0,184.25,3095350.0
BPCL.EQ-NSE,2019-01-02,182.875,182.875,173.375,177.825,19717008.0
BPCL.EQ-NSE,2019-01-03,176.5,177.4,174.075,175.9,9939040.0
BPCL.EQ-NSE,2019-01-04,176.0,180.85,175.75,179.725,7707640.0
BPCL.EQ-NSE,2019-01-07,180.0,181.4,177.0,177.375,5775802.0
BPCL.EQ-NSE,2019-01-08,177.775,177.95,175.025,175.275,4333064.0
BPCL.EQ-NSE,2019-01-09,175.75,175.75,169.0,170.125,9121544.0
BPCL.EQ-NSE,2019-01-10,168.075,169.375,166.5,167.7,9743966.0
BPCL.EQ-NSE,2019-01-11,168.0,169.85,167.275,168.0,4663392.0
BPCL.EQ-NSE,2019-01-14,169.475,169.925,165.775,167.25,7497808.0
BPCL.EQ-NSE,2019-01-15,168.95,171.675,168.1,171.0,6897452.0
BPCL.EQ-NSE,2019-01-16,172.875,174.5,171.175,173.55,9505850.0
BPCL.EQ-NSE,2019-01-17,173.625,178.5,173.025,177.075,7879172.0
BPCL.EQ-NSE,2019-01-18,176.95,178.85,175.65,176.825,5000984.0
BPCL.EQ-NSE,2019-01-21,175.6,177.85,174.15,175.75,3878762.0
BPCL.EQ-NSE,2019-01-22,175.7,178.8,175.525,176.225,4677548.0
BPCL.EQ-NSE,2019-01-23,177.25,179.325,177.2,178.1,3963398.0
BPCL.EQ-NSE,2019-01-24,178.6,180.125,176.125,177.0,3288308.0
BPCL.EQ-NSE,2019-01-25,177.525,180.175,177.525,178.075,3863140.0
BPCL.EQ-NSE,2019-01-28,178.675,178.95,173.1,173.8,2900620.0
BPCL.EQ-NSE,2019-01-29,174.3,176.725,170.35,172.05,6190518.0
BPCL.EQ-NSE,2019-01-30,172.225,172.4,168.25,170.15,5552244.0
BPCL.EQ-NSE,2019-01-31,171.0,175.5,169.05,173.5,15635632.0
BPCL.EQ-NSE,2019-02-01,173.9,174.35,169.2,171.0,5440798.0
BPCL.EQ-NSE,2019-02-04,170.0,170.975,168.025,169.275,4296660.0
BPCL.EQ-NSE,2019-02-05,168.925,170.15,168.3,168.6,2579444.0
BPCL.EQ-NSE,2019-02-06,169.0,170.7,168.35,170.35,4186824.0
BPCL.EQ-NSE,2019-02-07,170.0,171.025,168.95,169.7,3036372.0
BPCL.EQ-NSE,2019-02-08,170.5,173.4,167.525,168.875,6676536.0
BPCL.EQ-NSE,2019-02-11,166.575,168.75,164.0,167.0,6608112.0
BPCL.EQ-NSE,2019-02-12,167.125,171.75,167.125,169.65,6071696.0
BPCL.EQ-NSE,2019-02-13,170.0,170.7,163.15,164.4,9709450.0
BPCL.EQ-NSE,2019-02-14,163.0,164.1,156.025,158.775,21263300.0
