Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
BRITANNIA-I2900PE,2019-01-01,16.45,16.5,16.45,16.5,600.0,1400.0
BRITANNIA-I2950PE,2019-01-01,25.0,25.0,25.0,25.0,200.0,600.0
BRITANNIA-I3000CE,2019-01-01,160.0,160.0,160.0,160.0,1000.0,1000.0
BRITANNIA-I3000PE,2019-01-01,30.0,37.95,30.0,37.95,1800.0,2400.0
BRITANNIA-I3100CE,2019-01-01,100.0,100.0,86.0,99.95,1200.0,3000.0
BRITANNIA-I3100PE,2019-01-01,83.0,83.7,79.4,79.4,600.0,1600.0
BRITANNIA-I3150CE,2019-01-01,73.0,73.0,61.35,71.7,1800.0,1600.0
BRITANNIA-I3150PE,2019-01-01,104.0,104.0,104.0,104.0,200.0,400.0
BRITANNIA-I3200CE,2019-01-01,56.0,58.0,44.5,56.0,13000.0,8600.0
BRITANNIA-I3250CE,2019-01-01,42.65,42.65,33.1,40.0,1400.0,1000.0
BRITANNIA-I3300CE,2019-01-01,23.1,26.7,22.9,26.5,1200.0,2800.0
BRITANNIA-I3500CE,2019-01-01,4.0,4.0,4.0,4.0,200.0,1000.0
BRITANNIA-I3000PE,2019-01-02,32.75,34.7,32.75,34.7,400.0,2400.0
BRITANNIA-I3050PE,2019-01-02,48.65,48.65,47.55,47.55,400.0,1600.0
BRITANNIA-I3100CE,2019-01-02,94.5,108.9,94.5,99.55,1400.0,3000.0
BRITANNIA-I3100PE,2019-01-02,64.0,64.9,64.0,64.9,400.0,2000.0
BRITANNIA-I3150CE,2019-01-02,77.55,79.8,73.95,73.95,2000.0,1400.0
BRITANNIA-I3150PE,2019-01-02,92.0,92.0,92.0,92.0,200.0,400.0
BRITANNIA-I3200CE,2019-01-02,50.25,60.0,50.0,51.7,8800.0,9000.0
BRITANNIA-I3250CE,2019-01-02,34.8,41.0,34.8,35.3,1200.0,1400.0
BRITANNIA-I3300CE,2019-01-02,25.0,26.0,25.0,25.0,1000.0,3000.0
BRITANNIA-I2900PE,2019-01-03,13.0,13.0,13.0,13.0,200.0,1400.0
BRITANNIA-I2950PE,2019-01-03,13.95,15.0,13.25,15.0,600.0,800.0
BRITANNIA-I3000PE,2019-01-03,23.3,31.0,23.3,31.0,1800.0,2600.0
BRITANNIA-I3100CE,2019-01-03,118.0,137.0,118.0,118.4,2200.0,2800.0
BRITANNIA-I3100PE,2019-01-03,48.3,60.15,46.8,56.75,2400.0,2600.0
BRITANNIA-I3150CE,2019-01-03,81.55,108.25,81.55,92.1,4000.0,2200.0
BRITANNIA-I3150PE,2019-01-03,69.45,91.0,69.45,91.0,400.0,400.0
BRITANNIA-I3200CE,2019-01-03,46.9,83.0,46.9,67.95,36800.0,10400.0
BRITANNIA-I3200PE,2019-01-03,106.2,115.75,101.1,115.75,1200.0,2200.0
BRITANNIA-I3250CE,2019-01-03,40.0,59.65,40.0,50.95,3200.0,1600.0
BRITANNIA-I3300CE,2019-01-03,27.95,46.7,27.95,37.0,9000.0,7200.0
BRITANNIA-I2900PE,2019-01-04,15.85,15.85,15.85,15.85,200.0,1400.0
BRITANNIA-I3000PE,2019-01-04,30.0,30.0,30.0,30.0,200.0,2800.0
