Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
CADILAHC-I310PE,2019-01-01,1.5,1.5,1.45,1.45,4800.0,9600.0
CADILAHC-I320PE,2019-01-01,2.6,2.8,2.6,2.65,8000.0,38400.0
CADILAHC-I330PE,2019-01-01,4.8,5.5,4.5,5.5,35200.0,56000.0
CADILAHC-I340CE,2019-01-01,18.75,19.3,18.75,19.3,4800.0,28800.0
CADILAHC-I340PE,2019-01-01,8.6,8.6,7.35,7.6,19200.0,62400.0
CADILAHC-I350CE,2019-01-01,13.95,15.6,13.1,13.5,64000.0,102400.0
CADILAHC-I350PE,2019-01-01,11.4,12.45,11.4,12.0,9600.0,20800.0
CADILAHC-I360CE,2019-01-01,9.8,11.0,8.9,9.5,176000.0,115200.0
CADILAHC-I370CE,2019-01-01,6.7,7.0,6.1,6.1,30400.0,64000.0
CADILAHC-I380CE,2019-01-01,4.2,5.0,3.75,3.8,32000.0,54400.0
CADILAHC-I390CE,2019-01-01,2.25,2.25,2.25,2.25,1600.0,3200.0
CADILAHC-I400CE,2019-01-01,1.25,1.25,1.25,1.25,3200.0,8000.0
CADILAHC-I320PE,2019-01-02,2.9,3.4,2.9,3.05,6400.0,40000.0
CADILAHC-I330PE,2019-01-02,4.9,6.0,4.9,5.4,6400.0,57600.0
CADILAHC-I340CE,2019-01-02,16.5,16.5,15.1,15.5,11200.0,28800.0
CADILAHC-I340PE,2019-01-02,7.9,10.3,7.65,8.4,16000.0,64000.0
CADILAHC-I350CE,2019-01-02,12.95,12.95,9.5,10.75,64000.0,104000.0
CADILAHC-I350PE,2019-01-02,12.8,15.0,12.8,15.0,6400.0,20800.0
CADILAHC-I360CE,2019-01-02,8.45,8.9,6.1,7.4,108800.0,116800.0
CADILAHC-I360PE,2019-01-02,22.2,22.2,22.2,22.2,1600.0,3200.0
CADILAHC-I370CE,2019-01-02,5.7,5.8,3.8,4.8,35200.0,64000.0
CADILAHC-I370PE,2019-01-02,25.0,29.25,25.0,29.25,4800.0,9600.0
CADILAHC-I380CE,2019-01-02,3.05,3.05,2.6,2.6,14400.0,59200.0
CADILAHC-I380PE,2019-01-02,33.0,33.0,33.0,33.0,1600.0,3200.0
CADILAHC-I390CE,2019-01-02,1.8,1.8,1.75,1.75,3200.0,6400.0
CADILAHC-I400CE,2019-01-02,1.1,1.1,0.75,0.75,6400.0,12800.0
CADILAHC-I310PE,2019-01-03,1.55,1.9,1.5,1.9,4800.0,14400.0
CADILAHC-I320PE,2019-01-03,3.0,3.85,3.0,3.85,20800.0,51200.0
CADILAHC-I330PE,2019-01-03,5.4,6.5,5.4,6.5,14400.0,62400.0
CADILAHC-I340CE,2019-01-03,13.5,13.5,13.5,13.5,1600.0,32000.0
CADILAHC-I340PE,2019-01-03,8.5,9.9,8.1,9.15,12800.0,65600.0
CADILAHC-I350CE,2019-01-03,10.85,12.05,9.0,9.0,33600.0,100800.0
CADILAHC-I350PE,2019-01-03,12.75,15.3,12.75,14.85,16000.0,27200.0
CADILAHC-I360CE,2019-01-03,7.0,8.3,6.3,6.3,144000.0,132800.0
CADILAHC-I370CE,2019-01-03,5.1,5.1,3.85,3.85,38400.0,76800.0
CADILAHC-I370PE,2019-01-03,28.5,28.5,28.5,28.5,1600.0,12800.0
CADILAHC-I380CE,2019-01-03,2.5,2.6,2.2,2.6,25600.0,59200.0
CADILAHC-I390CE,2019-01-03,1.2,1.4,1.2,1.2,20800.0,24000.0
CADILAHC-I320PE,2019-01-04,4.1,4.1,3.0,3.0,25600.0,64000.0
CADILAHC-I330PE,2019-01-04,6.05,6.9,5.8,5.8,9600.0,62400.0
CADILAHC-I340CE,2019-01-04,13.15,14.6,12.75,14.5,14400.0,35200.0
CADILAHC-I340PE,2019-01-04,10.95,11.35,9.15,10.25,22400.0,68800.0
CADILAHC-I350CE,2019-01-04,8.25,9.75,7.75,9.4,38400.0,110400.0
CADILAHC-I350PE,2019-01-04,17.0,17.0,16.6,16.6,4800.0,30400.0
CADILAHC-I360CE,2019-01-04,6.05,6.3,4.95,6.3,94400.0,139200.0
CADILAHC-I370CE,2019-01-04,3.2,3.5,3.05,3.35,14400.0,78400.0
CADILAHC-I380CE,2019-01-04,1.85,2.3,1.85,2.3,4800.0,78400.0
CADILAHC-I390CE,2019-01-04,1.15,1.2,1.0,1.2,8000.0,30400.0
CADILAHC-I300PE,2019-01-07,1.3,1.3,0.45,0.45,4800.0,12800.0
CADILAHC-I310PE,2019-01-07,0.85,0.85,0.85,0.85,1600.0,16000.0
CADILAHC-I320PE,2019-01-07,1.75,1.75,1.75,1.75,1600.0,65600.0
CADILAHC-I330PE,2019-01-07,4.5,4.5,2.85,3.0,48000.0,52800.0
CADILAHC-I340CE,2019-01-07,14.7,16.75,14.7,16.0,9600.0,32000.0
CADILAHC-I340PE,2019-01-07,7.8,7.8,6.0,6.0,17600.0,70400.0
CADILAHC-I350CE,2019-01-07,10.3,11.75,9.5,10.0,97600.0,137600.0
CADILAHC-I350PE,2019-01-07,12.1,12.1,9.65,9.7,56000.0,72000.0
CADILAHC-I360CE,2019-01-07,6.3,7.4,6.0,6.7,94400.0,142400.0
CADILAHC-I370CE,2019-01-07,4.2,4.7,4.0,4.0,8000.0,80000.0
