Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
CEATLTD.EQ-NSE,2019-01-01,1305.35,1306.9,1285.1,1294.85,293656.0
CEATLTD.EQ-NSE,2019-01-02,1285.6,1309.75,1278.15,1291.15,427577.0
CEATLTD.EQ-NSE,2019-01-03,1286.15,1308.5,1280.2,1280.2,452927.0
CEATLTD.EQ-NSE,2019-01-04,1291.6,1314.5,1268.8,1314.0,445930.0
CEATLTD.EQ-NSE,2019-01-07,1321.0,1324.65,1279.6,1284.85,388948.0
CEATLTD.EQ-NSE,2019-01-08,1282.0,1285.85,1254.8,1265.5,586189.0
CEATLTD.EQ-NSE,2019-01-09,1267.55,1275.85,1253.0,1255.65,440847.0
CEATLTD.EQ-NSE,2019-01-10,1252.2,1268.95,1250.25,1267.6,294441.0
CEATLTD.EQ-NSE,2019-01-11,1262.1,1270.0,1254.0,1270.0,230184.0
CEATLTD.EQ-NSE,2019-01-14,1261.85,1268.0,1215.2,1261.0,208866.0
CEATLTD.EQ-NSE,2019-01-15,1261.0,1265.9,1229.1,1230.25,505040.0
CEATLTD.EQ-NSE,2019-01-16,1232.95,1249.0,1226.15,1230.3,302434.0
CEATLTD.EQ-NSE,2019-01-17,1231.6,1237.65,1221.0,1235.0,286349.0
CEATLTD.EQ-NSE,2019-01-18,1243.15,1243.15,1224.0,1233.05,309834.0
CEATLTD.EQ-NSE,2019-01-21,1232.15,1237.5,1221.7,1224.1,216489.0
CEATLTD.EQ-NSE,2019-01-22,1220.0,1228.45,1205.1,1216.15,328983.0
CEATLTD.EQ-NSE,2019-01-23,1219.65,1230.0,1215.1,1220.25,288289.0
CEATLTD.EQ-NSE,2019-01-24,1219.9,1234.6,1212.05,1221.15,266652.0
CEATLTD.EQ-NSE,2019-01-25,1224.0,1232.4,1182.55,1191.15,294191.0
CEATLTD.EQ-NSE,2019-01-28,1180.0,1188.8,1136.65,1136.65,515739.0
CEATLTD.EQ-NSE,2019-01-29,1114.55,1168.1,1098.15,1118.2,1635500.0
CEATLTD.EQ-NSE,2019-01-30,1113.05,1114.75,1071.5,1081.05,964045.0
CEATLTD.EQ-NSE,2019-01-31,1081.05,1093.65,1059.05,1086.0,665567.0
CEATLTD.EQ-NSE,2019-02-01,1075.05,1116.15,1075.0,1102.15,723055.0
CEATLTD.EQ-NSE,2019-02-04,1106.0,1108.4,1070.05,1076.5,358664.0
CEATLTD.EQ-NSE,2019-02-05,1077.8,1104.95,1075.2,1098.45,392684.0
CEATLTD.EQ-NSE,2019-02-06,1101.0,1110.0,1068.0,1103.0,522887.0
CEATLTD.EQ-NSE,2019-02-07,1096.3,1137.85,1089.7,1132.0,850111.0
CEATLTD.EQ-NSE,2019-02-08,1133.35,1136.0,1092.05,1107.2,592610.0
CEATLTD.EQ-NSE,2019-02-11,1104.95,1104.95,1077.0,1086.0,555933.0
CEATLTD.EQ-NSE,2019-02-12,1083.65,1093.7,1050.0,1052.0,677782.0
CEATLTD.EQ-NSE,2019-02-13,1060.0,1070.0,1051.0,1053.35,681896.0
CEATLTD.EQ-NSE,2019-02-14,1054.0,1098.0,1052.55,1085.0,482258.0
CEATLTD.EQ-NSE,2019-02-15,1084.35,1086.0,1042.05,1069.0,569640.0
CEATLTD.EQ-NSE,2019-02-18,1060.0,1073.95,1038.0,1039.75,325003.0
CEATLTD.EQ-NSE,2019-02-19,1043.0,1072.0,1041.1,1050.0,377883.0
CEATLTD.EQ-NSE,2019-02-20,1057.2,1066.95,1048.4,1060.15,391984.0
CEATLTD.EQ-NSE,2019-02-21,1064.8,1080.0,1054.4,1058.0,461944.0
CEATLTD.EQ-NSE,2019-02-22,1061.95,1075.7,1054.65,1062.7,419096.0
