Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
CENTRALBK.EQ-NSE,2019-01-01,37.5,37.5,37.0,37.1,916687.0
CENTRALBK.EQ-NSE,2019-01-02,37.3,37.95,37.0,37.2,1710354.0
CENTRALBK.EQ-NSE,2019-01-03,37.2,37.4,36.4,36.5,1349718.0
CENTRALBK.EQ-NSE,2019-01-04,36.6,36.95,35.55,35.65,1369712.0
CENTRALBK.EQ-NSE,2019-01-07,36.35,36.5,35.1,35.25,657374.0
CENTRALBK.EQ-NSE,2019-01-08,35.45,35.9,35.05,35.85,393327.0
CENTRALBK.EQ-NSE,2019-01-09,36.0,37.3,35.65,36.7,2748013.0
CENTRALBK.EQ-NSE,2019-01-10,37.0,37.4,35.7,36.05,2820704.0
CENTRALBK.EQ-NSE,2019-01-11,36.3,36.55,35.85,36.25,475117.0
CENTRALBK.EQ-NSE,2019-01-14,36.4,36.4,35.75,35.75,1119404.0
CENTRALBK.EQ-NSE,2019-01-15,36.0,36.45,35.95,35.95,276373.0
CENTRALBK.EQ-NSE,2019-01-16,36.2,36.9,35.45,35.55,1203841.0
CENTRALBK.EQ-NSE,2019-01-17,35.65,35.85,35.25,35.3,216038.0
CENTRALBK.EQ-NSE,2019-01-18,35.85,35.85,34.8,34.8,212788.0
CENTRALBK.EQ-NSE,2019-01-21,34.8,34.9,31.5,31.8,879138.0
CENTRALBK.EQ-NSE,2019-01-22,32.05,32.45,31.75,32.2,373150.0
CENTRALBK.EQ-NSE,2019-01-23,32.5,32.9,32.15,32.75,308697.0
CENTRALBK.EQ-NSE,2019-01-24,32.75,32.85,32.25,32.4,126046.0
CENTRALBK.EQ-NSE,2019-01-25,32.9,32.9,32.3,32.7,226798.0
CENTRALBK.EQ-NSE,2019-01-28,32.4,32.55,30.75,31.05,399977.0
CENTRALBK.EQ-NSE,2019-01-29,31.0,31.35,30.65,31.2,273127.0
CENTRALBK.EQ-NSE,2019-01-30,31.5,31.75,31.0,31.05,242076.0
CENTRALBK.EQ-NSE,2019-01-31,31.5,31.65,30.95,31.25,186876.0
CENTRALBK.EQ-NSE,2019-02-01,31.45,31.95,30.2,30.65,253598.0
CENTRALBK.EQ-NSE,2019-02-04,30.8,30.8,29.6,30.05,296040.0
CENTRALBK.EQ-NSE,2019-02-05,30.1,30.15,29.0,29.05,241729.0
CENTRALBK.EQ-NSE,2019-02-06,29.3,29.5,28.5,29.4,213032.0
CENTRALBK.EQ-NSE,2019-02-07,29.6,30.3,29.25,29.9,255009.0
CENTRALBK.EQ-NSE,2019-02-08,29.65,29.7,28.9,29.0,154881.0
CENTRALBK.EQ-NSE,2019-02-11,29.0,29.0,28.25,28.7,162465.0
CENTRALBK.EQ-NSE,2019-02-12,28.5,28.9,28.25,28.3,615622.0
CENTRALBK.EQ-NSE,2019-02-13,28.6,28.7,28.1,28.55,572209.0
