Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
CENTURYTEX-I840PE,2019-01-01,6.7,7.35,6.7,6.95,2400.0,4800.0
CENTURYTEX-I880PE,2019-01-01,16.55,16.55,16.05,16.05,1200.0,20400.0
CENTURYTEX-I900CE,2019-01-01,48.0,48.0,48.0,48.0,600.0,3600.0
CENTURYTEX-I900PE,2019-01-01,21.25,25.0,19.95,20.5,9600.0,17400.0
CENTURYTEX-I920CE,2019-01-01,35.0,35.0,31.0,31.0,1800.0,19800.0
CENTURYTEX-I920PE,2019-01-01,28.5,28.5,28.5,28.5,600.0,0.0
CENTURYTEX-I940CE,2019-01-01,27.9,28.5,21.5,28.5,21000.0,32400.0
CENTURYTEX-I960CE,2019-01-01,20.1,21.0,15.5,21.0,15600.0,45000.0
CENTURYTEX-I980CE,2019-01-01,12.6,14.2,11.65,14.2,5400.0,13800.0
CENTURYTEX-I1000CE,2019-01-01,9.25,10.15,9.25,10.15,1800.0,42600.0
CENTURYTEX-I1020CE,2019-01-01,6.0,6.0,5.7,5.8,3000.0,15000.0
CENTURYTEX-I840PE,2019-01-02,7.85,11.4,7.85,11.4,1800.0,6600.0
CENTURYTEX-I860PE,2019-01-02,14.55,14.55,14.55,14.55,2400.0,7800.0
CENTURYTEX-I880CE,2019-01-02,52.55,52.55,47.45,51.8,3000.0,1800.0
CENTURYTEX-I880PE,2019-01-02,15.0,22.2,15.0,22.2,11400.0,21600.0
CENTURYTEX-I900PE,2019-01-02,22.5,31.35,21.15,29.15,36000.0,25200.0
CENTURYTEX-I920CE,2019-01-02,34.2,34.2,27.0,28.0,4800.0,21000.0
CENTURYTEX-I920PE,2019-01-02,32.75,38.5,32.75,38.5,1200.0,6000.0
CENTURYTEX-I940CE,2019-01-02,26.85,27.05,19.95,20.5,30600.0,37200.0
CENTURYTEX-I940PE,2019-01-02,42.0,42.0,42.0,42.0,600.0,4800.0
CENTURYTEX-I960CE,2019-01-02,18.6,19.0,13.2,14.2,31800.0,39600.0
CENTURYTEX-I980CE,2019-01-02,13.3,13.35,9.0,9.45,17400.0,15000.0
CENTURYTEX-I1000CE,2019-01-02,6.9,7.55,6.9,6.95,4800.0,40800.0
CENTURYTEX-I1020CE,2019-01-02,4.75,4.75,4.75,4.75,600.0,15000.0
CENTURYTEX-I820PE,2019-01-03,8.35,8.35,8.35,8.35,600.0,1800.0
CENTURYTEX-I860PE,2019-01-03,14.25,17.95,14.0,17.0,10800.0,13800.0
CENTURYTEX-I880CE,2019-01-03,45.0,45.0,45.0,45.0,600.0,1800.0
CENTURYTEX-I880PE,2019-01-03,20.0,24.95,19.75,24.95,10800.0,21600.0
CENTURYTEX-I900CE,2019-01-03,40.0,43.15,30.0,30.0,2400.0,4200.0
CENTURYTEX-I900PE,2019-01-03,28.0,33.5,24.0,31.85,61800.0,29400.0
CENTURYTEX-I920CE,2019-01-03,30.0,33.5,24.5,25.0,12600.0,22800.0
CENTURYTEX-I920PE,2019-01-03,33.05,45.0,33.05,45.0,4200.0,6600.0
CENTURYTEX-I940CE,2019-01-03,22.2,25.0,17.0,18.0,28200.0,38400.0
CENTURYTEX-I960CE,2019-01-03,15.3,18.5,12.05,12.8,25200.0,38400.0
CENTURYTEX-I980CE,2019-01-03,12.2,12.85,8.1,8.65,6000.0,16200.0
CENTURYTEX-I1000CE,2019-01-03,8.3,8.6,5.4,5.7,15600.0,42600.0
CENTURYTEX-I1020CE,2019-01-03,5.85,5.85,4.15,4.15,2400.0,15600.0
CENTURYTEX-I820PE,2019-01-04,7.25,7.25,5.45,5.45,3000.0,4200.0
CENTURYTEX-I840PE,2019-01-04,12.75,12.8,8.1,9.0,13200.0,15600.0
CENTURYTEX-I860PE,2019-01-04,18.2,19.15,13.4,13.4,7200.0,12600.0
CENTURYTEX-I880PE,2019-01-04,24.2,28.0,16.5,17.8,15000.0,25800.0
CENTURYTEX-I900CE,2019-01-04,29.25,39.0,29.0,39.0,13200.0,10200.0
CENTURYTEX-I900PE,2019-01-04,31.35,37.9,24.0,24.55,31200.0,34200.0
CENTURYTEX-I920CE,2019-01-04,26.0,28.0,21.0,26.8,24000.0,22200.0
CENTURYTEX-I920PE,2019-01-04,50.85,50.85,32.45,32.45,4800.0,6600.0
CENTURYTEX-I940CE,2019-01-04,18.1,20.6,15.0,20.0,49200.0,45600.0
CENTURYTEX-I960CE,2019-01-04,12.8,14.05,10.25,13.0,29400.0,36000.0
CENTURYTEX-I980CE,2019-01-04,9.15,9.45,8.35,8.7,3000.0,18000.0
CENTURYTEX-I1000CE,2019-01-04,4.9,5.95,4.75,5.5,29400.0,45000.0
CENTURYTEX-I1020CE,2019-01-04,3.0,3.7,3.0,3.25,5400.0,16200.0
CENTURYTEX-I840PE,2019-01-07,7.95,7.95,7.95,7.95,600.0,16800.0
CENTURYTEX-I860PE,2019-01-07,11.1,12.0,9.55,12.0,16200.0,15000.0
CENTURYTEX-I880PE,2019-01-07,15.05,18.15,15.05,15.7,5400.0,25200.0
CENTURYTEX-I900CE,2019-01-07,40.0,40.0,37.2,37.2,2400.0,9000.0
CENTURYTEX-I900PE,2019-01-07,21.6,25.8,20.9,25.1,17400.0,36000.0
CENTURYTEX-I920CE,2019-01-07,27.6,30.8,24.5,24.5,16200.0,22800.0
CENTURYTEX-I920PE,2019-01-07,32.0,36.0,32.0,36.0,4200.0,6000.0
CENTURYTEX-I940CE,2019-01-07,20.5,22.2,17.15,17.15,27000.0,44400.0
CENTURYTEX-I940PE,2019-01-07,42.0,42.0,42.0,42.0,600.0,4800.0
CENTURYTEX-I960CE,2019-01-07,13.5,14.8,11.95,11.95,11400.0,36600.0
CENTURYTEX-I980CE,2019-01-07,9.0,10.1,8.35,8.35,12000.0,23400.0
CENTURYTEX-I1000CE,2019-01-07,5.5,5.7,5.0,5.0,1800.0,46200.0
CENTURYTEX-I1020CE,2019-01-07,3.5,3.5,3.4,3.4,1200.0,16200.0
CENTURYTEX-I840PE,2019-01-08,8.0,8.0,6.05,6.05,1800.0,16800.0
CENTURYTEX-I860CE,2019-01-08,64.8,64.8,64.8,64.8,600.0,1200.0
CENTURYTEX-I860PE,2019-01-08,13.6,14.65,10.95,10.95,21600.0,25800.0
CENTURYTEX-I880PE,2019-01-08,17.0,18.75,17.0,17.15,3000.0,23400.0
CENTURYTEX-I900CE,2019-01-08,34.0,34.0,34.0,34.0,600.0,9600.0
CENTURYTEX-I900PE,2019-01-08,27.0,28.05,23.55,24.4,4800.0,34200.0
CENTURYTEX-I920CE,2019-01-08,25.95,26.05,22.5,25.0,7800.0,24000.0
CENTURYTEX-I920PE,2019-01-08,40.0,40.0,33.8,33.8,1200.0,6600.0
CENTURYTEX-I940CE,2019-01-08,15.2,17.5,14.85,15.7,15600.0,38400.0
CENTURYTEX-I960CE,2019-01-08,10.45,11.45,10.0,11.45,22200.0,33600.0
CENTURYTEX-I960PE,2019-01-08,56.95,56.95,56.95,56.95,600.0,0.0
CENTURYTEX-I1000CE,2019-01-08,4.4,4.4,4.4,4.4,600.0,46200.0
CENTURYTEX-I1040CE,2019-01-08,1.05,1.05,1.05,1.05,600.0,3600.0
CENTURYTEX-I840PE,2019-01-09,7.5,10.2,7.4,7.4,10800.0,19800.0
CENTURYTEX-I860CE,2019-01-09,52.75,52.75,52.75,52.75,600.0,1800.0
CENTURYTEX-I860PE,2019-01-09,10.9,15.8,10.9,12.3,10200.0,30000.0
CENTURYTEX-I880PE,2019-01-09,16.45,22.15,16.45,17.75,7800.0,25200.0
CENTURYTEX-I900CE,2019-01-09,34.0,34.0,21.6,25.1,13800.0,14400.0
CENTURYTEX-I900PE,2019-01-09,24.25,32.0,21.65,25.8,14400.0,31800.0
CENTURYTEX-I920CE,2019-01-09,24.85,24.85,16.05,19.0,12000.0,28200.0
CENTURYTEX-I920PE,2019-01-09,34.85,45.25,34.85,37.9,3000.0,7800.0
CENTURYTEX-I940CE,2019-01-09,16.0,16.0,10.0,11.0,32400.0,33600.0
CENTURYTEX-I960CE,2019-01-09,11.35,11.35,5.95,7.0,23400.0,28800.0
CENTURYTEX-I980CE,2019-01-09,5.85,5.85,3.9,4.2,16800.0,19800.0
CENTURYTEX-I1000CE,2019-01-09,3.5,3.5,2.15,2.5,9600.0,45600.0
CENTURYTEX-I1020CE,2019-01-09,1.85,1.85,1.85,1.85,1200.0,16800.0
CENTURYTEX-I840PE,2019-01-10,7.45,7.6,7.25,7.25,1800.0,19800.0
CENTURYTEX-I860PE,2019-01-10,12.15,12.85,12.15,12.85,3600.0,31200.0
CENTURYTEX-I880PE,2019-01-10,18.75,20.25,18.05,20.25,7800.0,30000.0
CENTURYTEX-I900CE,2019-01-10,24.85,28.25,23.15,23.15,3600.0,15000.0
CENTURYTEX-I900PE,2019-01-10,27.5,29.15,25.0,28.0,6000.0,33000.0
CENTURYTEX-I920CE,2019-01-10,17.85,17.95,14.5,14.5,8400.0,30600.0
CENTURYTEX-I940CE,2019-01-10,13.0,13.0,9.5,10.0,18000.0,33600.0
CENTURYTEX-I960CE,2019-01-10,10.6,10.6,5.75,5.75,12600.0,25800.0
CENTURYTEX-I980CE,2019-01-10,4.5,4.5,4.5,4.5,600.0,19800.0
CENTURYTEX-I1000CE,2019-01-10,2.7,2.85,2.05,2.05,7800.0,42000.0
CENTURYTEX-I800PE,2019-01-11,1.8,1.8,1.8,1.8,1200.0,0.0
CENTURYTEX-I820PE,2019-01-11,4.8,5.85,4.65,4.65,12000.0,13200.0
CENTURYTEX-I840PE,2019-01-11,7.5,9.2,7.5,7.8,1800.0,20400.0
CENTURYTEX-I860PE,2019-01-11,11.4,15.4,10.75,14.2,22200.0,28200.0
CENTURYTEX-I880CE,2019-01-11,30.0,30.0,30.0,30.0,1200.0,2400.0
CENTURYTEX-I880PE,2019-01-11,17.5,23.4,15.35,15.35,63000.0,34200.0
CENTURYTEX-I900CE,2019-01-11,24.9,24.9,18.75,22.0,14400.0,19200.0
CENTURYTEX-I900PE,2019-01-11,29.6,30.0,24.0,24.0,3600.0,32400.0
CENTURYTEX-I920CE,2019-01-11,16.0,17.25,11.95,14.75,16800.0,38400.0
