Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
CGPOWER.EQ-NSE,2019-01-01,44.9,46.05,44.5,45.65,6161118.0
CGPOWER.EQ-NSE,2019-01-02,45.25,45.9,44.1,44.25,4977330.0
CGPOWER.EQ-NSE,2019-01-03,44.3,44.65,43.0,43.4,6147703.0
CGPOWER.EQ-NSE,2019-01-04,43.65,44.55,43.1,44.45,4138377.0
CGPOWER.EQ-NSE,2019-01-07,44.85,45.1,44.3,44.75,3123244.0
CGPOWER.EQ-NSE,2019-01-08,44.6,47.3,44.0,46.1,7997791.0
CGPOWER.EQ-NSE,2019-01-09,46.35,46.45,45.0,45.15,5869107.0
CGPOWER.EQ-NSE,2019-01-10,45.05,46.05,44.95,45.3,3138402.0
CGPOWER.EQ-NSE,2019-01-11,45.1,45.6,44.3,44.45,3414422.0
CGPOWER.EQ-NSE,2019-01-14,44.75,44.75,43.5,43.6,3857530.0
CGPOWER.EQ-NSE,2019-01-15,43.9,45.0,43.8,44.5,3732373.0
CGPOWER.EQ-NSE,2019-01-16,44.55,45.35,44.4,44.7,2947067.0
CGPOWER.EQ-NSE,2019-01-17,44.85,44.95,43.0,43.55,3639442.0
CGPOWER.EQ-NSE,2019-01-18,43.85,43.95,42.8,42.85,2439964.0
CGPOWER.EQ-NSE,2019-01-21,43.2,43.55,41.85,42.0,3105177.0
CGPOWER.EQ-NSE,2019-01-22,42.1,42.5,40.35,41.65,5025750.0
CGPOWER.EQ-NSE,2019-01-23,42.0,42.05,40.15,40.2,4509058.0
CGPOWER.EQ-NSE,2019-01-24,40.5,40.5,38.35,38.6,6355198.0
CGPOWER.EQ-NSE,2019-01-25,38.95,39.65,36.25,37.1,7078049.0
CGPOWER.EQ-NSE,2019-01-28,37.6,37.65,36.25,36.7,5423514.0
CGPOWER.EQ-NSE,2019-01-29,36.7,37.6,36.3,37.25,4429046.0
CGPOWER.EQ-NSE,2019-01-30,37.35,38.0,36.55,37.6,4729997.0
CGPOWER.EQ-NSE,2019-01-31,37.7,38.05,36.95,37.8,3693957.0
CGPOWER.EQ-NSE,2019-02-01,37.8,38.65,37.1,37.95,3800595.0
CGPOWER.EQ-NSE,2019-02-04,38.1,38.1,36.55,36.8,2680409.0
CGPOWER.EQ-NSE,2019-02-05,36.35,36.8,30.55,31.2,15647578.0
CGPOWER.EQ-NSE,2019-02-06,31.0,32.95,30.1,32.6,10080749.0
CGPOWER.EQ-NSE,2019-02-07,32.5,36.25,32.2,35.55,11022296.0
CGPOWER.EQ-NSE,2019-02-08,35.05,36.0,33.9,35.0,4516818.0
CGPOWER.EQ-NSE,2019-02-11,34.8,35.25,33.3,34.15,3743842.0
CGPOWER.EQ-NSE,2019-02-12,34.25,34.7,32.8,33.55,5877152.0
CGPOWER.EQ-NSE,2019-02-13,32.4,33.65,22.8,23.1,113487410.0
CGPOWER.EQ-NSE,2019-02-14,21.8,29.75,20.25,28.55,168725484.0
CGPOWER.EQ-NSE,2019-02-15,28.5,30.15,26.55,29.85,53469487.0
CGPOWER.EQ-NSE,2019-02-18,29.8,30.85,28.5,28.8,30315194.0
CGPOWER.EQ-NSE,2019-02-19,28.95,29.6,27.95,29.4,33402527.0
CGPOWER.EQ-NSE,2019-02-20,29.3,30.9,28.7,30.2,37401579.0
CGPOWER.EQ-NSE,2019-02-21,29.95,31.95,29.65,31.2,23762541.0
CGPOWER.EQ-NSE,2019-02-22,31.0,31.7,30.5,31.05,21284612.0
CGPOWER.EQ-NSE,2019-02-25,31.05,31.9,30.75,31.5,8694678.0
CGPOWER.EQ-NSE,2019-02-26,31.0,31.45,27.05,31.2,41367548.0
CGPOWER.EQ-NSE,2019-02-27,31.3,32.45,30.65,31.25,15805359.0
CGPOWER.EQ-NSE,2019-02-28,31.4,32.5,30.85,32.45,11220858.0
CGPOWER.EQ-NSE,2019-03-01,32.45,37.1,32.45,36.55,48461842.0
CGPOWER.EQ-NSE,2019-03-05,36.45,39.25,35.85,37.9,23245411.0
CGPOWER.EQ-NSE,2019-03-06,38.1,38.75,36.6,37.45,17998423.0
CGPOWER.EQ-NSE,2019-03-07,37.95,38.2,36.2,36.6,11731830.0
CGPOWER.EQ-NSE,2019-03-08,36.3,36.9,35.75,36.25,7227607.0
CGPOWER.EQ-NSE,2019-03-11,34.85,39.45,34.25,38.95,45522237.0
CGPOWER.EQ-NSE,2019-03-12,39.45,43.4,37.4,42.4,59581217.0
CGPOWER.EQ-NSE,2019-03-13,42.1,43.1,40.5,41.55,33656175.0
CGPOWER.EQ-NSE,2019-03-14,41.6,42.9,40.7,42.05,18806776.0
CGPOWER.EQ-NSE,2019-03-15,42.15,45.2,41.8,43.75,37138213.0
CGPOWER.EQ-NSE,2019-03-18,44.05,45.1,43.55,45.1,15681133.0
CGPOWER.EQ-NSE,2019-03-19,45.0,47.2,44.75,46.5,26886749.0
CGPOWER.EQ-NSE,2019-03-20,46.85,47.35,45.1,45.5,19340206.0
CGPOWER.EQ-NSE,2019-03-22,45.6,46.25,44.1,44.2,11449830.0
CGPOWER.EQ-NSE,2019-03-25,43.55,45.0,43.15,44.15,11613704.0
CGPOWER.EQ-NSE,2019-03-26,44.3,44.8,43.6,43.8,6198111.0
CGPOWER.EQ-NSE,2019-03-27,44.3,44.3,42.55,42.65,6726012.0
CGPOWER.EQ-NSE,2019-03-28,42.75,44.1,42.35,43.45,7805490.0
CGPOWER.EQ-NSE,2019-03-29,43.75,44.35,42.45,42.5,6964437.0
CGPOWER.EQ-NSE,2019-04-01,42.95,43.45,40.4,40.9,9268689.0
CGPOWER.EQ-NSE,2019-04-02,40.65,42.45,40.2,40.95,10667064.0
CGPOWER.EQ-NSE,2019-04-03,41.0,41.5,39.75,40.15,7512230.0
CGPOWER.EQ-NSE,2019-04-04,40.4,40.95,39.3,39.45,7639273.0
CGPOWER.EQ-NSE,2019-04-05,39.75,40.0,38.5,38.75,6089467.0
CGPOWER.EQ-NSE,2019-04-08,38.65,40.0,38.4,38.6,8088877.0
CGPOWER.EQ-NSE,2019-04-09,38.9,39.5,38.05,39.3,5025305.0
CGPOWER.EQ-NSE,2019-04-10,39.05,39.45,38.4,38.4,4308334.0
CGPOWER.EQ-NSE,2019-04-11,38.55,40.15,37.4,39.9,11487635.0
CGPOWER.EQ-NSE,2019-04-12,40.0,40.4,38.75,38.85,12852251.0
CGPOWER.EQ-NSE,2019-04-15,39.15,39.5,38.65,38.7,7508834.0
CGPOWER.EQ-NSE,2019-04-16,38.85,39.3,38.1,38.5,6469651.0
CGPOWER.EQ-NSE,2019-04-18,38.55,38.9,36.5,36.65,9513070.0
CGPOWER.EQ-NSE,2019-04-22,36.4,36.45,34.15,34.4,6639547.0
CGPOWER.EQ-NSE,2019-04-23,34.25,35.75,33.3,35.3,19902441.0
CGPOWER.EQ-NSE,2019-04-24,34.85,38.15,34.85,37.75,18275416.0
CGPOWER.EQ-NSE,2019-04-25,37.8,39.6,37.45,39.3,20277894.0
CGPOWER.EQ-NSE,2019-04-26,39.75,41.3,38.9,39.1,21718755.0
CGPOWER.EQ-NSE,2019-04-30,39.05,39.2,37.25,37.7,5775070.0
CGPOWER.EQ-NSE,2019-05-02,37.6,38.0,36.45,36.55,5629298.0
CGPOWER.EQ-NSE,2019-05-03,36.6,38.1,36.2,36.85,12577763.0
CGPOWER.EQ-NSE,2019-05-06,36.15,38.0,35.95,37.8,7389399.0
CGPOWER.EQ-NSE,2019-05-07,35.6,38.45,34.0,37.0,46908879.0
CGPOWER.EQ-NSE,2019-05-08,35.85,41.6,35.25,38.75,44770084.0
CGPOWER.EQ-NSE,2019-05-09,38.85,39.4,36.4,37.2,16767554.0
CGPOWER.EQ-NSE,2019-05-10,37.25,38.35,36.6,37.2,10966210.0
CGPOWER.EQ-NSE,2019-05-13,37.3,37.7,34.8,35.3,7399601.0
CGPOWER.EQ-NSE,2019-05-14,35.3,37.95,34.65,37.15,11962785.0
CGPOWER.EQ-NSE,2019-05-15,37.15,37.5,35.2,35.45,6665544.0
CGPOWER.EQ-NSE,2019-05-16,35.85,37.0,34.75,35.8,5848066.0
CGPOWER.EQ-NSE,2019-05-17,35.75,36.4,35.0,35.85,5458016.0
CGPOWER.EQ-NSE,2019-05-20,36.6,39.2,36.45,38.9,10148465.0
CGPOWER.EQ-NSE,2019-05-21,39.05,39.05,37.4,37.95,5195569.0
CGPOWER.EQ-NSE,2019-05-22,38.25,39.4,37.1,39.0,7427226.0
CGPOWER.EQ-NSE,2019-05-23,39.4,39.9,37.85,38.3,6414965.0
CGPOWER.EQ-NSE,2019-05-24,38.25,39.5,37.65,39.25,5135449.0
CGPOWER.EQ-NSE,2019-05-27,39.25,39.7,37.7,37.9,6208959.0
CGPOWER.EQ-NSE,2019-05-28,38.3,39.25,37.9,37.95,6663505.0
CGPOWER.EQ-NSE,2019-05-29,38.1,38.1,36.45,36.8,7176015.0
CGPOWER.EQ-NSE,2019-05-30,36.8,37.05,35.35,36.4,6824284.0
CGPOWER.EQ-NSE,2019-05-31,36.5,36.7,34.7,35.3,5530359.0
CGPOWER.EQ-NSE,2019-06-03,35.5,36.0,34.65,35.9,4316266.0
CGPOWER.EQ-NSE,2019-06-04,36.0,36.6,35.1,35.7,5616066.0
CGPOWER.EQ-NSE,2019-06-06,35.6,35.9,33.0,33.95,9329607.0
CGPOWER.EQ-NSE,2019-06-07,34.05,34.95,32.0,32.65,7025457.0
CGPOWER.EQ-NSE,2019-06-10,33.3,33.5,31.25,32.15,5930335.0
CGPOWER.EQ-NSE,2019-06-11,32.45,32.95,31.05,32.65,10936918.0
CGPOWER.EQ-NSE,2019-06-12,32.2,33.1,31.2,31.5,6994696.0
CGPOWER.EQ-NSE,2019-06-13,31.25,32.15,30.8,31.7,6596213.0
CGPOWER.EQ-NSE,2019-06-14,31.8,31.9,30.3,30.45,5350230.0
CGPOWER.EQ-NSE,2019-06-17,30.35,30.95,29.15,30.1,7464232.0
CGPOWER.EQ-NSE,2019-06-18,30.1,30.4,25.5,28.5,10226985.0
CGPOWER.EQ-NSE,2019-06-19,28.55,28.75,26.5,27.35,12966886.0
CGPOWER.EQ-NSE,2019-06-20,26.8,30.1,26.5,29.45,9751779.0
CGPOWER.EQ-NSE,2019-06-21,29.3,29.3,27.75,28.7,6629203.0
CGPOWER.EQ-NSE,2019-06-24,30.9,31.0,29.1,29.25,14820941.0
CGPOWER.EQ-NSE,2019-06-25,29.15,29.45,27.95,28.95,5363457.0
CGPOWER.EQ-NSE,2019-06-26,28.65,30.8,28.45,30.2,7661144.0
CGPOWER.EQ-NSE,2019-06-27,30.15,31.0,29.0,29.6,8602662.0
CGPOWER.EQ-NSE,2019-06-28,29.1,29.6,28.4,28.5,2324776.0
CGPOWER.EQ-NSE,2019-07-01,28.95,28.95,27.5,27.65,2724288.0
CGPOWER.EQ-NSE,2019-07-02,27.5,27.95,26.5,26.7,2929908.0
CGPOWER.EQ-NSE,2019-07-03,26.85,27.25,26.5,26.6,2407165.0
CGPOWER.EQ-NSE,2019-07-04,27.0,27.0,26.05,26.25,2257767.0
CGPOWER.EQ-NSE,2019-07-05,26.35,26.5,25.05,25.15,2388733.0
CGPOWER.EQ-NSE,2019-07-08,24.65,24.85,22.8,23.45,5628788.0
CGPOWER.EQ-NSE,2019-07-09,23.15,23.6,22.6,23.3,2643321.0
CGPOWER.EQ-NSE,2019-07-10,23.05,23.35,22.2,22.35,2102150.0
CGPOWER.EQ-NSE,2019-07-11,22.4,22.65,21.6,21.8,2480117.0
CGPOWER.EQ-NSE,2019-07-12,21.85,21.85,20.9,20.95,3088095.0
CGPOWER.EQ-NSE,2019-07-15,21.15,21.15,18.9,18.95,5256743.0
CGPOWER.EQ-NSE,2019-07-16,18.9,18.95,17.6,17.7,7438431.0
CGPOWER.EQ-NSE,2019-07-17,17.45,19.55,16.7,19.55,10227104.0
CGPOWER.EQ-NSE,2019-07-18,20.4,21.5,20.25,21.5,7870470.0
CGPOWER.EQ-NSE,2019-07-19,22.2,22.95,21.6,22.15,6414597.0
CGPOWER.EQ-NSE,2019-07-22,22.7,22.9,21.3,21.5,2799376.0
CGPOWER.EQ-NSE,2019-07-23,21.8,22.0,20.8,21.05,1848896.0
CGPOWER.EQ-NSE,2019-07-24,21.2,21.2,19.8,20.2,1846192.0
CGPOWER.EQ-NSE,2019-07-25,20.2,20.95,19.55,20.4,1559519.0
CGPOWER.EQ-NSE,2019-07-26,20.35,20.75,19.6,20.1,1394108.0
CGPOWER.EQ-NSE,2019-07-29,20.0,20.1,19.05,19.2,884158.0
CGPOWER.EQ-NSE,2019-07-30,19.3,19.8,18.5,18.75,1210170.0
CGPOWER.EQ-NSE,2019-07-31,18.6,18.9,17.6,18.1,1430663.0
CGPOWER.EQ-NSE,2019-08-01,18.4,18.75,18.05,18.75,1152270.0
CGPOWER.EQ-NSE,2019-08-02,18.45,18.6,18.05,18.15,982277.0
CGPOWER.EQ-NSE,2019-08-05,17.85,18.15,17.5,17.65,1002305.0
CGPOWER.EQ-NSE,2019-08-06,17.55,18.6,17.55,18.15,1426161.0
CGPOWER.EQ-NSE,2019-08-07,18.1,18.6,17.85,18.1,1041437.0
CGPOWER.EQ-NSE,2019-08-08,18.15,18.15,17.7,18.1,773810.0
CGPOWER.EQ-NSE,2019-08-09,18.25,18.5,17.75,18.15,2029020.0
CGPOWER.EQ-NSE,2019-08-13,18.2,18.7,17.8,18.05,1870922.0
CGPOWER.EQ-NSE,2019-08-14,18.2,18.25,17.35,17.8,1246826.0
CGPOWER.EQ-NSE,2019-08-16,17.9,18.2,17.3,18.1,1675908.0
CGPOWER.EQ-NSE,2019-08-19,18.3,18.75,17.9,18.45,2120120.0
CGPOWER.EQ-NSE,2019-08-20,14.8,14.8,14.8,14.8,930621.0
CGPOWER.EQ-NSE,2019-08-21,11.85,11.85,11.85,11.85,430016.0
CGPOWER.EQ-NSE,2019-08-22,10.7,11.35,10.7,10.7,23452106.0
CGPOWER.EQ-NSE,2019-08-23,9.65,9.65,9.65,9.65,481330.0
CGPOWER.EQ-NSE,2019-08-26,8.9,10.0,8.7,8.7,3990554.0
CGPOWER.EQ-NSE,2019-08-27,8.55,9.1,8.3,9.1,10061905.0
CGPOWER.EQ-NSE,2019-08-28,9.55,9.55,9.55,9.55,228123.0
CGPOWER.EQ-NSE,2019-08-29,10.0,10.0,10.0,10.0,378225.0
CGPOWER.EQ-NSE,2019-08-30,10.5,10.5,10.5,10.5,211802.0
CGPOWER.EQ-NSE,2019-09-03,10.85,11.0,10.7,11.0,864332.0
CGPOWER.EQ-NSE,2019-09-04,11.55,11.55,11.55,11.55,157447.0
CGPOWER.EQ-NSE,2019-09-05,12.1,12.1,12.1,12.1,181389.0
CGPOWER.EQ-NSE,2019-09-06,12.7,12.7,12.7,12.7,98184.0
CGPOWER.EQ-NSE,2019-09-09,13.3,13.3,13.3,13.3,174386.0
CGPOWER.EQ-NSE,2019-09-11,13.95,13.95,13.95,13.95,152989.0
CGPOWER.EQ-NSE,2019-09-12,14.6,14.6,13.95,14.25,6041668.0
CGPOWER.EQ-NSE,2019-09-13,13.9,14.55,13.9,14.3,4058155.0
CGPOWER.EQ-NSE,2019-09-16,14.8,14.95,14.35,14.95,1301990.0
CGPOWER.EQ-NSE,2019-09-17,15.65,15.65,15.65,15.65,501168.0
CGPOWER.EQ-NSE,2019-09-18,15.45,15.9,14.9,14.9,4500792.0
CGPOWER.EQ-NSE,2019-09-19,14.55,14.95,14.25,14.25,516037.0
CGPOWER.EQ-NSE,2019-09-20,13.6,14.65,13.55,13.55,3495107.0
CGPOWER.EQ-NSE,2019-09-23,14.05,14.15,13.5,13.9,1315925.0
CGPOWER.EQ-NSE,2019-09-24,14.15,14.55,13.9,14.55,801806.0
CGPOWER.EQ-NSE,2019-09-25,15.25,15.25,14.55,15.25,3064822.0
CGPOWER.EQ-NSE,2019-09-26,16.0,16.0,15.35,15.65,2349501.0
CGPOWER.EQ-NSE,2019-09-27,15.7,15.8,14.85,14.85,703898.0
CGPOWER.EQ-NSE,2019-09-30,14.5,14.8,14.15,14.15,265453.0
CGPOWER.EQ-NSE,2019-10-01,13.45,13.8,13.45,13.45,160223.0
CGPOWER.EQ-NSE,2019-10-03,14.1,14.1,14.1,14.1,321047.0
CGPOWER.EQ-NSE,2019-10-04,14.8,14.8,14.8,14.8,1119622.0
CGPOWER.EQ-NSE,2019-10-07,15.25,15.45,14.1,14.55,1587357.0
CGPOWER.EQ-NSE,2019-10-09,14.55,14.65,13.75,14.4,581024.0
CGPOWER.EQ-NSE,2019-10-10,14.65,14.65,13.55,13.9,534352.0
CGPOWER.EQ-NSE,2019-10-11,13.75,13.75,13.2,13.25,502758.0
CGPOWER.EQ-NSE,2019-10-14,13.25,13.85,12.65,13.3,444871.0
CGPOWER.EQ-NSE,2019-10-15,13.3,13.65,13.05,13.2,376891.0
CGPOWER.EQ-NSE,2019-10-16,13.5,13.75,13.25,13.75,518446.0
CGPOWER.EQ-NSE,2019-10-17,14.4,14.4,14.4,14.4,241245.0
CGPOWER.EQ-NSE,2019-10-18,15.1,15.1,15.1,15.1,275126.0
CGPOWER.EQ-NSE,2019-10-22,14.8,15.05,14.35,14.9,1517743.0
CGPOWER.EQ-NSE,2019-10-23,14.9,15.2,14.55,14.9,519541.0
CGPOWER.EQ-NSE,2019-10-24,15.0,15.0,14.5,14.7,299528.0
CGPOWER.EQ-NSE,2019-10-25,14.95,14.95,14.2,14.65,501097.0
CGPOWER.EQ-NSE,2019-10-29,15.0,15.15,14.3,14.65,699375.0
CGPOWER.EQ-NSE,2019-10-30,14.95,14.95,14.55,14.65,346220.0
CGPOWER.EQ-NSE,2019-10-31,14.9,14.9,14.4,14.55,394096.0
CGPOWER.EQ-NSE,2019-11-01,14.55,14.65,13.75,13.95,1260115.0
CGPOWER.EQ-NSE,2019-11-04,14.55,14.55,14.55,14.55,187198.0
CGPOWER.EQ-NSE,2019-11-05,15.25,15.25,14.9,15.25,2232587.0
CGPOWER.EQ-NSE,2019-11-06,16.0,16.0,15.6,16.0,1084945.0
CGPOWER.EQ-NSE,2019-11-07,16.8,16.8,16.8,16.8,172128.0
CGPOWER.EQ-NSE,2019-11-08,17.6,17.6,16.0,16.1,5437112.0
CGPOWER.EQ-NSE,2019-11-11,16.0,16.3,15.6,16.05,981636.0
CGPOWER.EQ-NSE,2019-11-13,16.3,16.7,16.0,16.7,1771202.0
CGPOWER.EQ-NSE,2019-11-14,17.0,17.15,16.05,16.2,1288685.0
CGPOWER.EQ-NSE,2019-11-15,16.2,16.5,15.35,15.5,914556.0
CGPOWER.EQ-NSE,2019-11-18,15.95,15.95,14.7,15.0,885530.0
CGPOWER.EQ-NSE,2019-11-19,14.95,14.95,14.3,14.55,864476.0
CGPOWER.EQ-NSE,2019-11-20,14.6,14.65,14.0,14.05,793357.0
CGPOWER.EQ-NSE,2019-11-21,14.2,14.5,13.8,13.8,769437.0
CGPOWER.EQ-NSE,2019-11-22,14.35,14.45,13.75,14.2,897847.0
CGPOWER.EQ-NSE,2019-11-25,14.4,14.8,14.15,14.7,2882328.0
CGPOWER.EQ-NSE,2019-11-26,14.5,14.5,14.05,14.05,2136011.0
CGPOWER.EQ-NSE,2019-11-27,14.05,14.4,13.75,13.9,705608.0
CGPOWER.EQ-NSE,2019-11-28,13.95,14.1,13.55,13.65,799704.0
CGPOWER.EQ-NSE,2019-11-29,14.05,14.05,13.65,13.65,960178.0
CGPOWER.EQ-NSE,2019-12-02,13.6,13.6,13.05,13.25,727618.0
CGPOWER.EQ-NSE,2019-12-03,13.4,13.4,12.55,12.6,887582.0
CGPOWER.EQ-NSE,2019-12-04,12.35,12.4,12.0,12.05,1175543.0
CGPOWER.EQ-NSE,2019-12-05,12.1,12.65,11.7,12.65,1637800.0
CGPOWER.EQ-NSE,2019-12-06,12.85,12.95,12.15,12.35,808986.0
CGPOWER.EQ-NSE,2019-12-09,12.35,12.5,12.05,12.25,579231.0
CGPOWER.EQ-NSE,2019-12-10,12.15,12.25,11.6,11.6,468406.0
CGPOWER.EQ-NSE,2019-12-11,11.8,11.8,11.15,11.15,926123.0
CGPOWER.EQ-NSE,2019-12-12,10.85,11.65,10.65,11.55,1113724.0
CGPOWER.EQ-NSE,2019-12-13,11.9,12.1,11.55,12.1,2548772.0
CGPOWER.EQ-NSE,2019-12-16,12.1,12.1,11.6,11.9,616605.0
CGPOWER.EQ-NSE,2019-12-17,11.95,12.05,11.6,11.6,746721.0
CGPOWER.EQ-NSE,2019-12-18,11.65,11.9,11.15,11.3,891950.0
CGPOWER.EQ-NSE,2019-12-19,11.25,11.35,11.05,11.25,500372.0
CGPOWER.EQ-NSE,2019-12-20,10.85,11.3,10.85,10.9,809487.0
CGPOWER.EQ-NSE,2019-12-23,10.7,11.0,10.65,10.95,465910.0
CGPOWER.EQ-NSE,2019-12-24,10.8,10.9,10.4,10.45,857779.0
CGPOWER.EQ-NSE,2019-12-26,10.75,10.85,10.35,10.65,324182.0
CGPOWER.EQ-NSE,2019-12-27,10.65,11.15,10.2,10.9,469713.0
CGPOWER.EQ-NSE,2019-12-30,11.0,11.1,10.6,10.9,135485.0
CGPOWER.EQ-NSE,2019-12-31,10.6,10.9,10.6,10.9,398512.0
CGPOWER.EQ-NSE,2020-01-01,11.0,11.2,10.6,10.95,534395.0
CGPOWER.EQ-NSE,2020-01-02,11.0,11.35,10.8,11.25,460214.0
CGPOWER.EQ-NSE,2020-01-03,11.5,11.85,10.9,11.85,559962.0
CGPOWER.EQ-NSE,2020-01-06,11.85,12.25,11.85,12.15,377921.0
CGPOWER.EQ-NSE,2020-01-07,12.4,12.4,11.85,11.95,273088.0
CGPOWER.EQ-NSE,2020-01-08,11.5,11.8,11.4,11.4,225014.0
CGPOWER.EQ-NSE,2020-01-09,11.75,11.75,11.0,11.4,261390.0
CGPOWER.EQ-NSE,2020-01-10,11.5,11.5,11.1,11.35,211558.0
CGPOWER.EQ-NSE,2020-01-13,11.05,11.25,10.7,10.7,421694.0
CGPOWER.EQ-NSE,2020-01-14,10.25,10.4,10.25,10.25,3030589.0
CGPOWER.EQ-NSE,2020-01-15,9.75,10.0,9.75,9.75,1131058.0
CGPOWER.EQ-NSE,2020-01-16,9.3,9.5,9.3,9.3,364290.0
CGPOWER.EQ-NSE,2020-01-17,8.85,8.9,8.85,8.85,432352.0
CGPOWER.EQ-NSE,2020-01-20,8.45,8.75,8.45,8.45,1238959.0
CGPOWER.EQ-NSE,2020-01-21,8.05,8.05,8.05,8.05,216279.0
CGPOWER.EQ-NSE,2020-01-22,7.65,8.45,7.65,8.45,2188170.0
CGPOWER.EQ-NSE,2020-01-23,8.85,8.85,8.85,8.85,114317.0
