Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
CHOLAFIN-I256CE,2019-01-01,10.38,10.38,10.38,10.38,2500.0,7500.0
CHOLAFIN-I300CE,2019-01-01,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.6599999999999999,2500.0,5000.0
CHOLAFIN-I230PE,2019-01-02,3.6,3.6,3.6,3.6,2500.0,2500.0
CHOLAFIN-I236PE,2019-01-02,4.5,6.04,4.5,6.04,7500.0,5000.0
CHOLAFIN-I240PE,2019-01-02,5.32,5.32,5.32,5.32,5000.0,7500.0
CHOLAFIN-I252CE,2019-01-02,10.4,10.8,8.8,8.8,25000.0,15000.0
CHOLAFIN-I252PE,2019-01-02,10.94,10.94,10.94,10.94,2500.0,7500.0
CHOLAFIN-I256CE,2019-01-02,8.709999999999999,8.709999999999999,7.0,7.6,10000.0,12500.0
CHOLAFIN-I260CE,2019-01-02,8.58,8.58,6.2,6.2,12500.0,27500.0
CHOLAFIN-I268CE,2019-01-02,4.720000000000001,4.720000000000001,4.720000000000001,4.720000000000001,2500.0,10000.0
CHOLAFIN-I284CE,2019-01-02,1.91,1.91,1.72,1.72,7500.0,5000.0
CHOLAFIN-I292CE,2019-01-02,1.3,1.3,1.3,1.3,2500.0,0.0
CHOLAFIN-I300CE,2019-01-02,0.63,0.63,0.63,0.63,2500.0,7500.0
CHOLAFIN-I228PE,2019-01-03,4.5,4.6,4.5,4.6,5000.0,2500.0
CHOLAFIN-I240PE,2019-01-03,8.64,9.6,8.64,9.6,7500.0,17500.0
CHOLAFIN-I244CE,2019-01-03,11.0,11.0,11.0,11.0,5000.0,0.0
CHOLAFIN-I248CE,2019-01-03,9.0,9.2,7.0,7.63,25000.0,25000.0
CHOLAFIN-I252CE,2019-01-03,8.7,8.8,5.63,5.63,25000.0,32500.0
CHOLAFIN-I240CE,2019-01-04,9.24,10.99,9.24,10.99,7500.0,5000.0
CHOLAFIN-I240PE,2019-01-04,10.4,10.4,10.4,10.4,2500.0,20000.0
CHOLAFIN-I244CE,2019-01-04,10.0,11.14,10.0,10.85,12500.0,12500.0
CHOLAFIN-I248CE,2019-01-04,8.4,8.4,6.540000000000001,7.390000000000001,12500.0,27500.0
CHOLAFIN-I252CE,2019-01-04,6.68,6.68,6.68,6.68,2500.0,35000.0
CHOLAFIN-I260CE,2019-01-04,3.83,3.91,3.5,3.91,10000.0,25000.0
CHOLAFIN-I264CE,2019-01-04,3.63,3.63,3.63,3.63,2500.0,12500.0
CHOLAFIN-I272CE,2019-01-04,1.4,1.4,1.4,1.4,2500.0,2500.0
CHOLAFIN-I220PE,2019-01-07,2.2,2.2,2.2,2.2,5000.0,7500.0
CHOLAFIN-I236PE,2019-01-07,7.2,7.2,7.2,7.2,2500.0,5000.0
CHOLAFIN-I240CE,2019-01-07,12.0,12.0,12.0,12.0,2500.0,7500.0
CHOLAFIN-I240PE,2019-01-07,8.45,8.45,7.0,7.0,7500.0,25000.0
CHOLAFIN-I244CE,2019-01-07,10.09,10.09,10.09,10.09,2500.0,15000.0
CHOLAFIN-I244PE,2019-01-07,9.4,9.4,9.4,9.4,5000.0,2500.0
CHOLAFIN-I248CE,2019-01-07,6.6,6.6,6.6,6.6,2500.0,27500.0
CHOLAFIN-I252CE,2019-01-07,5.6,5.6,5.0,5.0,10000.0,35000.0
CHOLAFIN-I268CE,2019-01-07,1.69,1.69,1.69,1.69,2500.0,12500.0
CHOLAFIN-I276CE,2019-01-07,1.2,1.2,1.2,1.2,2500.0,0.0
CHOLAFIN-I236CE,2019-01-08,12.95,12.95,12.95,12.95,2500.0,0.0
CHOLAFIN-I236PE,2019-01-08,6.409999999999999,6.409999999999999,6.409999999999999,6.409999999999999,2500.0,5000.0
CHOLAFIN-I244CE,2019-01-08,8.52,8.52,8.52,8.52,2500.0,15000.0
CHOLAFIN-I252CE,2019-01-08,5.2,5.5,5.2,5.5,5000.0,35000.0
CHOLAFIN-I272CE,2019-01-08,1.0,1.0,1.0,1.0,2500.0,5000.0
CHOLAFIN-I228PE,2019-01-09,4.029999999999999,4.6,4.029999999999999,4.6,5000.0,7500.0
CHOLAFIN-I230PE,2019-01-09,4.39,4.39,4.39,4.39,5000.0,2500.0
CHOLAFIN-I236CE,2019-01-09,12.0,12.0,12.0,12.0,2500.0,2500.0
CHOLAFIN-I240CE,2019-01-09,10.22,10.22,10.22,10.22,2500.0,10000.0
CHOLAFIN-I244CE,2019-01-09,7.7,7.7,7.7,7.7,2500.0,17500.0
CHOLAFIN-I248CE,2019-01-09,5.96,6.33,4.99,4.99,7500.0,32500.0
CHOLAFIN-I252CE,2019-01-09,4.43,4.43,3.69,3.69,10000.0,35000.0
CHOLAFIN-I260CE,2019-01-09,1.7100000000000002,1.7100000000000002,1.7100000000000002,1.7100000000000002,2500.0,25000.0
CHOLAFIN-I220PE,2019-01-10,1.66,1.66,1.66,1.66,5000.0,12500.0
CHOLAFIN-I228PE,2019-01-10,2.92,2.92,2.92,2.92,5000.0,10000.0
CHOLAFIN-I240CE,2019-01-10,8.0,8.0,7.479999999999999,7.479999999999999,15000.0,17500.0
CHOLAFIN-I240PE,2019-01-10,7.8,7.8,7.8,7.8,27500.0,45000.0
CHOLAFIN-I248CE,2019-01-10,3.68,4.029999999999999,3.68,4.029999999999999,5000.0,32500.0
CHOLAFIN-I250CE,2019-01-10,3.39,3.74,3.39,3.74,7500.0,7500.0
CHOLAFIN-I268CE,2019-01-10,0.2,0.2,0.2,0.2,5000.0,12500.0
CHOLAFIN-I228PE,2019-01-11,3.0,3.0,3.0,3.0,2500.0,10000.0
CHOLAFIN-I236PE,2019-01-11,6.409999999999999,6.409999999999999,5.8,6.23,7500.0,7500.0
CHOLAFIN-I240CE,2019-01-11,7.0,7.0,5.779999999999999,5.779999999999999,22500.0,27500.0
CHOLAFIN-I240PE,2019-01-11,8.309999999999999,8.309999999999999,8.1,8.1,5000.0,45000.0
CHOLAFIN-I248CE,2019-01-11,3.94,3.94,3.0,3.45,7500.0,30000.0
CHOLAFIN-I252CE,2019-01-11,2.4,2.4,2.4,2.4,2500.0,35000.0
CHOLAFIN-I256CE,2019-01-11,2.0,2.0,2.0,2.0,10000.0,12500.0
CHOLAFIN-I260CE,2019-01-11,1.1,1.1,1.0,1.0,5000.0,25000.0
CHOLAFIN-I236PE,2019-01-14,6.2700000000000005,8.4,5.6,5.6,12500.0,12500.0
CHOLAFIN-I240CE,2019-01-14,5.99,6.0,4.0,4.46,20000.0,37500.0
CHOLAFIN-I240PE,2019-01-14,11.0,11.0,9.94,9.94,5000.0,45000.0
CHOLAFIN-I244CE,2019-01-14,1.82,4.58,1.82,4.58,10000.0,12500.0
CHOLAFIN-I248CE,2019-01-14,2.2,2.2,1.8,1.8,12500.0,25000.0
CHOLAFIN-I252CE,2019-01-14,1.59,1.63,1.59,1.63,7500.0,35000.0
CHOLAFIN-I256CE,2019-01-14,1.06,1.06,1.0,1.0,5000.0,25000.0
CHOLAFIN-I260CE,2019-01-14,0.47,0.73,0.43,0.73,20000.0,25000.0
CHOLAFIN-I300CE,2019-01-14,0.1,0.1,0.1,0.1,2500.0,5000.0
CHOLAFIN-I240CE,2019-01-15,4.95,5.6,4.8,5.6,10000.0,40000.0
CHOLAFIN-I252CE,2019-01-15,1.65,1.65,1.6,1.6,5000.0,37500.0
CHOLAFIN-I252PE,2019-01-15,14.0,14.0,14.0,14.0,2500.0,7500.0
CHOLAFIN-I240CE,2019-01-16,7.4,7.8,5.0,7.18,30000.0,35000.0
