Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
CIPLA.EQ-NSE,2019-01-01,520.05,524.0,518.65,522.75,1360435.0
CIPLA.EQ-NSE,2019-01-02,521.5,522.5,513.15,514.35,1241281.0
CIPLA.EQ-NSE,2019-01-03,516.55,520.5,511.2,512.2,2084109.0
CIPLA.EQ-NSE,2019-01-04,513.2,514.9,508.05,512.25,1648327.0
CIPLA.EQ-NSE,2019-01-07,515.8,517.75,510.3,513.8,1163287.0
CIPLA.EQ-NSE,2019-01-08,514.65,517.2,511.25,514.05,1762799.0
CIPLA.EQ-NSE,2019-01-09,515.9,516.75,507.5,510.5,1926343.0
CIPLA.EQ-NSE,2019-01-10,509.95,514.9,509.9,514.0,1248858.0
CIPLA.EQ-NSE,2019-01-11,514.0,519.0,508.25,510.95,2049819.0
CIPLA.EQ-NSE,2019-01-14,510.2,514.0,505.6,513.25,1469637.0
CIPLA.EQ-NSE,2019-01-15,514.5,515.35,509.5,514.8,1174961.0
CIPLA.EQ-NSE,2019-01-16,515.15,515.95,509.0,511.3,1444536.0
CIPLA.EQ-NSE,2019-01-17,512.8,514.95,507.6,509.4,1596019.0
CIPLA.EQ-NSE,2019-01-18,510.75,513.0,507.3,509.2,1500379.0
CIPLA.EQ-NSE,2019-01-21,510.35,514.2,508.2,509.05,1148618.0
CIPLA.EQ-NSE,2019-01-22,508.95,511.4,502.45,506.8,1451902.0
CIPLA.EQ-NSE,2019-01-23,510.0,511.7,507.1,509.05,1353343.0
CIPLA.EQ-NSE,2019-01-24,508.7,510.7,496.1,501.35,1617619.0
CIPLA.EQ-NSE,2019-01-25,501.35,508.6,501.35,508.4,1189853.0
CIPLA.EQ-NSE,2019-01-28,509.0,509.0,489.1,491.9,3211426.0
CIPLA.EQ-NSE,2019-01-29,489.15,507.55,483.75,500.9,2670899.0
CIPLA.EQ-NSE,2019-01-30,504.6,507.1,497.7,504.8,1520255.0
