Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
COLPAL-I1200PE,2019-01-01,6.65,6.65,4.05,4.8,3500.0,10500.0
COLPAL-I1240PE,2019-01-01,12.0,12.0,12.0,12.0,700.0,2100.0
COLPAL-I1280PE,2019-01-01,15.0,18.9,15.0,18.2,5600.0,6300.0
COLPAL-I1300CE,2019-01-01,44.35,44.35,41.8,41.8,1400.0,2800.0
COLPAL-I1300PE,2019-01-01,19.0,29.25,18.95,26.7,26600.0,24500.0
COLPAL-I1320CE,2019-01-01,44.1,44.1,29.5,36.0,36400.0,109200.0
COLPAL-I1320PE,2019-01-01,34.45,34.45,34.45,34.45,2100.0,2100.0
COLPAL-I1340CE,2019-01-01,36.05,36.05,22.15,26.65,31500.0,29400.0
COLPAL-I1340PE,2019-01-01,43.0,45.0,43.0,45.0,1400.0,1400.0
COLPAL-I1360CE,2019-01-01,30.95,30.95,16.15,19.5,86100.0,48300.0
COLPAL-I1360PE,2019-01-01,47.65,63.1,47.65,63.1,1400.0,700.0
COLPAL-I1380CE,2019-01-01,17.65,23.0,12.0,13.8,22400.0,23800.0
COLPAL-I1400CE,2019-01-01,16.0,16.0,8.5,10.25,47600.0,43400.0
COLPAL-I1420CE,2019-01-01,10.0,10.05,6.5,6.5,8400.0,8400.0
COLPAL-I1480CE,2019-01-01,3.1,3.1,3.05,3.05,1400.0,11200.0
COLPAL-I1500CE,2019-01-01,2.0,2.0,2.0,2.0,1400.0,5600.0
COLPAL-I1540CE,2019-01-01,5.1,5.1,0.1,0.1,2100.0,1400.0
COLPAL-I1180PE,2019-01-02,4.0,4.0,4.0,4.0,1400.0,1400.0
COLPAL-I1200PE,2019-01-02,4.8,5.5,4.8,5.5,1400.0,10500.0
COLPAL-I1240PE,2019-01-02,11.95,11.95,11.95,11.95,1400.0,2800.0
COLPAL-I1260CE,2019-01-02,68.0,68.0,67.0,67.0,2800.0,2800.0
COLPAL-I1260PE,2019-01-02,14.5,16.4,14.15,16.4,3500.0,9100.0
COLPAL-I1280PE,2019-01-02,20.0,24.0,20.0,24.0,6300.0,10500.0
COLPAL-I1300CE,2019-01-02,40.8,40.8,37.05,37.05,1400.0,2800.0
COLPAL-I1300PE,2019-01-02,30.0,36.95,27.65,36.95,38500.0,31500.0
COLPAL-I1320CE,2019-01-02,30.55,33.05,26.1,27.0,50400.0,88200.0
COLPAL-I1320PE,2019-01-02,39.8,44.0,39.8,44.0,1400.0,4200.0
COLPAL-I1340CE,2019-01-02,25.65,25.65,20.0,20.0,25200.0,34300.0
COLPAL-I1340PE,2019-01-02,51.9,51.9,51.9,51.9,700.0,1400.0
COLPAL-I1360CE,2019-01-02,13.0,17.95,13.0,14.35,31500.0,43400.0
COLPAL-I1360PE,2019-01-02,65.0,65.0,62.45,62.45,2800.0,1400.0
COLPAL-I1380CE,2019-01-02,20.0,20.0,10.3,10.4,20300.0,25900.0
COLPAL-I1380PE,2019-01-02,80.0,80.0,80.0,80.0,700.0,0.0
COLPAL-I1400CE,2019-01-02,9.9,9.9,7.05,7.05,34300.0,44800.0
COLPAL-I1400PE,2019-01-02,96.3,96.3,96.3,96.3,1400.0,0.0
COLPAL-I1420CE,2019-01-02,5.5,5.5,5.0,5.0,1400.0,8400.0
COLPAL-I1480CE,2019-01-02,1.95,1.95,1.95,1.95,1400.0,11200.0
COLPAL-I1180PE,2019-01-03,4.5,4.5,4.5,4.5,1400.0,2100.0
COLPAL-I1240PE,2019-01-03,9.5,9.75,9.0,9.0,7000.0,7000.0
COLPAL-I1260PE,2019-01-03,15.1,15.1,12.75,13.95,2100.0,8400.0
COLPAL-I1280PE,2019-01-03,22.5,22.8,19.0,19.0,11200.0,11900.0
COLPAL-I1300CE,2019-01-03,46.3,46.3,46.3,46.3,700.0,2800.0
COLPAL-I1300PE,2019-01-03,29.85,33.0,24.25,26.8,14700.0,32900.0
COLPAL-I1320CE,2019-01-03,27.0,34.8,27.0,31.95,25200.0,84700.0
COLPAL-I1320PE,2019-01-03,40.85,41.6,40.85,41.6,2100.0,2800.0
COLPAL-I1340CE,2019-01-03,21.0,27.5,19.95,23.4,27300.0,38500.0
COLPAL-I1360CE,2019-01-03,11.6,19.9,11.6,17.0,24500.0,47600.0
COLPAL-I1380CE,2019-01-03,12.75,12.85,11.1,12.7,5600.0,25200.0
COLPAL-I1400CE,2019-01-03,7.75,9.0,7.0,8.95,3500.0,45500.0
COLPAL-I1480CE,2019-01-03,1.95,1.95,1.9,1.9,3500.0,11200.0
COLPAL-I1140PE,2019-01-04,2.8,2.8,2.75,2.75,3500.0,2800.0
COLPAL-I1240PE,2019-01-04,7.0,7.5,7.0,7.5,1400.0,8400.0
COLPAL-I1280CE,2019-01-04,58.0,58.0,58.0,58.0,700.0,4200.0
COLPAL-I1280PE,2019-01-04,17.1,19.0,15.0,19.0,7700.0,12600.0
COLPAL-I1300CE,2019-01-04,47.5,47.5,46.0,46.0,1400.0,3500.0
COLPAL-I1300PE,2019-01-04,25.5,26.5,21.8,26.5,11200.0,37100.0
COLPAL-I1320CE,2019-01-04,31.35,38.0,31.35,34.25,11200.0,86800.0
COLPAL-I1320PE,2019-01-04,31.0,31.0,31.0,31.0,700.0,3500.0
COLPAL-I1340CE,2019-01-04,26.5,28.3,24.0,24.2,26600.0,41300.0
