Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
CONCOR-I504PE,2019-01-01,6.8,6.8,6.8,6.8,7812.5,6250.0
CONCOR-I544CE,2019-01-01,26.04,26.04,23.6,23.6,3125.0,32812.5
CONCOR-I544PE,2019-01-01,20.96,20.96,20.96,20.96,1562.5,4687.5
CONCOR-I552CE,2019-01-01,23.2,23.2,19.6,20.8,4687.5,7812.5
CONCOR-I552PE,2019-01-01,25.12,25.12,25.12,25.12,1562.5,3125.0
CONCOR-I560CE,2019-01-01,18.04,18.64,15.32,17.119999999999997,62500.0,57812.5
CONCOR-I568CE,2019-01-01,12.56,12.56,12.56,12.56,1562.5,3125.0
CONCOR-I576CE,2019-01-01,12.64,12.64,10.8,11.44,28125.0,46875.0
CONCOR-I600CE,2019-01-01,5.6,5.6,5.6,5.6,4687.5,12500.0
CONCOR-I608CE,2019-01-01,4.4,4.4,4.4,4.4,4687.5,3125.0
CONCOR-I624CE,2019-01-01,2.4,2.4,2.4,2.4,1562.5,4687.5
CONCOR-I472PE,2019-01-02,2.84,2.84,2.84,2.84,1562.5,0.0
CONCOR-I504PE,2019-01-02,6.36,6.4,6.36,6.4,3125.0,10937.5
CONCOR-I520PE,2019-01-02,9.6,9.6,9.6,9.6,6250.0,4687.5
CONCOR-I528PE,2019-01-02,17.6,17.6,17.6,17.6,1562.5,0.0
CONCOR-I544CE,2019-01-02,18.8,18.8,18.8,18.8,1562.5,32812.5
CONCOR-I552CE,2019-01-02,22.4,22.4,13.2,13.2,6250.0,14062.5
CONCOR-I560CE,2019-01-02,16.72,18.56,10.72,12.6,59375.0,65625.0
CONCOR-I576CE,2019-01-02,10.6,11.52,7.6,8.24,34375.0,32812.5
CONCOR-I600CE,2019-01-02,4.8,5.0,4.8,4.92,6250.0,12500.0
CONCOR-I512PE,2019-01-03,12.8,12.8,12.8,12.8,1562.5,1562.5
CONCOR-I552CE,2019-01-03,13.6,14.4,13.6,14.4,3125.0,14062.5
CONCOR-I560CE,2019-01-03,12.0,12.36,11.24,11.32,12500.0,60937.5
CONCOR-I576CE,2019-01-03,8.0,8.559999999999999,7.8,8.559999999999999,12500.0,35937.5
CONCOR-I504PE,2019-01-04,6.8,6.8,6.8,6.8,1562.5,12500.0
CONCOR-I512PE,2019-01-04,9.08,9.08,9.08,9.08,1562.5,3125.0
CONCOR-I544CE,2019-01-04,20.96,20.96,19.6,19.6,9375.0,35937.5
CONCOR-I560CE,2019-01-04,13.2,15.2,10.72,15.2,23437.5,60937.5
CONCOR-I576CE,2019-01-04,7.4,10.0,7.4,8.84,10937.5,32812.5
CONCOR-I600CE,2019-01-04,3.04,3.04,3.04,3.04,1562.5,10937.5
CONCOR-I504PE,2019-01-07,5.88,5.88,5.88,5.88,1562.5,14062.5
CONCOR-I544CE,2019-01-07,18.64,18.64,18.64,18.64,1562.5,39062.5
CONCOR-I552CE,2019-01-07,16.8,16.8,16.8,16.8,1562.5,12500.0
CONCOR-I560CE,2019-01-07,15.2,15.2,12.8,13.76,10937.5,60937.5
CONCOR-I568CE,2019-01-07,13.6,13.6,13.6,13.6,1562.5,3125.0
CONCOR-I576CE,2019-01-07,9.72,9.72,8.8,8.8,4687.5,32812.5
CONCOR-I496PE,2019-01-08,2.48,2.48,2.48,2.48,1562.5,3125.0
CONCOR-I544CE,2019-01-08,23.4,24.0,20.64,20.64,9375.0,35937.5
CONCOR-I544PE,2019-01-08,19.64,19.64,16.880000000000003,16.880000000000003,3125.0,4687.5
