Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
DABUR.EQ-NSE,2019-01-01,432.5,433.95,421.1,422.0,1615637.0
DABUR.EQ-NSE,2019-01-02,421.9,425.35,411.0,416.15,2545759.0
DABUR.EQ-NSE,2019-01-03,416.4,426.0,413.5,422.1,3268679.0
DABUR.EQ-NSE,2019-01-04,423.65,425.45,416.9,418.9,1828251.0
DABUR.EQ-NSE,2019-01-07,421.75,425.75,418.4,420.5,1392598.0
DABUR.EQ-NSE,2019-01-08,422.3,422.5,414.0,417.45,1412462.0
DABUR.EQ-NSE,2019-01-09,419.0,426.8,417.0,421.6,2973411.0
DABUR.EQ-NSE,2019-01-10,422.85,423.9,418.55,422.4,1088659.0
DABUR.EQ-NSE,2019-01-11,422.45,422.75,418.65,421.2,928103.0
DABUR.EQ-NSE,2019-01-14,422.35,435.3,420.8,433.25,3141791.0
DABUR.EQ-NSE,2019-01-15,435.05,438.0,424.0,425.0,4590140.0
DABUR.EQ-NSE,2019-01-16,425.75,427.4,419.35,424.5,1619306.0
DABUR.EQ-NSE,2019-01-17,425.65,426.75,417.65,421.0,2114759.0
DABUR.EQ-NSE,2019-01-18,422.95,427.0,418.55,424.3,2300110.0
DABUR.EQ-NSE,2019-01-21,426.0,433.75,424.15,427.1,2234484.0
DABUR.EQ-NSE,2019-01-22,428.2,434.35,423.2,432.9,1549556.0
DABUR.EQ-NSE,2019-01-23,433.3,436.05,428.65,429.8,1529492.0
DABUR.EQ-NSE,2019-01-24,429.55,433.8,427.4,430.0,1178917.0
DABUR.EQ-NSE,2019-01-25,432.0,438.45,428.2,431.0,1817932.0
DABUR.EQ-NSE,2019-01-28,431.15,432.0,422.5,424.3,1611123.0
DABUR.EQ-NSE,2019-01-29,425.75,426.15,417.6,423.15,1908000.0
DABUR.EQ-NSE,2019-01-30,426.1,432.45,424.35,430.9,1916573.0
DABUR.EQ-NSE,2019-01-31,433.35,448.2,427.2,447.5,10964376.0
DABUR.EQ-NSE,2019-02-01,448.35,456.0,441.35,451.5,6018390.0
DABUR.EQ-NSE,2019-02-04,452.35,458.0,443.6,447.5,2205535.0
DABUR.EQ-NSE,2019-02-05,447.95,453.0,444.2,449.5,1497106.0
DABUR.EQ-NSE,2019-02-06,450.15,455.0,447.1,454.0,1488626.0
DABUR.EQ-NSE,2019-02-07,453.25,462.0,453.0,457.0,2063207.0
DABUR.EQ-NSE,2019-02-08,459.0,464.2,449.55,451.1,1967179.0
DABUR.EQ-NSE,2019-02-11,450.8,452.5,441.8,451.0,1206237.0
DABUR.EQ-NSE,2019-02-12,450.7,452.9,444.0,444.5,1101165.0
DABUR.EQ-NSE,2019-02-13,446.25,448.0,437.5,439.5,1189218.0
DABUR.EQ-NSE,2019-02-14,438.0,444.4,437.0,441.0,1105966.0
DABUR.EQ-NSE,2019-02-15,440.2,443.45,430.1,433.4,1880875.0
DABUR.EQ-NSE,2019-02-18,433.3,434.5,417.5,420.95,3072346.0
DABUR.EQ-NSE,2019-02-19,420.0,427.4,417.7,421.2,1805028.0
DABUR.EQ-NSE,2019-02-20,422.75,426.0,421.3,425.0,911806.0
DABUR.EQ-NSE,2019-02-21,426.15,428.75,423.1,427.4,890515.0
DABUR.EQ-NSE,2019-02-22,426.0,436.2,425.4,436.1,1425880.0
DABUR.EQ-NSE,2019-02-25,438.0,439.85,429.75,431.8,1626242.0
DABUR.EQ-NSE,2019-02-26,427.0,433.55,424.0,429.75,1325190.0
DABUR.EQ-NSE,2019-02-27,430.4,441.0,429.5,435.0,3022729.0
DABUR.EQ-NSE,2019-02-28,436.15,440.0,433.0,439.65,2946898.0
DABUR.EQ-NSE,2019-03-01,439.7,446.05,439.7,445.0,2701843.0
DABUR.EQ-NSE,2019-03-05,445.4,445.85,440.05,443.0,3041044.0
DABUR.EQ-NSE,2019-03-06,443.9,445.0,435.25,437.15,1696307.0
DABUR.EQ-NSE,2019-03-07,438.75,441.8,432.1,432.8,1360095.0
DABUR.EQ-NSE,2019-03-08,431.5,435.55,430.8,431.95,829638.0
DABUR.EQ-NSE,2019-03-11,434.35,444.0,432.7,443.6,1936947.0
DABUR.EQ-NSE,2019-03-12,447.0,454.7,444.7,445.5,2669965.0
DABUR.EQ-NSE,2019-03-13,447.35,448.0,439.15,440.0,1629052.0
DABUR.EQ-NSE,2019-03-14,439.9,440.8,435.15,438.6,1203574.0
DABUR.EQ-NSE,2019-03-15,437.1,439.15,423.5,426.45,2769187.0
DABUR.EQ-NSE,2019-03-18,426.75,429.8,422.2,427.55,1961277.0
DABUR.EQ-NSE,2019-03-19,429.8,429.8,425.4,427.0,1462621.0
DABUR.EQ-NSE,2019-03-20,427.15,427.95,423.55,425.3,2258700.0
DABUR.EQ-NSE,2019-03-22,427.0,428.0,424.1,425.45,2908384.0
DABUR.EQ-NSE,2019-03-25,422.0,423.9,416.2,420.0,3126141.0
DABUR.EQ-NSE,2019-03-26,422.25,431.7,420.3,425.15,2339396.0
DABUR.EQ-NSE,2019-03-27,425.2,427.05,409.45,410.45,5117063.0
DABUR.EQ-NSE,2019-03-28,410.0,417.3,407.45,413.0,6233514.0
DABUR.EQ-NSE,2019-03-29,414.0,414.5,407.0,409.0,5743199.0
DABUR.EQ-NSE,2019-04-01,410.2,411.35,399.1,400.55,5901313.0
DABUR.EQ-NSE,2019-04-02,402.15,408.0,399.6,401.7,4071216.0
DABUR.EQ-NSE,2019-04-03,406.05,408.85,402.15,403.2,3678935.0
DABUR.EQ-NSE,2019-04-04,405.7,406.8,403.25,406.0,2362127.0
DABUR.EQ-NSE,2019-04-05,405.9,407.15,399.65,400.4,2951453.0
DABUR.EQ-NSE,2019-04-08,401.05,405.0,400.4,400.7,1378493.0
DABUR.EQ-NSE,2019-04-09,402.0,404.55,400.0,404.15,1465573.0
DABUR.EQ-NSE,2019-04-10,406.0,408.75,401.25,402.95,2850425.0
DABUR.EQ-NSE,2019-04-11,403.5,406.2,399.3,404.2,1310898.0
DABUR.EQ-NSE,2019-04-12,404.7,409.35,403.0,407.0,3341776.0
DABUR.EQ-NSE,2019-04-15,409.5,411.0,404.85,406.0,1285401.0
DABUR.EQ-NSE,2019-04-16,406.65,410.0,406.35,409.0,1581158.0
DABUR.EQ-NSE,2019-04-18,409.9,412.0,403.55,405.5,1427708.0
DABUR.EQ-NSE,2019-04-22,405.0,405.85,401.5,404.65,835961.0
DABUR.EQ-NSE,2019-04-23,404.1,406.7,402.0,403.0,1043943.0
DABUR.EQ-NSE,2019-04-24,404.3,404.3,397.0,398.55,1859266.0
DABUR.EQ-NSE,2019-04-25,398.9,401.7,393.8,395.1,1930332.0
DABUR.EQ-NSE,2019-04-26,395.75,400.6,394.5,398.6,1398110.0
DABUR.EQ-NSE,2019-04-30,399.4,403.1,397.0,397.8,2072012.0
DABUR.EQ-NSE,2019-05-02,399.7,399.7,376.9,382.8,13086160.0
DABUR.EQ-NSE,2019-05-03,382.05,385.9,377.3,382.0,5510297.0
DABUR.EQ-NSE,2019-05-06,380.05,380.95,375.1,377.0,1779336.0
DABUR.EQ-NSE,2019-05-07,378.65,384.35,374.45,375.0,3506292.0
DABUR.EQ-NSE,2019-05-08,375.5,375.75,365.0,366.55,5286026.0
DABUR.EQ-NSE,2019-05-09,366.35,368.5,364.4,367.1,1713804.0
