Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
DENABANK.EQ-NSE,2019-01-01,17.2,18.15,17.1,18.1,4747659.0
DENABANK.EQ-NSE,2019-01-02,18.3,18.45,17.8,17.9,2999901.0
DENABANK.EQ-NSE,2019-01-03,14.8,15.0,14.35,14.4,30838270.0
DENABANK.EQ-NSE,2019-01-04,14.3,14.65,14.2,14.3,6470181.0
DENABANK.EQ-NSE,2019-01-07,14.3,14.45,13.55,13.8,4476377.0
DENABANK.EQ-NSE,2019-01-08,13.75,14.15,13.65,14.0,3879238.0
DENABANK.EQ-NSE,2019-01-09,14.1,14.15,13.8,13.85,1713128.0
DENABANK.EQ-NSE,2019-01-10,13.9,13.95,13.7,13.7,1793354.0
DENABANK.EQ-NSE,2019-01-11,13.85,13.9,13.6,13.7,1674806.0
DENABANK.EQ-NSE,2019-01-14,13.7,13.7,13.45,13.55,1309423.0
DENABANK.EQ-NSE,2019-01-15,13.55,13.8,13.5,13.6,1468428.0
DENABANK.EQ-NSE,2019-01-16,13.65,13.7,13.5,13.6,1049861.0
DENABANK.EQ-NSE,2019-01-17,13.55,13.65,13.5,13.6,809097.0
DENABANK.EQ-NSE,2019-01-18,13.6,13.65,13.45,13.5,1080905.0
DENABANK.EQ-NSE,2019-01-21,13.55,13.55,13.3,13.35,1187066.0
DENABANK.EQ-NSE,2019-01-22,13.4,13.45,12.9,13.05,1409860.0
DENABANK.EQ-NSE,2019-01-23,12.9,13.1,12.85,12.95,779061.0
DENABANK.EQ-NSE,2019-01-24,12.9,12.95,12.8,12.85,665928.0
DENABANK.EQ-NSE,2019-01-25,12.85,13.1,12.6,12.6,844256.0
DENABANK.EQ-NSE,2019-01-28,12.65,12.9,12.3,12.5,1307100.0
DENABANK.EQ-NSE,2019-01-29,12.5,12.8,12.35,12.65,1155940.0
DENABANK.EQ-NSE,2019-01-30,12.8,12.9,12.5,12.7,1039168.0
DENABANK.EQ-NSE,2019-01-31,12.8,12.85,12.35,12.5,981348.0
DENABANK.EQ-NSE,2019-02-01,12.6,12.9,12.15,12.2,1775529.0
DENABANK.EQ-NSE,2019-02-04,12.2,12.2,11.8,11.9,1976938.0
DENABANK.EQ-NSE,2019-02-05,11.95,12.15,11.7,11.75,1347171.0
DENABANK.EQ-NSE,2019-02-06,11.75,11.75,11.5,11.75,1927503.0
DENABANK.EQ-NSE,2019-02-07,11.7,11.8,11.6,11.65,4483000.0
DENABANK.EQ-NSE,2019-02-08,11.6,11.6,11.15,11.35,1606896.0
DENABANK.EQ-NSE,2019-02-11,11.3,11.35,10.95,11.3,763843.0
DENABANK.EQ-NSE,2019-02-12,11.2,11.25,11.0,11.0,1109904.0
DENABANK.EQ-NSE,2019-02-13,11.05,11.15,10.85,10.9,2046306.0
DENABANK.EQ-NSE,2019-02-14,10.85,11.2,10.8,11.05,1674149.0
DENABANK.EQ-NSE,2019-02-15,11.05,11.05,10.7,10.85,1283752.0
DENABANK.EQ-NSE,2019-02-18,10.85,10.9,10.45,10.5,2607054.0
DENABANK.EQ-NSE,2019-02-19,10.55,11.05,10.45,10.75,2656663.0
DENABANK.EQ-NSE,2019-02-20,10.9,11.1,10.8,10.95,2213033.0
DENABANK.EQ-NSE,2019-02-21,11.25,11.55,11.0,11.25,8372463.0
DENABANK.EQ-NSE,2019-02-22,11.35,11.35,11.2,11.3,1000876.0
DENABANK.EQ-NSE,2019-02-25,11.35,11.35,11.2,11.3,701869.0
DENABANK.EQ-NSE,2019-02-26,11.15,11.25,10.85,11.15,949687.0
DENABANK.EQ-NSE,2019-02-27,11.25,11.35,11.0,11.1,787602.0
DENABANK.EQ-NSE,2019-02-28,11.2,11.3,11.05,11.3,871947.0
DENABANK.EQ-NSE,2019-03-01,11.25,11.95,11.2,11.9,2037151.0
DENABANK.EQ-NSE,2019-03-05,12.25,12.45,11.9,12.4,2793648.0
DENABANK.EQ-NSE,2019-03-06,12.35,12.6,12.2,12.3,2044858.0
DENABANK.EQ-NSE,2019-03-07,12.4,12.85,12.2,12.7,2690278.0
