Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
DHANBANK.EQ-NSE,2019-01-01,16.85,16.85,16.5,16.8,193027.0
DHANBANK.EQ-NSE,2019-01-02,16.8,17.0,16.5,16.8,63440.0
DHANBANK.EQ-NSE,2019-01-03,16.5,16.95,16.5,16.7,95919.0
DHANBANK.EQ-NSE,2019-01-04,16.7,16.9,16.3,16.55,53964.0
DHANBANK.EQ-NSE,2019-01-07,16.7,16.95,16.4,16.65,70558.0
DHANBANK.EQ-NSE,2019-01-08,16.55,17.3,16.55,17.25,245170.0
DHANBANK.EQ-NSE,2019-01-09,17.35,17.35,17.0,17.2,196352.0
DHANBANK.EQ-NSE,2019-01-10,17.0,17.2,16.7,17.15,145670.0
DHANBANK.EQ-NSE,2019-01-11,17.1,17.5,17.1,17.2,227552.0
DHANBANK.EQ-NSE,2019-01-14,17.1,17.5,16.8,17.4,143204.0
DHANBANK.EQ-NSE,2019-01-15,17.1,17.85,17.1,17.65,184897.0
DHANBANK.EQ-NSE,2019-01-16,17.8,18.5,17.6,18.45,906654.0
DHANBANK.EQ-NSE,2019-01-17,18.5,18.6,18.0,18.35,371266.0
DHANBANK.EQ-NSE,2019-01-18,18.4,19.15,17.5,17.5,2730092.0
DHANBANK.EQ-NSE,2019-01-21,17.85,17.95,16.75,16.9,417350.0
DHANBANK.EQ-NSE,2019-01-22,17.2,17.2,16.35,16.95,186379.0
DHANBANK.EQ-NSE,2019-01-23,16.7,17.1,16.5,16.65,90548.0
DHANBANK.EQ-NSE,2019-01-24,16.8,16.8,16.3,16.45,208640.0
DHANBANK.EQ-NSE,2019-01-25,16.1,16.95,16.1,16.55,329916.0
DHANBANK.EQ-NSE,2019-01-28,16.7,16.7,15.65,16.0,456507.0
DHANBANK.EQ-NSE,2019-01-29,15.95,16.1,15.4,16.05,237388.0
DHANBANK.EQ-NSE,2019-01-30,16.05,16.5,16.0,16.2,152749.0
DHANBANK.EQ-NSE,2019-01-31,16.5,17.0,15.7,16.2,262142.0
DHANBANK.EQ-NSE,2019-02-01,16.15,16.35,15.7,16.0,218309.0
DHANBANK.EQ-NSE,2019-02-04,16.15,16.55,15.7,15.9,204615.0
DHANBANK.EQ-NSE,2019-02-05,15.5,16.1,15.5,16.05,227164.0
DHANBANK.EQ-NSE,2019-02-06,15.95,16.05,15.55,16.0,128525.0
DHANBANK.EQ-NSE,2019-02-07,15.45,16.0,15.45,15.75,198361.0
DHANBANK.EQ-NSE,2019-02-08,15.8,15.95,15.65,15.8,573032.0
DHANBANK.EQ-NSE,2019-02-11,15.7,15.85,14.7,15.75,165795.0
DHANBANK.EQ-NSE,2019-02-12,15.15,15.65,15.1,15.45,100251.0
DHANBANK.EQ-NSE,2019-02-13,15.45,15.5,15.3,15.5,82270.0
DHANBANK.EQ-NSE,2019-02-14,15.3,15.45,14.6,15.25,171526.0
DHANBANK.EQ-NSE,2019-02-15,15.25,15.3,14.9,15.0,120782.0
DHANBANK.EQ-NSE,2019-02-18,14.7,14.8,13.6,13.9,207543.0
DHANBANK.EQ-NSE,2019-02-19,13.95,14.35,13.9,13.9,122095.0
DHANBANK.EQ-NSE,2019-02-20,13.9,14.3,13.75,14.1,199185.0
DHANBANK.EQ-NSE,2019-02-21,12.75,14.2,12.75,13.85,247750.0
DHANBANK.EQ-NSE,2019-02-22,13.8,14.45,13.65,14.15,247546.0
DHANBANK.EQ-NSE,2019-02-25,14.15,14.75,13.45,13.95,336684.0
