Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
DHFL.EQ-NSE,2019-01-01,249.5,249.5,245.55,246.6,5873583.0
DHFL.EQ-NSE,2019-01-02,245.1,249.35,240.3,241.5,7163663.0
DHFL.EQ-NSE,2019-01-03,241.7,244.3,234.0,234.9,5832631.0
DHFL.EQ-NSE,2019-01-04,235.9,239.3,230.35,239.0,7319990.0
DHFL.EQ-NSE,2019-01-07,241.6,242.4,227.3,228.4,6222439.0
DHFL.EQ-NSE,2019-01-08,231.0,232.4,226.8,230.5,6082758.0
DHFL.EQ-NSE,2019-01-09,232.85,233.4,223.25,227.2,6655560.0
DHFL.EQ-NSE,2019-01-10,227.55,229.65,223.0,224.9,4507476.0
DHFL.EQ-NSE,2019-01-11,226.25,226.4,221.0,221.25,3612870.0
DHFL.EQ-NSE,2019-01-14,222.0,224.25,218.5,220.45,4718325.0
DHFL.EQ-NSE,2019-01-15,221.55,225.5,221.2,224.0,3874606.0
DHFL.EQ-NSE,2019-01-16,220.0,227.35,219.6,223.3,5491266.0
DHFL.EQ-NSE,2019-01-17,224.8,226.35,218.0,221.0,4407235.0
DHFL.EQ-NSE,2019-01-18,221.3,222.85,214.65,216.6,4294812.0
DHFL.EQ-NSE,2019-01-21,215.9,217.95,210.3,211.0,3635825.0
DHFL.EQ-NSE,2019-01-22,211.5,213.7,203.7,205.35,6049624.0
DHFL.EQ-NSE,2019-01-23,206.85,213.3,206.15,209.55,6399328.0
DHFL.EQ-NSE,2019-01-24,210.4,210.6,202.9,209.95,4792635.0
DHFL.EQ-NSE,2019-01-25,211.2,223.8,199.5,208.0,26111886.0
DHFL.EQ-NSE,2019-01-28,203.0,205.6,183.7,184.9,23878451.0
DHFL.EQ-NSE,2019-01-29,181.45,184.0,161.3,172.2,43513481.0
DHFL.EQ-NSE,2019-01-30,164.95,169.6,153.55,160.4,56999503.0
DHFL.EQ-NSE,2019-01-31,155.2,157.5,129.5,135.05,92912577.0
DHFL.EQ-NSE,2019-02-01,133.1,134.5,102.1,110.7,94895640.0
DHFL.EQ-NSE,2019-02-04,100.1,126.7,96.8,115.1,116593245.0
DHFL.EQ-NSE,2019-02-05,114.65,123.7,113.0,122.25,45675556.0
DHFL.EQ-NSE,2019-02-06,124.35,125.0,113.0,119.9,27445790.0
DHFL.EQ-NSE,2019-02-07,120.0,122.75,114.55,115.45,18196154.0
DHFL.EQ-NSE,2019-02-08,114.55,116.5,104.5,108.75,20569908.0
DHFL.EQ-NSE,2019-02-11,109.25,109.65,103.1,104.5,18165312.0
DHFL.EQ-NSE,2019-02-12,104.5,108.75,103.5,106.35,12831853.0
DHFL.EQ-NSE,2019-02-13,107.9,112.65,106.3,111.65,14389219.0
DHFL.EQ-NSE,2019-02-14,104.6,131.35,103.95,127.7,54066548.0
DHFL.EQ-NSE,2019-02-15,128.25,129.45,121.0,122.45,19013853.0
DHFL.EQ-NSE,2019-02-18,125.2,135.5,125.15,128.9,32030357.0
DHFL.EQ-NSE,2019-02-19,129.35,130.5,125.2,126.8,11151926.0
DHFL.EQ-NSE,2019-02-20,127.4,131.3,126.75,130.4,9366839.0
DHFL.EQ-NSE,2019-02-21,132.0,141.75,131.6,137.7,23107459.0
DHFL.EQ-NSE,2019-02-22,138.1,142.5,137.55,138.95,14411930.0
DHFL.EQ-NSE,2019-02-25,141.95,143.4,135.1,136.8,11754091.0
DHFL.EQ-NSE,2019-02-26,129.9,134.9,125.45,130.6,22271899.0
DHFL.EQ-NSE,2019-02-27,132.5,136.25,127.5,127.75,14279289.0
DHFL.EQ-NSE,2019-02-28,128.1,130.45,126.6,128.05,13902725.0
DHFL.EQ-NSE,2019-03-01,128.0,132.5,127.4,128.7,13285301.0
DHFL.EQ-NSE,2019-03-05,130.0,135.25,129.5,133.6,17742973.0
DHFL.EQ-NSE,2019-03-06,147.25,162.3,147.25,148.4,50943283.0
DHFL.EQ-NSE,2019-03-07,151.1,152.0,138.2,141.65,30341487.0
DHFL.EQ-NSE,2019-03-08,141.0,144.25,138.85,139.9,13303499.0
DHFL.EQ-NSE,2019-03-11,138.5,139.3,130.75,132.65,21142565.0
DHFL.EQ-NSE,2019-03-12,133.85,135.6,128.4,128.65,18278386.0
DHFL.EQ-NSE,2019-03-13,129.4,131.3,126.7,127.7,15796591.0
DHFL.EQ-NSE,2019-03-14,134.5,136.7,130.3,132.6,22864258.0
DHFL.EQ-NSE,2019-03-15,132.7,133.3,128.4,132.4,15616193.0
DHFL.EQ-NSE,2019-03-18,136.1,140.0,134.3,135.95,22824265.0
DHFL.EQ-NSE,2019-03-19,137.65,138.0,134.1,136.9,10086919.0
DHFL.EQ-NSE,2019-03-20,138.85,140.0,136.4,137.25,13280383.0
DHFL.EQ-NSE,2019-03-22,137.55,137.8,132.55,133.55,9695370.0
DHFL.EQ-NSE,2019-03-25,130.6,131.3,127.4,130.55,9053762.0
DHFL.EQ-NSE,2019-03-26,129.7,136.5,129.55,136.5,9759322.0
DHFL.EQ-NSE,2019-03-27,136.8,140.0,135.15,136.5,14117819.0
DHFL.EQ-NSE,2019-03-28,137.5,154.8,137.5,149.0,64084736.0
DHFL.EQ-NSE,2019-03-29,149.6,154.2,149.0,149.45,20223572.0
DHFL.EQ-NSE,2019-04-01,152.0,153.3,146.5,149.3,14091362.0
DHFL.EQ-NSE,2019-04-02,149.4,150.1,142.8,144.95,13466608.0
DHFL.EQ-NSE,2019-04-03,145.85,152.85,145.05,148.2,23463496.0
DHFL.EQ-NSE,2019-04-04,149.35,150.75,146.5,149.1,13120140.0
DHFL.EQ-NSE,2019-04-05,149.75,165.5,149.5,165.3,65515216.0
DHFL.EQ-NSE,2019-04-08,166.5,169.85,157.3,161.65,35177556.0
DHFL.EQ-NSE,2019-04-09,161.4,168.85,154.0,167.05,35023785.0
DHFL.EQ-NSE,2019-04-10,165.9,172.9,164.7,167.2,30950653.0
DHFL.EQ-NSE,2019-04-11,167.9,174.55,163.15,171.7,37108904.0
DHFL.EQ-NSE,2019-04-12,167.7,173.4,166.0,166.9,21657237.0
DHFL.EQ-NSE,2019-04-15,169.5,169.95,166.2,166.85,8905332.0
DHFL.EQ-NSE,2019-04-16,167.35,176.45,166.2,170.9,21685542.0
DHFL.EQ-NSE,2019-04-18,172.4,172.9,155.65,156.05,25614238.0
DHFL.EQ-NSE,2019-04-22,152.75,153.05,138.6,138.9,29347787.0
DHFL.EQ-NSE,2019-04-23,139.0,148.6,136.3,140.6,32134147.0
DHFL.EQ-NSE,2019-04-24,141.5,146.3,141.35,144.75,16116691.0
DHFL.EQ-NSE,2019-04-25,145.4,151.0,143.05,145.0,16152046.0
DHFL.EQ-NSE,2019-04-26,148.1,148.9,140.6,143.5,14578804.0
DHFL.EQ-NSE,2019-04-30,139.4,143.2,129.15,132.9,23498813.0
DHFL.EQ-NSE,2019-05-02,133.5,142.25,130.6,133.85,20069987.0
DHFL.EQ-NSE,2019-05-03,134.3,142.8,131.2,142.5,28999658.0
DHFL.EQ-NSE,2019-05-06,137.4,138.35,132.1,132.6,20652360.0
DHFL.EQ-NSE,2019-05-07,134.0,135.5,114.85,115.75,40248437.0
DHFL.EQ-NSE,2019-05-08,114.15,120.5,110.1,116.4,43397043.0
DHFL.EQ-NSE,2019-05-09,116.9,120.2,115.0,115.95,22745509.0
DHFL.EQ-NSE,2019-05-10,118.0,119.4,115.1,116.2,14686744.0
DHFL.EQ-NSE,2019-05-13,115.6,115.75,110.1,111.05,17537415.0
DHFL.EQ-NSE,2019-05-14,107.9,119.65,106.0,117.05,33381679.0
DHFL.EQ-NSE,2019-05-15,115.9,116.5,106.0,106.5,23962850.0
DHFL.EQ-NSE,2019-05-16,108.9,109.0,102.25,108.0,21264395.0
DHFL.EQ-NSE,2019-05-17,111.4,116.3,109.2,112.3,24721919.0
DHFL.EQ-NSE,2019-05-20,118.1,126.4,117.1,125.7,27529887.0
DHFL.EQ-NSE,2019-05-21,128.0,132.0,122.4,130.5,24699330.0
DHFL.EQ-NSE,2019-05-22,117.0,121.75,106.85,117.05,59553603.0
DHFL.EQ-NSE,2019-05-23,123.75,124.7,114.8,115.75,19579655.0
DHFL.EQ-NSE,2019-05-24,116.25,122.3,115.1,120.5,17774257.0
DHFL.EQ-NSE,2019-05-27,120.6,123.45,115.3,119.25,11413870.0
DHFL.EQ-NSE,2019-05-28,119.85,126.0,110.75,114.7,46788992.0
DHFL.EQ-NSE,2019-05-29,112.7,119.5,112.55,115.6,20581222.0
DHFL.EQ-NSE,2019-05-30,115.9,118.5,109.65,114.35,23299296.0
DHFL.EQ-NSE,2019-05-31,115.25,116.0,110.65,111.1,17167644.0
DHFL.EQ-NSE,2019-06-03,112.7,115.0,111.35,113.25,15016263.0
DHFL.EQ-NSE,2019-06-04,113.85,115.75,111.1,111.65,14062257.0
DHFL.EQ-NSE,2019-06-06,100.6,100.6,91.3,94.3,64598575.0
DHFL.EQ-NSE,2019-06-07,91.2,93.2,80.1,83.25,83497490.0
DHFL.EQ-NSE,2019-06-10,87.5,91.5,85.0,89.0,54551130.0
DHFL.EQ-NSE,2019-06-11,92.0,92.9,86.55,90.1,35862905.0
