Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
DHFL-I150PE,2019-01-01,0.75,2.75,0.35,1.75,13500.0,9000.0
DHFL-I180PE,2019-01-01,1.0,1.0,1.0,1.0,1500.0,27000.0
DHFL-I200CE,2019-01-01,48.5,48.5,47.1,47.85,4500.0,57000.0
DHFL-I200PE,2019-01-01,2.45,2.7,2.3,2.35,67500.0,157500.0
DHFL-I210CE,2019-01-01,38.9,40.4,38.75,40.4,10500.0,48000.0
DHFL-I210PE,2019-01-01,3.9,4.25,3.6,3.9,52500.0,123000.0
DHFL-I215PE,2019-01-01,4.65,4.65,4.55,4.55,6000.0,19500.0
DHFL-I220CE,2019-01-01,31.95,33.2,31.1,32.3,7500.0,126000.0
DHFL-I220PE,2019-01-01,6.0,6.5,5.4,5.65,124500.0,192000.0
DHFL-I225PE,2019-01-01,7.75,7.85,7.0,7.0,9000.0,30000.0
DHFL-I230CE,2019-01-01,25.0,26.0,23.5,24.3,40500.0,189000.0
DHFL-I230PE,2019-01-01,8.55,9.75,8.2,8.95,210000.0,214500.0
DHFL-I235CE,2019-01-01,22.0,22.0,22.0,22.0,6000.0,0.0
DHFL-I235PE,2019-01-01,11.1,11.5,10.1,10.55,10500.0,24000.0
DHFL-I240CE,2019-01-01,19.1,19.8,17.95,18.7,85500.0,334500.0
DHFL-I240PE,2019-01-01,12.6,13.9,11.8,12.5,165000.0,276000.0
DHFL-I245CE,2019-01-01,17.45,17.65,15.5,16.2,103500.0,48000.0
DHFL-I245PE,2019-01-01,15.1,15.95,14.35,14.8,43500.0,24000.0
DHFL-I250CE,2019-01-01,16.0,16.0,13.25,14.15,525000.0,678000.0
DHFL-I250PE,2019-01-01,17.45,19.4,17.05,17.9,138000.0,261000.0
DHFL-I255CE,2019-01-01,13.1,13.1,11.5,12.0,90000.0,73500.0
DHFL-I260CE,2019-01-01,12.5,12.5,9.6,10.45,430500.0,550500.0
DHFL-I260PE,2019-01-01,23.0,23.0,22.35,22.35,19500.0,103500.0
DHFL-I265CE,2019-01-01,10.1,10.1,8.5,8.85,33000.0,72000.0
DHFL-I270CE,2019-01-01,8.8,8.85,6.95,7.6,235500.0,177000.0
DHFL-I270PE,2019-01-01,33.0,33.0,31.0,31.0,3000.0,3000.0
DHFL-I275CE,2019-01-01,6.8,6.8,6.05,6.05,6000.0,15000.0
DHFL-I280CE,2019-01-01,6.15,6.15,4.9,5.2,118500.0,238500.0
DHFL-I285CE,2019-01-01,4.5,4.5,4.5,4.5,1500.0,7500.0
DHFL-I290CE,2019-01-01,4.4,4.7,3.4,3.8,201000.0,133500.0
DHFL-I295CE,2019-01-01,3.55,3.7,2.9,2.9,15000.0,75000.0
DHFL-I300CE,2019-01-01,3.0,3.0,2.4,2.6,10500.0,7500.0
DHFL-I185PE,2019-01-02,1.0,1.0,1.0,1.0,1500.0,18000.0
DHFL-I190PE,2019-01-02,1.0,1.0,1.0,1.0,1500.0,16500.0
DHFL-I195PE,2019-01-02,1.8,1.8,1.8,1.8,1500.0,6000.0
DHFL-I200CE,2019-01-02,46.85,46.85,44.3,45.0,10500.0,60000.0
DHFL-I200PE,2019-01-02,2.45,3.05,2.4,3.0,76500.0,166500.0
DHFL-I205PE,2019-01-02,3.45,3.5,3.15,3.5,6000.0,9000.0
DHFL-I210CE,2019-01-02,39.15,42.9,39.15,42.85,18000.0,48000.0
DHFL-I210PE,2019-01-02,3.8,4.6,3.65,4.6,75000.0,123000.0
DHFL-I215PE,2019-01-02,4.55,5.25,4.55,5.25,6000.0,16500.0
DHFL-I220CE,2019-01-02,30.0,34.0,27.1,27.1,22500.0,124500.0
DHFL-I220PE,2019-01-02,6.45,7.1,5.4,7.1,216000.0,172500.0
DHFL-I225PE,2019-01-02,7.0,8.2,7.0,8.2,7500.0,30000.0
DHFL-I230CE,2019-01-02,23.0,26.6,21.0,21.0,33000.0,186000.0
DHFL-I230PE,2019-01-02,9.15,10.8,8.35,10.65,307500.0,175500.0
DHFL-I235CE,2019-01-02,21.4,21.4,18.25,18.25,7500.0,18000.0
DHFL-I235PE,2019-01-02,10.55,12.5,10.0,12.1,18000.0,24000.0
DHFL-I240CE,2019-01-02,16.55,20.8,15.0,15.5,121500.0,337500.0
DHFL-I240PE,2019-01-02,13.65,15.4,11.9,15.05,343500.0,273000.0
DHFL-I245CE,2019-01-02,15.1,17.85,13.1,13.25,168000.0,81000.0
DHFL-I245PE,2019-01-02,14.45,18.05,14.45,17.9,37500.0,34500.0
DHFL-I250CE,2019-01-02,13.0,15.55,11.0,11.5,618000.0,693000.0
