Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
DISHTV.EQ-NSE,2019-01-01,38.45,38.65,37.6,38.0,1942312.0
DISHTV.EQ-NSE,2019-01-02,38.25,38.75,37.4,38.35,3349730.0
DISHTV.EQ-NSE,2019-01-03,38.5,38.95,37.6,37.8,3594718.0
DISHTV.EQ-NSE,2019-01-04,37.8,40.55,37.55,39.8,5568729.0
DISHTV.EQ-NSE,2019-01-07,39.7,42.6,39.2,41.65,17883567.0
DISHTV.EQ-NSE,2019-01-08,42.0,42.55,40.25,40.35,11305254.0
DISHTV.EQ-NSE,2019-01-09,40.75,41.15,39.25,40.1,6876547.0
DISHTV.EQ-NSE,2019-01-10,40.05,40.2,39.4,39.7,3212138.0
DISHTV.EQ-NSE,2019-01-11,39.95,40.3,38.6,40.2,5133528.0
DISHTV.EQ-NSE,2019-01-14,40.1,40.1,37.3,37.55,6037265.0
DISHTV.EQ-NSE,2019-01-15,37.75,38.0,35.65,35.95,12687862.0
DISHTV.EQ-NSE,2019-01-16,36.2,36.75,35.8,36.05,5849688.0
DISHTV.EQ-NSE,2019-01-17,36.3,36.3,34.75,35.05,6474444.0
DISHTV.EQ-NSE,2019-01-18,34.95,35.1,33.4,33.45,6668769.0
DISHTV.EQ-NSE,2019-01-21,33.6,35.75,33.55,34.65,11533785.0
DISHTV.EQ-NSE,2019-01-22,34.9,34.95,33.5,34.3,12213908.0
DISHTV.EQ-NSE,2019-01-23,34.15,34.35,33.5,33.65,10213079.0
DISHTV.EQ-NSE,2019-01-24,33.85,34.1,33.0,33.45,11802579.0
DISHTV.EQ-NSE,2019-01-25,33.8,33.85,20.7,20.95,106851707.0
DISHTV.EQ-NSE,2019-01-28,22.9,24.95,19.1,24.15,163624731.0
DISHTV.EQ-NSE,2019-01-29,24.2,24.7,21.0,21.8,59197158.0
DISHTV.EQ-NSE,2019-01-30,22.1,24.45,21.0,24.05,60123972.0
DISHTV.EQ-NSE,2019-01-31,24.15,24.8,22.3,23.5,45994112.0
DISHTV.EQ-NSE,2019-02-01,23.45,25.65,23.3,24.25,30084645.0
