Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
DISHTV-I30PE,2019-01-01,0.15,0.15,0.15,0.15,24000.0,184000.0
DISHTV-I31PE,2019-01-01,0.2,0.2,0.2,0.2,24000.0,128000.0
DISHTV-I33PE,2019-01-01,0.4,0.4,0.4,0.4,8000.0,40000.0
DISHTV-I35PE,2019-01-01,0.8,0.8,0.8,0.8,32000.0,240000.0
DISHTV-I36CE,2019-01-01,2.9,3.1,2.9,3.1,32000.0,56000.0
DISHTV-I36PE,2019-01-01,1.1,1.1,0.95,0.95,40000.0,88000.0
DISHTV-I37CE,2019-01-01,2.65,2.65,2.65,2.65,16000.0,56000.0
DISHTV-I37PE,2019-01-01,1.45,1.45,1.45,1.45,8000.0,64000.0
DISHTV-I38CE,2019-01-01,2.05,2.05,2.0,2.05,128000.0,896000.0
DISHTV-I38PE,2019-01-01,2.1,2.1,1.75,1.75,48000.0,32000.0
DISHTV-I39CE,2019-01-01,1.7,1.7,1.5,1.55,48000.0,168000.0
DISHTV-I39PE,2019-01-01,2.5,2.5,2.5,2.5,16000.0,0.0
DISHTV-I40CE,2019-01-01,1.5,1.5,1.05,1.15,464000.0,752000.0
DISHTV-I40PE,2019-01-01,3.1,3.1,3.1,3.1,16000.0,24000.0
DISHTV-I41CE,2019-01-01,0.95,0.95,0.85,0.85,48000.0,216000.0
DISHTV-I42CE,2019-01-01,0.9,0.9,0.65,0.65,64000.0,208000.0
DISHTV-I44CE,2019-01-01,0.4,0.4,0.4,0.4,56000.0,56000.0
DISHTV-I45CE,2019-01-01,0.3,0.3,0.3,0.3,56000.0,256000.0
DISHTV-I27PE,2019-01-02,0.1,0.1,0.05,0.05,400000.0,200000.0
DISHTV-I30PE,2019-01-02,0.1,0.1,0.1,0.1,24000.0,192000.0
DISHTV-I31PE,2019-01-02,0.15,0.15,0.15,0.15,32000.0,120000.0
DISHTV-I32PE,2019-01-02,0.3,0.3,0.25,0.25,24000.0,24000.0
