Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
DIVISLAB-I1300PE,2019-01-01,5.0,5.0,5.0,5.0,400.0,2400.0
DIVISLAB-I1360CE,2019-01-01,131.0,131.0,130.0,130.0,1600.0,2800.0
DIVISLAB-I1360PE,2019-01-01,12.0,12.0,12.0,12.0,400.0,12000.0
DIVISLAB-I1400CE,2019-01-01,99.95,99.95,99.95,99.95,400.0,4000.0
DIVISLAB-I1400PE,2019-01-01,18.55,20.0,18.35,19.0,6800.0,16000.0
DIVISLAB-I1420PE,2019-01-01,22.2,24.85,22.2,24.85,2000.0,4000.0
DIVISLAB-I1440PE,2019-01-01,29.0,30.95,26.75,28.45,10400.0,28000.0
DIVISLAB-I1450PE,2019-01-01,36.15,36.15,31.3,31.3,800.0,800.0
DIVISLAB-I1460CE,2019-01-01,59.0,59.0,59.0,59.0,400.0,4400.0
DIVISLAB-I1460PE,2019-01-01,36.95,39.0,34.0,36.65,6000.0,8400.0
DIVISLAB-I1480CE,2019-01-01,55.75,55.75,50.0,52.85,5600.0,11600.0
DIVISLAB-I1480PE,2019-01-01,46.3,50.0,42.6,45.2,6400.0,8400.0
DIVISLAB-I1500CE,2019-01-01,43.05,49.9,41.0,43.25,40400.0,48800.0
DIVISLAB-I1500PE,2019-01-01,56.55,59.25,51.0,57.15,5200.0,10400.0
DIVISLAB-I1520CE,2019-01-01,36.6,40.25,32.75,34.45,12400.0,15200.0
DIVISLAB-I1520PE,2019-01-01,68.0,68.0,68.0,68.0,400.0,1600.0
DIVISLAB-I1540CE,2019-01-01,28.1,31.5,26.05,27.65,19600.0,40000.0
DIVISLAB-I1550CE,2019-01-01,25.05,25.05,24.1,24.1,1200.0,2800.0
DIVISLAB-I1560CE,2019-01-01,22.1,24.4,20.85,22.1,6800.0,20800.0
DIVISLAB-I1580CE,2019-01-01,18.45,18.45,18.45,18.45,400.0,3200.0
DIVISLAB-I1600CE,2019-01-01,15.0,15.0,12.75,12.75,5600.0,28400.0
DIVISLAB-I1300PE,2019-01-02,7.0,7.0,7.0,7.0,400.0,2800.0
DIVISLAB-I1360CE,2019-01-02,127.5,127.5,125.0,125.0,2400.0,2800.0
DIVISLAB-I1360PE,2019-01-02,10.0,14.0,10.0,14.0,800.0,11600.0
DIVISLAB-I1380CE,2019-01-02,110.0,110.0,110.0,110.0,800.0,800.0
DIVISLAB-I1400PE,2019-01-02,19.2,22.2,16.7,21.0,7600.0,20400.0
DIVISLAB-I1420PE,2019-01-02,20.9,25.85,20.8,25.25,2400.0,4400.0
DIVISLAB-I1460CE,2019-01-02,55.0,55.0,55.0,55.0,400.0,4400.0
DIVISLAB-I1460PE,2019-01-02,36.75,44.65,36.75,41.0,5600.0,9600.0
DIVISLAB-I1480CE,2019-01-02,52.3,54.9,42.0,48.05,6400.0,10800.0
DIVISLAB-I1480PE,2019-01-02,45.0,54.55,45.0,53.9,5200.0,8400.0
DIVISLAB-I1500CE,2019-01-02,40.8,44.3,34.25,42.0,35200.0,50000.0
DIVISLAB-I1500PE,2019-01-02,58.9,69.0,58.9,59.1,8000.0,9200.0
DIVISLAB-I1520CE,2019-01-02,34.4,36.15,26.6,32.15,13200.0,18000.0
DIVISLAB-I1540CE,2019-01-02,25.6,27.7,21.6,26.75,24800.0,39600.0
DIVISLAB-I1550CE,2019-01-02,26.5,26.5,26.45,26.45,800.0,3200.0
DIVISLAB-I1560CE,2019-01-02,21.65,21.85,17.35,18.5,10400.0,20800.0
DIVISLAB-I1580CE,2019-01-02,17.15,17.15,13.8,16.85,4400.0,5200.0
DIVISLAB-I1600CE,2019-01-02,11.7,11.7,10.0,11.35,3200.0,28800.0
DIVISLAB-I1620CE,2019-01-02,10.0,10.0,7.35,10.0,1200.0,1600.0
DIVISLAB-I1650CE,2019-01-02,6.0,6.0,6.0,6.0,400.0,800.0
DIVISLAB-I1360CE,2019-01-03,99.0,99.0,99.0,99.0,800.0,2800.0
DIVISLAB-I1360PE,2019-01-03,12.9,16.8,12.7,16.8,1200.0,12400.0
DIVISLAB-I1380CE,2019-01-03,86.0,86.0,86.0,86.0,800.0,800.0
DIVISLAB-I1400CE,2019-01-03,84.0,84.0,84.0,84.0,400.0,3600.0
DIVISLAB-I1400PE,2019-01-03,20.9,31.75,20.05,31.75,14400.0,19200.0
DIVISLAB-I1420PE,2019-01-03,35.4,36.65,34.5,36.65,1600.0,5200.0
DIVISLAB-I1440CE,2019-01-03,53.0,53.0,53.0,53.0,800.0,1600.0
DIVISLAB-I1440PE,2019-01-03,31.25,48.45,31.25,48.45,2400.0,28800.0
DIVISLAB-I1450CE,2019-01-03,55.0,55.0,55.0,55.0,400.0,0.0
DIVISLAB-I1450PE,2019-01-03,32.05,52.3,32.05,52.3,7600.0,3200.0
DIVISLAB-I1460CE,2019-01-03,65.0,65.0,41.3,41.3,4800.0,4800.0
DIVISLAB-I1460PE,2019-01-03,39.0,57.6,39.0,57.6,12400.0,11600.0
DIVISLAB-I1480CE,2019-01-03,48.55,54.25,33.65,33.65,44800.0,14400.0
DIVISLAB-I1480PE,2019-01-03,48.55,66.5,46.65,66.5,8800.0,12000.0
DIVISLAB-I1500CE,2019-01-03,40.0,45.05,27.05,27.05,64000.0,56400.0
DIVISLAB-I1500PE,2019-01-03,59.35,72.7,56.9,72.7,3200.0,8400.0
DIVISLAB-I1520CE,2019-01-03,33.05,36.0,21.3,21.7,22800.0,13200.0
DIVISLAB-I1540CE,2019-01-03,24.55,28.85,16.6,16.65,32800.0,38800.0
DIVISLAB-I1550CE,2019-01-03,21.75,21.75,21.75,21.75,400.0,3200.0
DIVISLAB-I1560CE,2019-01-03,22.0,23.1,13.95,13.95,15600.0,12000.0
DIVISLAB-I1580CE,2019-01-03,17.65,17.75,10.7,10.7,3600.0,5600.0
DIVISLAB-I1600CE,2019-01-03,11.95,14.0,8.0,8.85,16400.0,22800.0
DIVISLAB-I1300PE,2019-01-04,7.8,7.8,6.75,6.75,1600.0,4000.0
DIVISLAB-I1360PE,2019-01-04,18.3,18.5,9.0,9.0,25200.0,31200.0
DIVISLAB-I1380PE,2019-01-04,23.45,23.45,16.75,16.75,4400.0,3600.0
DIVISLAB-I1400PE,2019-01-04,29.0,30.4,17.8,17.8,19200.0,23200.0
DIVISLAB-I1420PE,2019-01-04,35.85,38.55,23.65,23.65,8400.0,6400.0
DIVISLAB-I1440CE,2019-01-04,54.5,59.95,52.35,59.2,7200.0,4000.0
DIVISLAB-I1440PE,2019-01-04,43.45,46.2,29.15,29.15,15200.0,30400.0
DIVISLAB-I1450CE,2019-01-04,45.5,55.35,45.5,55.35,2000.0,1600.0
DIVISLAB-I1450PE,2019-01-04,49.35,49.35,36.0,36.1,2800.0,2800.0
DIVISLAB-I1460CE,2019-01-04,42.7,50.55,40.85,50.55,8800.0,6000.0
DIVISLAB-I1460PE,2019-01-04,56.35,56.35,38.25,38.25,6400.0,10800.0
DIVISLAB-I1480CE,2019-01-04,33.5,41.8,29.6,41.0,13600.0,16000.0
DIVISLAB-I1480PE,2019-01-04,65.0,68.55,48.0,48.0,6000.0,6800.0
DIVISLAB-I1500CE,2019-01-04,26.6,34.1,23.05,32.5,83600.0,68800.0
DIVISLAB-I1500PE,2019-01-04,77.6,81.1,60.95,60.95,3200.0,8800.0
DIVISLAB-I1520CE,2019-01-04,20.35,26.0,19.0,26.0,31200.0,16400.0
DIVISLAB-I1540CE,2019-01-04,17.75,21.4,15.0,20.5,15600.0,39600.0
DIVISLAB-I1550CE,2019-01-04,17.0,17.0,15.25,15.25,1200.0,3200.0
DIVISLAB-I1560CE,2019-01-04,12.45,15.2,11.65,15.2,3600.0,10800.0
DIVISLAB-I1580CE,2019-01-04,8.6,11.55,8.55,11.55,1600.0,6400.0
DIVISLAB-I1600CE,2019-01-04,6.6,8.6,6.0,8.6,2800.0,23200.0
DIVISLAB-I1640CE,2019-01-04,4.0,4.0,4.0,4.0,400.0,800.0
DIVISLAB-I1360PE,2019-01-07,9.1,9.2,9.1,9.2,800.0,31600.0
DIVISLAB-I1380PE,2019-01-07,8.25,9.5,8.25,9.5,800.0,3600.0
DIVISLAB-I1400PE,2019-01-07,17.8,18.95,13.0,13.0,22400.0,28800.0
DIVISLAB-I1420PE,2019-01-07,22.0,23.0,18.15,19.7,6000.0,7200.0
DIVISLAB-I1440CE,2019-01-07,59.75,59.75,59.75,59.75,800.0,4000.0
DIVISLAB-I1440PE,2019-01-07,28.55,28.55,21.95,22.0,14800.0,32400.0
DIVISLAB-I1450CE,2019-01-07,57.75,57.75,57.75,57.75,400.0,1200.0
DIVISLAB-I1450PE,2019-01-07,34.05,35.5,27.4,27.4,2800.0,3200.0
DIVISLAB-I1460CE,2019-01-07,52.0,63.9,46.85,63.9,18800.0,7600.0
DIVISLAB-I1460PE,2019-01-07,38.6,40.85,28.5,29.2,30000.0,14000.0
DIVISLAB-I1480CE,2019-01-07,41.0,50.5,38.4,50.5,58000.0,13600.0
DIVISLAB-I1500CE,2019-01-07,34.15,41.25,29.85,41.25,54800.0,62800.0
DIVISLAB-I1500PE,2019-01-07,56.25,56.25,51.3,51.3,800.0,8400.0
DIVISLAB-I1520CE,2019-01-07,25.55,32.4,22.9,32.4,44400.0,23200.0
DIVISLAB-I1540CE,2019-01-07,19.05,24.5,18.15,24.5,16400.0,43600.0
DIVISLAB-I1550CE,2019-01-07,19.1,19.9,19.1,19.9,800.0,2800.0
DIVISLAB-I1560CE,2019-01-07,15.3,17.0,15.3,17.0,1600.0,11600.0
DIVISLAB-I1580CE,2019-01-07,11.25,11.35,11.25,11.35,1200.0,5600.0
DIVISLAB-I1600CE,2019-01-07,8.2,11.0,8.2,11.0,5600.0,24000.0
DIVISLAB-I1640CE,2019-01-07,4.5,5.5,4.5,5.5,800.0,1600.0
DIVISLAB-I1380PE,2019-01-08,11.25,11.25,11.25,11.25,400.0,3600.0
DIVISLAB-I1400PE,2019-01-08,13.2,16.05,13.2,15.65,15600.0,29600.0
DIVISLAB-I1420PE,2019-01-08,18.1,22.2,18.1,21.85,5200.0,9600.0
DIVISLAB-I1440CE,2019-01-08,66.8,66.8,55.85,55.85,800.0,4400.0
DIVISLAB-I1440PE,2019-01-08,23.8,28.8,22.45,28.5,10400.0,35200.0
DIVISLAB-I1450PE,2019-01-08,30.5,31.9,30.5,31.0,1200.0,4000.0
DIVISLAB-I1460CE,2019-01-08,57.4,57.4,44.65,45.05,8800.0,7200.0
DIVISLAB-I1460PE,2019-01-08,34.85,38.7,33.0,38.7,8400.0,14800.0
DIVISLAB-I1480CE,2019-01-08,45.55,47.5,35.35,36.0,15200.0,13200.0
DIVISLAB-I1480PE,2019-01-08,43.95,47.55,43.95,44.35,3600.0,6800.0
DIVISLAB-I1500CE,2019-01-08,38.0,39.95,27.3,27.45,54000.0,72000.0
DIVISLAB-I1500PE,2019-01-08,55.05,60.1,54.85,60.1,1200.0,8400.0
DIVISLAB-I1520CE,2019-01-08,32.5,32.5,21.0,21.0,26800.0,20000.0
DIVISLAB-I1540CE,2019-01-08,24.05,24.05,15.9,15.9,8400.0,40000.0
DIVISLAB-I1550CE,2019-01-08,16.1,16.1,14.05,14.5,2400.0,3600.0
DIVISLAB-I1560CE,2019-01-08,16.25,16.25,12.05,15.6,5200.0,14400.0
DIVISLAB-I1580CE,2019-01-08,12.45,12.45,8.0,8.0,2800.0,6400.0
DIVISLAB-I1600CE,2019-01-08,9.15,9.15,8.5,9.0,1600.0,24000.0
DIVISLAB-I1400PE,2019-01-09,14.9,14.9,12.55,13.55,6000.0,30000.0
DIVISLAB-I1420PE,2019-01-09,19.5,20.5,16.7,16.7,8000.0,9200.0
DIVISLAB-I1440PE,2019-01-09,23.8,24.95,21.35,23.05,5600.0,36000.0
DIVISLAB-I1450CE,2019-01-09,53.25,53.25,53.25,53.25,400.0,800.0
DIVISLAB-I1450PE,2019-01-09,25.5,31.4,24.95,24.95,3200.0,4400.0
DIVISLAB-I1460CE,2019-01-09,45.05,46.0,43.65,46.0,1200.0,7600.0
DIVISLAB-I1460PE,2019-01-09,31.95,37.5,28.35,28.35,8000.0,14800.0
DIVISLAB-I1480CE,2019-01-09,38.7,42.6,34.75,40.95,17200.0,15200.0
DIVISLAB-I1480PE,2019-01-09,44.35,44.35,44.35,44.35,400.0,6400.0
DIVISLAB-I1500CE,2019-01-09,31.0,32.8,27.0,31.75,38800.0,66800.0
DIVISLAB-I1500PE,2019-01-09,56.05,59.25,51.55,52.8,2400.0,6800.0
DIVISLAB-I1520CE,2019-01-09,24.4,25.2,20.4,23.45,17200.0,20000.0
DIVISLAB-I1540CE,2019-01-09,19.1,19.1,15.7,17.7,10400.0,42800.0
DIVISLAB-I1550CE,2019-01-09,14.95,14.95,14.15,14.15,800.0,3600.0
DIVISLAB-I1560CE,2019-01-09,14.0,14.0,11.45,12.8,3600.0,14800.0
DIVISLAB-I1580CE,2019-01-09,9.5,9.5,9.5,9.5,400.0,5600.0
DIVISLAB-I1600CE,2019-01-09,8.95,8.95,8.95,8.95,400.0,24000.0
DIVISLAB-I1360CE,2019-01-10,157.0,157.0,157.0,157.0,2400.0,2800.0
DIVISLAB-I1380CE,2019-01-10,140.0,140.0,140.0,140.0,800.0,800.0
DIVISLAB-I1400CE,2019-01-10,120.0,120.0,112.5,115.25,1200.0,3200.0
DIVISLAB-I1400PE,2019-01-10,9.4,9.4,6.05,6.35,26000.0,30800.0
DIVISLAB-I1420CE,2019-01-10,101.6,113.9,101.6,113.9,800.0,800.0
DIVISLAB-I1420PE,2019-01-10,16.1,16.1,8.7,8.95,10400.0,9600.0
DIVISLAB-I1440PE,2019-01-10,21.75,21.75,11.7,12.0,30000.0,32000.0
DIVISLAB-I1450PE,2019-01-10,20.2,20.35,13.15,13.15,6000.0,5200.0
DIVISLAB-I1460CE,2019-01-10,54.95,81.35,54.95,81.35,5600.0,4000.0
DIVISLAB-I1460PE,2019-01-10,29.6,29.6,16.15,16.5,31600.0,10000.0
DIVISLAB-I1480CE,2019-01-10,45.0,69.0,45.0,67.3,30400.0,7200.0
DIVISLAB-I1480PE,2019-01-10,30.5,30.5,21.9,22.1,15200.0,7200.0
DIVISLAB-I1500CE,2019-01-10,31.35,56.7,31.35,55.0,223600.0,50000.0
DIVISLAB-I1500PE,2019-01-10,41.0,41.0,28.5,30.1,50800.0,24000.0
DIVISLAB-I1520CE,2019-01-10,25.0,46.65,25.0,45.0,145600.0,31200.0
DIVISLAB-I1520PE,2019-01-10,39.1,40.0,38.4,40.0,4000.0,2000.0
DIVISLAB-I1540CE,2019-01-10,22.0,36.0,21.75,35.0,181600.0,54000.0
DIVISLAB-I1550CE,2019-01-10,26.35,32.0,22.25,31.5,36800.0,13200.0
DIVISLAB-I1560CE,2019-01-10,16.95,28.0,16.95,27.2,110400.0,29200.0
DIVISLAB-I1580CE,2019-01-10,11.5,22.0,11.5,21.0,21200.0,10000.0
DIVISLAB-I1600CE,2019-01-10,12.0,17.85,10.85,15.9,84800.0,60800.0
DIVISLAB-I1600PE,2019-01-10,97.5,97.5,92.0,92.0,800.0,400.0
DIVISLAB-I1620CE,2019-01-10,9.15,11.45,9.15,11.45,2400.0,4000.0
DIVISLAB-I1640CE,2019-01-10,7.0,8.9,7.0,8.6,2800.0,3600.0
DIVISLAB-I1700CE,2019-01-10,3.0,3.25,3.0,3.25,5200.0,5600.0
DIVISLAB-I1380PE,2019-01-11,4.85,4.85,4.85,4.85,800.0,2800.0
DIVISLAB-I1400PE,2019-01-11,6.35,7.0,5.3,6.1,22800.0,28000.0
DIVISLAB-I1420PE,2019-01-11,9.9,9.9,6.75,6.75,4800.0,9600.0
DIVISLAB-I1440CE,2019-01-11,93.2,95.0,83.65,83.65,1600.0,4000.0
DIVISLAB-I1440PE,2019-01-11,11.8,15.45,10.8,13.0,40800.0,44400.0
DIVISLAB-I1450PE,2019-01-11,15.95,16.6,14.0,16.6,4000.0,3200.0
DIVISLAB-I1460CE,2019-01-11,80.0,80.0,80.0,80.0,800.0,3600.0
DIVISLAB-I1460PE,2019-01-11,15.8,19.7,15.55,19.7,16400.0,9200.0
DIVISLAB-I1480CE,2019-01-11,74.7,74.7,59.1,59.1,3200.0,8400.0
DIVISLAB-I1480PE,2019-01-11,26.1,27.0,20.55,23.7,23200.0,8000.0
DIVISLAB-I1500CE,2019-01-11,50.3,62.65,42.0,44.2,93600.0,73600.0
DIVISLAB-I1500PE,2019-01-11,30.8,36.05,28.0,32.6,77200.0,41600.0
DIVISLAB-I1520CE,2019-01-11,40.45,51.9,35.15,35.55,89200.0,40800.0
DIVISLAB-I1520PE,2019-01-11,42.85,46.0,39.0,43.15,7600.0,4000.0
DIVISLAB-I1540CE,2019-01-11,32.55,42.0,27.05,28.0,174000.0,66000.0
DIVISLAB-I1540PE,2019-01-11,49.85,49.85,49.85,49.85,400.0,400.0
DIVISLAB-I1550CE,2019-01-11,30.9,38.15,23.85,25.1,65600.0,41200.0
DIVISLAB-I1560CE,2019-01-11,26.45,33.4,20.85,22.0,66800.0,25200.0
DIVISLAB-I1580CE,2019-01-11,19.95,26.55,17.25,18.05,38800.0,10800.0
DIVISLAB-I1600CE,2019-01-11,15.7,21.3,12.8,13.0,102400.0,81600.0
DIVISLAB-I1620CE,2019-01-11,14.0,17.0,9.85,9.85,4000.0,6800.0
DIVISLAB-I1640CE,2019-01-11,10.0,12.1,8.75,8.75,9200.0,9600.0
DIVISLAB-I1700CE,2019-01-11,3.0,3.0,3.0,3.0,2400.0,8400.0
DIVISLAB-I1360PE,2019-01-14,2.35,2.35,2.35,2.35,800.0,31600.0
DIVISLAB-I1380PE,2019-01-14,3.75,7.05,3.75,7.05,2400.0,2400.0
DIVISLAB-I1400PE,2019-01-14,4.95,6.35,4.2,4.4,8800.0,28000.0
DIVISLAB-I1420PE,2019-01-14,6.95,9.05,6.5,9.05,2800.0,9200.0
DIVISLAB-I1440PE,2019-01-14,12.1,12.1,8.05,8.05,19600.0,24000.0
DIVISLAB-I1450PE,2019-01-14,17.0,17.0,17.0,17.0,400.0,2800.0
DIVISLAB-I1460CE,2019-01-14,80.0,80.0,80.0,80.0,400.0,3200.0
DIVISLAB-I1460PE,2019-01-14,14.7,15.85,11.45,11.45,6400.0,6800.0
DIVISLAB-I1480CE,2019-01-14,59.05,70.9,59.05,70.9,800.0,8000.0
DIVISLAB-I1480PE,2019-01-14,19.9,22.0,15.45,15.45,8400.0,10800.0
DIVISLAB-I1500CE,2019-01-14,45.85,63.8,45.85,57.5,43200.0,66000.0
DIVISLAB-I1500PE,2019-01-14,29.45,30.65,21.75,22.1,44000.0,46800.0
DIVISLAB-I1520CE,2019-01-14,36.85,51.3,35.8,43.05,102800.0,30800.0
