Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
EKC.EQ-NSE,2019-01-01,31.5,34.6,31.15,33.15,690657.0
EKC.EQ-NSE,2019-01-02,32.65,32.95,32.1,32.15,138766.0
EKC.EQ-NSE,2019-01-03,32.3,33.5,31.6,31.7,157836.0
EKC.EQ-NSE,2019-01-04,31.6,32.6,30.95,31.4,143403.0
EKC.EQ-NSE,2019-01-07,31.65,32.25,31.25,31.3,71865.0
EKC.EQ-NSE,2019-01-08,31.05,32.15,31.05,31.9,68174.0
EKC.EQ-NSE,2019-01-09,31.75,32.4,31.35,31.5,92392.0
EKC.EQ-NSE,2019-01-10,31.5,32.1,31.1,31.35,76496.0
EKC.EQ-NSE,2019-01-11,31.55,32.0,31.15,31.4,86459.0
EKC.EQ-NSE,2019-01-14,31.45,31.45,30.8,31.0,63088.0
EKC.EQ-NSE,2019-01-15,32.45,33.75,32.15,32.5,467432.0
EKC.EQ-NSE,2019-01-16,32.55,32.65,31.5,31.65,90485.0
EKC.EQ-NSE,2019-01-17,33.25,33.7,32.5,32.75,283330.0
EKC.EQ-NSE,2019-01-18,32.75,33.2,31.7,31.85,112533.0
EKC.EQ-NSE,2019-01-21,31.75,32.5,31.5,31.7,60298.0
EKC.EQ-NSE,2019-01-22,31.75,31.75,30.1,30.45,130668.0
EKC.EQ-NSE,2019-01-23,30.65,31.0,30.1,30.2,71706.0
EKC.EQ-NSE,2019-01-24,30.75,30.75,29.6,29.9,80406.0
EKC.EQ-NSE,2019-01-25,30.0,30.4,28.25,28.4,136134.0
EKC.EQ-NSE,2019-01-28,28.85,29.25,26.9,27.2,155553.0
EKC.EQ-NSE,2019-01-29,27.0,28.6,27.0,27.9,87718.0
EKC.EQ-NSE,2019-01-30,28.3,28.9,27.6,28.0,82633.0
EKC.EQ-NSE,2019-01-31,28.4,28.4,27.65,27.7,71323.0
EKC.EQ-NSE,2019-02-01,28.15,28.15,27.15,27.35,87001.0
EKC.EQ-NSE,2019-02-04,27.0,27.55,26.15,26.7,120864.0
EKC.EQ-NSE,2019-02-05,26.7,26.7,25.7,25.8,101961.0
EKC.EQ-NSE,2019-02-06,26.5,26.55,25.05,26.0,104804.0
EKC.EQ-NSE,2019-02-07,25.05,27.9,25.05,27.0,116674.0
EKC.EQ-NSE,2019-02-08,26.55,27.15,26.4,26.4,42357.0
EKC.EQ-NSE,2019-02-11,26.2,27.1,25.7,25.85,43712.0
EKC.EQ-NSE,2019-02-12,26.5,27.45,25.75,26.0,59450.0
EKC.EQ-NSE,2019-02-13,26.1,26.45,24.8,25.0,100653.0
EKC.EQ-NSE,2019-02-14,24.7,26.1,24.35,25.6,92890.0
EKC.EQ-NSE,2019-02-15,25.9,25.9,23.8,24.55,203256.0
EKC.EQ-NSE,2019-02-18,24.3,24.9,23.8,24.2,71583.0
EKC.EQ-NSE,2019-02-19,24.3,24.9,24.15,24.6,48594.0
EKC.EQ-NSE,2019-02-20,24.65,24.9,24.05,24.55,57722.0
EKC.EQ-NSE,2019-02-21,24.55,25.3,24.5,24.9,88384.0
EKC.EQ-NSE,2019-02-22,25.2,25.8,24.55,25.35,113639.0
EKC.EQ-NSE,2019-02-25,25.35,26.85,25.35,26.05,147738.0
EKC.EQ-NSE,2019-02-26,26.15,27.95,25.5,26.7,359027.0
EKC.EQ-NSE,2019-02-27,27.25,27.95,26.1,26.25,148317.0
EKC.EQ-NSE,2019-02-28,26.8,26.8,26.15,26.4,90577.0
EKC.EQ-NSE,2019-03-01,26.5,27.5,26.5,27.0,115153.0
EKC.EQ-NSE,2019-03-05,27.05,28.9,26.45,28.45,290062.0
EKC.EQ-NSE,2019-03-06,29.5,30.3,28.8,29.2,368322.0
EKC.EQ-NSE,2019-03-07,29.45,30.6,28.6,28.65,197017.0
EKC.EQ-NSE,2019-03-08,28.85,29.4,28.5,28.6,70856.0
EKC.EQ-NSE,2019-03-11,28.95,29.65,28.95,29.05,102259.0
EKC.EQ-NSE,2019-03-12,29.75,30.2,29.0,29.35,325926.0
EKC.EQ-NSE,2019-03-13,29.7,29.7,28.55,28.6,163591.0
EKC.EQ-NSE,2019-03-14,28.75,29.1,28.4,28.45,93066.0
EKC.EQ-NSE,2019-03-15,28.3,28.95,28.1,28.25,76808.0
EKC.EQ-NSE,2019-03-18,28.35,28.75,28.05,28.2,71425.0
EKC.EQ-NSE,2019-03-19,28.25,28.7,28.05,28.35,138994.0
EKC.EQ-NSE,2019-03-20,29.3,29.45,28.35,28.5,181392.0
EKC.EQ-NSE,2019-03-22,28.5,28.5,27.7,27.8,69169.0
EKC.EQ-NSE,2019-03-25,27.5,27.75,27.0,27.1,106453.0
EKC.EQ-NSE,2019-03-26,27.4,28.0,26.75,26.95,97816.0
EKC.EQ-NSE,2019-03-27,27.25,27.5,26.25,27.0,123623.0
EKC.EQ-NSE,2019-03-28,26.95,27.65,26.9,27.4,139571.0
EKC.EQ-NSE,2019-03-29,27.5,27.65,26.75,26.8,109998.0
EKC.EQ-NSE,2019-04-01,27.3,28.15,27.2,27.85,150050.0
