Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
ENGINERSIN.EQ-NSE,2019-01-01,125.35,127.0,124.75,126.5,623435.0
ENGINERSIN.EQ-NSE,2019-01-02,126.3,127.75,124.6,124.9,1098096.0
ENGINERSIN.EQ-NSE,2019-01-03,124.5,126.2,124.2,125.4,573569.0
ENGINERSIN.EQ-NSE,2019-01-04,125.0,127.45,124.0,126.7,1151627.0
ENGINERSIN.EQ-NSE,2019-01-07,127.9,127.9,124.5,125.35,943793.0
ENGINERSIN.EQ-NSE,2019-01-08,125.5,127.3,124.4,125.0,767774.0
ENGINERSIN.EQ-NSE,2019-01-09,125.5,126.0,123.7,124.95,912811.0
ENGINERSIN.EQ-NSE,2019-01-10,124.9,127.75,124.3,125.15,768845.0
ENGINERSIN.EQ-NSE,2019-01-11,125.45,125.9,122.25,123.2,1073178.0
ENGINERSIN.EQ-NSE,2019-01-14,123.35,124.4,121.05,122.55,810887.0
ENGINERSIN.EQ-NSE,2019-01-15,122.8,127.0,120.5,126.5,2224125.0
ENGINERSIN.EQ-NSE,2019-01-16,128.0,128.0,121.8,122.45,6151310.0
ENGINERSIN.EQ-NSE,2019-01-17,122.95,123.45,118.05,118.15,2848721.0
ENGINERSIN.EQ-NSE,2019-01-18,119.1,119.1,115.7,116.5,1494629.0
ENGINERSIN.EQ-NSE,2019-01-21,117.2,117.6,115.1,115.65,926235.0
ENGINERSIN.EQ-NSE,2019-01-22,115.75,118.5,114.6,117.8,2325349.0
ENGINERSIN.EQ-NSE,2019-01-23,117.9,118.4,116.1,116.5,823823.0
ENGINERSIN.EQ-NSE,2019-01-24,117.05,118.4,116.2,116.8,1267407.0
ENGINERSIN.EQ-NSE,2019-01-25,117.9,119.3,111.4,112.2,1484988.0
ENGINERSIN.EQ-NSE,2019-01-28,112.95,114.8,111.0,113.9,1058713.0
ENGINERSIN.EQ-NSE,2019-01-29,113.35,115.5,112.65,114.9,611253.0
ENGINERSIN.EQ-NSE,2019-01-30,115.0,115.8,114.0,114.7,592549.0
ENGINERSIN.EQ-NSE,2019-01-31,115.0,115.35,111.45,113.05,2110960.0
ENGINERSIN.EQ-NSE,2019-02-01,113.5,116.8,113.5,115.85,937951.0
ENGINERSIN.EQ-NSE,2019-02-04,115.45,116.0,112.5,113.2,668840.0
ENGINERSIN.EQ-NSE,2019-02-05,113.85,114.75,112.0,112.65,438370.0
ENGINERSIN.EQ-NSE,2019-02-06,113.15,114.05,112.2,113.55,788568.0
ENGINERSIN.EQ-NSE,2019-02-07,113.5,115.25,113.45,114.6,482257.0
ENGINERSIN.EQ-NSE,2019-02-08,114.4,115.2,108.3,110.75,2607810.0
ENGINERSIN.EQ-NSE,2019-02-11,111.8,111.8,106.2,108.75,1410665.0
ENGINERSIN.EQ-NSE,2019-02-12,109.0,116.1,108.95,113.0,1953726.0
ENGINERSIN.EQ-NSE,2019-02-13,115.45,117.95,110.35,110.8,2841437.0
ENGINERSIN.EQ-NSE,2019-02-14,111.4,114.25,108.75,114.1,2743777.0
ENGINERSIN.EQ-NSE,2019-02-15,111.0,112.45,108.0,108.25,6303240.0
ENGINERSIN.EQ-NSE,2019-02-18,109.3,109.8,106.0,106.45,5644778.0
ENGINERSIN.EQ-NSE,2019-02-19,107.0,109.0,106.25,107.0,5346674.0
