Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ENGINERSIN-I115PE,2019-01-01,1.35,1.35,1.35,1.35,4100.0,24600.0
ENGINERSIN-I125CE,2019-01-01,5.1,5.2,5.1,5.2,8200.0,90200.0
ENGINERSIN-I127.5CE,2019-01-01,4.1,4.1,3.45,3.45,8200.0,4100.0
ENGINERSIN-I130CE,2019-01-01,3.1,3.25,2.6,3.25,82000.0,258300.0
ENGINERSIN-I135CE,2019-01-01,1.6,1.6,1.6,1.6,8200.0,77900.0
ENGINERSIN-I140CE,2019-01-01,0.75,0.9,0.75,0.75,28700.0,86100.0
ENGINERSIN-I115PE,2019-01-02,1.25,1.25,1.25,1.25,4100.0,24600.0
ENGINERSIN-I125CE,2019-01-02,5.3,5.3,4.7,4.7,8200.0,90200.0
ENGINERSIN-I125PE,2019-01-02,5.0,5.0,4.75,4.8,12300.0,28700.0
ENGINERSIN-I130CE,2019-01-02,3.35,3.65,2.6,2.65,57400.0,266500.0
ENGINERSIN-I135CE,2019-01-02,1.65,1.65,1.65,1.65,4100.0,82000.0
ENGINERSIN-I140CE,2019-01-02,1.0,1.0,0.9,0.9,8200.0,86100.0
ENGINERSIN-I115PE,2019-01-03,1.85,1.85,1.85,1.85,4100.0,24600.0
ENGINERSIN-I120PE,2019-01-03,3.0,3.0,3.0,3.0,4100.0,45100.0
ENGINERSIN-I122.5CE,2019-01-03,5.8,5.8,5.8,5.8,12300.0,0.0
ENGINERSIN-I122.5PE,2019-01-03,3.7,3.7,3.7,3.7,4100.0,8200.0
ENGINERSIN-I125CE,2019-01-03,4.9,4.9,4.25,4.25,16400.0,90200.0
ENGINERSIN-I125PE,2019-01-03,5.05,5.05,5.0,5.0,8200.0,32800.0
ENGINERSIN-I127.5CE,2019-01-03,3.8,3.8,3.8,3.8,4100.0,4100.0
ENGINERSIN-I130CE,2019-01-03,2.6,2.95,2.6,2.8,28700.0,278800.0
ENGINERSIN-I120PE,2019-01-04,3.0,3.0,2.4,2.4,8200.0,53300.0
ENGINERSIN-I122.5CE,2019-01-04,6.75,6.9,6.75,6.75,12300.0,12300.0
ENGINERSIN-I122.5PE,2019-01-04,2.75,7.3,2.75,7.3,250100.0,12300.0
ENGINERSIN-I125PE,2019-01-04,5.5,5.5,5.5,5.5,4100.0,28700.0
ENGINERSIN-I130CE,2019-01-04,2.5,3.45,2.5,2.8,69700.0,299300.0
ENGINERSIN-I135CE,2019-01-04,1.3,1.85,1.3,1.85,8200.0,86100.0
ENGINERSIN-I140CE,2019-01-04,0.9,0.95,0.8,0.8,12300.0,90200.0
ENGINERSIN-I115CE,2019-01-07,12.1,12.1,12.1,12.1,4100.0,4100.0
ENGINERSIN-I115PE,2019-01-07,1.3,1.3,1.3,1.3,4100.0,24600.0
ENGINERSIN-I120PE,2019-01-07,2.05,2.05,2.05,2.05,4100.0,53300.0
