Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
EQUITAS-I110PE,2019-01-01,1.4,1.6,1.3,1.45,20000.0,56000.0
EQUITAS-I115PE,2019-01-01,2.55,2.55,2.25,2.25,8000.0,32000.0
EQUITAS-I120CE,2019-01-01,8.5,8.5,8.5,8.5,4000.0,32000.0
EQUITAS-I120PE,2019-01-01,4.1,4.35,3.55,3.55,68000.0,88000.0
EQUITAS-I122.5PE,2019-01-01,5.25,5.25,5.25,5.25,4000.0,8000.0
EQUITAS-I125CE,2019-01-01,7.0,7.0,5.1,6.05,84000.0,52000.0
EQUITAS-I125PE,2019-01-01,6.2,6.65,6.2,6.65,8000.0,28000.0
EQUITAS-I130CE,2019-01-01,3.9,4.25,3.9,3.95,64000.0,212000.0
EQUITAS-I135CE,2019-01-01,2.9,2.9,2.35,2.5,48000.0,112000.0
EQUITAS-I137.5CE,2019-01-01,1.75,1.75,1.75,1.75,4000.0,12000.0
EQUITAS-I140CE,2019-01-01,1.9,1.9,1.35,1.55,112000.0,1004000.0
EQUITAS-I150CE,2019-01-01,0.5,0.6,0.5,0.6,8000.0,36000.0
EQUITAS-I152.5CE,2019-01-01,0.4,0.4,0.4,0.4,4000.0,12000.0
EQUITAS-I110PE,2019-01-02,1.05,1.5,1.05,1.5,40000.0,64000.0
EQUITAS-I115PE,2019-01-02,2.2,3.0,2.2,2.9,24000.0,36000.0
EQUITAS-I120CE,2019-01-02,8.85,8.95,8.85,8.95,16000.0,32000.0
EQUITAS-I120PE,2019-01-02,3.95,4.6,3.95,4.6,12000.0,104000.0
EQUITAS-I122.5PE,2019-01-02,5.25,5.25,5.25,5.25,4000.0,12000.0
EQUITAS-I125CE,2019-01-02,6.2,7.3,5.0,5.3,80000.0,84000.0
EQUITAS-I125PE,2019-01-02,5.9,6.65,5.15,6.4,48000.0,32000.0
EQUITAS-I127.5CE,2019-01-02,4.45,4.45,4.45,4.45,4000.0,16000.0
EQUITAS-I130CE,2019-01-02,4.5,5.0,3.35,3.4,220000.0,320000.0
EQUITAS-I130PE,2019-01-02,7.95,8.85,7.95,8.85,12000.0,4000.0
EQUITAS-I135CE,2019-01-02,2.75,3.15,2.0,2.05,272000.0,216000.0
EQUITAS-I140CE,2019-01-02,1.65,2.0,1.1,1.15,208000.0,1124000.0
EQUITAS-I145CE,2019-01-02,0.9,0.9,0.9,0.9,4000.0,12000.0
EQUITAS-I150CE,2019-01-02,0.45,0.45,0.45,0.45,4000.0,40000.0
EQUITAS-I100PE,2019-01-03,0.4,0.4,0.4,0.4,4000.0,20000.0
EQUITAS-I110PE,2019-01-03,1.4,1.7,1.4,1.45,28000.0,80000.0
EQUITAS-I115PE,2019-01-03,2.55,2.9,2.3,2.8,60000.0,56000.0
EQUITAS-I120CE,2019-01-03,7.0,8.95,6.65,7.6,32000.0,40000.0
EQUITAS-I120PE,2019-01-03,4.2,4.9,3.5,4.1,64000.0,116000.0
EQUITAS-I122.5PE,2019-01-03,5.8,5.8,5.8,5.8,4000.0,8000.0
EQUITAS-I125CE,2019-01-03,5.2,6.35,4.2,5.25,148000.0,92000.0
EQUITAS-I125PE,2019-01-03,6.95,7.4,5.6,6.75,60000.0,40000.0
EQUITAS-I127.5CE,2019-01-03,3.65,4.4,3.65,4.4,8000.0,12000.0
EQUITAS-I130CE,2019-01-03,3.55,4.2,2.6,3.1,768000.0,452000.0
EQUITAS-I130PE,2019-01-03,10.05,10.05,8.15,8.15,20000.0,16000.0
EQUITAS-I135CE,2019-01-03,2.15,2.6,1.55,2.05,708000.0,504000.0
EQUITAS-I140CE,2019-01-03,1.35,1.6,0.85,1.2,552000.0,1156000.0
EQUITAS-I145CE,2019-01-03,0.65,0.65,0.65,0.65,4000.0,16000.0
EQUITAS-I147.5CE,2019-01-03,0.4,0.4,0.4,0.4,4000.0,0.0
EQUITAS-I150CE,2019-01-03,0.4,0.4,0.4,0.4,4000.0,40000.0
EQUITAS-I110PE,2019-01-04,1.45,1.9,1.45,1.7,36000.0,84000.0
EQUITAS-I115PE,2019-01-04,2.4,3.55,2.3,3.05,104000.0,68000.0
EQUITAS-I117.5CE,2019-01-04,7.05,7.05,7.0,7.0,24000.0,20000.0
EQUITAS-I120CE,2019-01-04,7.85,7.85,5.65,6.0,128000.0,76000.0
EQUITAS-I120PE,2019-01-04,4.0,5.65,3.8,5.1,156000.0,132000.0
EQUITAS-I122.5PE,2019-01-04,5.85,5.85,5.85,5.85,4000.0,12000.0
EQUITAS-I125CE,2019-01-04,5.5,5.65,3.45,3.65,200000.0,164000.0
EQUITAS-I125PE,2019-01-04,8.4,8.4,8.4,8.4,8000.0,36000.0
EQUITAS-I127.5CE,2019-01-04,2.6,2.6,2.6,2.6,4000.0,12000.0
EQUITAS-I130CE,2019-01-04,3.75,3.75,2.0,2.1,568000.0,548000.0
EQUITAS-I130PE,2019-01-04,11.65,11.7,11.65,11.7,8000.0,24000.0
EQUITAS-I135CE,2019-01-04,2.4,2.4,1.05,1.15,192000.0,492000.0
EQUITAS-I137.5CE,2019-01-04,1.1,1.1,1.1,1.1,4000.0,16000.0
EQUITAS-I140CE,2019-01-04,1.05,1.05,0.55,0.6,192000.0,1160000.0
EQUITAS-I145CE,2019-01-04,0.25,0.25,0.25,0.25,4000.0,16000.0
EQUITAS-I97.5PE,2019-01-07,0.1,0.1,0.1,0.1,40000.0,0.0
EQUITAS-I110PE,2019-01-07,1.55,1.6,1.4,1.4,40000.0,92000.0
EQUITAS-I115PE,2019-01-07,2.75,3.0,2.7,3.0,40000.0,56000.0
EQUITAS-I120CE,2019-01-07,7.1,7.1,5.35,5.35,68000.0,108000.0
