Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
ESCORTS-I560PE,2019-01-01,1.25,1.25,1.25,1.25,1100.0,4400.0
ESCORTS-I600PE,2019-01-01,3.0,3.0,0.95,2.0,22000.0,39600.0
ESCORTS-I620PE,2019-01-01,4.5,4.5,2.45,2.5,18700.0,17600.0
ESCORTS-I640CE,2019-01-01,85.0,85.0,84.75,84.75,2200.0,7700.0
ESCORTS-I640PE,2019-01-01,8.0,8.45,4.15,4.2,102300.0,78100.0
ESCORTS-I660CE,2019-01-01,60.1,62.0,60.1,62.0,2200.0,7700.0
ESCORTS-I660PE,2019-01-01,11.45,13.15,6.9,6.9,242000.0,102300.0
ESCORTS-I680CE,2019-01-01,45.5,57.05,45.5,57.05,11000.0,19800.0
ESCORTS-I680PE,2019-01-01,17.75,19.9,10.9,11.15,441100.0,95700.0
ESCORTS-I700CE,2019-01-01,29.2,43.65,26.5,42.55,322300.0,134200.0
ESCORTS-I700PE,2019-01-01,24.45,28.25,16.95,17.05,476300.0,108900.0
ESCORTS-I720CE,2019-01-01,22.0,31.8,18.4,31.5,1213300.0,251900.0
ESCORTS-I720PE,2019-01-01,36.2,39.4,25.0,25.45,82500.0,39600.0
ESCORTS-I740CE,2019-01-01,14.35,22.6,12.15,22.45,1328800.0,245300.0
ESCORTS-I740PE,2019-01-01,53.2,53.2,46.0,46.0,4400.0,25300.0
ESCORTS-I760CE,2019-01-01,9.25,15.3,7.8,15.15,642400.0,227700.0
ESCORTS-I760PE,2019-01-01,66.0,68.4,66.0,68.4,3300.0,13200.0
ESCORTS-I780CE,2019-01-01,7.25,10.5,7.0,10.15,215600.0,89100.0
ESCORTS-I800CE,2019-01-01,3.8,6.9,3.25,6.45,368500.0,129800.0
ESCORTS-I820CE,2019-01-01,2.5,4.75,2.5,4.05,39600.0,24200.0
ESCORTS-I840CE,2019-01-01,1.4,2.9,1.4,2.8,3300.0,4400.0
ESCORTS-I600PE,2019-01-02,2.0,2.0,2.0,2.0,1100.0,40700.0
ESCORTS-I620PE,2019-01-02,2.3,3.75,2.3,3.75,7700.0,19800.0
ESCORTS-I640CE,2019-01-02,70.1,77.0,70.1,77.0,3300.0,7700.0
ESCORTS-I640PE,2019-01-02,4.25,7.35,3.8,6.0,112200.0,85800.0
ESCORTS-I660CE,2019-01-02,68.2,68.2,57.2,61.0,5500.0,8800.0
ESCORTS-I660PE,2019-01-02,7.2,11.8,6.4,9.6,267300.0,111100.0
ESCORTS-I680CE,2019-01-02,57.85,58.5,43.0,43.85,17600.0,17600.0
