Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
FEDERALBNK.EQ-NSE,2019-01-01,93.65,93.7,92.1,93.35,5993702.0
FEDERALBNK.EQ-NSE,2019-01-02,93.4,95.75,93.15,95.0,18315146.0
FEDERALBNK.EQ-NSE,2019-01-03,95.25,95.3,91.45,91.9,12534645.0
FEDERALBNK.EQ-NSE,2019-01-04,93.1,95.15,92.2,94.8,13558121.0
FEDERALBNK.EQ-NSE,2019-01-07,95.15,95.75,94.0,94.45,6074453.0
FEDERALBNK.EQ-NSE,2019-01-08,94.85,95.95,94.0,95.3,5574319.0
FEDERALBNK.EQ-NSE,2019-01-09,95.7,97.5,94.4,96.85,16738968.0
FEDERALBNK.EQ-NSE,2019-01-10,97.05,97.05,95.25,95.4,9006121.0
FEDERALBNK.EQ-NSE,2019-01-11,96.0,96.2,95.0,95.3,4412064.0
FEDERALBNK.EQ-NSE,2019-01-14,93.0,93.0,89.0,90.5,27936504.0
FEDERALBNK.EQ-NSE,2019-01-15,90.8,91.65,90.6,91.05,14335426.0
FEDERALBNK.EQ-NSE,2019-01-16,91.25,92.1,90.7,91.2,13224849.0
FEDERALBNK.EQ-NSE,2019-01-17,91.7,92.75,86.4,88.3,52140522.0
FEDERALBNK.EQ-NSE,2019-01-18,88.75,90.85,88.25,89.95,19315116.0
FEDERALBNK.EQ-NSE,2019-01-21,90.35,90.8,88.4,88.6,8456980.0
FEDERALBNK.EQ-NSE,2019-01-22,89.1,90.0,86.8,89.7,9732440.0
FEDERALBNK.EQ-NSE,2019-01-23,89.65,90.25,88.05,88.25,10575318.0
FEDERALBNK.EQ-NSE,2019-01-24,88.7,89.8,88.15,88.75,6234973.0
FEDERALBNK.EQ-NSE,2019-01-25,89.15,89.35,85.7,86.45,9554534.0
FEDERALBNK.EQ-NSE,2019-01-28,86.7,86.9,83.85,84.55,7795319.0
FEDERALBNK.EQ-NSE,2019-01-29,83.9,86.85,83.85,86.6,10227931.0
FEDERALBNK.EQ-NSE,2019-01-30,86.55,87.1,84.65,86.7,7609144.0
FEDERALBNK.EQ-NSE,2019-01-31,87.2,87.25,85.1,85.6,16165384.0
FEDERALBNK.EQ-NSE,2019-02-01,86.0,88.2,85.25,86.35,9962295.0
FEDERALBNK.EQ-NSE,2019-02-04,86.4,88.35,84.7,87.8,7927978.0
FEDERALBNK.EQ-NSE,2019-02-05,87.55,88.75,86.4,87.0,8998072.0
FEDERALBNK.EQ-NSE,2019-02-06,87.25,87.5,84.55,85.6,7975749.0
FEDERALBNK.EQ-NSE,2019-02-07,85.7,87.45,85.2,85.9,7217781.0
FEDERALBNK.EQ-NSE,2019-02-08,85.8,86.25,83.8,84.2,7689251.0
FEDERALBNK.EQ-NSE,2019-02-11,84.2,84.3,81.7,83.5,8361133.0
FEDERALBNK.EQ-NSE,2019-02-12,83.45,84.35,82.4,83.0,7249704.0
FEDERALBNK.EQ-NSE,2019-02-13,83.15,83.4,80.45,81.35,6478640.0
FEDERALBNK.EQ-NSE,2019-02-14,81.45,82.15,80.0,80.65,11318645.0
FEDERALBNK.EQ-NSE,2019-02-15,80.55,81.3,79.75,80.05,6540411.0
FEDERALBNK.EQ-NSE,2019-02-18,80.15,81.6,79.9,79.95,8358053.0
FEDERALBNK.EQ-NSE,2019-02-19,80.2,80.65,79.05,79.25,7835803.0
FEDERALBNK.EQ-NSE,2019-02-20,79.8,80.4,79.0,79.6,9093611.0
FEDERALBNK.EQ-NSE,2019-02-21,80.2,80.35,79.05,79.65,6396964.0
