Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
FSL-I180PE,2021-10-29,4.0,5.0,4.0,5.0,7800.0,5200.0
FSL-I190PE,2021-10-29,10.0,10.0,6.95,8.35,7800.0,5200.0
FSL-I200CE,2021-10-29,19.0,19.8,12.15,13.0,72800.0,49400.0
FSL-I200PE,2021-10-29,12.0,15.0,12.0,14.95,15600.0,13000.0
FSL-I205CE,2021-10-29,16.65,17.15,10.8,10.8,70200.0,20800.0
FSL-I210CE,2021-10-29,8.0,14.4,8.0,9.95,85800.0,41600.0
FSL-I220CE,2021-10-29,10.65,11.0,5.75,6.1,59800.0,41600.0
FSL-I230CE,2021-10-29,7.0,7.0,4.8,4.9,20800.0,13000.0
FSL-I240CE,2021-10-29,3.25,3.25,3.25,3.25,2600.0,0.0
FSL-I250CE,2021-10-29,2.0,3.0,2.0,2.5,31200.0,26000.0
FSL-I180PE,2021-11-01,4.0,4.35,3.85,3.85,111800.0,104000.0
FSL-I190PE,2021-11-01,6.55,6.95,5.65,5.65,20800.0,13000.0
FSL-I200CE,2021-11-01,13.0,16.0,12.0,14.8,223600.0,143000.0
FSL-I200PE,2021-11-01,12.5,12.5,7.9,7.9,195000.0,137800.0
FSL-I205CE,2021-11-01,12.2,12.25,10.2,11.0,62400.0,41600.0
FSL-I210CE,2021-11-01,13.1,13.1,7.85,10.0,158600.0,117000.0
FSL-I220CE,2021-11-01,9.0,9.0,5.0,6.6,143000.0,101400.0
FSL-I225CE,2021-11-01,6.7,6.7,6.7,6.7,2600.0,0.0
FSL-I230CE,2021-11-01,5.0,5.0,3.5,4.7,36400.0,26000.0
FSL-I240CE,2021-11-01,3.6,3.6,3.0,3.0,13000.0,10400.0
FSL-I250CE,2021-11-01,2.75,2.9,1.3,1.95,20800.0,39000.0
FSL-I180PE,2021-11-02,3.2,3.95,3.0,3.95,23400.0,104000.0
FSL-I190PE,2021-11-02,5.95,6.7,4.25,6.0,78000.0,54600.0
FSL-I200CE,2021-11-02,15.65,18.0,13.0,13.0,98800.0,156000.0
FSL-I200PE,2021-11-02,9.0,10.8,6.5,10.8,80600.0,156000.0
FSL-I205CE,2021-11-02,13.6,15.5,10.55,11.5,70200.0,72800.0
FSL-I210CE,2021-11-02,10.1,13.3,8.7,9.0,1281800.0,364000.0
FSL-I210PE,2021-11-02,13.25,13.25,13.25,13.25,2600.0,0.0
FSL-I215CE,2021-11-02,9.65,11.05,7.8,7.8,23400.0,10400.0
FSL-I220CE,2021-11-02,6.8,9.4,5.65,5.95,499200.0,226200.0
FSL-I225CE,2021-11-02,6.75,6.75,5.75,5.75,7800.0,7800.0
FSL-I230CE,2021-11-02,5.0,6.3,4.0,4.05,59800.0,46800.0
FSL-I240CE,2021-11-02,3.5,4.0,2.6,2.6,39000.0,20800.0
FSL-I250CE,2021-11-02,1.95,2.85,1.55,1.55,49400.0,75400.0
FSL-I160PE,2021-11-03,0.8,0.8,0.8,0.8,5200.0,2600.0
FSL-I180PE,2021-11-03,3.5,4.85,3.2,3.5,46800.0,106600.0
FSL-I190PE,2021-11-03,6.0,7.0,5.75,6.1,67600.0,88400.0
FSL-I200CE,2021-11-03,14.0,14.0,10.5,11.05,41600.0,174200.0
FSL-I200PE,2021-11-03,11.05,11.5,9.95,10.1,44200.0,171600.0
FSL-I205CE,2021-11-03,11.45,11.45,8.25,9.05,26000.0,78000.0
FSL-I210CE,2021-11-03,9.3,9.65,5.0,7.6,278200.0,345800.0
FSL-I210PE,2021-11-03,17.3,18.2,17.1,17.1,7800.0,7800.0
FSL-I215CE,2021-11-03,7.2,7.45,5.65,5.65,10400.0,10400.0
FSL-I220CE,2021-11-03,6.2,6.35,4.0,5.15,119600.0,221000.0
FSL-I225CE,2021-11-03,3.45,3.45,3.45,3.45,2600.0,5200.0
FSL-I230CE,2021-11-03,4.05,4.05,3.05,3.05,31200.0,54600.0
FSL-I240CE,2021-11-03,2.7,2.9,1.75,2.9,7800.0,20800.0
FSL-I250CE,2021-11-03,1.6,1.7,1.05,1.5,72800.0,117000.0
FSL-I180PE,2021-11-08,2.5,2.5,2.25,2.25,10400.0,106600.0
