Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GITANJALI.EQ-NSE,2019-01-07,1.05,1.1,1.0,1.1,153044.0
GITANJALI.EQ-NSE,2019-01-14,1.1,1.15,1.05,1.15,201726.0
GITANJALI.EQ-NSE,2019-01-21,1.15,1.2,1.1,1.2,276475.0
GITANJALI.EQ-NSE,2019-01-28,1.2,1.25,1.15,1.25,223084.0
GITANJALI.EQ-NSE,2019-02-04,1.2,1.25,1.2,1.25,76699.0
GITANJALI.EQ-NSE,2019-02-11,1.2,1.2,1.15,1.15,11914.0
GITANJALI.EQ-NSE,2019-02-18,1.1,1.1,1.1,1.1,53003.0
GITANJALI.EQ-NSE,2019-02-25,1.05,1.15,1.05,1.05,99112.0
GITANJALI.EQ-NSE,2019-03-05,1.0,1.1,1.0,1.05,87995.0
GITANJALI.EQ-NSE,2019-03-11,1.0,1.1,1.0,1.1,168201.0
GITANJALI.EQ-NSE,2019-03-18,1.0,1.1,1.0,1.05,118335.0
GITANJALI.EQ-NSE,2019-03-25,1.0,1.05,0.95,1.0,79839.0
GITANJALI.EQ-NSE,2019-04-01,0.95,1.05,0.95,1.05,62587.0
