Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GLENMARK.EQ-NSE,2019-01-01,693.3,697.6,687.55,691.75,435301.0
GLENMARK.EQ-NSE,2019-01-02,690.0,691.45,673.05,682.95,582286.0
GLENMARK.EQ-NSE,2019-01-03,680.2,682.6,659.35,659.5,611941.0
GLENMARK.EQ-NSE,2019-01-04,662.0,666.0,656.0,664.85,818526.0
GLENMARK.EQ-NSE,2019-01-07,666.15,668.85,645.8,655.0,1077432.0
GLENMARK.EQ-NSE,2019-01-08,655.0,659.4,649.25,654.95,585199.0
GLENMARK.EQ-NSE,2019-01-09,657.0,660.45,648.3,653.85,588584.0
GLENMARK.EQ-NSE,2019-01-10,655.3,670.0,652.0,669.7,570513.0
GLENMARK.EQ-NSE,2019-01-11,669.0,673.35,647.7,650.9,1004088.0
GLENMARK.EQ-NSE,2019-01-14,652.9,670.05,648.25,667.5,678630.0
GLENMARK.EQ-NSE,2019-01-15,671.05,671.45,659.45,665.1,586279.0
GLENMARK.EQ-NSE,2019-01-16,665.25,669.0,652.5,654.7,786545.0
GLENMARK.EQ-NSE,2019-01-17,657.0,664.0,651.25,661.1,598237.0
GLENMARK.EQ-NSE,2019-01-18,661.55,663.0,635.0,639.85,957086.0
GLENMARK.EQ-NSE,2019-01-21,639.0,654.75,637.1,645.8,795811.0
GLENMARK.EQ-NSE,2019-01-22,644.0,658.7,644.0,655.35,567378.0
GLENMARK.EQ-NSE,2019-01-23,655.9,655.9,645.95,649.9,427823.0
GLENMARK.EQ-NSE,2019-01-24,651.6,658.0,641.7,652.0,523057.0
GLENMARK.EQ-NSE,2019-01-25,648.8,656.0,640.65,647.5,272533.0
GLENMARK.EQ-NSE,2019-01-28,647.9,647.9,629.05,633.15,358354.0
GLENMARK.EQ-NSE,2019-01-29,630.45,649.4,623.75,645.8,450677.0
GLENMARK.EQ-NSE,2019-01-30,644.0,645.1,630.25,637.8,367138.0
GLENMARK.EQ-NSE,2019-01-31,636.8,654.0,636.75,652.5,364711.0
GLENMARK.EQ-NSE,2019-02-01,647.85,665.0,646.5,663.3,398277.0
GLENMARK.EQ-NSE,2019-02-04,661.85,664.7,641.25,645.05,536699.0
