Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GMDCLTD.EQ-NSE,2019-01-01,88.8,90.75,88.6,90.25,43837.0
GMDCLTD.EQ-NSE,2019-01-02,89.55,90.4,89.55,89.8,60434.0
GMDCLTD.EQ-NSE,2019-01-03,90.05,90.05,88.0,88.15,64429.0
GMDCLTD.EQ-NSE,2019-01-04,88.05,89.7,87.55,89.7,56760.0
GMDCLTD.EQ-NSE,2019-01-07,90.1,90.15,85.95,87.4,86824.0
GMDCLTD.EQ-NSE,2019-01-08,87.0,88.35,87.0,88.2,31175.0
GMDCLTD.EQ-NSE,2019-01-09,89.85,90.2,87.5,87.65,89989.0
GMDCLTD.EQ-NSE,2019-01-10,88.0,88.6,87.3,87.95,31033.0
GMDCLTD.EQ-NSE,2019-01-11,87.65,87.9,86.5,87.15,45964.0
GMDCLTD.EQ-NSE,2019-01-14,87.1,87.55,85.25,85.65,66529.0
GMDCLTD.EQ-NSE,2019-01-15,85.7,87.7,85.65,87.0,22921.0
GMDCLTD.EQ-NSE,2019-01-16,87.2,88.1,85.9,86.0,48235.0
GMDCLTD.EQ-NSE,2019-01-17,86.05,86.9,85.55,85.8,38251.0
GMDCLTD.EQ-NSE,2019-01-18,86.4,86.8,84.9,84.95,53340.0
GMDCLTD.EQ-NSE,2019-01-21,85.15,85.9,82.3,84.4,127845.0
GMDCLTD.EQ-NSE,2019-01-22,84.0,85.35,84.0,85.0,51673.0
GMDCLTD.EQ-NSE,2019-01-23,84.9,85.0,84.15,84.2,65548.0
GMDCLTD.EQ-NSE,2019-01-24,84.5,85.0,83.95,85.0,27813.0
GMDCLTD.EQ-NSE,2019-01-25,84.35,86.8,84.35,85.25,75499.0
GMDCLTD.EQ-NSE,2019-01-28,84.5,86.0,83.9,85.95,74130.0
GMDCLTD.EQ-NSE,2019-01-29,85.65,86.75,84.6,86.75,53398.0
GMDCLTD.EQ-NSE,2019-01-30,86.35,88.3,85.8,87.0,50141.0
GMDCLTD.EQ-NSE,2019-01-31,87.45,87.6,84.55,85.1,95188.0
GMDCLTD.EQ-NSE,2019-02-01,85.95,86.5,83.6,84.3,68630.0
GMDCLTD.EQ-NSE,2019-02-04,83.9,84.15,81.45,82.5,60362.0
GMDCLTD.EQ-NSE,2019-02-05,82.55,82.6,80.0,80.4,87028.0
GMDCLTD.EQ-NSE,2019-02-06,80.65,80.65,78.0,78.8,102690.0
GMDCLTD.EQ-NSE,2019-02-07,79.4,79.9,78.2,78.75,90742.0
GMDCLTD.EQ-NSE,2019-02-08,78.9,78.9,77.5,78.2,64719.0
GMDCLTD.EQ-NSE,2019-02-11,78.15,78.5,76.8,77.05,121318.0
GMDCLTD.EQ-NSE,2019-02-12,77.0,77.2,75.4,76.2,146724.0
GMDCLTD.EQ-NSE,2019-02-13,77.25,77.5,75.2,75.3,132318.0
GMDCLTD.EQ-NSE,2019-02-14,73.0,77.4,69.35,73.9,311600.0
GMDCLTD.EQ-NSE,2019-02-15,74.0,78.45,72.85,74.75,170510.0
GMDCLTD.EQ-NSE,2019-02-18,74.95,75.6,73.8,74.3,115627.0
GMDCLTD.EQ-NSE,2019-02-19,73.55,75.25,73.4,74.9,141665.0
GMDCLTD.EQ-NSE,2019-02-20,74.4,74.9,72.55,72.7,232727.0
GMDCLTD.EQ-NSE,2019-02-21,75.0,77.5,73.2,74.85,280516.0
GMDCLTD.EQ-NSE,2019-02-22,74.3,76.8,74.2,76.05,81662.0
GMDCLTD.EQ-NSE,2019-02-25,77.0,77.1,75.5,75.9,96488.0
GMDCLTD.EQ-NSE,2019-02-26,75.35,77.2,74.8,76.5,73166.0
GMDCLTD.EQ-NSE,2019-02-27,76.2,77.95,75.7,75.95,137159.0
GMDCLTD.EQ-NSE,2019-02-28,75.9,77.7,75.3,77.0,87002.0
GMDCLTD.EQ-NSE,2019-03-01,77.25,80.0,77.25,78.25,238298.0
GMDCLTD.EQ-NSE,2019-03-05,78.2,83.2,78.15,82.9,192210.0
GMDCLTD.EQ-NSE,2019-03-06,86.0,88.9,85.0,85.4,517841.0
GMDCLTD.EQ-NSE,2019-03-07,85.5,86.55,83.65,85.4,79953.0
GMDCLTD.EQ-NSE,2019-03-08,87.0,87.0,85.15,85.8,103031.0
GMDCLTD.EQ-NSE,2019-03-11,85.6,86.4,84.35,85.65,102005.0
