Ticker,Date,EQ_Open,EQ_High,EQ_Low,EQ_Close,EQ_Volume
GMRINFRA.EQ-NSE,2019-01-01,16.45,16.55,16.25,16.4,5269694.0
GMRINFRA.EQ-NSE,2019-01-02,16.4,16.45,15.85,16.0,9053507.0
GMRINFRA.EQ-NSE,2019-01-03,15.95,16.1,15.6,15.65,10943823.0
GMRINFRA.EQ-NSE,2019-01-04,15.7,15.95,15.4,15.85,9998703.0
GMRINFRA.EQ-NSE,2019-01-07,16.0,16.15,15.7,15.85,6327944.0
GMRINFRA.EQ-NSE,2019-01-08,15.95,16.15,15.8,16.1,8079921.0
GMRINFRA.EQ-NSE,2019-01-09,16.25,17.0,16.25,16.9,35130590.0
GMRINFRA.EQ-NSE,2019-01-10,16.9,17.25,16.6,16.65,22004808.0
GMRINFRA.EQ-NSE,2019-01-11,16.75,16.9,16.5,16.6,10717714.0
GMRINFRA.EQ-NSE,2019-01-14,16.6,16.6,16.35,16.45,5634276.0
GMRINFRA.EQ-NSE,2019-01-15,16.55,16.65,16.35,16.5,7830142.0
GMRINFRA.EQ-NSE,2019-01-16,16.5,16.7,16.45,16.5,5524869.0
GMRINFRA.EQ-NSE,2019-01-17,16.6,16.7,16.25,16.35,6522134.0
GMRINFRA.EQ-NSE,2019-01-18,16.45,16.5,16.1,16.25,11469006.0
GMRINFRA.EQ-NSE,2019-01-21,16.3,16.3,16.0,16.05,5645023.0
GMRINFRA.EQ-NSE,2019-01-22,16.1,16.25,15.85,16.1,7878847.0
GMRINFRA.EQ-NSE,2019-01-23,16.15,16.45,16.0,16.25,10274580.0
GMRINFRA.EQ-NSE,2019-01-24,16.2,16.25,15.85,15.85,6680245.0
GMRINFRA.EQ-NSE,2019-01-25,16.0,16.1,15.6,15.7,9898461.0
GMRINFRA.EQ-NSE,2019-01-28,15.65,15.7,15.0,15.4,21362208.0
GMRINFRA.EQ-NSE,2019-01-29,15.3,15.75,15.25,15.7,12162809.0
GMRINFRA.EQ-NSE,2019-01-30,15.6,15.7,15.3,15.55,17120699.0
GMRINFRA.EQ-NSE,2019-01-31,15.65,15.7,15.0,15.35,43726581.0
GMRINFRA.EQ-NSE,2019-02-01,15.45,15.6,15.0,15.05,20678417.0
GMRINFRA.EQ-NSE,2019-02-04,15.0,15.1,14.65,14.95,24820700.0
GMRINFRA.EQ-NSE,2019-02-05,15.0,15.35,12.95,15.1,82264815.0
GMRINFRA.EQ-NSE,2019-02-06,15.05,15.5,14.55,15.2,41568778.0
GMRINFRA.EQ-NSE,2019-02-07,15.05,15.4,15.0,15.25,12441182.0
GMRINFRA.EQ-NSE,2019-02-08,15.1,15.3,14.85,14.9,10742594.0
GMRINFRA.EQ-NSE,2019-02-11,14.9,14.95,14.05,14.8,29629813.0
GMRINFRA.EQ-NSE,2019-02-12,14.7,15.15,14.45,14.7,31208256.0
GMRINFRA.EQ-NSE,2019-02-13,14.75,14.85,14.2,14.8,26633502.0
GMRINFRA.EQ-NSE,2019-02-14,14.4,15.0,14.15,14.9,30081094.0
GMRINFRA.EQ-NSE,2019-02-15,14.5,15.25,14.2,15.0,36856704.0
GMRINFRA.EQ-NSE,2019-02-18,14.8,15.15,14.45,14.9,33675281.0
GMRINFRA.EQ-NSE,2019-02-19,14.8,15.85,14.8,15.6,32103785.0
GMRINFRA.EQ-NSE,2019-02-20,15.65,15.8,15.45,15.6,18687895.0
GMRINFRA.EQ-NSE,2019-02-21,15.7,16.25,15.5,16.2,29635667.0
GMRINFRA.EQ-NSE,2019-02-22,16.15,16.65,16.05,16.5,25780026.0
GMRINFRA.EQ-NSE,2019-02-25,16.6,16.6,16.25,16.5,8637137.0
GMRINFRA.EQ-NSE,2019-02-26,16.25,16.4,15.9,16.3,17511723.0
GMRINFRA.EQ-NSE,2019-02-27,16.6,16.65,15.95,16.15,23673159.0
GMRINFRA.EQ-NSE,2019-02-28,16.2,16.35,16.05,16.25,9951165.0
GMRINFRA.EQ-NSE,2019-03-01,16.25,16.7,16.25,16.55,16533031.0
GMRINFRA.EQ-NSE,2019-03-05,16.55,17.05,16.4,17.0,21797360.0
GMRINFRA.EQ-NSE,2019-03-06,17.05,17.15,16.55,16.85,27909955.0
GMRINFRA.EQ-NSE,2019-03-07,17.0,17.6,16.65,16.9,36904978.0
GMRINFRA.EQ-NSE,2019-03-08,16.8,17.05,16.7,16.85,8421978.0
GMRINFRA.EQ-NSE,2019-03-11,17.0,17.25,16.9,17.2,9718087.0
GMRINFRA.EQ-NSE,2019-03-12,17.45,17.6,17.1,17.2,11804444.0
GMRINFRA.EQ-NSE,2019-03-13,17.15,17.2,16.8,16.85,10923702.0
GMRINFRA.EQ-NSE,2019-03-14,16.95,17.3,16.7,17.15,22510920.0
GMRINFRA.EQ-NSE,2019-03-15,17.2,17.2,16.7,17.1,49219053.0
