Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
GMRINFRA-I15PE,2019-01-01,0.25,0.25,0.25,0.25,585000.0,2340000.0
GMRINFRA-I16CE,2019-01-01,1.05,1.05,0.95,1.0,360000.0,1935000.0
GMRINFRA-I16PE,2019-01-01,0.55,0.55,0.55,0.55,225000.0,1485000.0
GMRINFRA-I17CE,2019-01-01,0.55,0.55,0.45,0.5,1395000.0,4410000.0
GMRINFRA-I18CE,2019-01-01,0.3,0.3,0.25,0.3,450000.0,2745000.0
GMRINFRA-I19PE,2019-01-01,2.85,2.85,2.85,2.85,90000.0,360000.0
GMRINFRA-I20CE,2019-01-01,0.05,0.05,0.05,0.05,45000.0,2610000.0
GMRINFRA-I13PE,2019-01-02,0.05,0.05,0.05,0.05,45000.0,180000.0
GMRINFRA-I14PE,2019-01-02,0.1,0.15,0.1,0.15,405000.0,315000.0
GMRINFRA-I15PE,2019-01-02,0.25,0.35,0.25,0.35,810000.0,2565000.0
GMRINFRA-I16CE,2019-01-02,1.0,1.0,0.7,0.75,675000.0,1980000.0
GMRINFRA-I16PE,2019-01-02,0.5,0.75,0.5,0.7,945000.0,1845000.0
GMRINFRA-I17CE,2019-01-02,0.5,0.5,0.35,0.4,2070000.0,4905000.0
GMRINFRA-I17PE,2019-01-02,1.15,1.2,1.15,1.2,225000.0,180000.0
GMRINFRA-I18CE,2019-01-02,0.25,0.25,0.2,0.2,1665000.0,3195000.0
GMRINFRA-I19CE,2019-01-02,0.1,0.15,0.1,0.1,1080000.0,2565000.0
GMRINFRA-I20CE,2019-01-02,0.05,0.1,0.05,0.05,855000.0,2970000.0
GMRINFRA-I14PE,2019-01-03,0.15,0.15,0.15,0.15,135000.0,585000.0
GMRINFRA-I15CE,2019-01-03,1.35,1.35,1.1,1.1,720000.0,630000.0
GMRINFRA-I15PE,2019-01-03,0.3,0.4,0.3,0.4,1485000.0,2745000.0
GMRINFRA-I16CE,2019-01-03,0.75,0.8,0.55,0.55,810000.0,1980000.0
GMRINFRA-I16PE,2019-01-03,0.75,0.85,0.75,0.85,1260000.0,2205000.0
GMRINFRA-I17CE,2019-01-03,0.4,0.4,0.3,0.3,1665000.0,4815000.0
GMRINFRA-I18CE,2019-01-03,0.15,0.2,0.1,0.15,1035000.0,3330000.0
GMRINFRA-I19CE,2019-01-03,0.1,0.1,0.1,0.1,90000.0,2565000.0
GMRINFRA-I20CE,2019-01-03,0.05,0.05,0.05,0.05,135000.0,3060000.0
GMRINFRA-I7PE,2019-01-04,0.05,0.05,0.05,0.05,45000.0,0.0
GMRINFRA-I14PE,2019-01-04,0.15,0.15,0.15,0.15,315000.0,720000.0
GMRINFRA-I15CE,2019-01-04,1.0,1.15,1.0,1.15,180000.0,585000.0
GMRINFRA-I15PE,2019-01-04,0.45,0.45,0.3,0.3,1395000.0,2700000.0
GMRINFRA-I16CE,2019-01-04,0.55,0.7,0.5,0.65,2610000.0,2880000.0
GMRINFRA-I16PE,2019-01-04,0.9,0.95,0.65,0.7,540000.0,2340000.0
GMRINFRA-I17CE,2019-01-04,0.3,0.35,0.25,0.3,4320000.0,5760000.0
GMRINFRA-I18CE,2019-01-04,0.15,0.15,0.1,0.15,900000.0,3600000.0
GMRINFRA-I19CE,2019-01-04,0.05,0.05,0.05,0.05,225000.0,2430000.0
GMRINFRA-I20CE,2019-01-04,0.05,0.05,0.05,0.05,225000.0,3285000.0
GMRINFRA-I14PE,2019-01-07,0.1,0.1,0.1,0.1,45000.0,765000.0
GMRINFRA-I15CE,2019-01-07,1.2,1.2,1.2,1.2,45000.0,630000.0
GMRINFRA-I15PE,2019-01-07,0.25,0.3,0.25,0.3,270000.0,2745000.0
GMRINFRA-I16CE,2019-01-07,0.75,0.8,0.6,0.65,1170000.0,2880000.0
GMRINFRA-I16PE,2019-01-07,0.6,0.7,0.6,0.7,180000.0,2295000.0
GMRINFRA-I17CE,2019-01-07,0.35,0.35,0.25,0.25,1350000.0,5985000.0
GMRINFRA-I18CE,2019-01-07,0.15,0.15,0.15,0.15,225000.0,3735000.0
GMRINFRA-I19CE,2019-01-07,0.05,0.05,0.05,0.05,90000.0,2430000.0
GMRINFRA-I15PE,2019-01-08,0.25,0.25,0.2,0.2,135000.0,2835000.0
GMRINFRA-I16CE,2019-01-08,0.65,0.75,0.65,0.7,765000.0,2925000.0
GMRINFRA-I16PE,2019-01-08,0.6,0.6,0.5,0.5,225000.0,2430000.0
GMRINFRA-I17CE,2019-01-08,0.3,0.35,0.3,0.3,1170000.0,5940000.0
GMRINFRA-I18CE,2019-01-08,0.15,0.15,0.15,0.15,270000.0,3780000.0
GMRINFRA-I20CE,2019-01-08,0.05,0.05,0.05,0.05,45000.0,3285000.0
GMRINFRA-I26PE,2019-01-08,10.0,10.0,10.0,10.0,45000.0,45000.0
GMRINFRA-I14CE,2019-01-09,2.55,2.75,2.55,2.75,180000.0,90000.0
GMRINFRA-I14PE,2019-01-09,0.05,0.05,0.05,0.05,495000.0,900000.0
GMRINFRA-I15CE,2019-01-09,1.7,2.0,1.55,2.0,810000.0,945000.0
GMRINFRA-I15PE,2019-01-09,0.2,0.2,0.05,0.1,3960000.0,2925000.0
GMRINFRA-I16CE,2019-01-09,0.9,1.25,0.8,1.2,5310000.0,2610000.0
GMRINFRA-I16PE,2019-01-09,0.4,0.45,0.25,0.3,3645000.0,2835000.0
GMRINFRA-I17CE,2019-01-09,0.35,0.7,0.35,0.65,18360000.0,7515000.0
GMRINFRA-I17PE,2019-01-09,0.9,1.0,0.6,0.7,1485000.0,990000.0
GMRINFRA-I18CE,2019-01-09,0.15,0.35,0.15,0.3,11205000.0,4545000.0
GMRINFRA-I19CE,2019-01-09,0.1,0.2,0.05,0.15,2790000.0,3240000.0
GMRINFRA-I19PE,2019-01-09,2.55,2.55,2.55,2.55,45000.0,450000.0
GMRINFRA-I20CE,2019-01-09,0.05,0.1,0.05,0.1,2520000.0,4185000.0
GMRINFRA-I14PE,2019-01-10,0.05,0.05,0.05,0.05,45000.0,765000.0
GMRINFRA-I15CE,2019-01-10,1.95,1.95,1.95,1.95,45000.0,855000.0
GMRINFRA-I15PE,2019-01-10,0.1,0.1,0.1,0.1,495000.0,2610000.0
GMRINFRA-I16CE,2019-01-10,1.15,1.45,1.0,1.0,1710000.0,2610000.0
GMRINFRA-I16PE,2019-01-10,0.3,0.3,0.25,0.3,2610000.0,3465000.0
GMRINFRA-I17CE,2019-01-10,0.6,0.8,0.5,0.5,8865000.0,7695000.0
GMRINFRA-I17PE,2019-01-10,0.65,0.8,0.55,0.75,1665000.0,1215000.0
GMRINFRA-I18CE,2019-01-10,0.35,0.4,0.2,0.2,7650000.0,5490000.0
GMRINFRA-I18PE,2019-01-10,1.15,1.15,1.15,1.15,45000.0,135000.0
GMRINFRA-I19CE,2019-01-10,0.2,0.2,0.1,0.1,2340000.0,3285000.0
GMRINFRA-I20CE,2019-01-10,0.05,0.1,0.05,0.1,1080000.0,4365000.0
GMRINFRA-I26PE,2019-01-10,9.05,9.05,9.05,9.05,45000.0,45000.0
GMRINFRA-I14PE,2019-01-11,0.05,0.05,0.05,0.05,45000.0,765000.0
GMRINFRA-I15CE,2019-01-11,1.85,1.85,1.7,1.85,585000.0,720000.0
GMRINFRA-I15PE,2019-01-11,0.1,0.15,0.1,0.1,540000.0,2610000.0
GMRINFRA-I16CE,2019-01-11,1.0,1.15,0.9,1.05,1080000.0,2430000.0
GMRINFRA-I16PE,2019-01-11,0.3,0.35,0.25,0.3,1170000.0,3240000.0
GMRINFRA-I17CE,2019-01-11,0.5,0.6,0.4,0.5,6975000.0,7740000.0
GMRINFRA-I17PE,2019-01-11,0.75,0.75,0.7,0.7,90000.0,1170000.0
GMRINFRA-I18CE,2019-01-11,0.2,0.25,0.2,0.2,4095000.0,4995000.0
GMRINFRA-I19CE,2019-01-11,0.1,0.1,0.05,0.05,810000.0,3420000.0
GMRINFRA-I20CE,2019-01-11,0.1,0.1,0.05,0.05,540000.0,4050000.0
GMRINFRA-I15PE,2019-01-14,0.1,0.1,0.1,0.1,270000.0,2565000.0
GMRINFRA-I16CE,2019-01-14,0.9,0.95,0.8,0.8,585000.0,2205000.0
GMRINFRA-I16PE,2019-01-14,0.3,0.35,0.3,0.35,720000.0,3150000.0
GMRINFRA-I17CE,2019-01-14,0.45,0.45,0.3,0.35,1935000.0,7560000.0
GMRINFRA-I17PE,2019-01-14,0.9,0.9,0.85,0.85,180000.0,1215000.0
GMRINFRA-I18CE,2019-01-14,0.2,0.2,0.15,0.15,1890000.0,5625000.0
GMRINFRA-I19CE,2019-01-14,0.05,0.05,0.05,0.05,720000.0,2835000.0
GMRINFRA-I20CE,2019-01-14,0.05,0.05,0.05,0.05,225000.0,4185000.0
GMRINFRA-I15PE,2019-01-15,0.1,0.1,0.1,0.1,135000.0,2565000.0
GMRINFRA-I16CE,2019-01-15,0.85,0.85,0.85,0.85,45000.0,2205000.0
GMRINFRA-I16PE,2019-01-15,0.35,0.35,0.3,0.3,630000.0,2835000.0
GMRINFRA-I17CE,2019-01-15,0.4,0.4,0.35,0.4,3285000.0,7830000.0
GMRINFRA-I17PE,2019-01-15,0.8,0.8,0.75,0.75,180000.0,1170000.0
GMRINFRA-I18CE,2019-01-15,0.15,0.15,0.1,0.15,2700000.0,5400000.0
GMRINFRA-I19CE,2019-01-15,0.05,0.05,0.05,0.05,45000.0,2880000.0
GMRINFRA-I15PE,2019-01-16,0.1,0.1,0.1,0.1,135000.0,2520000.0
GMRINFRA-I16CE,2019-01-16,0.95,0.95,0.9,0.9,90000.0,2205000.0
GMRINFRA-I16PE,2019-01-16,0.25,0.25,0.25,0.25,495000.0,3015000.0
GMRINFRA-I17CE,2019-01-16,0.35,0.45,0.35,0.4,3285000.0,8640000.0
GMRINFRA-I17PE,2019-01-16,0.7,0.7,0.7,0.7,135000.0,1305000.0
GMRINFRA-I18CE,2019-01-16,0.15,0.15,0.1,0.1,1620000.0,5625000.0
GMRINFRA-I19CE,2019-01-16,0.05,0.05,0.05,0.05,180000.0,2790000.0
GMRINFRA-I15PE,2019-01-17,0.1,0.1,0.05,0.1,180000.0,2565000.0
GMRINFRA-I16CE,2019-01-17,0.9,0.9,0.7,0.75,495000.0,2250000.0
GMRINFRA-I16PE,2019-01-17,0.25,0.35,0.25,0.35,1080000.0,3060000.0
GMRINFRA-I17CE,2019-01-17,0.4,0.4,0.25,0.3,4545000.0,9090000.0
GMRINFRA-I17PE,2019-01-17,0.9,0.95,0.9,0.95,90000.0,1350000.0
GMRINFRA-I18CE,2019-01-17,0.15,0.15,0.1,0.1,4815000.0,7380000.0
GMRINFRA-I19CE,2019-01-17,0.05,0.1,0.05,0.05,1305000.0,2835000.0
GMRINFRA-I20CE,2019-01-17,0.05,0.05,0.05,0.05,4500000.0,8505000.0
GMRINFRA-I15PE,2019-01-18,0.1,0.1,0.1,0.1,720000.0,2430000.0
GMRINFRA-I16CE,2019-01-18,0.6,0.75,0.6,0.7,810000.0,2430000.0
GMRINFRA-I16PE,2019-01-18,0.45,0.45,0.3,0.35,765000.0,3375000.0
GMRINFRA-I17CE,2019-01-18,0.25,0.35,0.2,0.25,3915000.0,9225000.0
GMRINFRA-I17PE,2019-01-18,0.95,0.95,0.8,0.8,315000.0,1395000.0
GMRINFRA-I18CE,2019-01-18,0.1,0.1,0.05,0.1,1800000.0,7200000.0
GMRINFRA-I19CE,2019-01-18,0.05,0.05,0.05,0.05,1440000.0,3780000.0
GMRINFRA-I20CE,2019-01-18,0.05,0.05,0.05,0.05,1035000.0,9540000.0
GMRINFRA-I26CE,2019-01-18,0.05,0.05,0.05,0.05,45000.0,0.0
GMRINFRA-I15PE,2019-01-21,0.1,0.15,0.1,0.15,90000.0,2385000.0
GMRINFRA-I16CE,2019-01-21,0.6,0.6,0.45,0.45,405000.0,2475000.0
GMRINFRA-I16PE,2019-01-21,0.4,0.45,0.35,0.45,765000.0,3330000.0
GMRINFRA-I17CE,2019-01-21,0.25,0.25,0.15,0.15,1530000.0,9180000.0
GMRINFRA-I17PE,2019-01-21,1.0,1.0,1.0,1.0,45000.0,1395000.0
GMRINFRA-I18CE,2019-01-21,0.1,0.1,0.1,0.1,90000.0,7290000.0
GMRINFRA-I19CE,2019-01-21,0.05,0.05,0.05,0.05,135000.0,3645000.0
GMRINFRA-I20CE,2019-01-21,0.05,0.05,0.05,0.05,135000.0,9675000.0
GMRINFRA-I26PE,2019-01-21,9.95,9.95,9.95,9.95,45000.0,45000.0
GMRINFRA-I14PE,2019-01-22,0.05,0.05,0.05,0.05,45000.0,765000.0
GMRINFRA-I15PE,2019-01-22,0.1,0.1,0.1,0.1,45000.0,2385000.0
GMRINFRA-I16CE,2019-01-22,0.4,0.55,0.35,0.45,1305000.0,2835000.0
GMRINFRA-I16PE,2019-01-22,0.5,0.5,0.35,0.35,765000.0,3060000.0
GMRINFRA-I17CE,2019-01-22,0.15,0.15,0.1,0.15,3060000.0,9585000.0
GMRINFRA-I17PE,2019-01-22,1.25,1.35,1.0,1.0,180000.0,1260000.0
GMRINFRA-I18CE,2019-01-22,0.05,0.05,0.05,0.05,1170000.0,7110000.0
GMRINFRA-I20CE,2019-01-22,0.05,0.05,0.05,0.05,180000.0,9855000.0
GMRINFRA-I15PE,2019-01-23,0.1,0.1,0.05,0.05,180000.0,2385000.0
GMRINFRA-I16CE,2019-01-23,0.4,0.7,0.4,0.45,675000.0,3060000.0
GMRINFRA-I16PE,2019-01-23,0.35,0.4,0.25,0.25,495000.0,3060000.0
GMRINFRA-I17CE,2019-01-23,0.15,0.2,0.15,0.15,1575000.0,9585000.0
GMRINFRA-I18CE,2019-01-23,0.05,0.05,0.05,0.05,720000.0,7335000.0
GMRINFRA-I20CE,2019-01-23,0.05,0.05,0.05,0.05,45000.0,9900000.0
GMRINFRA-I15PE,2019-01-24,0.05,0.05,0.05,0.05,90000.0,2385000.0
GMRINFRA-I16CE,2019-01-24,0.5,0.5,0.3,0.3,1260000.0,3060000.0
GMRINFRA-I16PE,2019-01-24,0.3,0.4,0.3,0.4,675000.0,3105000.0
GMRINFRA-I17CE,2019-01-24,0.15,0.15,0.05,0.1,1485000.0,9810000.0
GMRINFRA-I18CE,2019-01-24,0.05,0.05,0.05,0.05,720000.0,6885000.0
GMRINFRA-I14PE,2019-01-25,0.05,0.05,0.05,0.05,45000.0,765000.0
GMRINFRA-I15PE,2019-01-25,0.05,0.1,0.05,0.1,855000.0,2475000.0
GMRINFRA-I16CE,2019-01-25,0.35,0.35,0.2,0.2,1485000.0,3150000.0
GMRINFRA-I16PE,2019-01-25,0.35,0.55,0.35,0.55,855000.0,2880000.0
GMRINFRA-I17CE,2019-01-25,0.1,0.1,0.05,0.05,2835000.0,11295000.0
GMRINFRA-I17PE,2019-01-25,1.05,1.05,1.05,1.05,45000.0,1260000.0
GMRINFRA-I18CE,2019-01-25,0.05,0.05,0.05,0.05,90000.0,6930000.0
GMRINFRA-I20CE,2019-01-25,0.05,0.05,0.05,0.05,180000.0,10080000.0
GMRINFRA-I26CE,2019-01-25,1.0,1.0,1.0,1.0,45000.0,45000.0
GMRINFRA-I14PE,2019-01-28,0.1,0.1,0.05,0.05,270000.0,855000.0
GMRINFRA-I15CE,2019-01-28,0.4,0.55,0.35,0.5,900000.0,765000.0
GMRINFRA-I15PE,2019-01-28,0.1,0.35,0.1,0.15,2070000.0,2385000.0
GMRINFRA-I16CE,2019-01-28,0.2,0.2,0.1,0.15,2610000.0,3240000.0
GMRINFRA-I16PE,2019-01-28,0.6,1.0,0.6,1.0,675000.0,2835000.0
GMRINFRA-I17CE,2019-01-28,0.05,0.05,0.05,0.05,4635000.0,10980000.0
GMRINFRA-I18CE,2019-01-28,0.05,0.05,0.05,0.05,45000.0,6930000.0
GMRINFRA-I25PE,2019-01-28,9.65,9.65,9.65,9.65,45000.0,450000.0
GMRINFRA-I15CE,2019-01-29,0.5,0.75,0.5,0.65,405000.0,675000.0
GMRINFRA-I15PE,2019-01-29,0.1,0.15,0.1,0.1,855000.0,2385000.0
GMRINFRA-I16CE,2019-01-29,0.15,0.15,0.1,0.1,2115000.0,3060000.0
GMRINFRA-I16PE,2019-01-29,0.4,0.55,0.4,0.55,90000.0,2790000.0
GMRINFRA-I17CE,2019-01-29,0.05,0.05,0.05,0.05,1080000.0,10755000.0
GMRINFRA-I17PE,2019-01-29,1.4,1.4,1.4,1.4,45000.0,1215000.0
GMRINFRA-I18PE,2019-01-29,2.5,2.5,2.5,2.5,45000.0,180000.0
GMRINFRA-I19CE,2019-01-29,0.05,0.05,0.05,0.05,450000.0,3645000.0
GMRINFRA-I20PE,2019-01-29,4.5,4.5,4.5,4.5,45000.0,810000.0
GMRINFRA-I7PE,2019-01-30,0.3,0.3,0.3,0.3,45000.0,45000.0
GMRINFRA-I15CE,2019-01-30,0.7,0.7,0.7,0.7,45000.0,720000.0
GMRINFRA-I15PE,2019-01-30,0.05,0.1,0.05,0.1,765000.0,2430000.0
GMRINFRA-I16CE,2019-01-30,0.1,0.1,0.05,0.05,1395000.0,2970000.0
GMRINFRA-I16PE,2019-01-30,0.6,0.75,0.5,0.5,810000.0,2475000.0
GMRINFRA-I17CE,2019-01-30,0.05,0.05,0.05,0.05,180000.0,10800000.0
GMRINFRA-I17PE,2019-01-30,1.5,1.5,1.5,1.5,45000.0,1215000.0
GMRINFRA-I25PE,2019-01-30,9.5,9.5,9.5,9.5,45000.0,405000.0
GMRINFRA-I15CE,2019-01-31,0.3,0.35,0.1,0.15,540000.0,675000.0
GMRINFRA-I15PE,2019-01-31,0.05,0.05,0.05,0.05,810000.0,2880000.0
GMRINFRA-I16CE,2019-01-31,0.05,0.05,0.05,0.05,90000.0,2970000.0
GMRINFRA-I16PE,2019-01-31,0.75,0.85,0.7,0.8,495000.0,2205000.0
GMRINFRA-I17CE,2019-01-31,0.05,0.05,0.05,0.05,45000.0,10845000.0
GMRINFRA-I17PE,2019-01-31,1.55,1.9,1.55,1.85,360000.0,900000.0
GMRINFRA-I19PE,2019-01-31,3.75,3.75,3.6,3.6,90000.0,450000.0
GMRINFRA-I20CE,2019-01-31,0.05,0.05,0.05,0.05,45000.0,10125000.0
GMRINFRA-I20PE,2019-01-31,4.65,4.8,4.65,4.7,585000.0,225000.0
GMRINFRA-I25PE,2019-01-31,9.75,9.85,9.75,9.85,90000.0,360000.0
GMRINFRA-I14PE,2019-02-01,0.2,0.25,0.15,0.25,495000.0,855000.0
GMRINFRA-I15CE,2019-02-01,0.95,1.05,0.75,0.75,1125000.0,945000.0
