Ticker,Date,Open,High,Low,Close,Volume,Open_Interest
GODFRYPHLP-I800PE,2019-01-01,6.65,6.65,6.65,6.65,700.0,4200.0
GODFRYPHLP-I880PE,2019-01-01,36.0,36.0,36.0,36.0,700.0,0.0
GODFRYPHLP-I1060CE,2019-01-01,2.2,2.2,2.2,2.2,700.0,700.0
GODFRYPHLP-I880CE,2019-01-02,38.25,38.25,32.85,33.9,2800.0,4900.0
GODFRYPHLP-I880PE,2019-01-02,35.9,35.9,35.9,35.9,700.0,700.0
GODFRYPHLP-I920CE,2019-01-02,19.85,19.85,19.85,19.85,700.0,2100.0
GODFRYPHLP-I960CE,2019-01-02,12.75,12.75,12.75,12.75,5600.0,5600.0
GODFRYPHLP-I880CE,2019-01-03,33.95,33.95,33.95,33.95,700.0,5600.0
GODFRYPHLP-I840CE,2019-01-04,58.75,58.75,58.75,58.75,1400.0,6300.0
GODFRYPHLP-I840PE,2019-01-04,25.0,25.0,25.0,25.0,700.0,20300.0
GODFRYPHLP-I900CE,2019-01-04,29.25,29.25,19.9,26.5,2100.0,1400.0
GODFRYPHLP-I900PE,2019-01-04,42.5,42.5,42.5,42.5,700.0,0.0
GODFRYPHLP-I920CE,2019-01-04,16.6,16.6,16.6,16.6,700.0,1400.0
GODFRYPHLP-I960CE,2019-01-04,7.0,7.0,7.0,7.0,700.0,4200.0
GODFRYPHLP-I1000CE,2019-01-04,7.0,7.0,7.0,7.0,700.0,700.0
GODFRYPHLP-I900PE,2019-01-07,34.0,34.0,34.0,34.0,700.0,700.0
GODFRYPHLP-I800PE,2019-01-08,4.1,4.1,4.1,4.1,4200.0,1400.0
GODFRYPHLP-I1000CE,2019-01-08,8.0,8.0,8.0,8.0,700.0,1400.0
GODFRYPHLP-I940CE,2019-01-09,24.9,24.9,24.9,24.9,700.0,700.0
GODFRYPHLP-I940PE,2019-01-09,55.0,55.0,55.0,55.0,700.0,700.0
GODFRYPHLP-I980CE,2019-01-09,8.9,9.0,8.9,9.0,1400.0,700.0
GODFRYPHLP-I1000CE,2019-01-09,8.0,8.0,8.0,8.0,700.0,2100.0
GODFRYPHLP-I880PE,2019-01-10,19.45,19.45,19.45,19.45,700.0,700.0
GODFRYPHLP-I880CE,2019-01-11,43.25,43.25,43.25,43.25,1400.0,4900.0
GODFRYPHLP-I900CE,2019-01-11,36.2,36.2,36.2,36.2,700.0,2100.0
GODFRYPHLP-I960CE,2019-01-11,14.9,16.0,12.1,16.0,3500.0,5600.0
GODFRYPHLP-I800PE,2019-01-14,3.5,3.5,3.5,3.5,700.0,1400.0
GODFRYPHLP-I860PE,2019-01-14,15.0,15.0,15.0,15.0,700.0,3500.0
GODFRYPHLP-I900PE,2019-01-14,19.0,19.0,19.0,19.0,700.0,1400.0
GODFRYPHLP-I960CE,2019-01-14,15.0,15.0,15.0,15.0,700.0,5600.0
GODFRYPHLP-I840PE,2019-01-15,3.1,3.85,2.5,2.8,21700.0,5600.0
GODFRYPHLP-I860PE,2019-01-15,4.1,4.1,3.7,3.7,3500.0,2800.0
GODFRYPHLP-I880PE,2019-01-15,6.0,6.0,5.0,5.0,4900.0,1400.0
GODFRYPHLP-I900CE,2019-01-15,59.9,59.9,59.9,59.9,700.0,2100.0
GODFRYPHLP-I900PE,2019-01-15,13.0,13.0,5.9,5.9,2800.0,2100.0
GODFRYPHLP-I920CE,2019-01-15,74.35,74.35,74.35,74.35,4200.0,1400.0
GODFRYPHLP-I920PE,2019-01-15,8.95,11.0,7.9,8.05,7000.0,4900.0
GODFRYPHLP-I940CE,2019-01-15,32.65,58.0,27.0,58.0,16100.0,1400.0
